20151101
02         AISNE                         
           commune :     ABBECOURT                      departement : AISNE                         
LIEU-DIT   LES ARROYOTS               
LIEU-DIT   LE BAS DES MOYERS          
LIEU-DIT   LA BEQUETTE                
LIEU-DIT   LE CHAMP CORNU             
LIEU-DIT   LE CHAMP MIGNOUX           
LIEU-DIT   LE CHAMP SETIER            
LIEU-DIT   LES CHAMPS                 
LIEU-DIT   LE CHATEAU                 
LIEU-DIT   LA CHATELLENIE             
LIEU-DIT   LE CHEMIN VERT             
LIEU-DIT   LE COURTY EDMOND           
LIEU-DIT   LA COUTURE                 
LIEU-DIT   DERRIERE LA RUE DU RIEZ    
LIEU-DIT   ENTRE DEUX CAVEES          
LIEU-DIT   L EPINETTE                 
LIEU-DIT   LA FONTAINE MARONNE        
LIEU-DIT   LA FORRIERE NIZARD         
LIEU-DIT   LA FOSSE DAMET             
LIEU-DIT   LES FOSSES                 
LIEU-DIT   LES GROS PRES              
LIEU-DIT   L HERMILLON                
LIEU-DIT   ILE D ABBECOURT            
LIEU-DIT   LE JARDIN ANGLAIS          
LIEU-DIT   LE JARDIN CORNET           
LIEU-DIT   LES LANGRES                
LIEU-DIT   LE LOUP PENDU              
LIEU-DIT   LE MONTISEL                
LIEU-DIT   LE MONTOIR                 
LIEU-DIT   LE MOULIN CHEVREUIL        
LIEU-DIT   LES MOYERS                 
LIEU-DIT   L OSIER                    
LIEU-DIT   LE PARADIS                 
LIEU-DIT   LE PAS DES GOUAS           
LIEU-DIT   LA PATURE A CHANVRE        
LIEU-DIT   PATURE DE LA BARRE         
LIEU-DIT   LES PEUPLIERS              
LIEU-DIT   LA PLANQUETTE              
LIEU-DIT   LES PLEINS                 
LIEU-DIT   LE PORT                    
LIEU-DIT   PRES DE LA FORRIERE NIZARD 
LIEU-DIT   LES REQUETTES              
LIEU-DIT   LE RU VIGNY                
LIEU-DIT   RUE DE LA BARRE            
LIEU-DIT   RUE DE LA CROIX            
LIEU-DIT   RUE DES FOSSES             
LIEU-DIT   RUE DU RIEZ                
LIEU-DIT   RUE DU TERTRE              
LIEU-DIT   RUE PIERREUSE              
LIEU-DIT   SOUS LA RUE DU RIEZ        
LIEU-DIT   LES TERQUES                
LIEU-DIT   LA TOMBELLE                
LIEU-DIT   ETABLISSEMENTS DEBOSSES    
LIEU-DIT   LA COUTURE NORD            
LIEU-DIT   LA COUTURE SUD             
RUE        ANATOLE FRANCE             
RUE        DE LA BARRE                
RUE        DE LA BATELLERIE           
IMPASSE    DU CALVAIRE                
RUE        DU CALVAIRE                
CHEMIN     DE LA COUTURE              
RUE        DES ECOLES                 
IMPASSE    D ERMIGNY                  
RUE        D ERMIGNY                  
CHEMIN     DE LA GARE                 
PLACE      DE LA GARE                 
CHEMIN     DES GRANDS PRES            
RUE        JEAN DE LA FONTAINE        
RUE        JEAN MERMOZ                
RUE        DE LA LIBERATION           
RUE        MERMOZ                     
RUE        DU MOULIN                  
RUE        PASTEUR                    
RUE        DE LA PATURE A CHANVRE     
RUE        DE LA PATURE A CHANVRE     
CHEMIN     DE LA PATURE A CHANVRE     
RUE        PIERRE ET MARIE CURIE      
RUE        PIERREUSE                  
RUE        DE LA PLACE                
RUE        DU PORT                    
CHEMIN     DES REQUETES               
RUE        DES REQUETES               
RUE        DE LA ROSERAIE             
RUE        DU SAC                     
RUE        DU TERTRE                  
PLACE      DE VERDUN                  
RUE        VICTOR HUGO                
           commune :     ACHERY                         departement : AISNE                         
LIEU-DIT   LES AIGUILLONS             
LIEU-DIT   L ARBRE GUILMET            
LIEU-DIT   AU DESSUS DES COUTURES     
LIEU-DIT   AU-DESSUS DU MOULIN A VENT 
LIEU-DIT   LES BAS LIEUX              
LIEU-DIT   LES BAS PRES               
LIEU-DIT   LES BONS JARDINS           
LIEU-DIT   LE BOUT D ACHERY           
LIEU-DIT   LE BULGIBERT               
LIEU-DIT   LA CARRIERE DES MARSANS    
LIEU-DIT   LE CHAMP GRAND MERE        
LIEU-DIT   LE CHAMP MILLE HACHES      
LIEU-DIT   LE CHAMP ROYART            
LIEU-DIT   LE CHEMIN DU TRAVERS       
LIEU-DIT   LA CLOCHE                  
LIEU-DIT   LE CLOS DU CHAPITRE        
LIEU-DIT   LA CORRE                   
LIEU-DIT   LES COUTURES               
LIEU-DIT   DERRIERE LES MURETS        
LIEU-DIT   ENTRE LES DEUX RIVIERES    
LIEU-DIT   L ETINCELLE                
