20151101
03         ALLIER                        
           commune :     ABREST                         departement : ALLIER                        
LOT        LES SOURCES                
LIEU-DIT   BAS DES CROTS              
LIEU-DIT   LE BAS DES TAISSES         
LIEU-DIT   LE BAS DU CHAMP MAGNET     
LIEU-DIT   LES BIERNETS               
LIEU-DIT   LES BLETTES                
LIEU-DIT   LA BOIRE                   
LIEU-DIT   BOIS CONTAUX               
LIEU-DIT   LA BOURSE                  
LIEU-DIT   LES BRAGES                 
LIEU-DIT   LA CASCADE                 
LIEU-DIT   CHAMP COUTAY               
LIEU-DIT   CHAMP DE BRESLE            
LIEU-DIT   LE CHAMP DE LA DAME        
LIEU-DIT   CHAMP DE LA MOTTE          
LIEU-DIT   CHAMP DE LA TETE DU CHIEN  
LIEU-DIT   CHAMP DE QUINSSAT          
LIEU-DIT   CHAMP DES BERNES           
LIEU-DIT   CHAMP DES BOMIANTS         
LIEU-DIT   CHAMP DES CHAUSSINS        
LIEU-DIT   CHAMP DES FORGES           
LIEU-DIT   CHAMP DES TAISSES          
LIEU-DIT   CHAMP DES MOINES           
LIEU-DIT   CHAMP DES PRES BAS         
LIEU-DIT   CHAMP DES QUARTS           
LIEU-DIT   CHAMP DES ROCHES           
LIEU-DIT   CHAMP DES VARENNES         
LIEU-DIT   CHAMP DESAIX               
LIEU-DIT   CHAMP DU BARIL             
LIEU-DIT   CHAMP DU BOIS              
LIEU-DIT   CHAMP DU CIMETIERE         
LIEU-DIT   CHAMP DU COIN              
LIEU-DIT   LE CHAMP DU LAC            
LIEU-DIT   CHAMP DU LAIZE             
LIEU-DIT   CHAMP DU LOT               
LIEU-DIT   CHAMP DU PRE               
LIEU-DIT   CHAMP HOURIS               
LIEU-DIT   CHAMP MAGNET               
LIEU-DIT   CHAMP MALOT                
LIEU-DIT   CHAMP MARECHAL             
LIEU-DIT   CHAMP MARTIN               
LIEU-DIT   CHAMP MENOUSE              
LIEU-DIT   CHAMP MICHAUD              
LIEU-DIT   CHAMP ROLLAND              
LIEU-DIT   CHAMP SEIGNAT              
LIEU-DIT   CHAMP SUCHAUD              
LIEU-DIT   LES CHAMPS MUTAUD          
LIEU-DIT   LES CHAUSSINS              
LIEU-DIT   CONTREE DE BURIN           
LIEU-DIT   CONTREE DES VERNES         
LIEU-DIT   CONTREE DU CROUX           
LIEU-DIT   CONTREE DU TREUIL          
LIEU-DIT   LA COTE DES REMONDINS      
LIEU-DIT   LA COTE DES SEJOURNINS     
LIEU-DIT   LA CROIX VERTE             
LIEU-DIT   LA CROUX                   
LIEU-DIT   LES CURES                  
LIEU-DIT   DOMAINE DE LA TOUR         
