20151101
09         ARIEGE                        
           commune :     AIGUES-JUNTES                  departement : ARIEGE                        
LIEU-DIT   BARGUERES                  
LIEU-DIT   LE BERGE                   
LIEU-DIT   LE BOY                     
LIEU-DIT   LA CABANE                  
LIEU-DIT   LE CABANOT                 
LIEU-DIT   LA CAOUGNE                 
LIEU-DIT   LE CARDAYRE                
LIEU-DIT   CENT ANS                   
LIEU-DIT   CLOT DE LAS CANOS          
LIEU-DIT   CLOT DEL CASSE             
LIEU-DIT   CLOT DEL GAUS              
LIEU-DIT   LE CLOT DEL MESURE         
LIEU-DIT   CLOT DEL PIGAIL            
LIEU-DIT   LE CLOT LONG               
LIEU-DIT   LA COSTE                   
LIEU-DIT   COULANE                    
LIEU-DIT   COULANNE                   
LIEU-DIT   COUMERLAS                  
LIEU-DIT   FOURNE                     
LIEU-DIT   GAYETAIRE                  
LIEU-DIT   LA GRANDE BARTHE           
LIEU-DIT   LA GRANGETTE               
LIEU-DIT   GUINOT                     
LIEU-DIT   LE LABADOU                 
LIEU-DIT   LAOURANA                   
LIEU-DIT   LAS TRAYTES                
LIEU-DIT   LAS TREYTES                
LIEU-DIT   MANE                       
LIEU-DIT   LE MESURE                  
LIEU-DIT   MOUILLEROS                 
LIEU-DIT   NAUDOUX                    
LIEU-DIT   PAILHES                    
LIEU-DIT   LA PECHOUNE                
LIEU-DIT   PEGUERES                   
LIEU-DIT   PERDIGUERES                
LIEU-DIT   LE PICOU                   
LIEU-DIT   LES PIERROUTOUS            
LIEU-DIT   PIERROUTOUS HAMEAU         
LIEU-DIT   PIQUET                     
LIEU-DIT   PLA DEL BOSC               
LIEU-DIT   LA PLANETTE                
LIEU-DIT   LE PONT                    
LIEU-DIT   LA PRADE                   
LIEU-DIT   LES PRATS GRANDS           
LIEU-DIT   LE PRIOU                   
LIEU-DIT   ROC DE BRUNE               
LIEU-DIT   ROC DE GUILHEM             
LIEU-DIT   LA ROQUE                   
LIEU-DIT   LA ROUQUETTE               
LIEU-DIT   SARRAT DE CAUDILH          
LIEU-DIT   SARRAT DE LAOUTA           
LIEU-DIT   SARRAT DEL BANC            
LIEU-DIT   SERRE DE COR               
LIEU-DIT   SOULEILLA                  
LIEU-DIT   LE TAOUSSOULET             
LIEU-DIT   LE TERREFORT               
LIEU-DIT   THOUMAS                    
LIEU-DIT   TOUMASE                    
LIEU-DIT   LE TRAOUC                  
LIEU-DIT   LA TUILERIE                
LIEU-DIT   LA VIEILLE EGLISE          
LIEU-DIT   LE VILLAGE                 
LIEU-DIT   LE BAYLE                   
LIEU-DIT   LAC DE MONDELY             
           commune :     AIGUES-VIVES                   departement : ARIEGE                        
           LE BARRY                   
           LE CAZAL                   
LIEU-DIT   AIGUES VIVES               
LIEU-DIT   AIGUES VIVES               
LIEU-DIT   BELEROS                    
LIEU-DIT   LA LAOUZO                  
LIEU-DIT   LAS FAGES                  
LIEU-DIT   LESTRADE                   
LIEU-DIT   LONGANNE                   
LIEU-DIT   MAGROU                     
LIEU-DIT   LA PLANO                   
LIEU-DIT   LA PRADO                   
LIEU-DIT   PRATS D AMOUNT             
LIEU-DIT   RIVANTEL                   
LIEU-DIT   SEGUELA                    
LIEU-DIT   LA SERRE                   
LIEU-DIT   SOULA ET LABORIO           
LIEU-DIT   BERNADELS                  
LIEU-DIT   LE BAC                     
RUE        DU BARRY                   
IMPASSE    DES BERNADELS              
IMPASSE    DES BLEUETS                
RUE        GEORGES BRASSENS           
IMPASSE    DES CERISIERS              
RUE        GEORGES CLEMENCEAU         
IMPASSE    DES COQUELICOTS            
RUE        DE LA COSTE                
RUE        DES ECOLES                 
PLACE      DE L EGLISE                
CHEMIN     DE LAS FAGES               
RUE        DU FAUBOURG                
CHEMIN     DE LAS FEYCHETTES          
RUE        DE LA FONTAINE             
IMPASSE    DES FRENES                 
AVENUE     DU HUIT MAI 1945           
CHEMIN     DE LABORIE                 
IMPASSE    DES LAVANDES               
ROUTE      DE LERAN                   
CHEMIN     DE LESTRADE                
ROUTE      DE MIREPOIX                
RUE        DE LA PAIX                 
IMPASSE    LOUIS PASTEUR              
CHEMIN     DE LA PLANTATION           
CHEMIN     DES PRAIRIES               
CHEMIN     DES PRATS D AMOUNT         
RUE        PRINCIPALE                 
IMPASSE    DES ROSIERS                
CHEMIN     DE ROUMENGOUX              
CHEMIN     DE SAINT ROCH              
CHEMIN     DE LA SERRE                
CHEMIN     DES SPORTS                 
CHEMIN     DE TABRE                   
ROUTE      DE TABRE                   
           commune :     L AIGUILLON                    departement : ARIEGE                        
LOT        LE CLOT DE LA BAQUO        
QUA        DE LA BAQUO                
