20151101
10         AUBE                          
           commune :     AILLEVILLE                     departement : AUBE                          
LIEU-DIT   LES ARGENTIERES            
LIEU-DIT   BALABROC                   
LIEU-DIT   BOIS DU VAL JOUDREY        
LIEU-DIT   LES BRIAULAUSES            
LIEU-DIT   LES CARREYS                
LIEU-DIT   LES CHAMPS FROIDS          
LIEU-DIT   LES CHANDOISELLES          
LIEU-DIT   LES CORNEES                
LIEU-DIT   COTE DE BRETONVEAU         
LIEU-DIT   LA COTE JOBERT             
LIEU-DIT   LES COTEAUTES              
LIEU-DIT   LES COTELLES               
LIEU-DIT   COTES DE BRETONVEAU        
LIEU-DIT   COTES DES PARQUELLES       
LIEU-DIT   LES CUNIOTS                
LIEU-DIT   LES EDINS                  
LIEU-DIT   ENVERS DE BRETONVEAU       
LIEU-DIT   ENVERS DES PELOUSES        
LIEU-DIT   LES EPINVAUX               
LIEU-DIT   LES FAUX TRAITS            
LIEU-DIT   FERME DE SAINT MARTIN      
LIEU-DIT   FERME NEUVE                
LIEU-DIT   LES FOLIES                 
LIEU-DIT   LES FOSSES BLANCS          
LIEU-DIT   FRICHE DE MALEPINE         
LIEU-DIT   FRICHES DE MALEPINE        
LIEU-DIT   LES GARDES NEIGES          
LIEU-DIT   LES GENEFRINES             
LIEU-DIT   LES GRANDES MONNAIES       
LIEU-DIT   LES GUEULES SECHES         
LIEU-DIT   HAUT DE LA COTE JOBERT     
LIEU-DIT   LES HAUTES FEUILLES        
LIEU-DIT   LES HAUTES MONNAIES        
LIEU-DIT   LA LISIERE                 
LIEU-DIT   LES LONGUES ROYES          
LIEU-DIT   LES MALADIERES             
LIEU-DIT   LES MALEPINES              
LIEU-DIT   LES MOUTONNES              
LIEU-DIT   LES NOTES FINS             
LIEU-DIT   LES PARQUELLES             
LIEU-DIT   LES PELOUSES               
LIEU-DIT   LA PLACE                   
LIEU-DIT   LES RIGOLLES               
LIEU-DIT   VAL DES VIGNES             
LIEU-DIT   LE VAL LAMICHE             
LIEU-DIT   LES VERDENOISES            
LIEU-DIT   VIGNES DES CHAMPS          
LIEU-DIT   AILLEVILLE                 
LIEU-DIT   LE HAUT DES GDES MONNAIES  
LIEU-DIT   COTE DES PARQUELLES        
LIEU-DIT   LES GARDES NEIGE           
ROUTE      NATIONALE                  
CHEMIN     DU VALLON                  
CHEMIN     DES PELOUSES               
RUE        DE L ABREUVOIR             
RUE        NEUVE                      
RUE        DU MILIEU                  
           GRANDE RUE                 
RUE        ST NICOLAS                 
RUE        DU CHATEAU                 
RUE        DES GENEFRINES             
RUE        DES VERDENOISES            
RUE        DE L ABBAYE                
RUE        DU LAVOIR                  
RUE        DU PRESSOIR                
           commune :     AIX EN OTHE                    departement : AUBE                          
           SOC TRANSCOPLASTIC         
LOT        DES VIGNES                 
LIEU-DIT   AU DESSUS DU MOULIN DE DRU 
LIEU-DIT   LES BABELONS               
LIEU-DIT   LE BARCHAT                 
LIEU-DIT   LA BAZINERIE               
LIEU-DIT   BOIS COMMUNAL DE SAINT REM 
LIEU-DIT   LA BOUCHERIE               
LIEU-DIT   LE BOUCHOT                 
LIEU-DIT   LES BOURBEREAUX            
LIEU-DIT   LES BROSSES                
LIEU-DIT   LES BROSSES ET LE FORT DIO 
LIEU-DIT   LE BUISSON BRULE           
LIEU-DIT   LE BUISSON DU PRE          
LIEU-DIT   LES BUTTES                 
