20151101
11         AUDE                          
           commune :     AIGUES VIVES                   departement : AUDE                          
DOMAINE    DE FERRAN                  
RESIDENCE  SAINT JEAN DE LA THIBAUDE  
LIEU-DIT   AS ARGEALATS               
LIEU-DIT   AUX BARRAQUES              
LIEU-DIT   BARRAQUES HAUTES           
LIEU-DIT   A BEILLOU                  
LIEU-DIT   AU BON PAS                 
LIEU-DIT   A BONHOMME                 
LIEU-DIT   A BUSQUIERE                
LIEU-DIT   LA CHAFFRETTE              
LIEU-DIT   AU CHEMIN D AZILLE         
LIEU-DIT   AU CHEMIN DE BADENS        
LIEU-DIT   AU CHEMIN DE CARCASSONNE   
LIEU-DIT   CHEMIN DE LAURE            
LIEU-DIT   AU CHEMIN DE SAINT FRICHOU 
LIEU-DIT   AU CLOT DE CAPELAS         
LIEU-DIT   CLOT DE GRANIE             
LIEU-DIT   LES CLOTS                  
LIEU-DIT   A COUTAOU                  
LIEU-DIT   A LA CROIX                 
LIEU-DIT   AUX ESTAGNOLS              
LIEU-DIT   A L ETANG                  
LIEU-DIT   A L ETANG PARTIE SALLIES   
LIEU-DIT   A LA FONTAINE              
LIEU-DIT   FOUNZALS                   
LIEU-DIT   LA GARDIE EST              
LIEU-DIT   LA GARDIE OUEST            
LIEU-DIT   LA GARDIOLE                
LIEU-DIT   GOUDOULY                   
LIEU-DIT   LAS FAISSES                
LIEU-DIT   AU LOUP                    
LIEU-DIT   AU MANENC                  
LIEU-DIT   A MARCOUYRE                
LIEU-DIT   A LA METAIRIE D ANDUSE     
LIEU-DIT   AU MOULIN A VENT           
LIEU-DIT   AU MOUNA                   
LIEU-DIT   MOURRAL DE LUCAS           
LIEU-DIT   A NERIE                    
LIEU-DIT   PECH EN BARTHE             
LIEU-DIT   PECH ROME                  
LIEU-DIT   LA PIECE DE GROS           
LIEU-DIT   PIECE NOBLE                
LIEU-DIT   AUX PIECETTES              
LIEU-DIT   A LA PIERRE DE LEUDE       
LIEU-DIT   A PRABETS NORD             
LIEU-DIT   A PRABETS SUD              
LIEU-DIT   AUX PRES                   
LIEU-DIT   A PRIMOU                   
LIEU-DIT   REC NEUF                   
LIEU-DIT   ROC DE FERRAN              
LIEU-DIT   AU RUISSEAU D AIGUES VIVES 
LIEU-DIT   SAINT JEAN                 
LIEU-DIT   SOUS LE CIMETIERE          
LIEU-DIT   A LA THIBAUDE              
LIEU-DIT   LE VILLAGE                 
LIEU-DIT   VILLECLARY                 
LIEU-DIT   LA FERRANDIERE             
RUE        ALPHONSE DAUDET            
CHEMIN     DES AMANDIERS              
AVENUE     DE L AMIRAL GAYDE          
RUE        DES ARCHERS                
ROUTE      DE BADENS                  
RUE        BASSE                      
IMPASSE    DES BERGES                 
RUE        DU BOURRAT                 
IMPASSE    DU CHARRON                 
RUE        DU CHATEAU                 
CHEMIN     DU CIMETIERE               
RUE        DU CORDONNIER              
RUE        DES ECOLES                 
ESC        DE L EGLISE                
PLACE      DE L EGLISE                
RUE        DE L EGLISE                
AVENUE     DE L ETANG                 
IMPASSE    DE LA GARDIE               
RUE        DU FOUR                    
RUE        DES GENETS                 
RUE        DES GLYCINES               
GR         GRAND RUE                  
RUE        HAUTE                      
IMPASSE    DE L HORTE                 
IMPASSE    PETITE                     
RUE        DES JARDINS                
RUE        JOSEPH DELTEIL             
ROUTE      DE LAURE                   
PLACE      DE LA MAIRIE               
RUE        MARCEL PAGNOL              
ROUTE      DE MARSEILLETTE            
IMPASSE    DU MENUISIER               
RUE        DU MOULIN A VENT           
CHEMIN     DE NERIE                   
PLACE      DE LA PIERRE DE GALAUP     
AVENUE     PIERRE ET MARIE CURIE      
CHEMIN     DU PIN                     
AVENUE     DE LA POMPE                
PLACE      DE LA POSTE                
PLACE      DU PRESBYTERE              
RUE        DU PRESBYTERE              
AVENUE     DE LA PROMENADE            
