20151101
12         AVEYRON                       
           commune :     AGEN-D AVEYRON                 departement : AVEYRON                       
QUA        DE L ABBAYE                
LOT        LA CHATAIGNERAIE           
LOT        LES GARENNES               
LOT        L HORIZON 1                
LOT        L HORIZON 2                
LOT        LAYSSARELLE                
LIEU-DIT   AGEN                       
LIEU-DIT   LES ANGLES                 
LIEU-DIT   AUSSUEJOULS                
LIEU-DIT   LES BACHS                  
LIEU-DIT   LE BOUISSOU MOULIN         
LIEU-DIT   CAYLUS                     
LIEU-DIT   LA COMBE                   
LIEU-DIT   ISSANCHOU LE BAS           
LIEU-DIT   ISSANCHOU LE HAUT          
LIEU-DIT   LAS COSTES                 
LIEU-DIT   LAVAL                      
LIEU-DIT   LEVERS                     
LIEU-DIT   LOUYNE                     
LIEU-DIT   MONSEIGNE                  
LIEU-DIT   MOUMBERTE                  
LIEU-DIT   PALANGEOLES                
LIEU-DIT   LES PALANGES               
LIEU-DIT   LA PARRO                   
LIEU-DIT   PUECH DE MAUZE             
LIEU-DIT   SAINT LAZARE               
LIEU-DIT   SANSAC                     
LIEU-DIT   LES TAPIES                 
LIEU-DIT   LE TRONC                   
LIEU-DIT   CHEMIN DES COMBES          
LIEU-DIT   RTE DU CIMETIERE           
LIEU-DIT   CHEM DES PALANGES          
LIEU-DIT   LA ROQUE                   
LIEU-DIT   LOT DE LA PARRO            
LIEU-DIT   LOT MATHA                  
LIEU-DIT   LE BOUYSSOU                
LIEU-DIT   LOT CASTES                 
LIEU-DIT   CHEM DES TERMES            
LIEU-DIT   LOT CERES                  
LIEU-DIT   LOT OLIVIER                
LIEU-DIT   LE PESQUIE                 
LIEU-DIT   CHEM DE CANTA SERP         
LIEU-DIT   RTE DE SEGUR               
LIEU-DIT   CHEM DU PESQUIE            
LIEU-DIT   LA BERGERIE                
LIEU-DIT   LE HAMEAU DE CAMPAN        
LIEU-DIT   LES CLAUZADES              
LIEU-DIT   LA CROUX                   
LIEU-DIT   LE JOUNQUAS                
LIEU-DIT   LA PRADE                   
LIEU-DIT   LA PRADELIE                
LIEU-DIT   LE ROC                     
LIEU-DIT   LE PAVE                    
LIEU-DIT   LES FOURS A CHAUX          
LIEU-DIT   LA BARAQUE BASSE           
SENTIER    DE L ABBAYE                
CHEMIN     DES BARENAS                
IMPASSE    BIOULAGUET                 
RUE        JEAN BOUDOU                
ROUTE      DE BOULZAC                 
CHEMIN     DU BOUYSSOU                
CHEMIN     DU BRUELH                  
PLACE      DE L EGLISE                
IMPASSE    EMMA CALVE                 
CHEMIN     DE CAMPAN                  
CHEMIN     DE CANTASERP               
PLACE      DU FREZENQ                 
IMPASSE    DU CANTOU                  
RUE        DU C.E.F.I.                
CHEMIN     DE LA COMBE                
CHEMIN     DES COMBES                 
PLACE      DE LA CROUX                
PLACE      PIERRE CUSSAC              
CHEMIN     DE L ENGRANA               
PLACE      DE LA FONTAINE             
RUE        DU FREZENQ                 
CHEMIN     DES GARRIGUES              
CHEMIN     DU JONCAS                  
RUE        MAL ALPHONSE JUIN          
CHEMIN     DES LIGNES                 
CHEMIN     DE LA LOUBIERE             
PLACE      DU 19 MARS 1962            
RUE        DE LA MILHAU               
IMPASSE    FREDERIC MISTRAL           
           CARRIERON ENRIC MOULY      
CHEMIN     DE LA PARRO                
CHEMIN     DU PESQUIER                
RUE        DE LA PRADELIE             
CHEMIN     DES PRADELS                
IMPASSE    DAUDE DE PRADES            
IMPASSE    GUILLAUME RAYNAL           
PLACE      MARC ROBERT                
CHEMIN     DU ROC                     
ROUTE      DE SEGUR                   
PLACE      CITOYENNE SORGUE           
CHEMIN     DE LA ROQUE                
CHEMIN     DU TELH                    
PLACE      DU TELH                    
CHEMIN     DES TERMES                 
CHEMIN     PIERRE VERNHET             
IMPASSE    ADRIEN VEZINHET            
           commune :     AGUESSAC                       departement : AVEYRON                       
LIEU-DIT   AGUESSAC                   
LIEU-DIT   ANTEJAS                    
LIEU-DIT   BARBADE                    
LIEU-DIT   LA BARQUE                  
LIEU-DIT   LA BARTELLE                
LIEU-DIT   LA BAUME                   
LIEU-DIT   BESSODES                   
LIEU-DIT   BEZERIC                    
LIEU-DIT   BOIS DES GRAVES            
LIEU-DIT   LA BORIE SECHE             
LIEU-DIT   LE BOUYSSOU                
LIEU-DIT   LA BREZEGUE                
LIEU-DIT   BROZOULS                   
LIEU-DIT   LE BUFFAREL ET LAGUDET     
LIEU-DIT   LE CAMBON                  
