20151101
13         BOUCHES DU RHONE              
           commune :     ALLAUCH                        departement : BOUCHES DU RHONE              
LOT        LES ACANTHES               
LOT        CLAIRE LUMIERE             
LOT        LES ADRETS                 
LOT        LES AMANDONS               
LOT        LOIR D AMBREMONT           
LOT        ANGARI                     
LOT        L ARCADIE                  
           LES ASPHODELES             
LOT        LES AUBAGNENS              
LOT        AYASSE                     
LOT        DE BARBARAOU               
LOT        BARBAROUX                  
LOT        LES BARNABELLES            
RESIDENCE  LES BARTAVELLES            
LOT        BELLEVUE                   
LOT        LES BRUYERES               
LOT        LES BURELLES               
LOT        LA CALECHE                 
LOT        LA CAROLINE                
LOT        CAMPAGNE LES OLIVIERS      
LOT        CAMPAGNE LAGRANGE          
LOT        CASIMIR                    
LOT        LA CAUVINE                 
LOT        LES CHAIS DE BELLEVUE      
LOT        LA CHENAIE                 
LOT        LES CHENES                 
RESIDENCE  CHAPPE                     
           LOU CIGALOUN               
LOT        LE CLOS DES AMANDIERS      
LOT        CLOS D AMBREMONT           
LOT        CLOS DE LA REINE           
LOT        LE CLOS DES OLIVIERS       
LOT        LE CLOS ST DOMINIQUE       
LOT        LE COLLET BLANC            
           LE COLOMBIER               
LOT        LE COLOMBIER               
LOT        LA COMBE AU CHENE          
LOT        DES COTES ROTIES           
LOT        DELESTRADE MARCEL          
LOT        DOMAINE DE L OUVIERE       
LOT        LES EGLANTINES             
LOT        LOTISSEMENT LES ETOURNEAUX 
LOT        LE CLOS DE FONTVIEILLE     
DOMAINE    FONTVIEILLE                
LOT        GARCIN                     
LOT        GAYEDON                    
LOT        GAYEDON 2                  
LOT        GIARDINA                   
LOT        LES GLORIETTES             
LOT        GRAMENOUE                  
LOT        LES HAUTS DE LA CALECHE    
LOT        LES HAUTS DU GOLF          
LOT        LE PUITS DU GOLFE          
LOT        LES HAUTS DE CARLEVAN      
LOT        LES HAUTS DES GONAGUES     
LOT        LE PARC DES ANGES          
LOT        LES JARDINS DU ROUTABAOU   
LOT        LE DOMAINE DE MONTESPIN    
LOT        MARGUERITE                 
LOT        MAS DES OLIVIERS           
LOT        MILLIARD 2                 
LOT        LE MOULIN DE LA TULIERE    
LOT        LE MURMURE DES PINS        
LOT        NOTRE DAME DES ANGES       
LOT        DOMAINE DE L OLIVERAIE     
LOT        LES OLIVIERS               
LOT        PANORAMA                   
LOT        LE PARADOU                 
LOT        LE PARC DU CHATEAU         
LOT        PARODI                     
LOT        PASCAL                     
LOT        LE PEISSOT                 
LOT        PEIX                       
HLM        PIE D AUTRY                
LOT        LES PIERRES DE L ETANG     
LOT        LA PINATELLE               
LOT        DES PLAINES                
LOT        LES PINS                   
RESIDENCE  LES PLATANES 1             
RESIDENCE  LES PLATANES 2             
           LES TOITS DE LA POUNCHE    
LOT        LE PRE NEUF                
RESIDENCE  PROVENCE                   
CLOS       DU RELAIS                  
LOT        RESIDENCES DE BACCHUS      
LOT        LA RIGONNE                 
