20151101
16         CHARENTE                      
           commune :     ABZAC                          departement : CHARENTE                      
LOT        COMMUNAL                   
LIEU-DIT   L ALGER                    
LIEU-DIT   AUBERGE DE SERAIL          
LIEU-DIT   LA BARRIERE                
LIEU-DIT   LE BAUCHET                 
LIEU-DIT   LES BEAUX                  
LIEU-DIT   BEL AIR                    
LIEU-DIT   BELLEVUE                   
LIEU-DIT   LES BESSES                 
LIEU-DIT   LES BETOULLES              
LIEU-DIT   LA BEZOCHERIE              
LIEU-DIT   LES BOIGES                 
LIEU-DIT   LES BOIGES ROUGES          
LIEU-DIT   LES BOIGES VERTES          
LIEU-DIT   BOIS CHARPENTIER           
LIEU-DIT   BOIS D AVAILLE             
LIEU-DIT   BOIS DE LIGERIE            
LIEU-DIT   BOIS DE SERAIL             
LIEU-DIT   BOIS DES BETOULLES         
LIEU-DIT   LE BOURG                   
LIEU-DIT   LA BOURGOGNE               
LIEU-DIT   LES BOURNAZEAUX            
LIEU-DIT   LES BRANCHAUD              
LIEU-DIT   LES BRANDES                
LIEU-DIT   BROUE DE MILLAUD           
LIEU-DIT   LA BROUSSE                 
LIEU-DIT   LES BRUNETTES              
LIEU-DIT   LES BUSSIERES              
LIEU-DIT   LA CAVAILLE                
LIEU-DIT   LES CAVAILLES              
LIEU-DIT   LES CHAGNADES              
LIEU-DIT   LES CHAILLOTS              
LIEU-DIT   CHAMP DE FAYOLLE           
LIEU-DIT   CHAMP DE MARSILLAC         
LIEU-DIT   CHAMP DU LIN               
LIEU-DIT   CHAMPS DE LA BROUSSE       
LIEU-DIT   CHAMPS DE LA GRANGE        
LIEU-DIT   CHAMPS DE LA PERCHE        
LIEU-DIT   CHAMPS DE MAILLOU          
LIEU-DIT   CHAMPS DE MONTENAT         
LIEU-DIT   CHAMPS PILLAUDS            
LIEU-DIT   LA CHAPELLE                
LIEU-DIT   LA CHARBONNIERE            
LIEU-DIT   CHARDAT                    
LIEU-DIT   LE CHARPE                  
LIEU-DIT   CHATEAU DE FAYOLLE         
LIEU-DIT   CHATEAU DE SERRE           
LIEU-DIT   LES CHATENETS              
LIEU-DIT   LES CHAUDIERES             
LIEU-DIT   LES CHAUMES                
LIEU-DIT   CHEZ BADET                 
LIEU-DIT   CHEZ JOUANNAUD             
LIEU-DIT   CHEZ LAMBIN                
LIEU-DIT   CHEZ LE SUISSE             
LIEU-DIT   CHEZ LENOIR                
LIEU-DIT   CHEZ MERIGUET              
LIEU-DIT   CHEZ MORTAIGNE             
LIEU-DIT   CHEZ PILLOU                
LIEU-DIT   CHEZ REDON                 
LIEU-DIT   CHEZ SOLIVET               
LIEU-DIT   LE CIMETIERE               
LIEU-DIT   LA CLIDE                   
LIEU-DIT   LES CLOUX                  
LIEU-DIT   AUX CLOUX                  
LIEU-DIT   LES COMBES                 
LIEU-DIT   COMMERCAT                  
LIEU-DIT   LA CORDE AU BOIS           
LIEU-DIT   LES COSSES                 
LIEU-DIT   COSTE A GODET              
LIEU-DIT   COSTE A GRELET             
LIEU-DIT   COSTE DES ROCHERS          
LIEU-DIT   LES COSTES                 
LIEU-DIT   LES COTEAUX                
LIEU-DIT   LA COUPRIE                 
LIEU-DIT   LES COURADES               
LIEU-DIT   LES COURETS                
LIEU-DIT   LE COURONNA                
LIEU-DIT   LE COURTY ET LA FONTAINE   
LIEU-DIT   LA CROIX AUX LOUPS         
LIEU-DIT   LA CROIX DU LOUP           
LIEU-DIT   DOMAINE DE BOUERAT         
LIEU-DIT   DOMAINE DE CHEZ LE SUISSE  
LIEU-DIT   DOMAINE DE CHEZ PILLOU     
LIEU-DIT   DOMAINE DE GORCE           
LIEU-DIT   DOMAINE DE MONETTE         
LIEU-DIT   DOMAINE DU FOURNIOU        
LIEU-DIT   DOMAINE DU POIRIER         
LIEU-DIT   DORADEL                    
LIEU-DIT   L ETANG                    
LIEU-DIT   ETANG DU SERAIL            
LIEU-DIT   FONTAINES MINERALES        
LIEU-DIT   LES FONTENELLES            
LIEU-DIT   FORET D AVAILLE            
LIEU-DIT   FORET DE SAINT GERMAIN     
LIEU-DIT   LES FROMANTAUX             
LIEU-DIT   FROMENTAUX                 
LIEU-DIT   LE GACHY                   
LIEU-DIT   LES GAIS                   
LIEU-DIT   LES GALERIES               
LIEU-DIT   LE GOUROUX                 
LIEU-DIT   LA GOUTTE                  
LIEU-DIT   LES GOUTTES                
LIEU-DIT   LE GRAND AJONC             
LIEU-DIT   GRAND CHAUMONT             
LIEU-DIT   LE GRAND PATURAL           
LIEU-DIT   LE GRAND PRE               
LIEU-DIT   LE GRAND SERAIL            
LIEU-DIT   LA GRANDE ETOUILLE         
LIEU-DIT   LA GRANDE PIECE            
LIEU-DIT   GRANDES PIECES DE PELLETIE 
LIEU-DIT   LES GRANDES TERRES         
LIEU-DIT   LES GRANDS CHAMPS          
LIEU-DIT   LES GRANDS MARSEAUX        
LIEU-DIT   LES GRENOUILLES            
LIEU-DIT   L HERMITAGE                
LIEU-DIT   LAIFFE DE L ETANG          
LIEU-DIT   LES LANDES                 
LIEU-DIT   LANDES DU CHAMBON          
LIEU-DIT   LEVIRET                    
LIEU-DIT   LHOUMAUD                   
LIEU-DIT   LA MAISON BLANCHE          
LIEU-DIT   LA MANIGUETTE              
LIEU-DIT   LA MARCHANDE               
LIEU-DIT   LE MARNIER                 
LIEU-DIT   LA MAROTTE                 
LIEU-DIT   LES MEILLAUDS              
LIEU-DIT   LE MORY                    
LIEU-DIT   LE MOUCHERAT               
LIEU-DIT   LES MOUILLERES             
LIEU-DIT   LE MOULIN DE SERRE         
LIEU-DIT   NEGRE VERGNE               
LIEU-DIT   LES NOSSES                 
LIEU-DIT   PACAGE DE LA RESERVE       
LIEU-DIT   LE PALLAN                  
LIEU-DIT   PATURAL DE LA VIENNE       
LIEU-DIT   PATURAL DU RIS             
LIEU-DIT   LA PELLETIERE              
LIEU-DIT   LA PERCHE                  
LIEU-DIT   PETIT CHAUMONT             
LIEU-DIT   LE PETIT MONTENAT          
LIEU-DIT   LE PETIT SERAIL            
LIEU-DIT   LA PETITE VIGNE            
LIEU-DIT   LES PETITES LANDES         
LIEU-DIT   LES PETITS RENARDOUX       
LIEU-DIT   LE PEUPALARD               
LIEU-DIT   PIECE DE CHARDAT           
LIEU-DIT   PIECE DE COMMERCAT         
LIEU-DIT   PIECE DE L ETANG           
LIEU-DIT   PIECE DE LA FONTAINE       
LIEU-DIT   PIECE DE LA FORET          
LIEU-DIT   PIECE DE LA PLANTE         
LIEU-DIT   PIECE DE MONTENAT          
LIEU-DIT   PIECE DE NEGRE VERGNE      
LIEU-DIT   PIECE DES LEVEES           
LIEU-DIT   PIECE DU MOULIN DE SERRE   
LIEU-DIT   PIECE DU RECLOUS           
LIEU-DIT   PIECE DU SERAIL            
LIEU-DIT   PIECES DE BOURNAZEAUX      
LIEU-DIT   PIECES DES PIERRES BLANCHE 
LIEU-DIT   LES PIERRES BLANCHES       
LIEU-DIT   LES PLANCHES               
LIEU-DIT   LA PLANTE                  
LIEU-DIT   LES PLANTES                
LIEU-DIT   LE PLASSAT                 
LIEU-DIT   LES PRADEAUX               
LIEU-DIT   PRE BONNA                  
LIEU-DIT   PRE CURAUD                 
LIEU-DIT   PRE DE CHEZ PILLOU         
LIEU-DIT   PRE DE LA BARDE            
LIEU-DIT   PRE DE LA BOURGOGNE        
LIEU-DIT   PRE DE LA FONTAINE         
LIEU-DIT   PRE DE LA ROUYERE          
LIEU-DIT   PRE DE LA VERGNE           
LIEU-DIT   PRE DE VERNET              
LIEU-DIT   PRE DES BESSES             
LIEU-DIT   PRE DES QUARTS             
LIEU-DIT   PRE DU POIRIER             
LIEU-DIT   PRE GILLET                 
LIEU-DIT   PRE LONG                   
LIEU-DIT   PRE MESLIAUD               
LIEU-DIT   PRES NOUVAUX               
LIEU-DIT   LE PROMENTAUX              
LIEU-DIT   LE PUYROY                  
LIEU-DIT   LE QUEROY                  
LIEU-DIT   RIVES DE L ETANG           
LIEU-DIT   LA RIVIERE                 
LIEU-DIT   LES ROCHILLONS             
LIEU-DIT   LA ROUYERE                 
LIEU-DIT   LE SERAIL                  
LIEU-DIT   LES SUZEAUX                
