20151101
17         CHARENTE MARITIME             
           commune :     AGUDELLE                       departement : CHARENTE MARITIME             
LIEU-DIT   AUX ARRIVES                
LIEU-DIT   AUX BALINES                
LIEU-DIT   LES BALZACS                
LIEU-DIT   LE BOIS DALLAS             
LIEU-DIT   LE BOIS DE L ETANG         
LIEU-DIT   BOIS DE LA COUDREE         
LIEU-DIT   BOIS DE LA D AUNE          
LIEU-DIT   LES BOIS DE LA MAISON NEUV 
LIEU-DIT   BOIS DE LAFOND             
LIEU-DIT   LE BOIS DES CROIX          
LIEU-DIT   BOIS DES GRIAUX            
LIEU-DIT   BOIS DES HALLES            
LIEU-DIT   LE BOIS DES JONCS          
LIEU-DIT   LES BOIS DES LORTELLES     
LIEU-DIT   LE BOIS DES PLANTES        
LIEU-DIT   BOIS DES ROSIERES          
LIEU-DIT   LE BOIS DU GRAND COIN      
LIEU-DIT   LE BOIS NEUF               
LIEU-DIT   LES BOIS RONDS             
LIEU-DIT   LA BOUCHONNERIE            
LIEU-DIT   LE BOURG                   
LIEU-DIT   LA CAVE                    
LIEU-DIT   LES CHAILLES               
LIEU-DIT   LES CHAILLOTS              
LIEU-DIT   CHAMP CHOINEAU             
LIEU-DIT   CHAMP DE L ESPIS           
LIEU-DIT   CHAMP DE MENARD            
LIEU-DIT   CHAMP DE MONSIEUR          
LIEU-DIT   LE CHAMP DES CROIX         
LIEU-DIT   CHAMPAGNE DE LA CROIX DU R 
LIEU-DIT   LA CHAMPAGNE DE SOUBRAN    
LIEU-DIT   LA CHAMPAGNE DU VILLAGE    
LIEU-DIT   LES CHAMPS FAREAUX         
LIEU-DIT   LA CHATAIGNERAIE           
LIEU-DIT   LE CHEMIN COMMUN           
LIEU-DIT   CHEZ CHAPRON               
LIEU-DIT   CHEZ CHARLOT               
LIEU-DIT   CHEZ COUIT                 
LIEU-DIT   CHEZ CULOTTE               
LIEU-DIT   CHEZ CUROUS                
LIEU-DIT   CHEZ DROIET                
LIEU-DIT   CHEZ FRAINEAU              
LIEU-DIT   CHEZ JEAN ROUX             
LIEU-DIT   CHEZ LIMOUZIN              
LIEU-DIT   CHEZ LOUMAUD               
LIEU-DIT   CHEZ MATHIEU               
LIEU-DIT   CHEZ MORILLON              
LIEU-DIT   CHEZ NICOLAUD              
LIEU-DIT   CHEZ PICHET                
LIEU-DIT   LES CINQUANTE SILLONS      
LIEU-DIT   LE CLONE                   
LIEU-DIT   LE CLOU                    
LIEU-DIT   LA COLINE AU PETIT ETANG   
LIEU-DIT   LA COMBE                   
LIEU-DIT   LE CORMIER                 
LIEU-DIT   LE CREUX DES RENARDS       
LIEU-DIT   LA CROIX DES HALLES        
LIEU-DIT   DERRIERE CHEZ CHAPRON      
LIEU-DIT   DERRIERE LES ORMEAUX       
LIEU-DIT   DEVANT CHEZ GILLET         
LIEU-DIT   DEVANT CHEZ JEAN ROUX      
LIEU-DIT   DEVANT GUIANSON            
LIEU-DIT   DEVANT LE GRAND MAINE      
LIEU-DIT   DEVANT LE GROISSARD        
LIEU-DIT   DOMAINE DE LA PICHAUDERIE  
LIEU-DIT   DOMAINE DE LA TOUR         
LIEU-DIT   LA DOMINERIE               
LIEU-DIT   LA DROIETERIE              
LIEU-DIT   LA FOND DU LIEVRE          
LIEU-DIT   LES FONTENELLES            
LIEU-DIT   LA FORET                   
LIEU-DIT   LA FOSSE NEGRE             
LIEU-DIT   LES GARELLES               
LIEU-DIT   LA GARENNE                 
LIEU-DIT   LA GERGOUILLE              
LIEU-DIT   LE GRAND CLONE             
LIEU-DIT   LE GRAND COIN              
LIEU-DIT   LE GRAND ETANG             
LIEU-DIT   LE GRAND MAINE             
LIEU-DIT   LA GRANDE PIECE            
LIEU-DIT   LES GRANDES LANDES         
LIEU-DIT   LES GRANDS BOIS            
LIEU-DIT   LES GRANDS CHAMPS D EN BAS 
LIEU-DIT   LES GRANDS CHAMPS D EN HAU 
LIEU-DIT   LES GRANDS PRES EST        
LIEU-DIT   LES GRANDS PRES OUEST      
LIEU-DIT   LE GRAVIER                 
LIEU-DIT   LE GROISARD                
LIEU-DIT   LES GROIX                  
LIEU-DIT   LE GROS CHENE              
LIEU-DIT   GUIANSON                   
LIEU-DIT   HAMEAU CHEZ MATHIEU        
LIEU-DIT   LA JEUNETTERIE             
LIEU-DIT   LES JONCS                  
LIEU-DIT   LES JOURNEAUX              
LIEU-DIT   LA LANDE                   
LIEU-DIT   LA LANDE DE LA PICHAUDERIE 
LIEU-DIT   LES LORTELLES              
LIEU-DIT   LA MAISON NEUVE            
LIEU-DIT   LA MALERIE                 
LIEU-DIT   LE MAUVAIS PAS             
LIEU-DIT   LES MECHANTS PRES          
LIEU-DIT   LE MOULIN NEUF             
LIEU-DIT   LES ORMEAUX                
LIEU-DIT   LA PARCHE                  
LIEU-DIT   LE PETIT ETANG             
LIEU-DIT   LA PETITE LANDE            
LIEU-DIT   LES PICHETS                
LIEU-DIT   LA PIECE DU CHAILLE        
LIEU-DIT   LA PIECE DU TRANSFORMATEUR 
LIEU-DIT   LES PLANTES                
LIEU-DIT   LES PLATINS                
LIEU-DIT   LE PONT DE LA GRANDE PLANC 
LIEU-DIT   PRE DE LA CROIX            
LIEU-DIT   PRE DU MOULIN              
LIEU-DIT   PRES DE LA CURE            
LIEU-DIT   PRES DE LAFOND             
LIEU-DIT   LES PRES DES MOTTES        
LIEU-DIT   PRES DES PELERINS          
LIEU-DIT   LES PRES DES PONTETS       
LIEU-DIT   LES PRES DU GROISSARD      
LIEU-DIT   LE PUITS DE DUREE          
LIEU-DIT   LES RAGONNIERES            
LIEU-DIT   LA RENTE                   
LIEU-DIT   LES ROUX                   
LIEU-DIT   LA SIMONERIE               
LIEU-DIT   LES SOURDIS                
LIEU-DIT   LA TOUR                    
LIEU-DIT   LA VILLE                   
           commune :     AIGREFEUILLE-D AUNIS           departement : CHARENTE MARITIME             
