20151101
21         COTE D OR                     
           commune :     AGENCOURT                      departement : COTE D OR                     
LIEU-DIT   AU BAS DU CLOS BADAN       
LIEU-DIT   LE BOIS DE CHARBONNIERE    
LIEU-DIT   LES BORDES                 
LIEU-DIT   AU CHANUAT                 
LIEU-DIT   LE CLOS BADAN              
LIEU-DIT   LE CLOSEAU                 
LIEU-DIT   LES COMMUNES               
LIEU-DIT   LA CORVEE ROUSSOTTE        
LIEU-DIT   LE CREUX BERGER            
LIEU-DIT   DERRIERE LA FONTAINE       
LIEU-DIT   LE GEMENTERY               
LIEU-DIT   LA GENEVRIERE              
LIEU-DIT   LE GRAND PAQUIER           
LIEU-DIT   LA GRANDE PRAIRIE          
LIEU-DIT   LE LIET                    
LIEU-DIT   EN LISSARD                 
LIEU-DIT   LE MEIX DES ANTES          
LIEU-DIT   LE MEIX DESSUS             
LIEU-DIT   LE MEIX FREMY              
LIEU-DIT   EN LA NOUE                 
LIEU-DIT   L ORME THOMAS              
LIEU-DIT   LES ORMEAUX                
LIEU-DIT   LE PANTOR                  
LIEU-DIT   LE PARC                    
LIEU-DIT   LA PATURE                  
LIEU-DIT   LA PETITE FIN              
LIEU-DIT   LE PIED D ANE              
LIEU-DIT   LE PRE AU LOT              
LIEU-DIT   LE PRE DU VERNOIS          
LIEU-DIT   LE PRE JACQUES             
LIEU-DIT   LE PRE JEAN TOUDU          
LIEU-DIT   AU PRUNIER                 
LIEU-DIT   SOUS LA TOUR               
LIEU-DIT   LE VILLAGE                 
LIEU-DIT   LES PORTIONS               
LIEU-DIT   LES RENARDIERES            
RUE        DE CITEAUX                 
IMPASSE    DU CLOS BADAN              
IMPASSE    DU CLOSEAU                 
PLACE      DE L EGLISE                
GR         GRANDE RUE                 
RUE        JEAHNIN                    
RUE        DU LAVOIR                  
RUE        MACHOT                     
RUE        MARIE                      
ROUTE      DE QUINCEY                 
IMPASSE    DU PARC                    
ROUTE      DE ST NICOLAS              
RUE        DU VILLAGE                 
           commune :     AGEY                           departement : COTE D OR                     
LIEU-DIT   LES APRETS                 
LIEU-DIT   L ARC EN CIEL              
LIEU-DIT   L AUBEPIN                  
LIEU-DIT   LE BAS DES OUCHES          
LIEU-DIT   EN BEAUREGARD              
LIEU-DIT   LES BEAUX BRUNS            
LIEU-DIT   BELAIR                     
LIEU-DIT   LES BESSEROLLES            
LIEU-DIT   LES BILLARDS               
LIEU-DIT   LES BOUCHOTS               
LIEU-DIT   LA BUCHAILLE               
LIEU-DIT   LE CARRE                   
LIEU-DIT   LE CHAMP DE LA VELLE       
LIEU-DIT   LE CHAMP DE MANTEAU        
LIEU-DIT   LE CHAMP DE PAQUIER        
LIEU-DIT   LE CHAMP DES HAUTS         
LIEU-DIT   LE CHAMP DES PIERRES       
LIEU-DIT   AU CHAMP MERON             
LIEU-DIT   CHAMP ROUIN                
LIEU-DIT   CHAMPS MONNIOT             
LIEU-DIT   LES CHAMPS NAIGEOT         
LIEU-DIT   LES CHAMPS PREVOT          
LIEU-DIT   LES CHAMPS ROUGES          
LIEU-DIT   LES CHAMPS SOIRONS         
LIEU-DIT   LE CHANIOT                 
LIEU-DIT   EN CHANVOUX                
LIEU-DIT   LE CHARMOT                 
LIEU-DIT   LES CHARRIERES             
LIEU-DIT   LA CHAUME MAILLOT          
LIEU-DIT   LES CHAUMES                
LIEU-DIT   EN CHAVANEAU               
LIEU-DIT   LE CHEMIN D ANCEY          
LIEU-DIT   COMBE A LA TORCHE          
LIEU-DIT   LA COMBE AU GRAND LAURENT  
LIEU-DIT   LA COMBE BICHAUDE          
LIEU-DIT   LA COMBE CHAUMOT           
LIEU-DIT   LA COMBE CHIRIA            
LIEU-DIT   LA COMBE COLAS             
LIEU-DIT   LA COMBE GRISOT            
