20151101
24         DORDOGNE                      
           commune :     ABJAT SUR BANDIAT              departement : DORDOGNE                      
LIEU-DIT   LES ALIZIERS               
LIEU-DIT   LES ARNAUDIES              
LIEU-DIT   LES AUMEDES                
LIEU-DIT   AUTOUR DE RHINS            
LIEU-DIT   LE BAILLARGIE              
LIEU-DIT   LE BANDIAT                 
LIEU-DIT   LES BARDAUX                
LIEU-DIT   LES BARRYS                 
LIEU-DIT   BARTOLEIX                  
LIEU-DIT   LA BAYSSE                  
LIEU-DIT   BEAUREGARD                 
LIEU-DIT   BECHEGUT                   
LIEU-DIT   BELLEVUE                   
LIEU-DIT   LES BEURRES                
LIEU-DIT   BIGAUMONT                  
LIEU-DIT   LA BLANCHARDIE             
LIEU-DIT   BOIS D EN PRED             
LIEU-DIT   BOIS DE LA CHAPELLE        
LIEU-DIT   BOIS DE LA CROIX           
LIEU-DIT   BOIS DE LESTRADE           
LIEU-DIT   BOIS DE MIRANDON           
LIEU-DIT   BOIS DE RHINS              
LIEU-DIT   BOIS DES CAILLOUX          
LIEU-DIT   BOIS DES CHARELLES         
LIEU-DIT   BOIS DES LANDES            
LIEU-DIT   BOIS DU MAS                
LIEU-DIT   LES BOISERIES              
LIEU-DIT   LES BORDERIES              
LIEU-DIT   LE BOST DU PLAY            
LIEU-DIT   LA BOUCARADE               
LIEU-DIT   LE BOUCHAGE                
LIEU-DIT   LES BOUIGUES               
LIEU-DIT   LE BOURG                   
LIEU-DIT   LE BOUSSEAUD               
LIEU-DIT   BRAMEFORT                  
LIEU-DIT   LA BROUSSE                 
LIEU-DIT   LES BROUSSILLES            
LIEU-DIT   LES BRUYERES               
LIEU-DIT   LES CAUTAS                 
LIEU-DIT   CHABANAS EST               
LIEU-DIT   LES CHABANES               
LIEU-DIT   LES CHABAUDIES             
LIEU-DIT   LA CHABAUDIE               
LIEU-DIT   LA CHABESSADIE             
LIEU-DIT   CHACHAT                    
LIEU-DIT   CHANT DE LOUP              
LIEU-DIT   CHANTECOR                  
LIEU-DIT   CHANTEGRIL                 
LIEU-DIT   LA CHANTERELLE             
LIEU-DIT   LA CHAPELLE VERLAINE NORD  
LIEU-DIT   LA CHAPELLE VERLAINE SUD   
LIEU-DIT   LA CHARELLE                
LIEU-DIT   LES CHASSERIES             
LIEU-DIT   CHATEAU BURLAUD            
LIEU-DIT   LE CHATEAU DE FARGEAS      
LIEU-DIT   CHATEAU DE L ETANG         
LIEU-DIT   CHATENET EST               
LIEU-DIT   CHATENET OUEST             
LIEU-DIT   LA CHATIGNOLLE             
LIEU-DIT   LES CHAUMES                
LIEU-DIT   CHEZ GOURINCHAS            
LIEU-DIT   CHEZ GOUYOU                
LIEU-DIT   CHEZ TARLAT                
LIEU-DIT   LE CLAUD                   
LIEU-DIT   CLAUD DE BARRAD            
LIEU-DIT   LA CLAVEILLE               
LIEU-DIT   CLOS DES BOEUFS            
LIEU-DIT   LA COMBE                   
LIEU-DIT   LA COMBETTE                
LIEU-DIT   LE COMMUNAL                
LIEU-DIT   LA COSSA                   
LIEU-DIT   LA COSSE VIGNE             
LIEU-DIT   LA COTANDIE                
LIEU-DIT   CRO DE NEGREGOUR           
LIEU-DIT   DERRIERE PUYZILLOU         
LIEU-DIT   DOMAINE DE GROS PUY        
LIEU-DIT   DOMAINE DE LA MALIGNIE     
LIEU-DIT   L ECLUSE                   
LIEU-DIT   L ETANG                    
LIEU-DIT   ETANG DES CHASSERIES       
LIEU-DIT   ETANG MILLAU               
LIEU-DIT   ETANGS DE LA FORET         
LIEU-DIT   LES EYSSARDS               
LIEU-DIT   FARGEAS                    
LIEU-DIT   LES FONDS                  
LIEU-DIT   LA FONT DU LOUP            
LIEU-DIT   LA FONTAINE DES BERGERES   
LIEU-DIT   LA FONTAINE DES BOIS       
LIEU-DIT   FONTVIEILLE                
LIEU-DIT   FORET DE LA MALIGNIE       
LIEU-DIT   LES FOSSES                 
LIEU-DIT   GABILLOU                   
LIEU-DIT   LA GABY                    
LIEU-DIT   LA GANE                    
LIEU-DIT   LA GARE                    
LIEU-DIT   LES GARENNES               
LIEU-DIT   LES GENTES                 
LIEU-DIT   LES GORSES                 
LIEU-DIT   GOT DU NOYER               
LIEU-DIT   GRAFEUILLE                 
LIEU-DIT   GRAND BOIS                 
LIEU-DIT   LE GRAND GOLLIER           
LIEU-DIT   GRANDE BORNE               
LIEU-DIT   GRANDES PIECES             
LIEU-DIT   LA GRANETTE                
LIEU-DIT   LES GRANGES                
LIEU-DIT   LES GRAVOUX                
LIEU-DIT   GUE BLANC                  
LIEU-DIT   LA GUIGNE                  
LIEU-DIT   LA JARISSE                 
LIEU-DIT   LES JARISSES DE MASFROLET  
LIEU-DIT   LES JARRYS                 
LIEU-DIT   LA JUVENIE                 
LIEU-DIT   LES LANDES                 
LIEU-DIT   LANDES DE PUYRAZEAU        
LIEU-DIT   LAPLASSE                   
LIEU-DIT   LAULANDIE                  
LIEU-DIT   MAISON BRULEE              
LIEU-DIT   LA MAZEAURIE               
LIEU-DIT   LA MAZEAURIE OUEST         
LIEU-DIT   LA MARTINE                 
LIEU-DIT   MASFROLET                  
LIEU-DIT   MAUMONT                    
LIEU-DIT   MAZAGET                    
LIEU-DIT   MAZAJOU                    
LIEU-DIT   MENESPLIER                 
LIEU-DIT   MERDEFER                   
LIEU-DIT   MERLE                      
LIEU-DIT   LA MILLERIE                
LIEU-DIT   MONMALADIE                 
LIEU-DIT   MOULIN DE GROS PUY         
LIEU-DIT   MOULIN DE LA CHARELLE      
LIEU-DIT   MOULIN DE LESTRADE         
LIEU-DIT   MOULIN DE MASFROLET        
LIEU-DIT   MOULIN DE RHINS            
LIEU-DIT   MOULIN DU BOUCHAGE         
LIEU-DIT   LE NISSOUD                 
LIEU-DIT   PETIT FARGEAS              
LIEU-DIT   PETIT MASFROLET            
LIEU-DIT   PETIT PEYRAT               
LIEU-DIT   LA PETITE MAISON ROUGE     
LIEU-DIT   PETITS BARDAUX             
LIEU-DIT   PEYMAGNOU                  
LIEU-DIT   PEYMERAND                  
LIEU-DIT   PEYRAT EST                 
LIEU-DIT   PEYRAT NORD                
LIEU-DIT   PEYRAT OUEST               
LIEU-DIT   PEYRAT SUD                 
LIEU-DIT   PEYREFOLLE                 
LIEU-DIT   LES PEYROLLES              
LIEU-DIT   PIECES DE CHEZ GOUYOU      
LIEU-DIT   LES PLACES                 
LIEU-DIT   LE PONT DE LA VIGEONIE     
LIEU-DIT   LE POU                     
LIEU-DIT   LA POUGE                   
LIEU-DIT   LES POUYADES               
LIEU-DIT   LA PRADELLE                
LIEU-DIT   LA PRADELLE DE LA MARIE    
LIEU-DIT   LES PRADES                 
LIEU-DIT   PRE DE BEAUCHAMPS          
LIEU-DIT   LE PRE TORT DE LA CHARELLE 
LIEU-DIT   LE PRE TORT                
LIEU-DIT   PRES DE CHEZ GOUYOU        
LIEU-DIT   PRES DE FRAYSSE            
LIEU-DIT   PRES DE LA BROUSSE         
LIEU-DIT   PRES DE LA GUIGNE          
LIEU-DIT   PRES DE LA SERVE           
LIEU-DIT   PRES DES GRANGES           
LIEU-DIT   PRES DES RIVAUX            
LIEU-DIT   PRES DES SERVES            
LIEU-DIT   PRES DU BRANDIAT           
LIEU-DIT   PRES DU MOULIN             
LIEU-DIT   PRES DU PONT               
LIEU-DIT   PUIZILLOU                  
LIEU-DIT   LE PUY                     
LIEU-DIT   PUYFROMENTAL               
LIEU-DIT   QUARTIER BEL AIR           
LIEU-DIT   LE RECHASSIER              
LIEU-DIT   RHINS                      
LIEU-DIT   RICHARIAS                  
LIEU-DIT   LA RIVIERE                 
LIEU-DIT   ROCHES DE VIGNELAUD        
LIEU-DIT   LA ROCHETTE                
LIEU-DIT   LA RODERIE                 
LIEU-DIT   LE ROUGER                  
LIEU-DIT   LA SAGNADE                 
LIEU-DIT   LA SAIGNEE                 
LIEU-DIT   SAINT ANDRE                
LIEU-DIT   SAVANAT                    
LIEU-DIT   SERVE D EYRAC              
LIEU-DIT   SERVE DU LIMOUSAU          
LIEU-DIT   LE SOL                     
LIEU-DIT   SOUS LE BOURG              
LIEU-DIT   SOUS LE MOULIN             
LIEU-DIT   TERME DE PIEPONCHU         
LIEU-DIT   TERRE DE LAVAUD            
LIEU-DIT   TERRES DE CHABANAS         
LIEU-DIT   TERRES DE LA BLANCHARDIE   
LIEU-DIT   TERRES DE LA CHAPELLE      
LIEU-DIT   TERRES DE LA FONT          
LIEU-DIT   TERRES DE LA VIGEONIE      
LIEU-DIT   TERRES DE PEYRAT           
LIEU-DIT   TERRES DE SAVANAT          
LIEU-DIT   TERRES DU BOUCHAGE         
LIEU-DIT   LE THUILIER                
LIEU-DIT   LE TUQUET                  
LIEU-DIT   LE VAURIAT                 
LIEU-DIT   LE VERDALIER               
LIEU-DIT   LA VERGNE                  
LIEU-DIT   VERS LES GRAVOUX           
LIEU-DIT   VERS LES TERRES            
LIEU-DIT   LA VIGEONIE                
LIEU-DIT   CHABANAS OUEST             
LIEU-DIT   CHABANAS                   
LIEU-DIT   CHATENET                   
LIEU-DIT   LE PEYRAT                  
LIEU-DIT   LA CHAPELLE VERLAINE       
           commune :     AGONAC                         departement : DORDOGNE                      
LIEU-DIT   L ALLEE                    
LIEU-DIT   BARBESSOU                  
LIEU-DIT   BAS VAURE                  
LIEU-DIT   LES BAYSSES                
LIEU-DIT   BEAUCHEVALIER              
LIEU-DIT   BEAUROUCHOU BAS            
LIEU-DIT   BEAUROUCHOU HAUT           
LIEU-DIT   BERZAC                     
