20151101
25         DOUBS                         
           commune :     ABBANS DESSOUS                 departement : DOUBS                         
LIEU-DIT   ARBUES                     
LIEU-DIT   AUX ARBUES                 
LIEU-DIT   LES ARBUES                 
LIEU-DIT   BARBANT                    
LIEU-DIT   BAS DES NOUES              
LIEU-DIT   BAS DU TERREAU             
LIEU-DIT   BOIS D ORBEGE              
LIEU-DIT   BOIS DES PLANCHES          
LIEU-DIT   SUR LA BORNE               
LIEU-DIT   A LA BROUSSAILLE           
LIEU-DIT   CAILLOULOT                 
LIEU-DIT   CALVAIRE                   
LIEU-DIT   CAMBARD                    
LIEU-DIT   CHAMP BARRI                
LIEU-DIT   CHAMP BERNARD              
LIEU-DIT   CHAMP DERRIERE             
LIEU-DIT   CHAMP DESSOUS              
LIEU-DIT   CHAMP DU FOURG             
LIEU-DIT   CHAMP PAJOT                
LIEU-DIT   CHANDELOTTE                
LIEU-DIT   CHANSENARY                 
LIEU-DIT   LE CHATEAU                 
LIEU-DIT   LA CHEVRE                  
LIEU-DIT   CITADELLE                  
LIEU-DIT   COMBE DE CHANDELOTTE       
LIEU-DIT   COMBE DU FOURNEAU          
LIEU-DIT   LES COMBES                 
LIEU-DIT   CONSCIENCE                 
LIEU-DIT   CORNE AU PRIEUR            
LIEU-DIT   CORVEE DESSOUS             
LIEU-DIT   AU COTTARD                 
LIEU-DIT   COVARDOT                   
LIEU-DIT   A LA CROIX                 
LIEU-DIT   LA CROIX                   
LIEU-DIT   LA CUDE                    
LIEU-DIT   DERRIERE LE MOTTIER        
LIEU-DIT   AU DESSUS DES GRANDS PRES  
LIEU-DIT   DEVANT L ISLE              
LIEU-DIT   DEVANT ROCHE               
LIEU-DIT   DIX MESURES                
LIEU-DIT   ES GORGES                  
LIEU-DIT   ESSARTS                    
LIEU-DIT   FAMINE                     
LIEU-DIT   FAVRY                      
LIEU-DIT   FONTENOTTE                 
LIEU-DIT   FOULURE                    
LIEU-DIT   GOURMOIS                   
LIEU-DIT   GRAND BUISSON              
LIEU-DIT   GRAND CHAMP                
LIEU-DIT   GRAND DENT                 
LIEU-DIT   AU GRAND PRE               
LIEU-DIT   LES GRAVIERS               
LIEU-DIT   GUIDON                     
LIEU-DIT   ISLE DE LA BATAILLE        
LIEU-DIT   JACOULETTE                 
LIEU-DIT   LAMPANNE                   
LIEU-DIT   LANTERNE                   
LIEU-DIT   LIEU DIEU                  
LIEU-DIT   LA LOUVIERE                
LIEU-DIT   LES MARCHAUX               
LIEU-DIT   MIMI                       
LIEU-DIT   MOUTARDE                   
LIEU-DIT   MOUTELLOTTE                
LIEU-DIT   NEVOUI                     
LIEU-DIT   SUR NEVOUI                 
LIEU-DIT   A L OLIVETTE               
LIEU-DIT   OLIVETTE                   
LIEU-DIT   PANISSET                   
LIEU-DIT   SUR PANISSET               
LIEU-DIT   LE PARADIS                 
LIEU-DIT   PARINE                     
LIEU-DIT   LES PERRIERES              
LIEU-DIT   AUX PIECES                 
LIEU-DIT   POUILLEUSE                 
LIEU-DIT   POUTARDOT                  
LIEU-DIT   PRE DE VERY                
LIEU-DIT   PRE DESSOUS                
LIEU-DIT   PRELOT                     
LIEU-DIT   PRES MERGER                
LIEU-DIT   LES QUATRE JOURNAUX        
LIEU-DIT   A RABOLIN                  
LIEU-DIT   RENARDIERE                 
LIEU-DIT   REVERS PANISSET            
LIEU-DIT   SOMBAVAL                   
LIEU-DIT   SOUS LE COTTARD            
LIEU-DIT   SOUS LE POSTULENT          
LIEU-DIT   SOUS LE PUITS              
LIEU-DIT   SOUS LE VILLAGE            
LIEU-DIT   SOUS ROSIER                
LIEU-DIT   AU TAILLEUX                
LIEU-DIT   TAILLEUX                   
LIEU-DIT   AU TOUILLON                
LIEU-DIT   SUR LES VERGERS            
LIEU-DIT   SUR LES VIGNES             
LIEU-DIT   VIGNES DESSOUS             
LIEU-DIT   AU VILLAGE                 
IMPASSE    DU CHARRON                 
RUE        DES COULETS                
IMPASSE    DES CYPRES                 
RUE        JOUFFROY D ABBANS          
CHEMIN     DU LIEU DIEU               
IMPASSE    DU MOTTIER                 
CHEMIN     DU MOULIN                  
IMPASSE    DU PUITS                   
RUE        DES PERRIERES              
CHEMIN     DU PORTAIL                 
IMPASSE    LES PIECES                 
CHEMIN     DE RECULOZ                 
CHEMIN     DE SOMBAVAL                
IMPASSE    TISSERAND                  
CHEMIN     DE VILLARS                 
           commune :     ABBANS DESSUS                  departement : DOUBS                         
LOT        DE BELLEVUE                
LOT        LES FAVORGES               
LIEU-DIT   AUX ARBRES PINS            
LIEU-DIT   A L AUVIENNE               
LIEU-DIT   LA BARGAMOUCHE             
LIEU-DIT   AU BAS D ETOLE             
LIEU-DIT   BAS DE CHENEVIERES         
LIEU-DIT   BAS DE PISSEVIEILLE        
LIEU-DIT   AU BAS DE VENDOLE          
LIEU-DIT   BAS DU PRES BERNARD        
LIEU-DIT   A BEAUREGARD               
LIEU-DIT   AU BIEF DE BARGE           
LIEU-DIT   BOIS DES CHANDELOTTES      
LIEU-DIT   AU BOUT DE LA COTE         
LIEU-DIT   AU BOUT DES CHAMPS AU DROL 
LIEU-DIT   LA CAYENNE                 
LIEU-DIT   AUX CHAGROTTES             
LIEU-DIT   CHAMP D ARGENT             
LIEU-DIT   CHAMPS AUX MOINES          
LIEU-DIT   CHAMPS BERNARDET           
LIEU-DIT   CHAMPS BIDAUX              
LIEU-DIT   CHAMPS BOUVARD             
LIEU-DIT   CHAMPS D ORCHANS           
LIEU-DIT   CHAMPS DE FONTAINE DES FIE 
LIEU-DIT   CHAMPS DE LA CHANDOLE      
LIEU-DIT   CHAMPS DE LA CHEVRE        
LIEU-DIT   CHAMPS DE LA MONTEE        
LIEU-DIT   CHAMPS DE LA TAILLEUSE     
LIEU-DIT   CHAMPS DE LA VAIVRE        
LIEU-DIT   CHAMPS DE PAVOILLON        
LIEU-DIT   CHAMPS DE SOMMON           
LIEU-DIT   CHAMPS DU BAS DES CHANDELO 
LIEU-DIT   CHAMPS DU BIEF DE BARGE    
LIEU-DIT   CHAMPS DU CHATEAU          
LIEU-DIT   CHAMPS DU CHATELOT         
LIEU-DIT   CHAMPS DU LOUP             
LIEU-DIT   CHAMPS DU PONTOT           
LIEU-DIT   CHAMPS DU RANG CLAUDE      
LIEU-DIT   CHAMPS FARIS               
LIEU-DIT   CHAMPS LIMBAS              
LIEU-DIT   CHAMPS MOULINS             
LIEU-DIT   CHAMPS PARIS               
LIEU-DIT   CHAMPS PAROTTES            
LIEU-DIT   CHAMPS PIROULETS           
LIEU-DIT   CHAMPS RONDS               
LIEU-DIT   CHAMPS THOMAS              
LIEU-DIT   CHAMPS THOMAS ET AUX AUGES 
LIEU-DIT   CHAMPS VOLANS              
LIEU-DIT   AUX CHANDELOTTES           
LIEU-DIT   A LA CHANDOLE              
LIEU-DIT   SUR LA CHANDOLE            
LIEU-DIT   LE CHAPELOT                
LIEU-DIT   LE CHATELOT                
LIEU-DIT   AU CHAUCHEUX               
