20151101
26         DROME                         
           commune :     AIX-EN-DIOIS                   departement : DROME                         
LOT        LE GLANDASSE               
LOT        LE SOLAURE                 
LIEU-DIT   L ARGNER ET GRAND VIGNES   
LIEU-DIT   BARBALIERE                 
LIEU-DIT   BARY ET POUYET             
LIEU-DIT   LES BAUX                   
LIEU-DIT   BEZ                        
LIEU-DIT   LES BLACHES                
LIEU-DIT   BOISSILLON                 
LIEU-DIT   BRINSOLLES                 
LIEU-DIT   CHABERTES ET CRAPONNE      
LIEU-DIT   CHAMP PLATEAU              
LIEU-DIT   CHAUVIERE                  
LIEU-DIT   CHENAL                     
LIEU-DIT   LE COLLET                  
LIEU-DIT   LES DERBONS                
LIEU-DIT   EXPECES ET GRAND PRE       
LIEU-DIT   LA FAUCONNE                
LIEU-DIT   FREYDORIS                  
LIEU-DIT   LA GAFFE                   
LIEU-DIT   GARAT ET VERNAS            
LIEU-DIT   GODILLARDE                 
LIEU-DIT   L HUBAC                    
LIEU-DIT   JALAIS                     
LIEU-DIT   MEZUN                      
LIEU-DIT   MOMMAYE ET CHALERENS       
LIEU-DIT   LE MOULIN                  
LIEU-DIT   L OCHE                     
LIEU-DIT   PAS D AIX ET LA VIELLE     
LIEU-DIT   PEYROLS                    
LIEU-DIT   LA PLAINE ET COMBE OBSCURE 
LIEU-DIT   PLYAVON ET BOURELLET       
LIEU-DIT   PONT DE QUART              
LIEU-DIT   QUART                      
LIEU-DIT   LES RESERVES               
LIEU-DIT   ROC BELLE ET GAILLON       
LIEU-DIT   LES RYALLES                
LIEU-DIT   SALAURE                    
LIEU-DIT   LA SALLE                   
LIEU-DIT   SATAYAS                    
LIEU-DIT   SAUSSE ET CHAIX            
LIEU-DIT   SIBLAIRE                   
LIEU-DIT   TORTEL ET SAINT MARTIN     
LIEU-DIT   LES TOUCHES                
LIEU-DIT   TUILLIERES ET MAILLETTE    
LIEU-DIT   VAIRES ET AIGUILLIES       
LIEU-DIT   VERNAS ET ROUVIERES        
LIEU-DIT   VIALLAS                    
LIEU-DIT   VIALLETTE                  
LIEU-DIT   LES VIGNES                 
LIEU-DIT   LE VILLAGE                 
           commune :     ALBON                          departement : DROME                         
LOT        DOMAINE DE COMBE VIGNOL    
LOT        LE COTEAU                  
LOT        LE CLOS SERVAIS            
LOT        LES HAUTS DE ST ROMAIN     
LOT        LES HAUTS DE ST ROMAIN II  
LOT        QUARTEREE                  
LOT        LES ROSIERS                
LOT        TERRASSES DU BANCEL        
LIEU-DIT   ALBON                      
LIEU-DIT   L AULAGNAT                 
LIEU-DIT   LES BARRIS                 
LIEU-DIT   BERICHON                   
LIEU-DIT   LES BLACHES                
LIEU-DIT   BLACHETTE                  
LIEU-DIT   LA BLACHETTE               
LIEU-DIT   LES BLAINS                 
LIEU-DIT   BOIS COCU                  
LIEU-DIT   LES BOURBES                
LIEU-DIT   LES BOURGEONS              
LIEU-DIT   LES BUIS                   
LIEU-DIT   CHAMP BOUCHARD             
LIEU-DIT   CHAMP MUZET                
LIEU-DIT   CHANTE OLIVETTE            
LIEU-DIT   CHAPON                     
LIEU-DIT   CHATEAU MOREL              
LIEU-DIT   CHERINEL                   
LIEU-DIT   LES COMBES                 
LIEU-DIT   COTE ROUSSE                
LIEU-DIT   LES CREUX                  
LIEU-DIT   CREUX DE LA THINE          
LIEU-DIT   LE CREUX DE LA THINE       
LIEU-DIT   LES DRUGEONS               
LIEU-DIT   L EPINASSE                 
LIEU-DIT   L ESPINASSE                
LIEU-DIT   LES EYMARDS                
LIEU-DIT   FANFARAUD                  
LIEU-DIT   FIGUET                     
LIEU-DIT   FONT FARCIAT               
LIEU-DIT   FONT FLACHIER              
LIEU-DIT   FONT FREDE                 
LIEU-DIT   LES GILLARDES              
LIEU-DIT   LES GIRARDES               
LIEU-DIT   LE GRAND BOEUF             
LIEU-DIT   LE GRAND BOIS              
LIEU-DIT   LE GRAND CHAMP             
LIEU-DIT   GRAND CHAMP                
LIEU-DIT   LE GRAND CREUX             
LIEU-DIT   LE GRAND MOULIN            
LIEU-DIT   LES GRANDES VIGNES         
LIEU-DIT   LES GRAS                   
LIEU-DIT   LES IGONIERES              
LIEU-DIT   LUNNEL                     
LIEU-DIT   MARCOZ                     
LIEU-DIT   LES MARRONS                
LIEU-DIT   MARZELIERE                 
LIEU-DIT   LES MONTARGINIERES         
LIEU-DIT   MONTCHARD                  
LIEU-DIT   LE MOULINET                
LIEU-DIT   LES ORMES ET CHAMP DU SEIG 
LIEU-DIT   LES PERRETS                
LIEU-DIT   PETIT VERNET               
LIEU-DIT   LES PETITES GIRARDES       
LIEU-DIT   LES PETITES VIGNES         
LIEU-DIT   LES PICARDES               
LIEU-DIT   PIED FERAT                 
LIEU-DIT   LA PLAINE                  
LIEU-DIT   PONTEUX                    
LIEU-DIT   PRAT                       
LIEU-DIT   LES PRES NOUVEAUX          
LIEU-DIT   LES PUGNETS                
LIEU-DIT   QUARTEREE                  
LIEU-DIT   RIVAL                      
LIEU-DIT   LES ROSIERS                
LIEU-DIT   LES ROUTES                 
LIEU-DIT   SAINT MARTIN DES ROSIERS   
LIEU-DIT   SAINT PHILIBERT            
LIEU-DIT   SENAUD                     
LIEU-DIT   TANTARON                   
LIEU-DIT   LE TEMPLE                  
LIEU-DIT   TEMPLE ET QUARTEREE        
LIEU-DIT   LES TERREAUX               
LIEU-DIT   LA TOUR                    
LIEU-DIT   VERMENAS                   
LIEU-DIT   VERNET                     
LIEU-DIT   LE VERNET                  
LIEU-DIT   VERRINE                    
LIEU-DIT   VIGNOL                     
LIEU-DIT   VILLAGE DE ST ROMAIN D ALB 
LIEU-DIT   LA VITTONIERE              
LIEU-DIT   LE VIVIER                  
LIEU-DIT   AERODROME                  
LIEU-DIT   BEAUREGARD                 
LIEU-DIT   LA CHAMPAGNIERE            
LIEU-DIT   CHAMP DAVID                
LIEU-DIT   CROIZIEUX                  
LIEU-DIT   LAUTUFFET                  
LIEU-DIT   LE MAS                     
LIEU-DIT   LES TEMPLES                
LIEU-DIT   LES TROIS MAISONS          
LIEU-DIT   LES TILLEULS               
RUE        DE LA MADONE               
ALLEE      COMBE VIGNOL               
ALLEE      ANDRE REVOL                
ROUTE      D ANNEYRON                 
ROUTE      DE L ARGENTELLE            
RUE        DU BANCEL                  
ROUTE      DES BARRIS                 
ALLEE      BAYARD                     
RUE        LA BASCULE                 
PLACE      ESPACE BEAUREGARD          
ALLEE      BEAUREGARD                 
ROUTE      DE BEAUSEMBLANT            
ROUTE      DES BLACHES                
ALLEE      BERNARD                    
PLACE      BORGA (ST MARTIN)          
ROUTE      DES BOURGEONS              
ALLEE      DES BUIS                   
ROUTE      DES BUIS                   
ROUTE      DES CHAMPAGNIERES          
ROUTE      DU CHAMP MUZET             
PLACE      DU CIMETIERE (ST MARTIN)   
PLACE      PKG DU CIMETIERE ST ROMAIN 
ALLEE      CHEMIN JUS                 
ALLEE      CHERINEL                   
ROUTE      DES CRETES                 
ROUTE      DES CREUX                  
PLACE      DU CREUX DE LA THINE       
ROUTE      DES CROISIEUX              
RUE        DU DAUPHINE                
PLACE      DU DAUPHINE                
PLACE      DU 19 MARS 1962            
PLACE      DU 19 MARS 1962 ST ROMAIN  
PLACE      DES ECOLES (ST MARTIN)     
SQUARE     DES ECOLIERS               
CHEMIN     DES ECOLIERS               
PLACE      DE L EGLISE (ST MARTIN)    
PLACE      DE L EGLISE                
PARC       EPAONE                     
RUE        EPAONE                     
ROUTE      DE L ESPINASSE             
ROUTE      DES EYMARDS                
ROUTE      DE FAY LE CLOS             
ROUTE      DE FONT FLACHER            
ROUTE      DES FOUILLOUSES            
GR         GRANDE RUE                 
ROUTE      DU GRAND BOEUF             
RUE        FRANCO BORGA               
RUE        DES HAUTS DE SAINT ROMAIN  
CHEMIN     DES JARDINS                
RUE        DES JARDINS                
ALLEE      JULES VEDRINES             
ROUTE      DE LAUTUFET                
ALLEE      LE COURIOT                 
RUE        DE LA LYRE                 
RUE        DE LA MADONNE              
PLACE      DE LA MAIRIE (ST ROMAIN)   
PLACE      DU MAGNOLIA                
PLACE      DU MAGNOLIA (SAINT ROMAIN) 
ROUTE      DE MANTAILLE               
ROUTE      DE MARCOZ                  
ALLEE      DES MARRONS                
RUE        DU MAS                     
ROUTE      DU MAS                     
MTE        DU MONUMENT                
RUE        DU MOULIN                  
RUE        NATIONALE                  
ALLEE      DU PARC                    
RUE        DE PEPEIOUX                
ALLEE      DES PERRETS                
PLACE      ESPACE PIERRE MENDES-FRAN  
ALLEE      DES PICARDES               
ROUTE      DES PICARDES               
ROUTE      DE PIED FERAT              
ROUTE      DE LA PLAINE               
