20151101
28         EURE ET LOIR                  
           commune :     ABONDANT                       departement : EURE ET LOIR                  
LIEU-DIT   L ABIME                    
LIEU-DIT   ABONDANT                   
LIEU-DIT   LES AGEES                  
LIEU-DIT   LE BAS DE LA PIERRE        
LIEU-DIT   BELLE FOSSE                
LIEU-DIT   LA BOCAGERIE               
LIEU-DIT   LE BOIS PRIEUR             
LIEU-DIT   LE BOULEVARD               
LIEU-DIT   LE BOUT DE VILLE           
LIEU-DIT   LE BOUTOIN                 
LIEU-DIT   LA BRIQUETERIE             
LIEU-DIT   BRISSARD                   
LIEU-DIT   LE BUISSON SAVAIN          
LIEU-DIT   LES BULOTS                 
LIEU-DIT   LES BUTTES                 
LIEU-DIT   LA CAILLEBOTERIE           
LIEU-DIT   LA CASSERIE                
LIEU-DIT   CHAIGNES                   
LIEU-DIT   CHANTELOUP                 
LIEU-DIT   LE CHAPITRE                
LIEU-DIT   LE CHEM BEAULIEU           
LIEU-DIT   LES CLOS FLEURY            
LIEU-DIT   LE CLOS MAURY              
LIEU-DIT   LE COQ FLEURI              
LIEU-DIT   LA CORNE DE CERF           
LIEU-DIT   LA COTE BLANCHE            
LIEU-DIT   LES COTES DE FERMAINCOURT  
LIEU-DIT   LA CROIX DES VIGNES        
LIEU-DIT   LA CROIX ROUGE             
LIEU-DIT   LES DEZERTS                
LIEU-DIT   LA DUCHE                   
LIEU-DIT   L ECHALIER                 
LIEU-DIT   L EPINE                    
LIEU-DIT   LE FIEF                    
LIEU-DIT   LA FLOQUETERIE             
LIEU-DIT   LE FOND DES NOUES          
LIEU-DIT   LA FOSSE CORNET            
LIEU-DIT   LA FRESNAYE                
LIEU-DIT   FUTAIE DE FERMAINCOURT     
LIEU-DIT   LES GLANDS DE BON AVIS     
LIEU-DIT   LES GRAVIERS               
LIEU-DIT   LES GRES                   
LIEU-DIT   LES GUETTIERES             
LIEU-DIT   LA HALERIE                 
LIEU-DIT   LE HAUT DE BRISSARD        
LIEU-DIT   LE HAUT DE LA PIERRE       
LIEU-DIT   LE HAUT MALSEAULT          
LIEU-DIT   LA HAUTE BORNE             
LIEU-DIT   LES HAUTES PERCHES         
LIEU-DIT   LES HERETTES               
LIEU-DIT   LA HERPE                   
LIEU-DIT   LES HOGUETS                
LIEU-DIT   LES LANDES                 
LIEU-DIT   LESSART                    
LIEU-DIT   LES LOGES                  
LIEU-DIT   LES LONGUES RAIES          
LIEU-DIT   LES LOUVIERES              
