20151101
2A         CORSE SUD                     
           commune :     AFA                            departement : CORSE SUD                     
LOT        PETRA ROSSA                
LOT        LES AMANDIERS              
LOT        U FURELLU                  
LOT        LES COLLINES DE TROVA      
LOT        VIGNA PIANA                
LOT        MORETTI                    
LOT        MICHEL ANGE                
RESIDENCE  DES VIGNES                 
LOT        LE CLOS D'AFA              
LOT        CASA MARTINO               
LIEU-DIT   AFA                        
LIEU-DIT   L AJA ALLA GROTTA          
LIEU-DIT   ARUTICELLO                 
LIEU-DIT   BAS DE PIATA               
LIEU-DIT   BAS DE RENAJO              
LIEU-DIT   BATAGLIONE                 
LIEU-DIT   BOCCA AL FORNO             
LIEU-DIT   BOCCA ALLA GHIARELLA       
LIEU-DIT   BOCCA DI FRASCELLI         
LIEU-DIT   BONA CURSUCCIA             
LIEU-DIT   BRAJATOLA                  
LIEU-DIT   BRAMATOJA                  
LIEU-DIT   BRUCCIOLO                  
LIEU-DIT   BUTRONE                    
LIEU-DIT   CACCIARICCIA               
LIEU-DIT   CAGIO ROSTITO              
LIEU-DIT   CALANCONE                  
LIEU-DIT   CANICCIO                   
LIEU-DIT   CAPANNI                    
LIEU-DIT   CARDUSELLO                 
LIEU-DIT   CASA MARTINO               
LIEU-DIT   LA CASACCIA                
LIEU-DIT   CASACCIOLI                 
LIEU-DIT   CASTELLUCCIO               
LIEU-DIT   CAVONE                     
LIEU-DIT   CHIACALDO                  
LIEU-DIT   CHIAPARELLA                
LIEU-DIT   LA CHIOSELLA               
LIEU-DIT   CHIOSO COMMUNO             
LIEU-DIT   CIAMANELLA                 
LIEU-DIT   CORDICCHIOSO               
LIEU-DIT   COROCIOLE                  
LIEU-DIT   CUCCINAJO                  
LIEU-DIT   CUCO                       
LIEU-DIT   FAGLIARINI                 
LIEU-DIT   FARONE                     
LIEU-DIT   FAVALE                     
LIEU-DIT   LA FELASCA                 
LIEU-DIT   LA FELICAGGIA              
LIEU-DIT   FELICAGIO                  
LIEU-DIT   FICA BRUNA                 
LIEU-DIT   FINOCHICCIA                
LIEU-DIT   FIOLANGE                   
LIEU-DIT   FISSOLO                    
LIEU-DIT   FONTANONE                  
LIEU-DIT   FORCINA                    
LIEU-DIT   FORELLA                    
LIEU-DIT   FORNACCIA                  
LIEU-DIT   FORRACCIO                  
LIEU-DIT   FORRACCIO SOTTANO          
LIEU-DIT   FRASCELLI                  
LIEU-DIT   LA FUATA                   
LIEU-DIT   LA FUATA SOTANA            
LIEU-DIT   LA GHIARELLA               
LIEU-DIT   GHIERBA MORTA              
LIEU-DIT   GIUNCHICCIA                
LIEU-DIT   GRICCIAMAJO                
LIEU-DIT   GROTTA D AGNESA            
LIEU-DIT   GUALDO                     
LIEU-DIT   IGNERSA                    
LIEU-DIT   L INVARCIA                 
LIEU-DIT   LABUDE                     
LIEU-DIT   LAPENAJO                   
LIEU-DIT   LATTERAGGIA DELLA PENAJA   
LIEU-DIT   LEVIDELLO                  
LIEU-DIT   LISTINCHICCIA              
LIEU-DIT   LUPUSCIACCU                
LIEU-DIT   MACCINA                    
LIEU-DIT   LA MAJO                    
LIEU-DIT   MICHEL ANGE                
LIEU-DIT   MONTE NEBIO                
LIEU-DIT   MUMUCCI                    
LIEU-DIT   MURILICCIO                 
LIEU-DIT   MURONE                     
LIEU-DIT   LA MURTICCIA               
LIEU-DIT   OGLIASTRONE                
LIEU-DIT   PAJAMACCIO                 
LIEU-DIT   LA PARATA                  
LIEU-DIT   PASTRICCIALONE             
LIEU-DIT   PELAVE                     
LIEU-DIT   PERALUCCIO                 
LIEU-DIT   PERDI MARIANU              
LIEU-DIT   PERELLO                    
LIEU-DIT   PETRALBA                   
LIEU-DIT   PETRELLO                   
LIEU-DIT   PIETRA ROSSA               
