20151101
31         HAUTE GARONNE                 
           commune :     AGASSAC                        departement : HAUTE GARONNE                 
LIEU-DIT   AGRIMANS                   
LIEU-DIT   AUBIER                     
LIEU-DIT   AUSSAU                     
LIEU-DIT   BELLOC                     
LIEU-DIT   BEYNE                      
LIEU-DIT   BOIS DE BONSOM             
LIEU-DIT   BOIS DU HUILLOUTET         
LIEU-DIT   BONZOM                     
LIEU-DIT   BORDE NEUVE                
LIEU-DIT   BOUILLAC                   
LIEU-DIT   CAPERON                    
LIEU-DIT   COUMES                     
LIEU-DIT   COUSSEAUX                  
LIEU-DIT   EMBERNADET                 
LIEU-DIT   EMBROUSSET                 
LIEU-DIT   ENCERIDERE                 
LIEU-DIT   ENGLADE                    
LIEU-DIT   ENGLADE DE CAPERON         
LIEU-DIT   ENSALLES                   
LIEU-DIT   HAGET                      
LIEU-DIT   HOUNTEAU                   
LIEU-DIT   HUILLOUTET                 
LIEU-DIT   LABLAYE                    
LIEU-DIT   LANSAN                     
LIEU-DIT   LAPEYRE                    
LIEU-DIT   LARRIOUAU                  
LIEU-DIT   LASCLOUTERES               
LIEU-DIT   MARCOME                    
LIEU-DIT   MARGALIDE                  
LIEU-DIT   MARINE                     
LIEU-DIT   MAUBAREYT                  
LIEU-DIT   MERIGOS                    
LIEU-DIT   MICON                      
LIEU-DIT   MICON EST                  
LIEU-DIT   MOUSCARAN                  
LIEU-DIT   PAGUERES D ABACH           
LIEU-DIT   PARRAGASSES                
LIEU-DIT   POURICOT                   
LIEU-DIT   PRAIRIE DE LA GASSE        
LIEU-DIT   PREMIER QUARTIER DE LA RIV 
LIEU-DIT   PUGEAU                     
LIEU-DIT   LA RIVIERE                 
LIEU-DIT   ROUMEILLAN                 
LIEU-DIT   SAINT ADOUR                
LIEU-DIT   SAINT MARTIN               
LIEU-DIT   SAINTE CATHERINE           
LIEU-DIT   LE VILLAGE                 
VC         16 DE BEYNE                
CHEMIN     DES ACACIAS VC 13          
VC         10 DU BLAZY                
VC         6 DE BOUILLAC              
VC         7 D ENCERIDERE             
VC         4 D EMBERNADET             
VC         1 D EMBROUSSET             
VC         15 DE L ESPIAUT            
VC         8 DE LA GRANGE             
VC         9 DE LA HAILLE             
VC         19 DE LAGASSE              
VC         12 DE LAPEYRE              
VC         18 DE LARRIOUAU A AGASSAC  
VC         14 DE MAUBAREIT            
VC         3 DE MICON                 
VC         11 DE PERES                
VC         2 DE LA RIVIERE            
VC         20 DE SAINT-ADOURE         
VC         17 DE LA SERRE DE HAGET    
VC         5 DE GARENNE               
           commune :     AIGNES                         departement : HAUTE GARONNE                 
LIEU-DIT   ABEXEN DE COUPETIS         
LIEU-DIT   ABEXEN DES MONTEILLES      
LIEU-DIT   ABEXEN DES OULIEUX         
LIEU-DIT   ABEXENC DE CAUSSIDE        
LIEU-DIT   LES ABEXENS DE SIEURAGUEL  
LIEU-DIT   L AMBARASSE                
LIEU-DIT   AS AMILHATS                
LIEU-DIT   BARBADAOU                  
LIEU-DIT   BAREOU ET LE PEY           
LIEU-DIT   LE BAROU                   
LIEU-DIT   BARRAOU                    
LIEU-DIT   LA BARTASSE                
LIEU-DIT   BARTHAS                    
LIEU-DIT   LE BERGE ET LES CAZALS     
LIEU-DIT   BERNIERE                   
LIEU-DIT   BLAZOULIEU                 
LIEU-DIT   LES BOIS DE THOMAS         
LIEU-DIT   BORDENEUVE                 
LIEU-DIT   BORDENEUVE DE BARBADAOU    
LIEU-DIT   BOSC DES OULIEUX           
LIEU-DIT   LE BOURDIC                 
LIEU-DIT   BOURDIE DE BARTHAS         
LIEU-DIT   BOURIAC                    
LIEU-DIT   BOUSQUET                   
LIEU-DIT   BURRET                     
LIEU-DIT   CALMETTES                  
LIEU-DIT   CALVET                     
LIEU-DIT   CAUSSIDE                   
LIEU-DIT   LE CHATEAU ET BALAJOUNO    
LIEU-DIT   COMBOUIL                   
LIEU-DIT   CONTE                      
LIEU-DIT   CORNUS                     
