20151101
33         GIRONDE                       
           commune :     ABZAC                          departement : GIRONDE                       
RESIDENCE  CHAMP DES ARNAUDS          
LOT        CHAMP DES ARNAUDS          
LOT        DOM CHAMP DE FELLONNEAUX 1 
LOT        DOM CHAMP FELLONNEAUX II   
CITE       LES JAUGUILLES             
LOT        LA PLAINE DES SPORTS       
LIEU-DIT   LES ARNAUDS EST            
LIEU-DIT   LES ARNAUDS OUEST          
LIEU-DIT   BARDE DES ARNAUDS          
LIEU-DIT   LES BARDES                 
LIEU-DIT   BARDES DE ROCHEREAU        
LIEU-DIT   BARRAIL DE BAREAU          
LIEU-DIT   BARRAIL DE CARRON          
LIEU-DIT   BARRAIL DE COUSI           
LIEU-DIT   BARRAIL DE GODERVILLE      
LIEU-DIT   BARRAIL DE NADAU           
LIEU-DIT   BARRAILLOT                 
LIEU-DIT   BARRAUD                    
LIEU-DIT   BARY DE BOTHEREAU          
LIEU-DIT   BARY DE SORILLON           
LIEU-DIT   BAS DES BOIS               
LIEU-DIT   EN BAS DES VIGNES          
LIEU-DIT   BAS DU PETIT PIRON         
LIEU-DIT   BASSES CABANES             
LIEU-DIT   BASSES LANDES              
LIEU-DIT   BEAULIEU                   
LIEU-DIT   BEL AIR                    
LIEU-DIT   LA BELLEJOIE               
LIEU-DIT   BERGEON                    
LIEU-DIT   AU BLEZOT                  
LIEU-DIT   BOIS DE BOTHEREAU          
LIEU-DIT   BOIS DE CHEREY             
LIEU-DIT   BOIS DE PIRON              
LIEU-DIT   BOIS DE TRIPOTEAU          
LIEU-DIT   BOIS DES COUX              
LIEU-DIT   BOIS DU CHERPE             
LIEU-DIT   BOIS DU MOULIN             
LIEU-DIT   BOIS DU PETREAU            
LIEU-DIT   AUX BONNES                 
LIEU-DIT   BOTHEREAU                  
LIEU-DIT   LA BOULLIEE                
LIEU-DIT   LE BOURG                   
LIEU-DIT   AU BREUILLET EST           
LIEU-DIT   AU BREUILLET OUEST         
LIEU-DIT   LES CHAGNERASSES           
LIEU-DIT   AU CHAILLOT                
LIEU-DIT   CHAMP DE BAS               
LIEU-DIT   CHAMP DE GELY              
LIEU-DIT   CHAMP DE HAUT              
LIEU-DIT   CHAMP DE PENOT             
LIEU-DIT   CHAMP DE ROCHEREAU         
LIEU-DIT   CHAMP DE TICOT             
LIEU-DIT   CHAMP DES ARDOINS          
LIEU-DIT   CHAMP DES ARDOUINS         
LIEU-DIT   CHAMP DES ARNAUDS          
LIEU-DIT   CHAMP DES CHAILLES         
LIEU-DIT   CHAMP DES FELLONNEAUX      
LIEU-DIT   CHAMP DES HILLAIRES        
LIEU-DIT   CHAMP DU FOURQUET          
LIEU-DIT   CHAMPS DE BOTHEREAU        
LIEU-DIT   LES CHAPELLES              
LIEU-DIT   CHATEAU D ABZAC            
LIEU-DIT   LE CHEMINOT                
LIEU-DIT   CHIENDENT                  
LIEU-DIT   LA COMMUNAUTE              
LIEU-DIT   LE CORMIER                 
LIEU-DIT   LA CORNIERE                
LIEU-DIT   LA COUDREY                 
LIEU-DIT   AU COURNEAU EST            
LIEU-DIT   AU COURNEAU OUEST          
LIEU-DIT   LES DEUX CHENES            
LIEU-DIT   LA DUBOISE                 
LIEU-DIT   ENTRE LES DEUX PALAIS      
LIEU-DIT   L EPINETTE                 
LIEU-DIT   FELLONNEAUX                
LIEU-DIT   AU FONDREAU EST            
LIEU-DIT   AU FONDREAU OUEST          
LIEU-DIT   FONTARABIE                 
LIEU-DIT   A FONTENELLE               
LIEU-DIT   A LA FOSSE                 
LIEU-DIT   LE FOURQUET                
LIEU-DIT   LA GARENE                  
LIEU-DIT   LES GARGUENASSES           
LIEU-DIT   AU GAT                     
LIEU-DIT   LES GOURMES                
LIEU-DIT   GRAND BOIS                 
LIEU-DIT   GRAND CHAMP DE SORILLON    
