20151101
37         INDRE ET LOIRE                
           commune :     ABILLY                         departement : INDRE ET LOIRE                
LIEU-DIT   ANCIEN COUVENT DE RIVES    
LIEU-DIT   L ARTIVERIE                
LIEU-DIT   LES BARREAUX               
LIEU-DIT   LE BAS BESSE               
LIEU-DIT   LE BAS RIBAULT             
LIEU-DIT   LA BASSE BERGE             
LIEU-DIT   LA BASSE DAVIERE           
LIEU-DIT   BEAUREGARD                 
LIEU-DIT   BEL ETAT                   
LIEU-DIT   LE BEL-AIR                 
LIEU-DIT   LA BELLE VUE               
LIEU-DIT   LE BERGEOT                 
LIEU-DIT   BERGERESSE                 
LIEU-DIT   BESSE                      
LIEU-DIT   LE BOIS DU BOUCHET         
LIEU-DIT   LE BOIS LAMILLET           
LIEU-DIT   LE BOIS MESLIN             
LIEU-DIT   LE BOIS VIOLET             
LIEU-DIT   LA BONNETIERE              
LIEU-DIT   SUR LA BORNE               
LIEU-DIT   LE BOUCHET                 
LIEU-DIT   LES BOURDIGNONS            
LIEU-DIT   LE BOURG                   
LIEU-DIT   LES BOURNAIS               
LIEU-DIT   LES BOURNAIS DE LA BONNETI 
LIEU-DIT   BOURNAIS DE LA CATAUDIERE  
LIEU-DIT   LES BOURNAIS DE LA COTINIE 
LIEU-DIT   LA BROSSE                  
LIEU-DIT   LES BROSSES                
LIEU-DIT   LES BRULES                 
LIEU-DIT   LA BRUNELIERE              
LIEU-DIT   SUR LES BRUYERES           
LIEU-DIT   BRUYERES DE L ARTIVERIE    
LIEU-DIT   BRUYERES DES VERONS        
LIEU-DIT   BRUYERES DU CARROI GILLET  
LIEU-DIT   LA CATAUDIERE              
LIEU-DIT   CHANTE GROLLE              
LIEU-DIT   LA CHARBONNERIE            
LIEU-DIT   LES CHASSEPINS             
LIEU-DIT   CHATEAU DU BOIS D AIX      
LIEU-DIT   CHATEAU FROMAGE            
LIEU-DIT   LA CHATIERE                
LIEU-DIT   SUR LA CHAUME              
LIEU-DIT   LES CHAUMES DE BESSE       
LIEU-DIT   CHISAY                     
LIEU-DIT   LA CHOLERIE                
LIEU-DIT   LA CLAISIERE               
LIEU-DIT   LE CLOS DE L ECU           
LIEU-DIT   LES COMMUNAUX              
LIEU-DIT   LA COTINIERE               
LIEU-DIT   LA COURANCE DE TROP LARD   
LIEU-DIT   LA COUSSAIE                
LIEU-DIT   LA CROIX MIRAULT           
LIEU-DIT   LES CRUCHATS               
LIEU-DIT   CUFFOU                     
LIEU-DIT   LE DESSUS DE LA SAULAIE    
LIEU-DIT   LE DESSUS DE LA VILLE PLAT 
LIEU-DIT   LES DUBOIS                 
LIEU-DIT   L ECLUSE                   
LIEU-DIT   LES ESSARTS                
LIEU-DIT   LES FONDERIES              
LIEU-DIT   LES FONDS                  
LIEU-DIT   LES FONTAINES              
LIEU-DIT   FONTENAILLE                
LIEU-DIT   LES FORGES                 
LIEU-DIT   LA FOSSE VERTE             
LIEU-DIT   LES FOULONS                
