20151101
40         LANDES                        
           commune :     AIRE-SUR-L ADOUR               departement : LANDES                        
CITE       DE L AIRIAL                
LOT        BELLEVUE                   
LOT        BIROY                      
CITE       CAMPOT                     
RESIDENCE  CHANTEMERLE                
LOT        DE LA COMETE               
LOT        DUPOURQUE                  
           RCE HLM                    
RESIDENCE  DES ETANGS                 
HLM        LA GARE                    
LOT        LE GRAND PRE               
RESIDENCE  GUILLON 1                  
RESIDENCE  GUILLON 2                  
RESIDENCE  MIRADOUR                   
ZAC        DE PEYRAN                  
ZAC        DE PEYRES                  
HLM        LA PLAINE                  
RESIDENCE  POLOGNE                    
LOT        PORTE                      
LOT        PUCHIEU                    
LOT        PRENTIGARDE                
CITE       SIRGUES                    
LIEU-DIT   AERODROME                  
LIEU-DIT   LES ARRATS                 
LIEU-DIT   LES ARRIBAOUTS             
LIEU-DIT   ARRIGABAT                  
LIEU-DIT   L ASOUAT                   
LIEU-DIT   AUGUSTIN                   
LIEU-DIT   BACHEY                     
LIEU-DIT   LE BAGAN                   
LIEU-DIT   BALOUS                     
LIEU-DIT   BARON                      
LIEU-DIT   BARTOTS                    
LIEU-DIT   BAS DE BUREOU              
LIEU-DIT   BAZES                      
LIEU-DIT   BEGORRE                    
LIEU-DIT   BEOU L AYGUE               
LIEU-DIT   BEOU LAIGUE                
LIEU-DIT   BERGERON                   
LIEU-DIT   BERTRAN                    
LIEU-DIT   BIAOU                      
LIEU-DIT   BITOUN                     
LIEU-DIT   LA BOHEME                  
LIEU-DIT   BOUE                       
LIEU-DIT   BOUHAT                     
LIEU-DIT   BOURDA                     
LIEU-DIT   BRECAT                     
LIEU-DIT   BUREOU                     
LIEU-DIT   CABE                       
LIEU-DIT   CADROUY                    
LIEU-DIT   CAMPAS                     
LIEU-DIT   AUX CANTAOUS               
LIEU-DIT   CANTE COUCUT               
LIEU-DIT   CANTEGRIT                  
LIEU-DIT   CAP DE LA COSTE            
LIEU-DIT   CAPIT                      
LIEU-DIT   CAPITE                     
LIEU-DIT   CAPON DE BAS               
LIEU-DIT   CAPON DE HAUT              
LIEU-DIT   LES CAPOTS                 
LIEU-DIT   CASTANDET DE BAS           
LIEU-DIT   CASTANDET DE HAUT          
LIEU-DIT   CASTERA                    
LIEU-DIT   CAUPENNE                   
LIEU-DIT   CAZAMOUN                   
LIEU-DIT   CAZEAUMARTIN               
LIEU-DIT   CHAMPAGNE                  
LIEU-DIT   LE CHATEAU                 
LIEU-DIT   CHICAS                     
LIEU-DIT   CIMETIERE                  
LIEU-DIT   CLAVERIE                   
LIEU-DIT   CAMPAYRET                  
LIEU-DIT   COMPERE                    
LIEU-DIT   CONJOLI                    
LIEU-DIT   COTE DE JABALOT            
LIEU-DIT   COULAOU                    
LIEU-DIT   COURNET                    
LIEU-DIT   CRABOT                     
LIEU-DIT   DANDO                      
LIEU-DIT   DESPAGNET                  
LIEU-DIT   LA DIGUE DE BARCELONNE     
LIEU-DIT   L ESPAGNON                 
LIEU-DIT   FAOU                       
LIEU-DIT   FERRANDE DE BAS            
LIEU-DIT   FERRANDE DE HAUT           
LIEU-DIT   GACHIE                     
LIEU-DIT   GACHIE DE BAS              
LIEU-DIT   GAGNEPAN                   
LIEU-DIT   GAHON                      
LIEU-DIT   GAMARD                     
LIEU-DIT   LA GARE                    
LIEU-DIT   GRAND BAGET                
LIEU-DIT   GRAND BOIS                 
LIEU-DIT   LE GRAND SEMINAIRE         
LIEU-DIT   GRAPILLE                   
LIEU-DIT   GROS JEAN                  
LIEU-DIT   GUILLON                    
LIEU-DIT   LE HA                      
LIEU-DIT   LE HAGET                   
LIEU-DIT   L HENRI                    
LIEU-DIT   HOUNS DE LA LANNE          
LIEU-DIT   HOUNS DE POURROUTE         
LIEU-DIT   JABALOT                    
LIEU-DIT   LA JANINE                  
LIEU-DIT   JANOUET                    
LIEU-DIT   JAUNET                     
LIEU-DIT   JIRON                      
LIEU-DIT   LABOURDETTE                
LIEU-DIT   LACLABERE NORD             
LIEU-DIT   LACLABERE SUD              
LIEU-DIT   LAFFITAU                   
LIEU-DIT   LAGRAVE                    
LIEU-DIT   LAMARQUE                   
LIEU-DIT   LAMIGUE                    
LIEU-DIT   LANDES DE DURAND           
LIEU-DIT   LANDES DE GLINDON          
LIEU-DIT   LANDES DE MARTINON         
LIEU-DIT   LANDES DE MONETON          
LIEU-DIT   LANDES DE PETIT BAGET      
LIEU-DIT   LANDES DE SUBEHARGUES      
LIEU-DIT   LANDES DU BAGAN            
LIEU-DIT   LANDES DU HAGET            
LIEU-DIT   LANDES DU MAS              
LIEU-DIT   LANDES DU PIN              
LIEU-DIT   LAOUILLE                   
LIEU-DIT   LAPERSONNE                 
LIEU-DIT   LARIOU                     
LIEU-DIT   LARQUERAT NORD             
LIEU-DIT   LARQUERAT SUD              
LIEU-DIT   LARRIBERE                  
LIEU-DIT   LARRIVIERE                 
LIEU-DIT   LASSARADE                  
LIEU-DIT   LATAPPY                    
LIEU-DIT   LATYRE                     
LIEU-DIT   LAUSELA                    
LIEU-DIT   LESTAGE                    
LIEU-DIT   LA LIBERTE                 
LIEU-DIT   LOURINE                    
LIEU-DIT   LOUS PEBETS                
LIEU-DIT   MANADE                     
LIEU-DIT   MANCHOT                    
LIEU-DIT   MAOURIS                    
