20151101
46         LOT                           
           commune :     ALBAS                          departement : LOT                           
LIEU-DIT   AL CARRAL                  
LIEU-DIT   LES ALBENQUATS             
LIEU-DIT   BALAT DE ROUX              
LIEU-DIT   LES BALATS                 
LIEU-DIT   LES BARTHES                
LIEU-DIT   LES BARTHES NORD           
LIEU-DIT   BOIS D'ANGLARS             
LIEU-DIT   LA BORIO DEL PASTRE        
LIEU-DIT   BOS DEL PECH               
LIEU-DIT   BOUET                      
LIEU-DIT   BOUYEROU                   
LIEU-DIT   LA BOUYSSETTE              
LIEU-DIT   BOUYSSET                   
LIEU-DIT   LE BREL                    
LIEU-DIT   CAMBOU                     
LIEU-DIT   CAMELOT                    
LIEU-DIT   LES CAMININQUES            
LIEU-DIT   CAMP DE GAILLARD           
LIEU-DIT   LES CAMPS GRANDS           
LIEU-DIT   CANTAREL                   
LIEU-DIT   CANTO L'ASE                
LIEU-DIT   CARCAVI                    
LIEU-DIT   CARROS                     
LIEU-DIT   LES CAUSSINES              
LIEU-DIT   CAYRAC                     
LIEU-DIT   CAYRAC EST                 
LIEU-DIT   LE CAYROU                  
LIEU-DIT   CENAC                      
LIEU-DIT   CIRCOFOUL                  
LIEU-DIT   CIRET                      
LIEU-DIT   LA CITADELLE               
LIEU-DIT   CLOS DE LORDY              
LIEU-DIT   COMBE OLIERE               
LIEU-DIT   COMBE CAVE                 
LIEU-DIT   COMBE DE CRAYSSAC          
LIEU-DIT   COMBE DE LAFON             
LIEU-DIT   COMBE DE PAYROL NORD       
LIEU-DIT   COMBE DE PAYROL SUD        
LIEU-DIT   COMBE DE SAUT              
LIEU-DIT   COMBE DU MOULIN            
LIEU-DIT   COMBE LUNEL                
LIEU-DIT   COMBE NEGRE                
LIEU-DIT   COMBEL DE BRUGAL           
LIEU-DIT   COTEAU DE BOUYSSET         
LIEU-DIT   COTES ROUGES               
LIEU-DIT   LES COURPOUX               
LIEU-DIT   CRESPIAT                   
LIEU-DIT   DANFEGELE                  
