20151101
47         LOT ET GARONNE                
           commune :     AGEN                           departement : LOT ET GARONNE                
CITE       BARLETE                    
CITE       COURPIAN                   
CITE       LA FONTAINE                
ZAC        DE LA GOULFIE              
CITE       NOUET                      
CITE       RODRIGUES                  
LIEU-DIT   AL ROC                     
LIEU-DIT   AUTOMNE BORDENEUVE         
LIEU-DIT   IMPASSE PAUL VALERY        
LIEU-DIT   BAGATELLE                  
LIEU-DIT   BARLETE SUD                
LIEU-DIT   BAYON                      
LIEU-DIT   BELLEVUE                   
LIEU-DIT   BELLILE                    
LIEU-DIT   BORDENEUVE OUEST           
LIEU-DIT   BUARD                      
LIEU-DIT   CARMES                     
LIEU-DIT   CARTOU                     
LIEU-DIT   CAZEMAJOU                  
LIEU-DIT   CHABAUD                    
LIEU-DIT   LE CIMETIERE               
LIEU-DIT   COMBE MINGUE               
LIEU-DIT   COTE DE GREZEL             
LIEU-DIT   COUECHE                    
LIEU-DIT   COUECHE SUD                
LIEU-DIT   COURPIAN                   
LIEU-DIT   CROMPE                     
LIEU-DIT   DEMI LUNE NORD             
LIEU-DIT   DEMI LUNE SUD              
LIEU-DIT   DEMI LUNE OUEST            
LIEU-DIT   DESCRIMES                  
LIEU-DIT   AUX DEUX ROCHES NOIRES     
LIEU-DIT   LES DEUX ROCS              
LIEU-DIT   DONNEFORT                  
LIEU-DIT   EST DE BEZIS               
LIEU-DIT   FORGUES                    
LIEU-DIT   FRESCATIS                  
LIEU-DIT   GAILLARD                   
LIEU-DIT   GASPARD                    
LIEU-DIT   GENEVOIS                   
LIEU-DIT   GIMBREDE                   
LIEU-DIT   LA GOUFFIO                 
LIEU-DIT   LA GRAVERE                 
LIEU-DIT   GRAVISSAT                  
LIEU-DIT   GRENIER                    
LIEU-DIT   JAMES                      
LIEU-DIT   LAC                        
LIEU-DIT   LACAPELETTE                
LIEU-DIT   LAFONTAINE LAFAGE          
LIEU-DIT   LAFORGUE ET SAINT ANNE     
LIEU-DIT   LAGRAVE                    
LIEU-DIT   LAGRAVETTE                 
LIEU-DIT   LALANDE                    
LIEU-DIT   LANNES                     
LIEU-DIT   LAPORTERIE                 
LIEU-DIT   LASSORD                    
LIEU-DIT   LATAPIE                    
LIEU-DIT   LESPINASSE                 
LIEU-DIT   LILLE                      
LIEU-DIT   LUBET                      
LIEU-DIT   MAMENE                     
LIEU-DIT   MANDIBERON                 
LIEU-DIT   A MONPLAISIR               
LIEU-DIT   MONTANDU                   
LIEU-DIT   MOULIN DE LA SALEVE        
LIEU-DIT   PASSELAYGUE                
LIEU-DIT   PAYOU                      
LIEU-DIT   PELATIER                   
LIEU-DIT   PEYRAC                     
LIEU-DIT   PEYRAC SUD                 
LIEU-DIT   PLAINE DES DEUX ROCS       
LIEU-DIT   LA PALME                   
LIEU-DIT   PRAIRIE DU PONT CANAL      
LIEU-DIT   PROUCHET                   
LIEU-DIT   QUINAUT                    
LIEU-DIT   RIAC                       
LIEU-DIT   RIOLS                      
LIEU-DIT   RIVIERE                    
LIEU-DIT   ROCHER DE SAINT ESPRIT     
LIEU-DIT   ROUQUET                    
LIEU-DIT   SABROUS                    
LIEU-DIT   SAINT ESPRIT               
LIEU-DIT   SEYNET                     
LIEU-DIT   SOUS BAGATELLE             
LIEU-DIT   TAFFETAS                   
LIEU-DIT   TAPIE                      
LIEU-DIT   TIBET                      
LIEU-DIT   TOURTERAS BAS              
LIEU-DIT   TOURTERAS HAUT             
LIEU-DIT   TRINQUE                    
LIEU-DIT   LA VILLE                   
LIEU-DIT   BARLETE                    
LIEU-DIT   BEZIS                      
LIEU-DIT   LE CALVAIRE                
LIEU-DIT   CAMPAGNAC                  
LIEU-DIT   CAMP DE LACOSTE            
LIEU-DIT   CAMP DE LACOSTE SUD        
LIEU-DIT   CATALA                     
LIEU-DIT   COURBERIEU                 
LIEU-DIT   L ERMITAGE                 
LIEU-DIT   FIARIS                     
LIEU-DIT   AU GAZ                     
LIEU-DIT   JOURDAIN                   
LIEU-DIT   MALCONTE                   
LIEU-DIT   MONDESIR                   
LIEU-DIT   MONPLAISIR                 
LIEU-DIT   MONTAUBAN                  
LIEU-DIT   PONT DE GAILLARD           
LIEU-DIT   PONT DE LAGARDE            
LIEU-DIT   PULET                      
LIEU-DIT   MARCHE GARE                
LIEU-DIT   AUTOMNE SUD                
LIEU-DIT   PAYOU                      
ALLEE      DU PARC CHABAUD            
RUE        DE L ABREUVOIR             
RUE        ALBERT CAMUS               
RUE        D ALBRET                   
RUE        D ALEMBERT                 
IMPASSE    ALEXANDER FLEMING          
RUE        ALEXANDER FLEMING          
IMPASSE    ALEXANDRE DUMAS            
RUE        ALEXIS PAIN                
RUE        ALFRED DE MUSSET           
IMPASSE    ALFRED DE VIGNY            
RUE        ALFRED DE VIGNY            
RUE        ALPHONSE DAUDET            
RUE        ALSACE LORRAINE            
RUE        DES AMBANS                 
RUE        D AMOUR                    
RUE        ANATOLE FRANCE             
RUE        ANDRE BOILLOT              
RUE        ANDRE CHENIER              
IMPASSE    ANDRE DE BELLECOMBE        
RUE        ANDRE MAZEAU               
RUE        DE L ANGLE DROIT           
RUE        ANTOINE CALBET             
RUE        ANTOINE DELBES             
RUE        ANTOINE FERREIN            
RUE        ANTOINE DE ST EXUPERY      
RUE        DE L ARGENTERIE            
RUE        ARISTIDE BRIAND            
RUE        D ARMAGNAC                 
PLACE      ARMAND FALLIERES           
RUE        ARTHUR RIMBAUD             
AVENUE     DE L ATLANTIQUE            
RUE        AUGUSTE GUE                
RUE        DES AUGUSTINS              
RUE        DES AUTAS                  
RUE        D AUTOMNE                  
IMPASSE    DES AYGADOUS               
RUE        BAJON                      
RUE        BANDELLO                   
IMPASSE    BARANEL                    
