20151101
52         HAUTE MARNE                   
           commune :     AGEVILLE                       departement : HAUTE MARNE                   
           LE MOULIN                  
LIEU-DIT   BAS DES CHARMES            
LIEU-DIT   BOIS DE LA CARRIERE        
LIEU-DIT   CHAMP LE MAI               
LIEU-DIT   CHAMP LE ROUGE             
LIEU-DIT   CHAMP MASSEY               
LIEU-DIT   CHAMPS DE LA CLAYE         
LIEU-DIT   CHAMPS DE LA ROINE         
LIEU-DIT   SUR LE CHATELET            
LIEU-DIT   LE CHEMIN DE NOGENT        
LIEU-DIT   LES COIRES                 
LIEU-DIT   COMBE BRENEL               
LIEU-DIT   COMBE RENARD               
LIEU-DIT   LES CONCHES                
LIEU-DIT   COTEAU DES VETHIAIS        
LIEU-DIT   COTEAU DU BRUT             
LIEU-DIT   LE COTEAU DU SEUYON        
LIEU-DIT   LE COTEAU RICHARD          
LIEU-DIT   CROIX THIEBAULT            
LIEU-DIT   DERR LE BOIS DE LA CARRIER 
LIEU-DIT   DERRIERE LA HAIE AUX LOUPS 
LIEU-DIT   DEVANT LE BOIS DES MOTTES  
LIEU-DIT   ENTREE DE LA GRANDE COMBE  
LIEU-DIT   FORET D AGEVILLE           
LIEU-DIT   LE GRAND FRETIN            
LIEU-DIT   LES GRANDS CHAMPS          
LIEU-DIT   LE HAUT SENTIER            
LIEU-DIT   LES LACHERES               
LIEU-DIT   LE MARIENCOURT             
LIEU-DIT   PENDANTS DE L AULNOY       
LIEU-DIT   LES POMMERETS              
LIEU-DIT   PRE L EPINE                
LIEU-DIT   LES ROCHES DU BRUT         
LIEU-DIT   LES VETHIAIS               
LIEU-DIT   LA VIGNE PRIX              
LIEU-DIT   LE VILLAGE                 
LIEU-DIT   LA VOYELLE                 
LIEU-DIT   CHAMP LA CLAYE             
LIEU-DIT   LA CROIX THIEBAUT          
LIEU-DIT   SUR LE FEVRY               
RUE        DE L ABREUVOIR             
ALLEE      DE L AULNOY                
RUE        DE L AVENIR                
RUE        DES CHEVAUX                
CHEMIN     DIT DE CEINTURE            
RUE        D ESNOUVEAUX               
ALLEE      DES FOURCHATS              
RUE        GAULERE                    
ALLEE      DE LA GENEVROYE            
GR         GRANDE RUE                 
ALLEE      DU HAUT SENTIER            
RUE        DU MOULIN                  
ROUTE      DE NOGENT                  
RUE        DE LA PAIX                 
RUE        DU PIERGE                  
ALLEE      DU STADE                   
RUE        DU TILLEUL                 
RUE        DE VERDUN                  
RUE        DES VERGERS                
CHEMIN     DU VETHIAIS                
RUE        DE LA VIGNE PRIX           
IMPASSE    DES VIOLETTES              
           commune :     AIGREMONT                      departement : HAUTE MARNE                   
LIEU-DIT   LES AMONIERES              
LIEU-DIT   LES BARRES                 
LIEU-DIT   SUR LES BARRES             
LIEU-DIT   BAS DE LA FONTAINE AU MACO 
LIEU-DIT   BAS DES COTES              
LIEU-DIT   BAS DU COTE VOUERION       
LIEU-DIT   BOCAFROMY                  
LIEU-DIT   SUR LE BOIS D ARNONCOURT   
LIEU-DIT   BOIS DE LA FRENEE          
LIEU-DIT   LES BOMBARDES              
LIEU-DIT   LE BRISSECOT               
LIEU-DIT   SUR LE BRISSECOT           
LIEU-DIT   CHAMP DIOT                 
LIEU-DIT   CHAMP DU PETIT PATIS       
LIEU-DIT   CHAMP RACHET               
LIEU-DIT   CHAMP ROUGE                
LIEU-DIT   CORVEE DU GUEUX            
LIEU-DIT   COTE VOUERION              
LIEU-DIT   ENTRE DEUX NOUES           
LIEU-DIT   FANTOME                    
LIEU-DIT   FOND DU BRISSECOT          
LIEU-DIT   SUR LA FONTAINE AU MACON   
LIEU-DIT   FOSSE HENRY                
LIEU-DIT   LA FRENEE                  
LIEU-DIT   LE GRAND POIRIER           
LIEU-DIT   LES GRANDS BATES           
LIEU-DIT   LES GRANDS JARDINS         
