20151101
55         MEUSE                         
           commune :     ABAINVILLE                     departement : MEUSE                         
LIEU-DIT   ABOUTISSANT SUR LE CHEMIN  
LIEU-DIT   AU BEC DE CANNE            
LIEU-DIT   BIENNEMONT                 
LIEU-DIT   EN BONNERU                 
LIEU-DIT   LE BOTTOU                  
LIEU-DIT   BOUDAPRE                   
LIEU-DIT   AU BREUIL                  
LIEU-DIT   BREUIL                     
LIEU-DIT   BUZEMONT                   
LIEU-DIT   AUX CAURES                 
LIEU-DIT   LE CHATEAU                 
LIEU-DIT   CHAUDEVA                   
LIEU-DIT   SUR LES CHEMINS            
LIEU-DIT   SUR LA COTE COUBO          
LIEU-DIT   AU COTEAU DU BIEZ          
LIEU-DIT   A LA COULEUVRE             
LIEU-DIT   LA COURBE                  
LIEU-DIT   LES CROUILLERES            
LIEU-DIT   DERRIERE LE GRAND JARDIN   
LIEU-DIT   AU DESSUS DE LA PLATE TACH 
LIEU-DIT   ENTREE DE BIENNEMONT       
LIEU-DIT   A LA FONTAINE DES PORCS    
LIEU-DIT   LES FOURCHES               
LIEU-DIT   AU GRANIT                  
LIEU-DIT   LA GRIFFE                  
LIEU-DIT   LA HARNIERE                
LIEU-DIT   LE HAUT D AVOINE           
LIEU-DIT   A L ILE THENOT             
LIEU-DIT   AUX ILES                   
LIEU-DIT   AUX MASCHERES              
LIEU-DIT   MENERAY                    
LIEU-DIT   LE MOULIN                  
LIEU-DIT   LES PAQUIS                 
LIEU-DIT   LES PEUX                   
LIEU-DIT   LA PLATE TACHE             
LIEU-DIT   A LA POTENCE               
LIEU-DIT   PRE LE PRINCE              
LIEU-DIT   PRES DES VAUX              
LIEU-DIT   AUX QUATRE FONTAINES       
LIEU-DIT   AU RACHOU                  
LIEU-DIT   A LA RIGOLE                
LIEU-DIT   VALLEE DU VAUX HATON       
LIEU-DIT   LE VAUX HATON              
LIEU-DIT   LE VILLAGE                 
LIEU-DIT   VILLIER                    
LIEU-DIT   VOIE CAROSSE               
LIEU-DIT   LA VOIE DE MAXEY           
LIEU-DIT   LA VOIE SARSINE            
LIEU-DIT   LES CORVEES                
LIEU-DIT   A LA VIEILLE FORGE         
LIEU-DIT   AU GROZELIER               
LIEU-DIT   AU VIEUX MOULIN            
LIEU-DIT   LE COTE COUBO              
LIEU-DIT   BUVA                       
LIEU-DIT   HALMONT                    
LIEU-DIT   AU GEAY                    
LIEU-DIT   AU MOUSQUETON              
LIEU-DIT   LE VILLAGE SUD             
LIEU-DIT   LA CORVEE HENRY SUD        
VC         4 D ABAINVILLE A BONNET    
VC         14 D ABAINVILLE A LA FORGE 
ROUTE      ROUTE DE BAR               
RUE        DU CHENE                   
CHEMIN     DES CORVEES                
RUE        DE LA DIME                 
GR         GRANDE RUE                 
CHEMIN     DU GRANIT                  
RUE        DU MOULIN                  
CRS        DE LA MULEAU               
RUE        DU PERCHE                  
IMPASSE    DE LA POSTE                
RUE        SAINT MARTIN               
CD         10 DE SORCY A GAND         
RUE        DU BREUIL                  
IMPASSE    DU CHATEAU                 
RUE        DU CIMETIERE               
CHEMIN     RURAL DES AVOIES           
