20151101
59         NORD                          
           commune :     AIX                            departement : NORD                          
LIEU-DIT   BAS HAMEAU                 
LIEU-DIT   COUTURE DU MARAIS          
LIEU-DIT   DERRIERE VILLECASSEAU      
LIEU-DIT   LES DEUX PLATS             
LIEU-DIT   LE DIEU GIBLOT             
LIEU-DIT   LE FLAGONIER               
LIEU-DIT   HALOT MARIONGRAT           
LIEU-DIT   HAUT HAMEAU                
LIEU-DIT   MALGRE TOUT                
LIEU-DIT   MOULIN DU MARAIS           
LIEU-DIT   LES PINOIS                 
LIEU-DIT   PLAT FOSSE                 
LIEU-DIT   PONT DE PLANART            
LIEU-DIT   LE PRE DOFIN               
LIEU-DIT   PRE SAINT MARTIN           
LIEU-DIT   RUE DE PRONEL              
LIEU-DIT   LA SABLONNIERE             
LIEU-DIT   VERDONPRE                  
LIEU-DIT   VERTE RUE                  
LIEU-DIT   LE VILLAGE                 
LIEU-DIT   VILLECASSEAU               
RUE        DE BOHAIN                  
RUE        DE L EGLISE                
RUE        DE L ENFER                 
RUE        GASTON VERITE              
RUE        DU GENERAL DE GAULLE       
RUE        DU GENERAL KOENIG          
RUE        DU MALGRE TOUT             
RUE        DU MARAIS                  
RUE        DU MARECHAL LECLERCQ       
RUE        DU GENERAL KOENING         
RUE        DE MALGRE TOUT             
RUE        DU MARAIS                  
           RTE NATIONALE              
RUE        DE L OBEAU                 
RUE        D ORCHIES                  
RUE        PAUL ALLEGOT               
           GRAND PLACE                
CHEMIN     DES PRAIRIES               
RUE        SADI CARNOT                
           commune :     ALLENNES-LES-MARAIS            departement : NORD                          
RESIDENCE  FRANCIS DEBERGH            
CLOS       JEANNE BUISSETTE           
CITE       COLLETTE                   
LIEU-DIT   LES ANSEREUILLES           
LIEU-DIT   LE BAIL DE PRINCE          
LIEU-DIT   BARGUES                    
LIEU-DIT   LES BAS BONNIERS           
LIEU-DIT   BAS DE CARNIN              
LIEU-DIT   BOIS DU MENAGE             
LIEU-DIT   DERRIERE LE BOIS DE LEANCE 
LIEU-DIT   DERRIERE LES BRACELETS     
LIEU-DIT   ENTRE LE BOURG ET LE VILLA 
LIEU-DIT   GRAND BOIS                 
LIEU-DIT   GRAND MARAIS               
LIEU-DIT   GRAND PONT                 
LIEU-DIT   GRAND PRE                  
LIEU-DIT   HAMEAU DE BOURG            
LIEU-DIT   HAUT D HERRIN              
LIEU-DIT   LENCLOS                    
LIEU-DIT   MARAIS DE BOURG            
