20151101
62         PAS DE CALAIS                 
           commune :     ABLAIN-ST-NAZAIRE              departement : PAS DE CALAIS                 
RESIDENCE  DAMBRINE                   
LIEU-DIT   L ARBRE DES GANELLES       
LIEU-DIT   LA BLANCHE ECLUSE          
LIEU-DIT   LE BOIS DE LA HAYE         
LIEU-DIT   LE BOIS DE MONT            
LIEU-DIT   LE BOIS DE VERD MONT       
LIEU-DIT   LE BOIS DU COMTE           
LIEU-DIT   LE BOIS EN PLAINE          
LIEU-DIT   LE BOIS L ABBE             
LIEU-DIT   LE BOIS L AVOCAT           
LIEU-DIT   LE BOIS PIETON             
LIEU-DIT   LE BOSQUET PLOUVIER        
LIEU-DIT   LE BUISSON NOTRE DAME      
LIEU-DIT   LE CALVAIRE                
LIEU-DIT   AU CERISIER                
LIEU-DIT   LE CHAMP CABARET           
LIEU-DIT   LE CHAMP DU CHAPITRE       
LIEU-DIT   LE CHAMP DU CHATEAU        
LIEU-DIT   LE CHAMP PLUMOISON         
LIEU-DIT   LE CHAMP POURRET           
LIEU-DIT   LE CHAMP ROLAND            
LIEU-DIT   LE CHAMP ROSE              
LIEU-DIT   LE CHEMIN A CAILLOUX       
LIEU-DIT   LE CHEMIN DE LENS          
LIEU-DIT   LE CHEMIN DE MOLONNE       
LIEU-DIT   AU CHEMIN DES VAUCHAUDS    
LIEU-DIT   LE CHENE                   
LIEU-DIT   LES CINQ                   
LIEU-DIT   LE CLOQUESART              
LIEU-DIT   LE COURTY DES PAUVRES      
LIEU-DIT   AU DESSUS DE CHEZ FLAMENT  
LIEU-DIT   AU DESSUS DES QUINZE       
LIEU-DIT   LES DIEFFES                
LIEU-DIT   LES DIX                    
LIEU-DIT   L ECU DE BOURGOGNE         
LIEU-DIT   L EPINE                    
LIEU-DIT   L EPINETTE                 
LIEU-DIT   LES FLAQUES                
LIEU-DIT   LE FOND DES DRUVAUX        
LIEU-DIT   LE GRAND CHAMP             
LIEU-DIT   LE GRAND FOSSE             
LIEU-DIT   LA GROSSE BORNE            
LIEU-DIT   LES HALOTS A CROIX         
LIEU-DIT   LES HALOTS JEANNE BOEUF    
LIEU-DIT   LES HUIT                   
LIEU-DIT   LA MENCAUDEE GAMBON        
LIEU-DIT   LE MONT BOIS L ABBE        
LIEU-DIT   LE MONT CERPAYEN           
LIEU-DIT   LE MONT DE COCAGNE         
LIEU-DIT   LE MONT DE JUSTICE         
LIEU-DIT   LE MONT DE LORETTE         
LIEU-DIT   LE MONT DES FONTAINES      
LIEU-DIT   LE MONT GOUDINON           
LIEU-DIT   LE MONT HERNU              
LIEU-DIT   LE MOULIN TOPART           
LIEU-DIT   LES NEUF                   
LIEU-DIT   LES ONZE                   
LIEU-DIT   LES OZIERS                 
LIEU-DIT   LE PLAT MONT               
LIEU-DIT   LE POINT DU JOUR           
LIEU-DIT   LE POUVILLON               
LIEU-DIT   LES PRES                   
LIEU-DIT   LES QUINZE                 
LIEU-DIT   LES QUINZE VERS GOUY       
LIEU-DIT   LA ROUGE CROIX             
LIEU-DIT   LES SEIZE                  
LIEU-DIT   LES SEPT                   
LIEU-DIT   LES SIX                    
LIEU-DIT   SOUS LES BOIS              
LIEU-DIT   AU SURGEON                 
LIEU-DIT   LES TRINQUES               
LIEU-DIT   LA VALLEE BOIS L ABBE      
LIEU-DIT   LA VALLEE CERPAYEN         
LIEU-DIT   LA VALLEE CHAUFOUR         
LIEU-DIT   LA VALLEE DE L EGLISE      
LIEU-DIT   LA VALLEE DE L HAYURE      
LIEU-DIT   LA VALLEE DELSENCE         
LIEU-DIT   LA VALLEE DU BOIS L ABBE   
LIEU-DIT   LA VALLEE JACQUES MARC     
LIEU-DIT   LE VILLAGE                 
LIEU-DIT   LES VINGT DEUX             
LIEU-DIT   LES VINGT HUIT             
LIEU-DIT   MOLAINE                    
RUE        D'ARRAS                    
RUE        D'ARRAS PROLONGEE          
RUE        BLANCHE VOIE               
RUE        DU BOIS DE MONT            
RUE        DE CARENCY                 
RUE        DU CHATEAU                 
RUE        DE LA VALLEE DU CHAUFFOUR  
           RES DES SOEURS DAGBERT     
VC         RES DAMBRINE               
RUE        DU FLOT                    
RUE        GARES                      
RUE        GARES PROLONGEE            
           RES GUY MOLLET             
