20151101
63         PUY DE DOME                   
           commune :     AIGUEPERSE                     departement : PUY DE DOME                   
LOT        LE COREIL                  
LOT        CHANTE COUCOU              
LOT        CLOS CLIDOR                
LOT        CLOS HENRY                 
LOT        GENESTE                    
RESIDENCE  PRE BAILLY                 
ZAC        DE JULHIAT                 
LIEU-DIT   AIGUEPERSE                 
LIEU-DIT   AILE                       
LIEU-DIT   LA BARRE                   
LIEU-DIT   BAS DE CHANTE COCU         
LIEU-DIT   BAS DE PEROSIER            
LIEU-DIT   LES CERAIS                 
LIEU-DIT   CHAMP BELIN                
LIEU-DIT   CHAMP DU 1ER PONT          
LIEU-DIT   CHAMP GRAVERON             
LIEU-DIT   CHAMP GUILLAUME            
LIEU-DIT   CHANTE COCU                
LIEU-DIT   CHANTELAUZE                
LIEU-DIT   LA CHAPELLE                
LIEU-DIT   LA CHAUSSADE               
LIEU-DIT   CLOS CLIDOR                
LIEU-DIT   CLOS HENRY                 
LIEU-DIT   COREIL                     
LIEU-DIT   CROIX BARLET               
LIEU-DIT   CROIX CHAMBROTY            
LIEU-DIT   LA CROIX DES RAMEAUX       
LIEU-DIT   CROIX PREMIERE             
LIEU-DIT   LA CROIX PREMIERE          
LIEU-DIT   DERRIERE LES MURS          
LIEU-DIT   DINCHIN                    
LIEU-DIT   L ENVIE                    
LIEU-DIT   ETANG BAZIN                
LIEU-DIT   FAUBOURG DES OUILLES       
LIEU-DIT   LA FONT BARRA              
LIEU-DIT   FONT FROIDE                
LIEU-DIT   LA GARGUETTE               
LIEU-DIT   LES GRANGES                
LIEU-DIT   LES GUELLES                
LIEU-DIT   L HOPITAL                  
LIEU-DIT   JULLIAT                    
LIEU-DIT   MAISON ROUGE               
LIEU-DIT   LA MANGE                   
LIEU-DIT   LA MANNE                   
LIEU-DIT   MARTINCHON                 
LIEU-DIT   MONTUSSANG                 
LIEU-DIT   NANTILLAT                  
LIEU-DIT   PALMA                      
LIEU-DIT   LE PATURAL                 
LIEU-DIT   LE PEYRON                  
LIEU-DIT   PIBOUT                     
LIEU-DIT   PONT BIZOT                 
LIEU-DIT   PONT DE NEUVIALLE          
LIEU-DIT   PRE BAILLY                 
LIEU-DIT   PRE DU RAT                 
LIEU-DIT   PRE MONSIEUR               
LIEU-DIT   PRE VACHON                 
LIEU-DIT   PUY DE PEROSIER            
LIEU-DIT   RASE DE PERIGNAT           
LIEU-DIT   LA RIGOLE                  
LIEU-DIT   ROUSSEL                    
LIEU-DIT   SAINT JAMES                
LIEU-DIT   LES SAUSSONS               
LIEU-DIT   LA SOUCHE                  
LIEU-DIT   LA THIOLEYRE               
LIEU-DIT   LA VERTIGOTTE              
LIEU-DIT   VIGNOBLE                   
LIEU-DIT   PREMIER PONT               
LIEU-DIT   CHAMP DE LA BORNE          
LIEU-DIT   CHAMP BERNARD              
CHEMIN     DE LA BARRE                
ROUTE      DE BENS                    
CRS        BERNARD                    
RUE        DU BOIS                    
RUE        AU BUREAU                  
RUE        DU BURON                   
RUE        MICHEL DE L HOSPITAL       
RUE        DE CHANTE COUCOU           
RUE        DU CHARRON                 
RUE        DU CHENEVIS                
IMPASSE    DU CHEVAL BLANC            
IMPASSE    DES CHEVRES                
RUE        AUX CHEVRILS               
IMPASSE    DE LA MAGDELEINE           
BOULEVARD  DE COREIL                  
CHEMIN     DU CLOS QUI DORT           
RUE        DU CLOS QUI DORT           
RUE        DE COREIL                  
RUE        DELILLE                    
AVENUE     DES RESISTANTS             
IMPASSE    DULIN                      
RUE        P DE NESSON                
RUE        DE L ENVIE                 
IMPASSE    FAUCHER                    
PLACE      DU FOIRAIL                 
ALLEE      FLEURIE                    
RUE        DU FOIRAIL                 
IMPASSE    DE LA FONT BARRA           
RUE        FONT ROSE                  
RUE        DE L ABBE FOUET            
RUE        DU FOUR                    
AVENUE     DE LA GARE                 
RUE        GODEMEL                    
GR         GRANDE RUE                 
BOULEVARD  DE L HOPITAL               
RUE        DE L HOPITAL               
RUE        DU LAVOIR                  
RUE        MACHINCHON                 
BOULEVARD  DE LA MAGDELEINE           
PLACE      DU MARCHE                  
BOULEVARD  MICHEL DE L HOSPITAL       
RUE        MARIVAUX                   
PLACE      DE MARILLAC                
PLACE      DE LA MISSION              
PLACE      DU MONUMENT AUX MORTS      
ROUTE      DE MONTPENSIER             
RUE        DE MONTUSSANG              
PLACE      DE LA NATION               
BOULEVARD  DE LA NATION               
RUE        NEUVE                      
RUE        LAVOISIER                  
RUE        DES OUILLES                
FG         DES OUILLES                
RUE        DE LA PETITE VITESSE       
ALLEE      DES PEUPLIERS              
RUE        DE LA PORTE AUX BOEUFS     
BOULEVARD  DU PONT GARNICHAUD         
ALLEE      DU PRE MONSIEUR            
ALLEE      DU PRE MONSIEUR            
ALLEE      VOLTAIRE                   
ALLEE      DIDEROT                    
RUE        DU PUITS                   
RUE        SAINT QUINTIEN             
BOULEVARD  ST LOUIS                   
AVENUE     ST NICOLAS                 
RUE        D ALEMBERT                 
RUE        DES TANNERIES              
AVENUE     CONDORCET                  
ALLEE      J J ROUSSEAU               
           5E ALL DU PRE MONSIEUR     
PLACE      DES TANNERIES              
BOULEVARD  DES VALOS                  
ROUTE      DE VENSAT                  
CHEMIN     DES VERGERS                
RUE        J VEYSSIERES               
ROUTE      DE VICHY                   
IMPASSE    DE LA VIERGE               
ALLEE      DU CLOS QUI DORT           
IMPASSE    VOYRET                     
ROUTE      DE BUSSIERES               
ROUTE      DE CHAZELLES               
PLACE      D ORLEANS                  
ART        ANC RTE D ARTONNE          
RUE        DE L'ETANG BAZIN CHAZELLES 
ALLEE      DES PECHERIES              
RUE        DES PRES - CHAZELLES       
RUE        DE LA RECLUSE              
IMPASSE    STE COLETTE                
PLACE      ST EXUPERY                 
IMPASSE    ST JAMES                   
RUE        ST JAMES                   
IMPASSE    ST JOSEPH                  
PLACE      ST JOSEPH                  
IMPASSE    ST LOUIS                   
PLACE      ST LOUIS                   
CHEMIN     DE ST PARDOUX              
PLACE      DE LA TOUR                 
CHEMIN     DES ANCIENS ABATTOIRS      
RUE        DES VIGNES                 
ALLEE      DE LA CHAPELLE             
AVENUE     DE LATTRE                  
ROUTE      DE CHAPTUZAT               
IMPASSE    DE LA CHAUSSADE            
CHEMIN     DE LA CROIX DE L ENVIE     
ROUTE      DE RIOM                    
RUE        SALNEUVE                   
PLACE      DE LA HALLE                
IMPASSE    SALNEUVE                   
RUE        C ANDRIEU                  
BOULEVARD  CHARLES DE GAULLE          
PLACE      DU DR MARCEL LACOUR        
PLACE      DU CAPITAINE VIVIER        
IMPASSE    DE LATTRE                  
IMPASSE    MACHINCHON                 
COUR       NORD LIMAGNE               
ALLEE      DU PATURAL                 
PLACE      ANCIENS COMBATTANTS AFN    
CHEMIN     NOTRE DAME                 
           commune :     AIX-LA-FAYETTE                 departement : PUY DE DOME                   
LIEU-DIT   AIX                        
LIEU-DIT   LE BACHASSOU               
LIEU-DIT   LA BARTHE                  
LIEU-DIT   LA BARTHE NORD             
LIEU-DIT   LA BARTHE SUD              
LIEU-DIT   LES BARTHES                
LIEU-DIT   LA BARTHYLE                
LIEU-DIT   LA BATISSONNE              
LIEU-DIT   LA BESSIERE                
LIEU-DIT   LE BLARE                   
LIEU-DIT   BOIS DE L OISEAU           
LIEU-DIT   BOIS DE LA BESSIERE        
LIEU-DIT   BOIS DU MILIEU             
LIEU-DIT   BOIS DU ROCHER             
LIEU-DIT   BOIS GAILLARD              
LIEU-DIT   LE BREUIL                  
LIEU-DIT   LES BRUGERES               
LIEU-DIT   LES BRUYERES               
LIEU-DIT   LA BUGE                    
LIEU-DIT   BUGE DE LA CROIX           
LIEU-DIT   LES BUGES                  
LIEU-DIT   LE BUISSON                 
LIEU-DIT   CHALIMBE                   
LIEU-DIT   CHAMP D AIX                
LIEU-DIT   CHAMP DE LA BARTHYLE       
LIEU-DIT   CHAMP DE LA CROIX          
LIEU-DIT   CHAMP DE LA CROIX HAUTE    
LIEU-DIT   CHAMP DES PLANES           
LIEU-DIT   CHAMP DU FOUR              
LIEU-DIT   CHAMP FAURIAT              
LIEU-DIT   CHAMP LONG                 
LIEU-DIT   CHAMP TAILLER              
LIEU-DIT   LA CHAPELLE                
LIEU-DIT   CHARLAMOTTE                
LIEU-DIT   CHARLENCOTE                
LIEU-DIT   CHAUSSADIX                 
LIEU-DIT   LE CLOVEL                  
LIEU-DIT   LE COING                   
LIEU-DIT   LES COTES                  
LIEU-DIT   LE COUDERT                 
LIEU-DIT   CROIX DU FANGONNET         
LIEU-DIT   LE CROS                    
LIEU-DIT   ETANG DE VIEILLE MORTE     
LIEU-DIT   ETANG DU FANGONNET         
LIEU-DIT   LE FANGONNET               
LIEU-DIT   FARGEON                    
LIEU-DIT   LE FAVIN                   
LIEU-DIT   LA FAYETTE                 
LIEU-DIT   LA FAYOLLE                 
LIEU-DIT   LES FOUGERES               
LIEU-DIT   LA GENTE                   
LIEU-DIT   LES GOTS                   
LIEU-DIT   GRAND BOIS DE GUERINE      
LIEU-DIT   LE GRAND CHAMP             
LIEU-DIT   LE GRAND PRE               
LIEU-DIT   LE GRIFFOUX                
LIEU-DIT   L HOPITAL                  
LIEU-DIT   LE JAVET                   
LIEU-DIT   LADOUX                     
LIEU-DIT   LAS BOURRAS                
LIEU-DIT   LAS BRUAS                  
LIEU-DIT   LIMOGES                    
LIEU-DIT   LINCHE                     
LIEU-DIT   LES LITAS                  
LIEU-DIT   LES LITTES                 
LIEU-DIT   LES LITTES DE RIBELON      
LIEU-DIT   LA MAISON NEUVE            
LIEU-DIT   MARET                      
LIEU-DIT   LES MARTINANCHES           
LIEU-DIT   MINMORTE                   
LIEU-DIT   MOULIN MOREL               
LIEU-DIT   NARSE DE BECHAT            
LIEU-DIT   OLS                        
LIEU-DIT   LES PACAGES                
LIEU-DIT   PACHER DU BOIS             
LIEU-DIT   LES PACHERS                
LIEU-DIT   LES PETITS BOIS            
LIEU-DIT   PIEURY                     
LIEU-DIT   LA PILLIERE                
LIEU-DIT   LA PINATELLE               
LIEU-DIT   PINATELLE DE LIMOGES       
LIEU-DIT   LES PINATELLES             
LIEU-DIT   LES PINATELLES DU CROS     
LIEU-DIT   LA PLACE                   
LIEU-DIT   LA PLAINE                  
LIEU-DIT   LE PLANA                   
LIEU-DIT   LE PLANAT                  
LIEU-DIT   LA PRADE                   
LIEU-DIT   LES PRADES                 
LIEU-DIT   LE PRADON                  
LIEU-DIT   PRALONG                    
LIEU-DIT   PRE DE DIAT                
LIEU-DIT   PRE DE PICHET              
LIEU-DIT   PRE DES GOUTTES            
LIEU-DIT   PRE DES LITTES             
LIEU-DIT   PRE DOMAS                  
LIEU-DIT   PRE DU CROS                
LIEU-DIT   PRE DU FAVIN               
LIEU-DIT   PRE DU FOUR                
LIEU-DIT   PRE DU MOULIN              
LIEU-DIT   PRE DU PONT                
LIEU-DIT   PRE GAILLARD               
LIEU-DIT   PRE HAUT                   
LIEU-DIT   PRE LAFONT                 
LIEU-DIT   LES QUATRE CHEMINS         
LIEU-DIT   LA RAMILLE                 
LIEU-DIT   LA RIBEYRE                 
LIEU-DIT   LE ROCHAIN                 
LIEU-DIT   LA ROCHE                   
LIEU-DIT   LE ROCHER                  
LIEU-DIT   LES ROCHETTES              
LIEU-DIT   LE ROUVET                  
LIEU-DIT   LES SAGNES                 
LIEU-DIT   SARDAIGNE                  
LIEU-DIT   SUC D OLS                  
LIEU-DIT   SUC DU ROUVET              
LIEU-DIT   SUCHERON                   
LIEU-DIT   THIREL                     
LIEU-DIT   TYREL                      
LIEU-DIT   LE VAYAT                   
LIEU-DIT   VIEILLE MORTE              
LIEU-DIT   LE BOURG                   
           commune :     AMBERT                         departement : PUY DE DOME                   
           ENS IMM RUE DU 8 MAI 1945  
HLM        LA MASSE                   
HLM        VILLENEUVE                 
LIEU-DIT   L ANGUILLE                 
LIEU-DIT   L ARBRE                    
LIEU-DIT   AUBIGNAT                   
LIEU-DIT   BANQUEBOUT                 
LIEU-DIT   LA BARATTE                 
LIEU-DIT   LA BARELLA                 
LIEU-DIT   LA BARGE                   
LIEU-DIT   BARTELET                   
LIEU-DIT   BAS DE CHAUTTES            
LIEU-DIT   BAYLE                      
LIEU-DIT   BEAUVIALLE                 
LIEU-DIT   LA BEGONIE                 
LIEU-DIT   LA BEGONIE SUD             
LIEU-DIT   BEL AIR                    
LIEU-DIT   BELAIR                     
LIEU-DIT   LES BELLADES               
LIEU-DIT   LA BESSEYRE                
LIEU-DIT   LE BEZE                    
LIEU-DIT   LES BEZEAUX                
LIEU-DIT   LE BIEN                    
LIEU-DIT   BIORAT                     
LIEU-DIT   BIORAT NORD                
LIEU-DIT   LE BOIS                    
LIEU-DIT   BOIS DE BOULOGNE           
LIEU-DIT   BOIS DE GOYES              
LIEU-DIT   BOIS DE L ORME             
LIEU-DIT   BOIS DE LA COLLANGE        
LIEU-DIT   BOIS DE PANNETON           
LIEU-DIT   BOIS DES SAGNES            
LIEU-DIT   LE BOIS DU PIROUX          
LIEU-DIT   LE BOIS DU POUYET          
LIEU-DIT   BOIS GRANGE                
LIEU-DIT   BOISSIERE                  
LIEU-DIT   BOISSIERE NORD             
LIEU-DIT   LA BOISSONADE              
LIEU-DIT   LA BOISSONIE               
LIEU-DIT   LA BORIE                   
LIEU-DIT   LE BOST                    
LIEU-DIT   LA BOUBOULOUNE             
LIEU-DIT   LE BOUCHET DE BOISSIERES   
LIEU-DIT   BOULOUNIA                  
LIEU-DIT   BOURLOUX                   
LIEU-DIT   LES BRACONS                
LIEU-DIT   BREU                       
LIEU-DIT   LA BRUGERETTE              
LIEU-DIT   LES BRUYERES               
LIEU-DIT   LES BUGES                  
LIEU-DIT   BUNANGUES                  
LIEU-DIT   BUNANGUES EST              
LIEU-DIT   LES CAIRES                 
LIEU-DIT   LA CALANDRE                
LIEU-DIT   CARRIERE DE CHAUTTES       
LIEU-DIT   LES CAVES                  
LIEU-DIT   LA CHABANE                 
LIEU-DIT   LE CHAMP                   
LIEU-DIT   LE CHAMP DE LA JARRIGE     
LIEU-DIT   LES CHAMPAUX               
LIEU-DIT   CHAMP DE CLURE             
LIEU-DIT   CHANABERT                  
LIEU-DIT   CHANABERT OUEST            
LIEU-DIT   LES CHANGES                
LIEU-DIT   CHANTEMANEYRE              
LIEU-DIT   LA CHARDIE                 
LIEU-DIT   CHARDON                    
LIEU-DIT   CHARIFOUET                 
LIEU-DIT   CHARTOIRE DE BAS           
LIEU-DIT   LA CHASSAGNE               
LIEU-DIT   CHASSAIGNAIRE              
LIEU-DIT   CHATELET                   
LIEU-DIT   CHAUDABRIS                 
LIEU-DIT   CHAUTTES NORD              
LIEU-DIT   CHAUTTES SUD               
LIEU-DIT   LES CHAUX                  
LIEU-DIT   LA CHAVASSE                
LIEU-DIT   LES CHEIX                  
LIEU-DIT   LE CHEIX DE VALCIVIERES    
LIEU-DIT   SUR LES CHENES             
LIEU-DIT   CHEZ BERARD                
LIEU-DIT   CHEZ BOITHIAS              
LIEU-DIT   CHICAGO                    
LIEU-DIT   LE CHOMET                  
LIEU-DIT   CHOTY                      
LIEU-DIT   LES CLAUTREY               
LIEU-DIT   LE CLAVELOU                
LIEU-DIT   CLEURETTES                 
LIEU-DIT   CLEURETTES NORD            
LIEU-DIT   LE CLOS                    
LIEU-DIT   LE CLOS DE VALEYRE         
LIEU-DIT   LES CLOVICHES              
LIEU-DIT   LE COIN                    
LIEU-DIT   LA COLLANGE                
