20151101
64         PYRENEES ATLANTIQUES          
           commune :     AAST                           departement : PYRENEES ATLANTIQUES          
LOT        DEVANT FRESQ               
LOT        COMMUNAL                   
LIEU-DIT   BAYET                      
LIEU-DIT   CAMS HOOUS                 
LIEU-DIT   LA COUSTETE                
LIEU-DIT   HOURCQS CUHOURCQS ET CUYAL 
LIEU-DIT   LABREQUE ET OUMBRES        
LIEU-DIT   LAS BAGNES                 
LIEU-DIT   LAS BIES DE GER            
LIEU-DIT   LAS MURAILLES              
LIEU-DIT   LAS SABLERES               
LIEU-DIT   LASSAYETES ET BROUSTE      
LIEU-DIT   LOU MOULY                  
LIEU-DIT   LOUS ALOOUS                
LIEU-DIT   LOUS CAMS DOU MOULY        
LIEU-DIT   LOUS CAMS HOOUS            
LIEU-DIT   LOUS CAZAUBOUS             
LIEU-DIT   LOUS HOURQUETS             
LIEU-DIT   LOUS MOURAS                
LIEU-DIT   MARQUEDARRE                
LIEU-DIT   MARQUEDEBAT                
CHEMIN     DES BAGNES                 
IMPASSE    BERDOT                     
CHEMIN     DE BERDOT                  
CHEMIN     DU BOIS                    
CHEMIN     DE LAS BORDES              
IMPASSE    CAZAUBOU                   
IMPASSE    DES CHAMPS ALIZES          
CHEMIN     DE LA COUSTETE             
CHEMIN     DE CUHOURCQS               
CHEMIN     DEOUS CUYALAS              
CHEMIN     DABAN FRANCE               
CHEMIN     DABAN FRESCQ               
CHEMIN     DEOU BOSCQ                 
CHEMIN     DE L'EGLISE                
ROUTE      DE GARDERES                
ROUTE      DE GER                     
CHEMIN     DE GOUAILLOT               
IMPASSE    GUILHAS                    
CHEMIN     DE GUILLAS                 
CHEMIN     DE LANNEDARRE              
IMPASSE    LASBORDES                  
CHEMIN     LESCLOUPE                  
CHEMIN     DU LOTISSEMENT             
PLACE      DE LA MAIRIE               
IMPASSE    DU MOULIN                  
CHEMIN     DEOUS OUMBRES              
CHEMIN     DE PEBAYET                 
IMPASSE    PETIT LOUET                
ROUTE      DE PONSON DESSUS           
CHEMIN     DE POUBLAN                 
ROUTE      RD 64                      
ROUTE      RD 311                     
ROUTE      DE SERON                   
IMPASSE    TOULOU                     
CHEMIN     DE YACOULOU                
           commune :     ABERE                          departement : PYRENEES ATLANTIQUES          
LIEU-DIT   DE BARREYEBY               
LIEU-DIT   CASSAGNET                  
LIEU-DIT   DOU CUTOUR                 
LIEU-DIT   DOUS ARRECQS               
LIEU-DIT   DU BERT                    
LIEU-DIT   L EGLISE                   
LIEU-DIT   GARROS                     
LIEU-DIT   HOURCADE                   
LIEU-DIT   LABIGNOTTE                 
LIEU-DIT   LA LANDE DE BAS            
LIEU-DIT   LA LANDE DE HAUT           
LIEU-DIT   LAPOUTGE                   
LIEU-DIT   LA PLANE                   
LIEU-DIT   LA TEULERE                 
LIEU-DIT   TUGAYERE                   
LIEU-DIT   DU VILLAGE                 
CHEMIN     DU BOURG                   
CHEMIN     CASSAGNET                  
CHEMIN     DU CUTOUR                  
CHEMIN     DE L EGLISE                
CHEMIN     DE FOURSANS                
CHEMIN     DU GARROS                  
CHEMIN     DE LA LANDE                
CHEMIN     DE LAPOUTGE                
CHEMIN     DE LASGRABES               
CHEMIN     DU MOULIN                  
CHEMIN     DE LA TEULERE              
CHEMIN     DE TOUR                    
ROUTE      DE VIC                     
