20151101
65         HAUTES PYRENEES               
           commune :     ADAST                          departement : HAUTES PYRENEES               
LOT        BOYRIE                     
LOT        DUCOURNAU                  
CHT        DE MIRAMONT                
LIEU-DIT   LE CASSIET                 
LIEU-DIT   COUTRATS                   
LIEU-DIT   PE DE LICHER               
LIEU-DIT   ROUTURES                   
LIEU-DIT   LE VILLAGE                 
CHEMIN     D AIRA                     
CHEMIN     DES BOUTONS D OR           
CHEMIN     DU CASSIET                 
SENTIER    DES CASTAGNERES            
RUE        DES COLCHIQUES             
CHEMIN     DU COMTE                   
CHEMIN     DES COQUELICOTS            
PLACE      CYPRIEN DESPOURRINS        
RUE        DES EDELWEISS              
CHEMIN     DU GABARRET                
IMPASSE    DES GENEPIS                
RUE        DES GENTIANES              
IMPASSE    DES IRIS                   
IMPASSE    DES JONQUILLES             
IMPASSE    DES LILAS                  
RUE        DES LYS                    
RUE        DE MIRAMONT                
CHEMIN     DE LA MOULE                
RUE        DU MUGUET                  
SENTIER    DU PE DE LICHER            
IMPASSE    DES PERCE NEIGE            
CHEMIN     DES ROUTURES               
RUE        DU SOLEIL                  
PLACE      ST BARTHELEMY              
CHEMIN     DE ST SAVIN                
ROUTE      DES VALLEES                
           commune :     ADE                            departement : HAUTES PYRENEES               
QUA        LANNEMOURINE               
ZI         TOULICOU LAMATHE           
ZI         TOULICOU REMPLANS          
LIEU-DIT   ALIAS                      
LIEU-DIT   ARBOULADES                 
LIEU-DIT   ARPENS DESSUS              
LIEU-DIT   ARRIOUATS                  
LIEU-DIT   ARTIGALOUS                 
LIEU-DIT   BIGNES                     
LIEU-DIT   BOIS DARRE                 
LIEU-DIT   CAMBIDOS                   
LIEU-DIT   CAZALOUS                   
LIEU-DIT   CAZAU MARTI                
LIEU-DIT   COUMETTES                  
LIEU-DIT   LALANDE                    
LIEU-DIT   LAMATHE                    
LIEU-DIT   LA LANDE                   
LIEU-DIT   LANNEMOURINE               
LIEU-DIT   LANUSSE                    
LIEU-DIT   MONTANE                    
LIEU-DIT   PACET                      
LIEU-DIT   POUREDE                    
LIEU-DIT   PRADOUS                    
LIEU-DIT   PRIMA                      
LIEU-DIT   REMPLANS                   
LIEU-DIT   SEGOUTOU                   
LIEU-DIT   TOULICOU                   
LIEU-DIT   TRES JEUNE                 
LIEU-DIT   VERGEZ DEVANT              
LIEU-DIT   LE VILLAGE                 
LIEU-DIT   HAM MIE DOUMENE            
RUE        DES ARPENS                 
RUE        DES ARRIOUATS              
RUE        DE LA BALAGUERE            
ROUTE      DE BARTRES                 
RUE        DE LA BAYLETTE             
RUE        DES BIGNES                 
RUE        DE BIGORRE                 
RUE        DU CAMBIDOS                
RUE        CAZAOU MARTI               
RUE        DES COUMETTES              
RUE        DU COUNCAT                 
RUE        DU COUVENT                 
RUE        DU CANTET                  
RUE        DES ECOLES                 
RUE        DE LA HOURNERE             
RUE        DE LA LANDE                
RUE        DE LASSALLE                
RUE        DU LAVEDAN                 
RUE        MIE DOUMENE                
RUE        DU MOULIN                  
AVENUE     DES PYRENEES               
CHEMIN     DE LA QUINTE               
RUE        DU RIEUTORD                
RUE        DU STADE                   
RUE        DU TOUGAYA                 
RUE        DES ARBOULADES             
           commune :     ADERVIELLE-POUCHERGUES         departement : HAUTES PYRENEES               
HAM        DE LA BELLE SAYETTE        
LIEU-DIT   ARROURET                   
LIEU-DIT   ARROUYS                    
LIEU-DIT   ARTIGUE                    
LIEU-DIT   CADERES                    
LIEU-DIT   CAMP DE HO                 
LIEU-DIT   CAPDELANE                  
LIEU-DIT   LA COSTE                   
LIEU-DIT   COUMERES ADERVIELLE        
LIEU-DIT   ESCALERES                  
LIEU-DIT   FORET DE PLAISTROU         
LIEU-DIT   LARRIBERE                  
LIEU-DIT   MONTAGNE DE BASSIAS        
LIEU-DIT   NABIAS                     
LIEU-DIT   PEYRANES                   
LIEU-DIT   PLA DE NABIAS              
LIEU-DIT   PLAISTROU                  
LIEU-DIT   PLO DE CAILLAOU            
LIEU-DIT   POUYT HAUT                 
LIEU-DIT   RIOU RET                   
LIEU-DIT   SOU LIA                    
LIEU-DIT   SUBERBIELLE                
LIEU-DIT   TRESPAILLES                
LIEU-DIT   ADERVIELLE VILLAGE         
LIEU-DIT   ARRIBAUT                   
LIEU-DIT   BORDES                     
LIEU-DIT   BOUDIGUES                  
LIEU-DIT   CAMPS DEBAT                
LIEU-DIT   COUMERES POUCHERGUES       
LIEU-DIT   COUMES                     
LIEU-DIT   DUPRAT                     
LIEU-DIT   ESCADAUX                   
LIEU-DIT   LANE                       
LIEU-DIT   LIAS                       
LIEU-DIT   LOUDETTES                  
LIEU-DIT   MONTAGNE                   
LIEU-DIT   PONDECAILLAOU              
LIEU-DIT   POUCHERGUES VILLAGE        
CHEMIN     DES ARDOISIERES            
RUE        D ARRIBAUT                 
RUE        DE LA BERGERIE             
CHEMIN     DE LA BIETE                
RUE        DE LA CAOUSSADE            
IMPASSE    CAPDELANE                  
RUE        DE L ECOLE                 
PLACE      DE L EGLISE                
RUE        DE L EGLISE                
CHEMIN     DU HAIA                    
CHEMIN     DE LA HOUNT GRANA          
RUE        DU LAVOIR                  
ROUTE      DU LOURON                  
PLACE      DE LA MAIRIE               
CHEMIN     DE NABIAS                  
CHEMIN     DE PLAISTROU               
RUE        DU VERGER                  
           commune :     AGOS-VIDALOS                   departement : HAUTES PYRENEES               
LIEU-DIT   AIZY                       
LIEU-DIT   AMBAT                      
LIEU-DIT   ARNEAUX                    
LIEU-DIT   LES ARNEAUX                
LIEU-DIT   ARTIGAUX                   
LIEU-DIT   LE BOUCHET                 
LIEU-DIT   LES CAYRES                 
LIEU-DIT   DEBAT SOUPENE              
LIEU-DIT   LALANE                     
LIEU-DIT   LAS GRAVES                 
LIEU-DIT   LASCARY                    
LIEU-DIT   PERARDOUM THOU IZEROU      
LIEU-DIT   PIBESTE                    
LIEU-DIT   LA POUME                   
LIEU-DIT   LE SAILLET                 
LIEU-DIT   LES SOUTRILLES             
LIEU-DIT   LE VILLAGE                 
LIEU-DIT   SOUPENE                    
CHEMIN     LES ARRAILLES              
RUE        DU BOUSQUET                
RUE        DES BRUYERES               
RUE        CARRERE LONGUE             
CHEMIN     LES CARRETERRES            
CHEMIN     DE CATIBERE                
CHEMIN     DU LABAI                   
AVENUE     DU LAVEDAN                 
CHEMIN     DU LAVOIR                  
CHEMIN     DU PIBESTE                 
RUE        DE PORTEOURAT              
RUE        DE POUME                   
CHEMIN     DU SAILLET                 
RUE        SEN CESTE                  
CHEMIN     DES VIGNES                 
           commune :     ALLIER                         departement : HAUTES PYRENEES               
HAB        HALTE DES PESCAYRES        
HAM        DE LA SEOUBE D ALLIER      
LIEU-DIT   ARRAYADIOUS                
LIEU-DIT   BAYAR                      
LIEU-DIT   BEZIAUX                    
