20151101
66         PYRENEES ORIENTALES           
           commune :     L ALBERE                       departement : PYRENEES ORIENTALES           
           MAS DE LES FONTS           
LIEU-DIT   AL FOUR                    
LIEU-DIT   BAC DE LLOERTE             
LIEU-DIT   BACH D EN TRINCHET         
LIEU-DIT   BACH DE L ESCARRA          
LIEU-DIT   BACH DE LA FONT DEL BOSC   
LIEU-DIT   BACH DE LA GARRIGUE        
LIEU-DIT   BACH DE LAS PLANACES       
LIEU-DIT   BACH DEL SASTRE            
LIEU-DIT   LA BALME                   
LIEU-DIT   LA BERNUSE                 
LIEU-DIT   BOSC REDON                 
LIEU-DIT   BOSCH D EN GRAU            
LIEU-DIT   CAMP D EL PRAT             
LIEU-DIT   CAMP DE L ALZINE           
LIEU-DIT   CAMP DEL PUIG              
LIEU-DIT   CAMP FUIRE                 
LIEU-DIT   CAMP GRAND                 
LIEU-DIT   CAMP GROS                  
LIEU-DIT   CAMS DE LA JASSE           
LIEU-DIT   LA CANELLETTE              
LIEU-DIT   LA CIBADERE                
LIEU-DIT   CINQ SAUS                  
LIEU-DIT   LA CLOSE                   
LIEU-DIT   CLOT D EL SIRE             
LIEU-DIT   CLOT DE LA BRANQUE         
LIEU-DIT   CLOTADE DE COLL FORCAT     
LIEU-DIT   COLL D EL PAL              
LIEU-DIT   COLL D EL RAT              
LIEU-DIT   COLL DE SAN JOAN           
LIEU-DIT   LA COMA                    
LIEU-DIT   LA COMETTE                 
LIEU-DIT   LA COSTE                   
LIEU-DIT   COSTE D EL PERILLO         
LIEU-DIT   COUME DES BAILLANES        
LIEU-DIT   FAJOUSE D EL FANGASSOUS    
LIEU-DIT   FAJOUSE DE COLL FORCAT     
LIEU-DIT   FAJOUSE DE LA ROQUETERE    
LIEU-DIT   FAJOUSE DE LLOUBREGAT      
LIEU-DIT   FAJOUSE MAGRE              
LIEU-DIT   LA FILLANE                 
LIEU-DIT   LA FONT D EL ROURE         
LIEU-DIT   LA FONT DE L ESPINAS       
LIEU-DIT   GARRIGUE DEL CAPITA        
LIEU-DIT   JASSE D EL BRUC            
LIEU-DIT   LAS BALMES                 
LIEU-DIT   LAS GARRIGUETTES           
LIEU-DIT   LAS MOULINERES             
LIEU-DIT   LO BAC                     
LIEU-DIT   LO BACH                    
LIEU-DIT   LO BAINAT                  
LIEU-DIT   LO TIMONA                  
LIEU-DIT   LOS CABIROS                
LIEU-DIT   LOS CANALATS               
LIEU-DIT   LOS CORTALETS              
LIEU-DIT   LOS ESTAYNS                
LIEU-DIT   LOS FORQUETS               
LIEU-DIT   LOS PLANALS                
LIEU-DIT   LOS TROLLOLS               
LIEU-DIT   MAS ANGLADE                
LIEU-DIT   MAS CLARET                 
LIEU-DIT   MAS D EN BACHES            
LIEU-DIT   MAS D EN SERRE             
LIEU-DIT   MAS DE L ESCARRA           
LIEU-DIT   MAS DEN KIRCH              
LIEU-DIT   MAS NOGUER                 
LIEU-DIT   MAS SAN JOAN               
LIEU-DIT   MAS TRINCHET               
LIEU-DIT   MAS VILANOVA               
LIEU-DIT   MASOT                      
LIEU-DIT   MOLLERE D EL CAYRAT        
LIEU-DIT   L ORT CLOS                 
LIEU-DIT   PIC AUREILLE               
LIEU-DIT   PLA D EN GRAU              
LIEU-DIT   PLA DE L ALZINE            
LIEU-DIT   PLA DE LA CREU             
LIEU-DIT   PLA DEL BOSCH              
LIEU-DIT   PRAT LLEBADE               
LIEU-DIT   PUIG GROS                  
LIEU-DIT   PUIG PETIT                 
LIEU-DIT   PUIG SEC                   
LIEU-DIT   LA RAJOLLERIE              
LIEU-DIT   ROC DE LA BIGNE            
