20151101
67         BAS RHIN                      
           commune :     ACHENHEIM                      departement : BAS RHIN                      
LOT        LES BOSQUETS               
LIEU-DIT   ACHMATT                    
LIEU-DIT   ACHT ACKER                 
LIEU-DIT   ALLMEND                    
LIEU-DIT   ALTWASSER                  
LIEU-DIT   AM GRASWEG                 
LIEU-DIT   AM HIRSCHBERG              
LIEU-DIT   AUF DEN ZIEGELHOF          
LIEU-DIT   AUFS BAECHEL               
LIEU-DIT   AUSWAERTS DER LINDE        
LIEU-DIT   BAECHEL                    
LIEU-DIT   BEI DER MUEHLE             
LIEU-DIT   BEINAU                     
LIEU-DIT   BLUEMEL                    
LIEU-DIT   BOSSENROTT                 
LIEU-DIT   BREITE                     
LIEU-DIT   BRUECHEL                   
LIEU-DIT   BURGWEG                    
LIEU-DIT   CANAL DE LA BRUCHE         
LIEU-DIT   CHEMIN D EXPLOITATION      
LIEU-DIT   ROUTE  DEPARTEMENTALE      
LIEU-DIT   ROUTE  DEPARTEMENTALE 222  
LIEU-DIT   ROUTE  DEPARTEMENTALE 45   
LIEU-DIT   CHEMIN RURAL               
LIEU-DIT   DUNTZ                      
LIEU-DIT   FOSSE                      
LIEU-DIT   FOSSE D EXPLOITATION       
LIEU-DIT   HECKENWELLAU               
LIEU-DIT   HECKENWELLAU WALDPFAD      
LIEU-DIT   HERRENENNIG                
LIEU-DIT   HERRENGEBREIT              
LIEU-DIT   HINTER DEM DORF AUF DER ST 
LIEU-DIT   HOHEN STEIN                
LIEU-DIT   HOLDERHURST                
LIEU-DIT   HUEHNERPFAD                
LIEU-DIT   IM GEHREN                  
LIEU-DIT   IM GEIST                   
LIEU-DIT   IN DER KRIMMLI             
LIEU-DIT   IN DER RIEST               
LIEU-DIT   IN DER SCHLICK             
LIEU-DIT   ITTENHEIMER STRASSE        
LIEU-DIT   ITTENHEIMER WINKEL         
LIEU-DIT   KACHELACKER                
LIEU-DIT   KEHL                       
LIEU-DIT   KIRCHGASSE                 
LIEU-DIT   KLEINFELD                  
LIEU-DIT   KOLBSHEIMERWEG             
LIEU-DIT   KRIMLI                     
LIEU-DIT   LINDE                      
LIEU-DIT   MATTENWELLAU               
LIEU-DIT   MEIAND                     
LIEU-DIT   MITTELGEWAND               
