20151101
68         HAUT RHIN                     
           commune :     ALGOLSHEIM                     departement : HAUT RHIN                     
LIEU-DIT   ALTACKER                   
LIEU-DIT   AM UNTEREN HARDTWEG        
LIEU-DIT   AMSEL                      
LIEU-DIT   AN DER STRASSE             
LIEU-DIT   AUSSEN AN DER STRASSE      
LIEU-DIT   BACHACKER                  
LIEU-DIT   BEIM KAPUZINERWALD         
LIEU-DIT   CANAL DE NEUF BRISACH      
LIEU-DIT   CANAL DU RHONE AU RHIN     
LIEU-DIT   DAS VOGELGRUEN             
LIEU-DIT   DIE MUEHLE                 
LIEU-DIT   GROSSMATT                  
LIEU-DIT   HAERTHLE                   
LIEU-DIT   HINTER DEM WALD            
LIEU-DIT   HINTER DEN GAERTEN         
LIEU-DIT   HINTERBIN                  
LIEU-DIT   HUERSTLEMATT               
LIEU-DIT   IM WINKEL                  
LIEU-DIT   IN DEN ACHTZEHN JUCHARTEN  
LIEU-DIT   KIRCHMATTEN                
LIEU-DIT   KRAUTENAU                  
LIEU-DIT   KUEHLEGER                  
LIEU-DIT   LEIMFELD                   
LIEU-DIT   LOECHERACKER               
LIEU-DIT   MATTFELD                   
LIEU-DIT   MITTELFELD                 
LIEU-DIT   MUEHLFELD                  
LIEU-DIT   MUEHLWASEN                 
LIEU-DIT   NIEDERFELD                 
LIEU-DIT   OBER MUEHLFELD             
LIEU-DIT   OBERER ZUG                 
LIEU-DIT   OBERFELD                   
LIEU-DIT   PFUERTLE                   
LIEU-DIT   RHEINGRABEN                
LIEU-DIT   RHEINWALD                  
LIEU-DIT   RHEINWALDSWINCKEL          
LIEU-DIT   SANDACKER                  
LIEU-DIT   SCHLITTWEG                 
LIEU-DIT   SCHLUTHMATTEN              
LIEU-DIT   LA SIRENE                  
LIEU-DIT   STEINGRUBENACKER           
LIEU-DIT   STIERMATTEN                
LIEU-DIT   STIRN                      
LIEU-DIT   UEBER DEM KANAL            
LIEU-DIT   UEBER DER STRASSE          
LIEU-DIT   UMBRUCH                    
LIEU-DIT   UNTER MUEHLFELD            
LIEU-DIT   UNTERER ZUG                
LIEU-DIT   VILLAGE                    
LIEU-DIT   ZWISCHEN DEN KANAELEN      
LIEU-DIT   ZWISCHEN DEN STRASSEN      
LIEU-DIT   STEINGRUBE                 
LIEU-DIT   VOR DEM KANAL              
LIEU-DIT   UNTEN AN DER MATT          
RUE        DES ACACIAS                
RUE        ALBERT SCHULTZ             
RUE        DES ALPES                  
RUE        D ALSACE                   
RUE        DES ARTISANS               
IMPASSE    DES BLEUETS                
RUE        DES BOIS                   
RUE        DE CANCON                  
RUE        DE CAUMONT                 
RUE        DES CERISIERS              
RUE        DE L'EGLISE                
RUE        DES FORSYTHIAS             
RUE        DU FORT                    
ROUTE      DE GEISWASSER              
GR         GRAND RUE                  
RUE        DES IRIS                   
RUE        DES JARDINS                
RUE        DES JONQUILLES             
CHEMIN     DU MOULIN                  
ROUTE      DE NEUF BRISACH            
RUE        OBERHARDT                  
RUE        DE LA PAIX                 
RUE        DU POILU                   
RUE        DE LA PROMENADE            
RUE        DES PRES                   
RUE        DU ROSEAU                  
RUE        DU RUISSEAU                
IMPASSE    DU SAULE                   
RUE        DU STADE                   
RUE        DU THIERLACHGRABEN         
RUE        DE LA TRUITE               
RUE        DES VERGERS                
ROUTE      DE VOGELGRUN               
ROUTE      DE VOLGELSHEIM             
RUE        DES VOSGES                 
           commune :     ALTENACH                       departement : HAUT RHIN                     
LIEU-DIT   ALLMEND                    
LIEU-DIT   AUF DEN NIEDEREN WEIHER    
LIEU-DIT   AUF DEN UFFENWEG           
LIEU-DIT   AUF GARNYDEN               
LIEU-DIT   BERG                       
LIEU-DIT   BLASIWEIHER                
LIEU-DIT   BONNENLOCH                 
LIEU-DIT   BRANDEICHBODEN             
LIEU-DIT   BREITHOLZ                  
LIEU-DIT   BRITTLEN                   
LIEU-DIT   BUCHHOELZLEN               
LIEU-DIT   BURNENMATTEN               
LIEU-DIT   ELLBACHSTRAENG             
LIEU-DIT   ERLENBACH                  
LIEU-DIT   ETTER                      
LIEU-DIT   FUCHSACKER                 
LIEU-DIT   GARNYDEN                   
LIEU-DIT   GROSSALLMEND               
LIEU-DIT   GROSSER BURGERWEIHER       
LIEU-DIT   GRUNDACKER                 
LIEU-DIT   HANGACKER                  
LIEU-DIT   HENNELEN                   
LIEU-DIT   HERRENHAEGLEN              
LIEU-DIT   HUNGERACKER                
LIEU-DIT   IM LOCH                    
LIEU-DIT   KLEINER BURGERWEIHER       
LIEU-DIT   KLINGELBRUNNEN             
LIEU-DIT   KLINGELMATTEN              
LIEU-DIT   KOHLERSCHLAG               
LIEU-DIT   KREUZLEMATTEN              
LIEU-DIT   LANDFUERSTENWEIHER         
LIEU-DIT   LANGFURCH                  
LIEU-DIT   LANGFURCHWEIHER            
LIEU-DIT   LARGWEIHER                 
LIEU-DIT   METZGERACKER               
LIEU-DIT   MUEHLENMATTEN              
LIEU-DIT   MUSENWEIHERLEN             
LIEU-DIT   NIEDERE BUSCHEN            
LIEU-DIT   NIEDERE MATTEN             
LIEU-DIT   NIEDERWEIHER               
LIEU-DIT   OBEN AM BREITHOLZ          
LIEU-DIT   OBEN AN DEN ALLMENDEN      
LIEU-DIT   OBERE BUSCHEN              
LIEU-DIT   OBERE MATTEN               
LIEU-DIT   OBERHOFACKER               
LIEU-DIT   SCHLOSSMATTEN              
LIEU-DIT   SECKENBERG                 
LIEU-DIT   SEHLEN                     
LIEU-DIT   STEINACKER                 
LIEU-DIT   STOCKACKER                 
LIEU-DIT   TIERGARTEN                 
LIEU-DIT   TRESCHLACHEN               
LIEU-DIT   TRESCHLACHENWEIHER         
LIEU-DIT   VILLAGE                    
LIEU-DIT   ZISSELMATTEN               
LIEU-DIT   AM SUARCERWEG              
LIEU-DIT   BACHMATTEN                 
LIEU-DIT   BERGRITH                   
LIEU-DIT   HENNELENWEIHER             
LIEU-DIT   HERRENWEG                  
LIEU-DIT   LAENDER                    
LIEU-DIT   OBEN AM BERGRITH           
LIEU-DIT   OBERER FUCHSACKER          
LIEU-DIT   UNTEN AM BERG              
RUE        DU CANAL                   
RUE        DU CHENE                   
RUE        DE LA CURE                 
RUE        DE L ETANG                 
RUE        DES FLEURS                 
RUE        DES JARDINS                
RUE        DE LA LARGUE               
RUE        DES NOYERS                 
RUE        PRINCIPALE                 
RUE        SAINT SYLVESTRE            
RUE        SAINTE BARBE               
RUE        DES SAPINS                 
RUE        DES SORBIERS               
RUE        DE SUARCE                  
RUE        DU TILLEUL                 
RUE        DE LA VALLEE               
RUE        DU VERGER                  
RUE        DU 24 NOVEMBRE             
           commune :     ALTKIRCH                       departement : HAUT RHIN                     
LOT        LES BOSQUETS               
LOT        PANORAMA                   
