20151101
69         RHONE                         
           commune :     AFFOUX                         departement : RHONE                         
LIEU-DIT   LES BOIS DE LAGNIERE       
LIEU-DIT   LE BOURG                   
LIEU-DIT   LE CHAMPIER                
LIEU-DIT   CHEZ GUILLIEN              
LIEU-DIT   CHEZ LIGOT                 
LIEU-DIT   CHEZ MANDERON              
LIEU-DIT   LA COLLONGE                
LIEU-DIT   CREPIT                     
LIEU-DIT   LE CRET CUISSARD           
LIEU-DIT   LE CRET DE ROCHEFORT       
LIEU-DIT   LE CUISSARD                
LIEU-DIT   LE FERRIERE                
LIEU-DIT   LE GOUJET                  
LIEU-DIT   LA GOUTTE                  
LIEU-DIT   LE GRISOT                  
LIEU-DIT   L HORME                    
LIEU-DIT   LES MOLLIERES              
LIEU-DIT   LE MONTMETERME             
LIEU-DIT   LES PLACES                 
LIEU-DIT   LES PRAIRIES               
LIEU-DIT   ROCHEFORT                  
LIEU-DIT   LA VERPILLE                
RUE        DE LA CURE                 
PLACE      DE L'EGLISE                
RUE        DES EPARS                  
RUE        DU GRISOT                  
RUE        DU LOTISSEMENT             
PLACE      DU LOTISSEMENT             
IMPASSE    DE LA MAIRIE               
RUE        DE MONTMETERME             
RUE        PRINCIPALE                 
           commune :     AIGUEPERSE                     departement : RHONE                         
LIEU-DIT   LA BARRE                   
LIEU-DIT   LE BAS DE LA COMBE         
LIEU-DIT   AUX BOIS                   
LIEU-DIT   BOIS DES HAYES             
LIEU-DIT   BORDAS                     
LIEU-DIT   LES BORDES                 
LIEU-DIT   LES BOURDONNEAUX           
LIEU-DIT   LE BOURG                   
LIEU-DIT   LES BREUILS                
LIEU-DIT   LA BRUYERE                 
LIEU-DIT   CHAMP CROUX                
LIEU-DIT   CHANTE ALOUETTE            
LIEU-DIT   CHANTE LOUP                
LIEU-DIT   LES CHARMES                
LIEU-DIT   CHEMARIN                   
LIEU-DIT   CHEVAGNY                   
LIEU-DIT   LE COLOMBIER               
LIEU-DIT   LA COMBE                   
LIEU-DIT   LA COMBE AUX GEAIS         
LIEU-DIT   COMBE NOIRE                
LIEU-DIT   CROIX DU TRUGE             
LIEU-DIT   LA FEUILLEE                
LIEU-DIT   FONCAILLES                 
LIEU-DIT   LA FORET                   
LIEU-DIT   LE FOUX                    
LIEU-DIT   LES GATILLES               
LIEU-DIT   GERIS                      
LIEU-DIT   LES GORLATS                
LIEU-DIT   LE GRAND CHAMP             
LIEU-DIT   LES GUILLIENS              
LIEU-DIT   HELAS                      
LIEU-DIT   MARCILLY                   
LIEU-DIT   LES MATRAYS                
LIEU-DIT   MERGAGNE                   
LIEU-DIT   MONT GUILLIN               
LIEU-DIT   LA MONTAGNE                
LIEU-DIT   MONTESCOT                  
LIEU-DIT   LE MOULIN DE LA BARRE      
LIEU-DIT   LA PERRIERE                
LIEU-DIT   AUX PINS                   
LIEU-DIT   PRES DE CHEVAGNY           
LIEU-DIT   PRES DES SOLYS             
LIEU-DIT   LES PRES GERIS             
LIEU-DIT   LA ROCHE                   
LIEU-DIT   LE RONZEAU                 
LIEU-DIT   AUX SARRETS                
LIEU-DIT   LE SOLY                    
LIEU-DIT   TERRES DE CHANTE ALOUETTE  
LIEU-DIT   TERRES DU FOUX             
LIEU-DIT   TRANCHE PIED               
LIEU-DIT   LA TUILERIE                
LIEU-DIT   VAVRE                      
           commune :     ALBIGNY-SUR-SAONE              departement : RHONE                         
           LES HAUTS D'ALBIGNY        
LIEU-DIT   LES AVORAUX                
LIEU-DIT   BALAYE                     
LIEU-DIT   BEL AIR                    
LIEU-DIT   LE BOUCHET                 
LIEU-DIT   LE BOURG                   
LIEU-DIT   LES BRUYERES               
LIEU-DIT   LES CARRIERES              
LIEU-DIT   LES COMBES                 
LIEU-DIT   LE CRET                    
