20151101
76         SEINE MARITIME                
           commune :     ALLOUVILLE-BELLEFOSSE          departement : SEINE MARITIME                
RESIDENCE  DES CHENES                 
RESIDENCE  DES CHENES                 
RESIDENCE  JEAN BAPTISTE BONHEUR      
RESIDENCE  LE NOYER                   
RESIDENCE  DE LA HETRAIE              
RESIDENCE  PIERRE BELAIN D ESNAMBUC   
           RESIDENCE LES BOULEAUX     
RESIDENCE  LES CHARMES                
           RESIDENCE LES CHARMILLES   
RESIDENCE  DES CHENES                 
           RESIDENCE LE FREBOUT       
RESIDENCE  DE LA HETRAIE              
RESIDENCE  JEAN BAPTISTE BONHEUR      
RESIDENCE  LE NOYER                   
           RESIDENCE LES ORMES        
LIEU-DIT   AUBERMARE                  
LIEU-DIT   BEAU SOLEIL                
LIEU-DIT   BELLEFOSSE                 
LIEU-DIT   BOSC A BOSC                
LIEU-DIT   LE BOURG                   
LIEU-DIT   LA CHAPELLE DU HAY         
LIEU-DIT   LE CHATEAU                 
LIEU-DIT   LE CHEVAL BLANC            
LIEU-DIT   EPINEVILLE                 
LIEU-DIT   FERME DE BELLEFOSSE        
LIEU-DIT   FERME DE QUENONVILLE       
LIEU-DIT   LA FEVRERIE                
LIEU-DIT   LA FOSSE A MADEMOISELLE    
LIEU-DIT   LE FREBOUT                 
LIEU-DIT   LA GALANTIERE              
LIEU-DIT   GAUDIMARE                  
LIEU-DIT   LES HAIES                  
LIEU-DIT   HAMEAU BOUILLOT            
LIEU-DIT   LE HAMELET                 
LIEU-DIT   HOULMARE                   
LIEU-DIT   ISMENIL                    
LIEU-DIT   LE MANOIR D ISMENIL        
LIEU-DIT   LA MARE FILLEUL            
LIEU-DIT   LE MESNIL                  
LIEU-DIT   LE MOULIN                  
LIEU-DIT   MOULINS JADIS              
LIEU-DIT   PLAINE DE TOUS VENTS       
LIEU-DIT   LE POTEAU                  
LIEU-DIT   LE PRESBYTERE              
LIEU-DIT   LES TERRES DE BELLEFOSSE   
LIEU-DIT   TERRES DE LA TURGERE       
LIEU-DIT   LA TURGERE                 
LIEU-DIT   LE VAL ANGLAIS             
LIEU-DIT   LA RUE BREMARE             
           LE CHENE                   
           LE CHENE                   
           CHENE                      
           CHENE                      
ROUTE      DE CAUDEBEC                
ROUTE      DE CAUDEBEC                
RUE        DU DOCTEUR PATENOTRE       
RUE        LIERNU                     
RUE        PIERRE BELAIN D ESNAMBUSC  
ALLEE      ABBE DU DETROIT            
RUE        ANDRE RAIMBOURG OU BOURVIL 
RUE        D ALVIMARE                 
IMPASSE    DU BEAU SOLEIL             
ROUTE      DE CAUDEBEC                
RUE        DE BELLEFOSSE              
IMPASSE    BOIELDIEU                  
RUE        DU DOCTEUR PATENOTRE       
RUE        RESIDENCE LES BOULEAUX     
RUE        BOURVIL                    
RUE        BREMARE                    
RUE        DE LA CHAPELLE             
RUE        DES CHARMES                
RUE        JACQUES ANQUETIL           
RUE        DU CIMETIERE               
RUE        DAVID DOUILLET             
RUE        LIERNU                     
IMPASSE    DELISLE                    
RUE        DOCTEUR PATENOTRE          
RUE        EMMANUEL PETIT             
ROUTE      D EPINNEVILLE              
RUE        PIERRE BELAIN D ESNAMBUSC  
RUE        DU FAY                     
RUE        FERNANDEL                  
IMPASSE    DU FREBOUT                 
RUE        RAYMOND POULIDOR           
IMPASSE    DU FRENE CREUX             
RUE        GASTON HACHARD             
RUE        DU HAMELET                 
RUE        HENRI IV                   
PLACE      DES TILLEULS               
RUE        JACQUES ANQUETIL           
RUE        JEAN-BAPTISTE BONHEURE     
IMPASSE    LECOSSAIS                  
RUE        DE LIERNU                  
ROUTE      DE LILLEBONNE              
ROUTE      DE LOUVETOT                
ROUTE      DU MANOIR                  
ROUTE      DE LA MARNIERE             
RUE        DU MESNIL                  
RUE        MICHEL SIMON               
RUE        DE LA MOINERIE             
RUE        DU MOULIN JADIS            
RUE        DU MUSEE                   
RUE        DE L OURAILLE              
RUE        PAUL LEVIEUX               
IMPASSE    PAUL VATINE                
RUE        PAUL VATINE                
RUE        DU PERE DU CERCEAU         
RUE        PIERRE BELAIN D ESNAMBUC   
ALLEE      DES POMMIERS               
IMPASSE    DU PRESBYTERE              
RUE        RAYMOND POULIDOR           
IMPASSE    ROUGET DE L ISLE           
IMPASSE    DE LA TURGERE              
RUE        DE LA TURGERE              
RUE        VERTE                      
           commune :     ALVIMARE                       departement : SEINE MARITIME                
LIEU-DIT   L ANCIENNE EGLISE          
LIEU-DIT   LES BLANQUES               
LIEU-DIT   LA CAYENNE                 
LIEU-DIT   LE CENTRE                  
LIEU-DIT   LA CORNE                   
LIEU-DIT   LE GOULET                  
LIEU-DIT   LE GRAND GOULET            
LIEU-DIT   LE MOULIN                  
LIEU-DIT   LE PETIT GOULET            
LIEU-DIT   LE PIF A TOUS              
LIEU-DIT   TERRES DE LA LIGNE         
LIEU-DIT   LE VILLAGE                 
ROUTE      D ALLOUVILLE               
IMPASSE    DE L ARGILIERE             
RUE        DES AUBEPINES              
ROUTE      DE BELLEFOSSE              
ROUTE      DE BOIS HIMONT             
CHEMIN     DU BOIS JOLI               
IMPASSE    DES BOULEAUX               
RUE        DES BOULEAUX               
RUE        DES CERISIERS              
ROUTE      DE LA CHAPELLE             
RUE        DES CHARMES                
IMPASSE    DES CHENES                 
ROUTE      DE CLEVILLE                
ROUTE      D'ECRETTEVILLE             
ROUTE      DES ERABLES                
ROUTE      DE FOUCART                 
RUE        DES FRENES                 
RUE        DES FRERES                 
IMPASSE    DES GLYCINES               
RUE        GRAND MARE                 
IMPASSE    HANNIER                    
RUE        DES LILAS                  
IMPASSE    DES MARONNIERS             
RUE        DES MERISIERS              
           ROUTE NATIONALE            
RUE        DES NOISETIERS             
CHEMIN     DES NOYERS                 
IMPASSE    DE LA PETITE BLANQUE       
IMPASSE    DES PLATANES               
RUE        DES POMMIERS               
IMPASSE    DES ROSIERS                
ROUTE      DE SAINT AUBIN             
CHEMIN     DES SAULES                 
RUE        DES TILLEULS               
RUE        DU TULIPIER                
           commune :     AMBRUMESNIL                    departement : SEINE MARITIME                
RESIDENCE  LE CLOS                    
LOT        LEBOURG                    
LOT        LES PINS                   
LIEU-DIT   L ACRE DE LA QUEUE         
LIEU-DIT   AU BAUCRE                  
LIEU-DIT   BOUT DE GUEURES            
LIEU-DIT   LA CHAPELLE SAINT LAURENT  
LIEU-DIT   SUR LE CHEMIN D AMBRUMESNI 
LIEU-DIT   LE CHEMIN D AMBRUMESNIL    
LIEU-DIT   SUR LE CHEMIN DE SAINT DEN 
LIEU-DIT   LE CHEMIN VERT             
LIEU-DIT   LA CROIX DE GUEURES        
LIEU-DIT   LA LONGUE HAIE             
LIEU-DIT   RIBEUF                     
LIEU-DIT   SAINT DENIS                
LIEU-DIT   LES THUILLOTS              
LIEU-DIT   LE VILLAGE                 
RUE        DE L EGLISE                
RUE        DE FEU SAINT ELOI          
ROUTE      DU THIL                    
RUE        VASSE                      
RUE        DE L ANCIENNE MARE         
RUE        DE MANNEVILLE              
RUE        DES ETANGS                 
CHEMIN     D ARQUES                   
RUE        DU MONASTERE               
IMPASSE    DU COUVENT                 
IMPASSE    DU CHATEAU                 
RUE        GUILLOT                    
RUE        DES POMMIERS               
ROUTE      DE LA SAANE                
CHEMIN     DE LA CROIX SAINT CLAIR    
           commune :     AMFREVILLE-LA-MIVOIE           departement : SEINE MARITIME                
LIEU-DIT   LA BELLE VUE               
LIEU-DIT   LE BOUT DE BAS             
LIEU-DIT   LE BOUT DES CLOS           
LIEU-DIT   LES BUISSONNETS            
LIEU-DIT   LA COTE DES GRES           
LIEU-DIT   COTE DES PERRETS           
LIEU-DIT   LA COUR A MADAME           
LIEU-DIT   DOMAINE DE LESCURE         
LIEU-DIT   LE GRAND VAL               
LIEU-DIT   LE HAUT VILLAGE            
LIEU-DIT   LES HOULES                 
LIEU-DIT   ILE DU JONQUAY             
LIEU-DIT   ILE GAD                    
LIEU-DIT   LESCURE                    
LIEU-DIT   LONGBOEL                   
LIEU-DIT   LES LONGS CHAMPS           
LIEU-DIT   LA MAIRIE                  
LIEU-DIT   LES MALLES FRANCHES        
LIEU-DIT   LA MIVOIE                  
LIEU-DIT   LE MONT AGER               
LIEU-DIT   LE MONT SAINT REMY         
LIEU-DIT   NEUVILLETTE                
LIEU-DIT   LE PASSAGE                 
LIEU-DIT   LE PETIT VAL               
LIEU-DIT   LES PLACES                 
LIEU-DIT   LES PRES                   
LIEU-DIT   LES RENARDIERES            
LIEU-DIT   LES VACHES CHEVALIERES     
LIEU-DIT   LE VAL                     
LIEU-DIT   LE VAL DE LESCURE          
LIEU-DIT   LE VAUDEMENT               
LIEU-DIT   LE VEAU LISARD             
LIEU-DIT   LE VEAU QUI TETE           
LIEU-DIT   LA VERRERIE                
LIEU-DIT   LE VILLAGE                 
LIEU-DIT   AU BOURG                   
           LA SEINE FLEUVE            
ZONE       INDUSTRIELLE DU JONQUAY    
           LIMITE ADMINISTRATIVE      
RUE        ANDRE DURAND               
ALLEE      DE LA BATELLERIE           
CHEMIN     DE BELBEUF                 
RUE        DES BLEUETS                
ALLEE      DU BOUVREUIL               
CHEMIN     DES BUISSONNETS            
RUE        DES BUISSONNETS            
ALLEE      DE LA CLAIRIERE            
VC         DITE CALE A BUDIN          
SENTIER    AUX LIEVRES                
CHS        CARTIER                    
ALLEE      DES CHEVREUILS             
CHEMIN     DU CIMETIERE               
RUE        DU 19 MARS                 
RUE        EUGENE POTTIER             
RUE        DES ECUREUILS              
RUE        DES FAUVETTES              
RUE        FRANCOIS MITTERRAND        
RUE        GABRIEL LEMAIRE            
ALLEE      GEORGES BRASSENS           
RUE        GERARD PHILIPPE            
RUE        DES GLYCINES               
SENTIER    STE DES GRES               
RUE        DU HUIT MAI 1945           
ALLEE      JEAN BAPTISTE CLEMENT      
RUE        JEAN BINARD                
RUE        JULES VALLES               
QUAI       DE LESCURE                 
PLACE      DE LA LIBERTE              
RUE        DE LA LIBERTE              
SENTIER    AUX LIEVRES                
ALLEE      LOUISE MICHEL              
PLACE      DE LA MAIRIE               
SENTIER    DES GRES                   
CHEMIN     DES MALLEFRANCHES          
RUE        DES MALLEFRANCHES          
CHEMIN     DE MESNIL ESNARD           
ROUTE      DE MESNIL ESNARD           
RUE        DE MESNIL ESNARD           
SENTIER    STE DU MONT AGER           
SENTIER    DU MONT AGER               
RUE        DU MONT ST REMY            
RUE        NEUVILLETTE                
CHEMIN     DE NEUVILETTE              
RUE        MENDES FRANCE              
ALLEE      PABLO PICASSO              
ROUTE      DE PARIS                   
CHEMIN     DES PERETS                 
ALLEE      DU PIVERT                  
RUE        DU PRE AUX BOEUFS          
ALLEE      DES PRIMEVERES             
RUE        RAYMOND SOUDAIN            
ALLEE      DU RENARD                  
RUE        ROBERT TURQUIER            
RUE        DE SOTTEVILLE              
RUE        DES VIOLETTES              
RUE        WILDAU                     
           commune :     AMFREVILLE-LES-CHAMPS          departement : SEINE MARITIME                
LIEU-DIT   BOIS D OUVILLE             
LIEU-DIT   BOIS DU FOITREL            
LIEU-DIT   LE BOISSEAU                
LIEU-DIT   BOSMARE                    
LIEU-DIT   CHAMPTIER DU BOIS BENARD   
LIEU-DIT   CHAMPTIER DU MOULIN A VENT 
LIEU-DIT   ENTRE BERVILLE ET AMFREVIL 
LIEU-DIT   GUEULLEVILLE               
LIEU-DIT   HAMEAU D YEMANVILLE        
LIEU-DIT   LA MARE DES SAULES         
LIEU-DIT   PLAINE DE GUEULLEVILLE     
LIEU-DIT   TERRES DE BIHOREL          
LIEU-DIT   LE VILLAGE                 
ROUTE      DE BERVILLE                
ROUTE      DE BOSC MARE               
PLACE      DE L EGLISE                
ROUTE      DE LA FOSSE AUX LOUPS      
ROUTE      DE GUEULLEVILLE            
IMPASSE    DES JONQUILLES             
