20151101
79         DEUX SEVRES                   
           commune :     L ABSIE                        departement : DEUX SEVRES                   
LIEU-DIT   LA BARRE                   
LIEU-DIT   LA BAUDONNIERE             
LIEU-DIT   BEAU SOLEIL                
LIEU-DIT   BEL AIR                    
LIEU-DIT   LA BERGERIE                
LIEU-DIT   LE BOIS                    
LIEU-DIT   BOIS BRECHAUD              
LIEU-DIT   LE BOIS GIRAUD             
LIEU-DIT   LE BOIS NORD               
LIEU-DIT   LA BOURDANDELIERE          
LIEU-DIT   LA BOURDETTRIE             
LIEU-DIT   LE BOURG NORD              
LIEU-DIT   LE BOURG OUEST             
LIEU-DIT   LE BOURG SUD               
LIEU-DIT   CHANTOISEAU                
LIEU-DIT   CHANTOISEAU NORD           
LIEU-DIT   LA CHAPELLE SEGUIN         
LIEU-DIT   LA CHENAIE                 
LIEU-DIT   LA COTTE                   
LIEU-DIT   LA COURTE MONNAIE          
LIEU-DIT   L ECLUSE                   
LIEU-DIT   L ETORIERE                 
LIEU-DIT   LA FOYE                    
LIEU-DIT   LE GRAND FREIGNER          
LIEU-DIT   LE GRAND QUART             
LIEU-DIT   LA GRANGE                  
LIEU-DIT   LA GRANGE SUD              
LIEU-DIT   LE GRENOUILLER             
LIEU-DIT   LE JEUDI SAINT             
LIEU-DIT   LES JINCHERES              
LIEU-DIT   LA JOLINIERE               
LIEU-DIT   LE JOURDAIN                
LIEU-DIT   LA JUNTE                   
LIEU-DIT   LA LIMOUSINIERE            
LIEU-DIT   LE MARGA                   
LIEU-DIT   LES MINEES                 
LIEU-DIT   LA MORINIERE               
LIEU-DIT   LA MORINIERE EST           
LIEU-DIT   LA MORINIERE OUEST         
LIEU-DIT   LE MOULIN DU BOIS          
LIEU-DIT   LE MOULIN NEUF             
LIEU-DIT   LE PETIT MOULIN            
LIEU-DIT   PLAISANCE                  
LIEU-DIT   LES PRES MICHONNEAU        
LIEU-DIT   LA PREVEZALIERE            
LIEU-DIT   LE PRIEURE                 
LIEU-DIT   LA RAIMONDIERE             
LIEU-DIT   RAPAILLER                  
LIEU-DIT   RUE DE LA MAIRIE           
LIEU-DIT   RUE DE LA POSTE            
LIEU-DIT   LA SAPINIERE               
LIEU-DIT   LA SAUZAIE                 
LIEU-DIT   LA TAILLEE                 
LIEU-DIT   TALENCE                    
LIEU-DIT   TALONNIERES                
LIEU-DIT   TERRES DE L ABSIE          
LIEU-DIT   TERRES DU JEUDI SAINT      
LIEU-DIT   LES TERRIERS               
LIEU-DIT   LA TRIOLERIE               
LIEU-DIT   LA VIALERE                 
LIEU-DIT   LE VIANDEAU                
LIEU-DIT   L AUDONNERIE               
LIEU-DIT   LA BARAUDIERE              
LIEU-DIT   LE PETIT FREIGNER          
LIEU-DIT   L AVENEAU                  
LIEU-DIT   LE PAVILLON                
RUE        ANDRE JABOUILLE            
RUE        ARTHUR FONTENEAU           
RUE        DE L AUDONNERIE            
           L AVENEAU                  
CHEMIN     DE LA BARAUDIERE           
RUE        DE BEAU SOLEIL             
RUE        DE LA BERGERIE             
ROUTE      DU BEUGNON                 
RUE        DU CALVAIRE                
ROUTE      DE LA CHAPELLE SEGUIN      
RUE        DE LA CHAPELLE SEGUIN      
RUE        DU COLLEGE                 
RUE        DE LA DANDINERIE           
RUE        DES ECOLIERS               
ALLEE      DE L EGLISE                
PLACE      DE L EGLISE                
RUE        DES FLEURS                 
RUE        FONTENEAU                  
RUE        DE LA FORET                
RUE        DE LA FOYE                 
CHEMIN     DU GRAND FREIGNE           
RUE        DES HALLES                 
RUE        DES HAUTS DE GATINE        
RUE        DE LA JOLINIERE            
RUE        DE LA MORINIERE            
RUE        DE NIORT                   
ROUTE      DE PARTHENAY               
RUE        DE PLAISANCE               
RUE        DE LA PROMENADE            
IMPASSE    DE LA POSTE                
RUE        DE LA POSTE                
PLACE      DU 14 JUILLET 1836         
RUE        RAYMOND MIGAUD             
RUE        DE LA REPUBLIQUE           
RUE        DE SAINT PAUL              
RUE        DE LA SAUZAIE              
RUE        DU SOUVENIR                
RUE        DE LA TAILLEE              
           commune :     ADILLY                         departement : DEUX SEVRES                   
LIEU-DIT   L AUDONNIERE               
LIEU-DIT   LES AUZELIERES             
LIEU-DIT   LA BARRE                   
LIEU-DIT   LA BIAUDIERE               
LIEU-DIT   LA BILLOUERE               
LIEU-DIT   LE BOURG                   
LIEU-DIT   LE BOURG SUD               
LIEU-DIT   LES BRANDES                
LIEU-DIT   LES CHAIGNASSES            
LIEU-DIT   LA CHAIGNEE                
LIEU-DIT   LES CHAMPS BLANCS          
LIEU-DIT   LES CHAMPS DE LA PRAIE     
LIEU-DIT   LES CHAMPS DU BOIS NORD    
LIEU-DIT   LES CHAMPS DU BOIS SUD     
LIEU-DIT   LES CHAMPS ROUGES          
LIEU-DIT   LES CHETIFS CHAMPS         
LIEU-DIT   LA CLAIRIERE               
LIEU-DIT   LA CLEMENCIERE             
LIEU-DIT   LES COMBES                 
LIEU-DIT   LA CORDINIERE              
LIEU-DIT   LA COUTURE                 
LIEU-DIT   LA FORGE                   
LIEU-DIT   LES FOUGERES               
LIEU-DIT   LES FOUGERES EST           
LIEU-DIT   GACHABOT                   
LIEU-DIT   LA GIROIRIERE              
LIEU-DIT   LE GRAND LIRON             
LIEU-DIT   LA GRANDE COUSSAYE         
LIEU-DIT   LES GRANDES BORDES         
LIEU-DIT   LES GRANDS CHAMPS EST      
LIEU-DIT   LES GRANDS CHAMPS OUEST    
LIEU-DIT   HORBESSOUSSE               
LIEU-DIT   LES LACS                   
LIEU-DIT   LE MONT D OR               
LIEU-DIT   NOTRE DAME                 
LIEU-DIT   LA PERCHEE                 
LIEU-DIT   LES PETITES BORDES         
LIEU-DIT   LE PONT BONNEAU            
LIEU-DIT   LA PRAIE                   
LIEU-DIT   LES QUATRES VENTS          
LIEU-DIT   LES REVALLEES              
LIEU-DIT   LE ROCHARD                 
LIEU-DIT   SAINT COME                 
LIEU-DIT   SAINT PIERRE               
LIEU-DIT   SAINTE MARGUERITE          
LIEU-DIT   SAINTE RADEGONDE           
