20151101
82         TARN ET GARONNE               
           commune :     ALBEFEUILLE LAGARDE            departement : TARN ET GARONNE               
LOT        LA POUSAQUE                
LOT        VERTE CAMPAGNE             
LIEU-DIT   A                          
LIEU-DIT   ALBEFEUILLE                
LIEU-DIT   BANADETS                   
LIEU-DIT   LA BARTHE BASSE            
LIEU-DIT   LA BARTHE HAUTE            
LIEU-DIT   BEAUVILLA                  
LIEU-DIT   BERNOYE                    
LIEU-DIT   CAMI NAUT                  
LIEU-DIT   CAMINADO                   
LIEU-DIT   CAMPARNAUT                 
LIEU-DIT   CAMPS DE LA PAILLOLE       
LIEU-DIT   CAMPS GRANDS               
LIEU-DIT   CANTE COUYOUL              
LIEU-DIT   CAPELLE EST                
LIEU-DIT   CAPELLE OUEST              
LIEU-DIT   CARTAYRADES                
LIEU-DIT   CASTAGNE                   
LIEU-DIT   FLAMARENC                  
LIEU-DIT   GASTAU                     
LIEU-DIT   GAUTIER                    
LIEU-DIT   GRAND BOSC                 
LIEU-DIT   LES GRANGES                
LIEU-DIT   GUILLOU                    
LIEU-DIT   HAMEAU DE LA PAILLOLE      
LIEU-DIT   JOUL TUC                   
LIEU-DIT   JOUNCAS                    
LIEU-DIT   JOUS BOSQUES               
LIEU-DIT   LAGARDE                    
LIEU-DIT   LAGUILLOU                  
LIEU-DIT   LAS BAYSSES                
LIEU-DIT   LAS FOUNCES                
LIEU-DIT   LAS FOUNSACES              
LIEU-DIT   LAS GRABES                 
LIEU-DIT   LAS GRABETES               
LIEU-DIT   LAS GRANGES                
LIEU-DIT   LAS NAUZETTES              
LIEU-DIT   LAS PRADELLES              
LIEU-DIT   LAS TRABESSES              
LIEU-DIT   LEBATS                     
LIEU-DIT   MALARDEAU                  
LIEU-DIT   MARJOULET                  
LIEU-DIT   MASSIP                     
LIEU-DIT   MIRAL                      
LIEU-DIT   MONBEL                     
LIEU-DIT   PAILLOLE                   
LIEU-DIT   LA PALANQUETTE             
LIEU-DIT   PES DE BIOS                
LIEU-DIT   PESSE GRANDE               
LIEU-DIT   PESSES GRANDES             
LIEU-DIT   PESSOLS                    
LIEU-DIT   PIESSES LOUNGUES           
LIEU-DIT   PIGNES                     
LIEU-DIT   POMPIGNE                   
LIEU-DIT   LA POUSAQUE                
LIEU-DIT   LA POUSAQUE HAUTE          
LIEU-DIT   PRATS                      
LIEU-DIT   PRATS DE LAS COURECHOS     
LIEU-DIT   RIOU PRIOU                 
LIEU-DIT   LA RIVIERE                 
LIEU-DIT   ROUGETS                    
LIEU-DIT   ROUMEGUET                  
LIEU-DIT   SIGNOURET                  
LIEU-DIT   SOL DEL DEYME              
LIEU-DIT   TAP                        
LIEU-DIT   TICOL BAS                  
LIEU-DIT   TICOL HAUT                 
LIEU-DIT   TOURBIEU                   
LIEU-DIT   TUC DE TOURBIEU            
ROUTE      ADRIEN MEZGER              
IMPASSE    DE L ALBA                  
IMPASSE    BELLE RIVE                 
CHEMIN     DU BOIS VIEUX DE BERNOYE   
CHEMIN     DU BOMY                    
CHEMIN     DE BRO                     
CHEMIN     DE CASTAGNE                
CHEMIN     DES CAUSSADES              
IMPASSE    DU CIMETIERE               
PLACE      DU 19 MARS 1962            
IMPASSE    DE L EGLISE                
CHEMIN     DE L EGLISE D ALBEFEUILLE  
CHEMIN     DE FLAMMARENC              
CHEMIN     DES GRANGES                
PLACE      DU 8 MAI 1945              
CHEMIN     DE LABARTHE                
ROUTE      DE LAVILLEDIEU             
CHEMIN     DU LAVOIR                  
IMPASSE    DE LA LEBRE                
RUE        DE LA MAIRIE               
CHEMIN     DE MASSIP                  
CHEMIN     DES MERLANES               
ROUTE      DE MONTAUBAN               
ROUTE      DE MONTBETON               
ROUTE      DE NIVELLE                 
CHEMIN     DE LA PAILLOLE             
RUE        PAUL ROUSSEL               
IMPASSE    DE LA POMMERAIE            
CHEMIN     DE POMPIGNE                
CHEMIN     DU PONT DE TUILE           
RUE        RHIN ET DANUBE             
RUE        DU STADE                   
COTE       DU TAP                     
IMPASSE    DU TARN                    
COTE       DU TUC                     
CHEMIN     DU TUC                     
           commune :     ALBIAS                         departement : TARN ET GARONNE               
LOT        CAMBON                     
LOT        CASTET                     
LOT        LA COUROUNELLE             
LOT        GAILLARDO                  
LOT        GARRIGUES                  
LOT        LAFITTE                    
CITE       PEYROUNET                  
LOT        LES ROMARINS               
LIEU-DIT   A                          
LIEU-DIT   ALBERGNET                  
LIEU-DIT   ALBIAS                     
LIEU-DIT   ANGUILIERES                
LIEU-DIT   AUJOLE                     
LIEU-DIT   LES BAILLOTS               
LIEU-DIT   BARBIE                     
LIEU-DIT   BARDEOU                    
LIEU-DIT   BARREAU                    
LIEU-DIT   BERGOUGNE                  
LIEU-DIT   BICOUS                     
LIEU-DIT   BORDE BLANCHE              
LIEU-DIT   BORDE NEUVE                
LIEU-DIT   BORDE-HAUTE                
LIEU-DIT   BORIES                     
LIEU-DIT   BOSQUES                    
LIEU-DIT   BOULIGAIRE                 
LIEU-DIT   BOURDIER                   
LIEU-DIT   BOURNAGUESE                
LIEU-DIT   BOURNETS                   
LIEU-DIT   LA BRIVE                   
LIEU-DIT   BRUYERES                   
LIEU-DIT   CABANAS                    
LIEU-DIT   CANTAYRE                   
LIEU-DIT   CHALE                      
LIEU-DIT   LA CLARE                   
LIEU-DIT   COUROUNELLE                
LIEU-DIT   COUROUNET                  
LIEU-DIT   CRITZ                      
