20151101
85         VENDEE                        
           commune :     AIGUILLON-SUR-MER (L )         departement : VENDEE                        
ZA         ZONE ARTISANALE            
LOT        DE LA BAIE                 
           FOYER SOLEIL               
LOT        DU LEVANT                  
LOT        L AURORE                   
LOT        MATHYSSE                   
LIEU-DIT   LE BOURG                   
LIEU-DIT   LES CAVES                  
LIEU-DIT   LE COMMUNAL                
LIEU-DIT   LES COURBEJAUX             
LIEU-DIT   COURSEAU DU PONT           
LIEU-DIT   LA DIGUE                   
LIEU-DIT   DIVISION OUEST             
LIEU-DIT   LE FORT                    
LIEU-DIT   LES GABUS                  
LIEU-DIT   LE GENIE                   
LIEU-DIT   LE GRAND JARDIN            
LIEU-DIT   LES GRANDES PORTIONS       
LIEU-DIT   LES GRANDES VIGNES         
LIEU-DIT   LES MARAIS VERTS           
LIEU-DIT   PARTIE NORD DES GLAIREAUX  
LIEU-DIT   PARTIE SUD DES GLAIRAUX    
LIEU-DIT   LE PETIT JARDIN            
LIEU-DIT   LE PORT                    
LIEU-DIT   PRISE DE GATE BOURSE       
LIEU-DIT   LA PRISE DES CANONS        
LIEU-DIT   PRISE DU BOIS              
LIEU-DIT   PRISE EST                  
LIEU-DIT   PRISE PATURE               
LIEU-DIT   PRISE TORSE                
LIEU-DIT   LES SABLES                 
LIEU-DIT   LES SABLES DES GLAIREAUX   
LIEU-DIT   LES SABLONS                
LIEU-DIT   VIEILLE PRISE              
LIEU-DIT   LES VIGNES DE LA COTE      
LIEU-DIT   LA PLAGE                   
LIEU-DIT   LA POIN DE L AIGUILLON     
LIEU-DIT   L ESTUAIRE DU LAY          
LIEU-DIT   LES GRANDS JARDINS         
LIEU-DIT   LES GLAIREAUX              
CHEMIN     DES ABATTOIRS              
RUE        DES AIGRETTES              
IMPASSE    ALPHONSE DAUDET            
AVENUE     AMIRAL COURBET             
RUE        DE L ANCIENNE GARE         
RUE        DE L AURORE                
PLACE      DES AVOCETTES              
CHEMIN     DE LA BAIE                 
CHEMIN     DE BASSE BRENEE            
RUE        DE LA BATTERIE             
IMPASSE    BEL AIR                    
ROUTE      DE BEL AIR                 
RUE        DES BECASSINES             
RUE        DES BELLES FILLES          
RUE        DE BELLEVUE                
RUE        DES BERNACHES              
RUE        DES BOUTADES               
RUE        DES BOUTETES               
IMPASSE    DES BOUTETES               
CHEMIN     DU BRAUD                   
RUE        DES CAMELIAS               
RUE        DES CAMPANULES             
IMPASSE    DES CANONS                 
IMPASSE    LES CHENES VERTS           
RUE        DES CAPUCINES              
ALLEE      DES CHENES VERTS           
IMPASSE    DES CHEVALIERS             
RUE        DE LA CHICANIERE           
RUE        DES COLS VERTS             
RUE        DU CALVAIRE                
BOULEVARD  DU COMMUNAL                
RUE        DU COMMUNAL                
RUE        DE LA CONCORDE             
RUE        DES COQUELICOTS            
RUE        DES CORMORANS              
RUE        CORNEILLE                  
BOULEVARD  DES COURLIS                
RUE        DES COURLIS                
IMPASSE    CORNEILLE                  
RUE        DE LA CURE                 
RUE        DES CYGNES                 
RUE        DU DIX HUIT JUIN 1940      
PLACE      DU DOCTEUR GIRAUDET        
PLACE      DU DOCTEUR PIGEANNE        
IMPASSE    EMILE ZOLA                 
RUE        EMILE ZOLA                 
RUE        FLANDRE DUNKERQUE          
CHEMIN     DU FORT                    
IMPASSE    GABY MORLAY                
RUE        GABY MORLAY                
IMPASSE    DES GATES BOURSES          
CHEMIN     DES GATES BOURSES          
RUE        DU GEN DE GAULLE           
RUE        GEORGES CLEMENCEAU         
CHEMIN     DES GLAIREAUX              
RUE        DES GOELANDS               
ROUTE      DE LA GRANDE JETEE         
ROUTE      DE GRUES                   
RUE        DES HAUTS FAITS            
RUE        DES HERONS                 
RUE        DES HORTENSIAS             
RUE        DU HUIT MAI                
RUE        JACQUES MOREAU             
IMPASSE    JACQUES MOREAU             
RUE        DES JARDINS                
RUE        JEAN CHARCOT               
RUE        JEAN DE LA FONTAINE        
IMPASSE    JEAN JACQUES               
RUE        JEAN JACQUES               
RUE        JEAN MOULIN                
RUE        JEAN RACINE                
RUE        DES MARAIS                 
