20151101
86         VIENNE                        
           commune :     ADRIERS                        departement : VIENNE                        
CENTRE     D AIDE PAR LE TRAVAIL      
LIEU-DIT   L ABREUVOIR                
LIEU-DIT   LES ACCOLADES              
LIEU-DIT   L ACQUIT                   
LIEU-DIT   L AGE BOUTAUD              
LIEU-DIT   L AGE BOUTRIE              
LIEU-DIT   LES AIMARDIERES            
LIEU-DIT   LES AMARINS                
LIEU-DIT   LES AMPEUX                 
LIEU-DIT   L ANATOLIE                 
LIEU-DIT   LES ANTES                  
LIEU-DIT   LES AUBARDS                
LIEU-DIT   BAGOUERAND                 
LIEU-DIT   LA BARACHERE               
LIEU-DIT   AUX BARAILLES              
LIEU-DIT   LA BARAUDAYE               
LIEU-DIT   LA BARNELLE                
LIEU-DIT   LES BARRIERES              
LIEU-DIT   LE BATON                   
LIEU-DIT   LES BEAUDISSIERES          
LIEU-DIT   LES BEAUX                  
LIEU-DIT   LES BEAUX LIERRES          
LIEU-DIT   BELLEVUE                   
LIEU-DIT   LES BERGERAUX              
LIEU-DIT   LA BERNARDRIE              
LIEU-DIT   LA BERNIERE                
LIEU-DIT   BIAIS                      
LIEU-DIT   LES BLANCHARDS             
LIEU-DIT   LE BOIS                    
LIEU-DIT   LES BOIS                   
LIEU-DIT   BOIS BLANC                 
LIEU-DIT   LE BOIS BONNET             
LIEU-DIT   LE BOIS DE BIAIS           
LIEU-DIT   LE BOIS DE CHAPITRE        
LIEU-DIT   LE BOIS DE CHARRAUD        
LIEU-DIT   BOIS DE CHEZ TRIQUIN       
LIEU-DIT   LE BOIS DE L AGE           
LIEU-DIT   BOIS DE LA FONT            
LIEU-DIT   LE BOIS DES JUGES          
LIEU-DIT   LE BOIS DU PIC             
LIEU-DIT   BOIS GRELE                 
LIEU-DIT   LE BOIS GUILLON            
LIEU-DIT   BOIS JOLI                  
LIEU-DIT   LE BOIS RECLOU             
LIEU-DIT   LES BOIS RENARD            
LIEU-DIT   LE BOIS RIVAUX             
LIEU-DIT   LES BOIS ROBIS             
LIEU-DIT   BOIS SEME                  
LIEU-DIT   LE BOIS SEME               
LIEU-DIT   BOIS THOMAS                
LIEU-DIT   LA BOISSELIERE             
LIEU-DIT   LES BOMBILLARDS            
LIEU-DIT   LA BORDERIE                
LIEU-DIT   LA BOUCHERE                
LIEU-DIT   LA BOUIGE                  
LIEU-DIT   LA BOUIGE BLANCHE          
LIEU-DIT   LA BOUIGE BOURADE          
LIEU-DIT   LA BOUIGE DE L AGE         
LIEU-DIT   LA BOUIGE DES SAULES       
LIEU-DIT   LA BOUIGE DU CORMIER       
LIEU-DIT   LA BOUIGE PLATE            
LIEU-DIT   LES BOUIGES                
LIEU-DIT   LES BOUILLONS              
LIEU-DIT   LA BOUINADE                
LIEU-DIT   LA BOURBONNE               
LIEU-DIT   LE BOURG                   
LIEU-DIT   LES BRANDES DE BIAIS       
LIEU-DIT   LES BRANDES DE CHAPITRE    
LIEU-DIT   BRANDES DE FAYOLLE         
LIEU-DIT   BRANDES DE LA CROIX        
LIEU-DIT   BRANDES DE VRAS            
LIEU-DIT   BRANDES DES BEAUDISSIERES  
LIEU-DIT   BRANDES DES EMARDIERES     
LIEU-DIT   LES BRANDES DU RUISSEAU    
LIEU-DIT   LA BREGERE                 
LIEU-DIT   LA BRELIERE                
LIEU-DIT   LE BREUIL                  
LIEU-DIT   LES BREUILS                
LIEU-DIT   LA BROU DE LA BLANCHE      
LIEU-DIT   LA BROUE                   
LIEU-DIT   LA BROUE AU PONT           
LIEU-DIT   LES BROUES DE LA TACHE     
LIEU-DIT   LA BROUETTE                
LIEU-DIT   LA BROUILLE                
LIEU-DIT   LA BROUSSE                 
LIEU-DIT   LA BROUSSE DE LAFOND       
LIEU-DIT   LES BROUSSILLONS           
LIEU-DIT   LES BROUSSONNIERES         
LIEU-DIT   LA BROUX                   
LIEU-DIT   LES BROUX                  
LIEU-DIT   LA BROUX DU MOULIN         
LIEU-DIT   LA BROUX TORLIERES         
LIEU-DIT   LES BRULADAIS              
LIEU-DIT   LE BRULE                   
LIEU-DIT   LES BRULES                 
LIEU-DIT   LES BRULIS                 
LIEU-DIT   LES BRUSILLONS             
LIEU-DIT   LES BUIS                   
LIEU-DIT   LA CAILLERIE               
LIEU-DIT   LES CARDINEAUX             
LIEU-DIT   LES CARTES                 
LIEU-DIT   LES CARTIS                 
LIEU-DIT   LES CASSES                 
LIEU-DIT   LES CAVES                  
LIEU-DIT   LES CERCEAUX               
LIEU-DIT   LE CERISIER                
LIEU-DIT   LES CEUILLES               
LIEU-DIT   CHADELA                    
LIEU-DIT   LES CHAGNAUX               
LIEU-DIT   LA CHAGNE                  
LIEU-DIT   LE CHAGNIOUX               
LIEU-DIT   LES CHAILLES               
LIEU-DIT   LES CHAINTRES              
