20151101
87         HAUTE VIENNE                  
           commune :     AIXE-SUR-VIENNE                departement : HAUTE VIENNE                  
RESIDENCE  D ARLIQUET                 
LOT        LA CLE DU CIEL             
LIEU-DIT   ARLIQUET                   
LIEU-DIT   L ATELIER                  
LIEU-DIT   BAS PUY DE MONT            
LIEU-DIT   LE BAS VIGNAUD             
LIEU-DIT   BEAU CHABROL               
LIEU-DIT   BEAUBONNAT                 
LIEU-DIT   BELAIR                     
LIEU-DIT   BELLE CRETE                
LIEU-DIT   BELLEVUE                   
LIEU-DIT   LE BOS                     
LIEU-DIT   LES BOS                    
LIEU-DIT   LE BOS DE FARGEAS          
LIEU-DIT   LE BOUCHERON               
LIEU-DIT   LA BOUCHIE                 
LIEU-DIT   BOUJARET                   
LIEU-DIT   BOURG NEUF EST             
LIEU-DIT   BOURG NEUF OUEST           
LIEU-DIT   BOUTALEIX                  
LIEU-DIT   LE BUISSON                 
LIEU-DIT   LA CARAQUE                 
LIEU-DIT   CHAMBORET                  
LIEU-DIT   CHANTEGROS                 
LIEU-DIT   LE CHEYROUX                
LIEU-DIT   CHEZ CAILLAUD              
LIEU-DIT   CHEZ DERRE                 
LIEU-DIT   CHEZ TAUNISSON             
LIEU-DIT   CHEZ VIGNAUD               
LIEU-DIT   CLOS SAINT GERALD          
LIEU-DIT   LE COLOMBIER               
LIEU-DIT   LA COTE                    
LIEU-DIT   LA COTE DE BELLEVUE        
LIEU-DIT   LES COTES                  
LIEU-DIT   ETIQUET                    
LIEU-DIT   FARGEAS                    
LIEU-DIT   FENEROLLES                 
LIEU-DIT   FONT FROIDE                
LIEU-DIT   LA GARE                    
LIEU-DIT   DU GONNET                  
LIEU-DIT   LA GAUBERTIE               
LIEU-DIT   LE GRAND BOS               
LIEU-DIT   GRAND RIEUX                
LIEU-DIT   LE GRAND RIEUX NORD        
LIEU-DIT   LE GRAND RIEUX SUD         
LIEU-DIT   LA GRANDE PIECE            
LIEU-DIT   GRANDE TERRE               
LIEU-DIT   GRANDE VIGNE               
LIEU-DIT   LES GRANDES RIVAILLES      
LIEU-DIT   LES GRANDES VIGNES         
LIEU-DIT   LA GRANGE                  
LIEU-DIT   GRANGE NEUVE               
LIEU-DIT   LES GRANGETTES             
LIEU-DIT   LES GRANGETTES DE LA POUGE 
LIEU-DIT   L HERMITAGE                
LIEU-DIT   JABALIE                    
LIEU-DIT   LABORIE                    
LIEU-DIT   LAGEAUD                    
LIEU-DIT   LES LANDES                 
LIEU-DIT   LAS GOUTTARIAS             
LIEU-DIT   LAS TAUVEYRAS              
LIEU-DIT   LAS TAUVEYRAS DE FARGEAS   
LIEU-DIT   LE MAS DU BOST             
LIEU-DIT   LE MASNEUF                 
LIEU-DIT   LE MONTANT                 
LIEU-DIT   MOULIN CHEYROUX            
LIEU-DIT   MOULIN DE L OR             
LIEU-DIT   MOULIN DE TARN             
LIEU-DIT   MOULIN DE VIENNE           
LIEU-DIT   MOULIN GERY                
LIEU-DIT   MOULIN SEGUY               
LIEU-DIT   LA NEPHLE                  
LIEU-DIT   LOSMONERIE                 
LIEU-DIT   LA PAGNADE                 
LIEU-DIT   PANGUET                    
LIEU-DIT   LA PEPINIERE               
LIEU-DIT   POMPADOUR                  
LIEU-DIT   PONT DE FARGEAS            
LIEU-DIT   LE PORTAIL                 
LIEU-DIT   LA PORTE                   
LIEU-DIT   PORTE AUX ROUGES           
LIEU-DIT   LA POUGE                   
LIEU-DIT   PRE BRUN                   
LIEU-DIT   PRUGNAT                    
LIEU-DIT   PUY PANARD                 
LIEU-DIT   DE PUY DE MONT             
LIEU-DIT   PUY DE MONT                
LIEU-DIT   PUYFAUCON                  
LIEU-DIT   PUY NEMARD                 
LIEU-DIT   QUARTIER OUTRE VIENNE      
LIEU-DIT   LES QUERRADES              
LIEU-DIT   LES RENARDIERES            
LIEU-DIT   LES RESSAUDIS              
LIEU-DIT   RIEUX CROS                 
LIEU-DIT   DE RIGNAC                  
LIEU-DIT   RIGNAC                     
LIEU-DIT   LES RIVAUX                 
LIEU-DIT   LA ROCHE                   
LIEU-DIT   ROCHE NOIRE                
LIEU-DIT   LA ROCHILLE                
LIEU-DIT   LES ROSES                  
LIEU-DIT   SAINT AMAND                
LIEU-DIT   SAINT GERALD               
LIEU-DIT   TABAILLOU                  
LIEU-DIT   TARN                       
LIEU-DIT   TREUIL POUZY               
LIEU-DIT   TREUIL POUZY NORD          
LIEU-DIT   TREUIL POUZY OUEST         
LIEU-DIT   LES TUILIERES              
LIEU-DIT   LA VALADE SUR AIXETTE      
LIEU-DIT   LA VALLADE                 
LIEU-DIT   VERGNOLES                  
LIEU-DIT   VIENNE                     
LIEU-DIT   LE VIGNAUD                 
LIEU-DIT   LA VILLE                   
LIEU-DIT   LE YONNAUD                 
LIEU-DIT   BEAUVALET                  
LIEU-DIT   LE COTEAU                  
LIEU-DIT   MOULIN BOUSSOUS            
LIEU-DIT   MAISON BLANCHE             
LIEU-DIT   L AGE                      
LIEU-DIT   LE BOUCHERON EST           
LIEU-DIT   LA POUGE NORD              
LIEU-DIT   LA POUGE SUD               
LIEU-DIT   TARN NORD                  
LIEU-DIT   TARN SUD                   
LIEU-DIT   BEAUTALET                  
LIEU-DIT   LE BOUCHERON OUEST         
LIEU-DIT   HAMEAU DE BEAUBONNAT       
LIEU-DIT   JABALIE BAS                
LIEU-DIT   JABALIE HAUT               
LIEU-DIT   MOULIN DAVID               
LIEU-DIT   MOULIN MOREAU              
RUE        DES ACACIAS                
RUE        ALFRED SISLEY              
IMPASSE    ALEXANDRE DUMAS            
RUE        ALPHONSE DAUDET            
RUE        DE L ABREUVOIR             
PLACE      DE L AIXETTE               
RUE        ANDRE CHENIER              
RUE        D ARLIQUET                 
PLACE      DE L AURENCE               
PLACE      AYMARD FAYARD              
RUE        AUGUSTE RENOIR             
RUE        DE L ATELIER               
RUE        DU BARRY                   
IMPASSE    DU BARRY                   
RUE        DES BARBICHETS             
RUE        DE BELAIR                  
RUE        DE BELLEVUE                
RUE        DE BORDEAUX                
RUE        DE LA BRIANCE              
PLACE      DU CHAMP DE FOIRE          
RUE        DE LA CARAQUE              
RUE        BERTHE MORIZOT             
ROUTE      DE BEYNAC                  
CHEMIN     DE L' AGE                  
SQUARE     DE BOUGAINVILLE            
IMPASSE    DES BOULEAUX               
RUE        BRIGITTE GUITARD           
IMPASSE    DE LA CARAQUE              
AVENUE     DES CARS                   
ALLEE      GUERINIERE                 
PASSERELLE ANDRE GLANDUS              
CHEMIN     DE CHANTEGROS              
RUE        CHATEAUBRIAND              
RUE        CHARLES PEGUY              
RUE        DES CHATAIGNIERS           
RUE        DES CHENES                 
CHEMIN     LA CLE DU CIEL             
RUE        MARTHE FRUGIER             
RUE        DE COGNAC                  
RUE        DES MESANGES               
RUE        DU COLOMBIER               
RUE        DES BERGERONNETTES         
RUE        DES BOUVREUILS             
RUE        DES LORIOTS                
RUE        DES HIRONDELLES            
ALLEE      BELLE LIMOUSINE            
RUE        DES DEUX PONTS             
RUE        CHARLOTTE MAZOYER          
AVENUE     DU 19 MARS 1962            
IMPASSE    GARRIGOU LAGRANGE          
RUE        DU DOCTEUR DUVERGER        
RUE        RENE DUMONT                
IMPASSE    EDGAR DEGAS                
RUE        EDOUARD MANET              
PLACE      DE L EGLISE                
RUE        ERASME                     
IMPASSE    DE L'ESTRE                 
IMPASSE    D ETIQUET                  
           CARREFOUR DE L'EUROPE      
RUE        DU FBG SAINT GEORGES       
RUE        DE FENEROLLES              
RUE        FERNAND LAPEYRE            
RUE        DE LA FONDERIE             
RUE        DES FOSSES                 
RUE        FRANCIS JAMMES             
ALLEE      GEORGES GUINGOUIN          
AVENUE     FRANCOIS MITTERRAND        
RUE        F STOCKMANN                
IMPASSE    FRANCOIS VILLON            
RUE        GAMBETTA                   
AVENUE     DE LA GARE                 
AVENUE     DU GENERAL DE GAULLE       
RUE        G EMMANUEL GLANCIER        
IMPASSE    GOYA                       
ALLEE      DU GRAND RIEUX             
RUE        DES GRANGETTES             
RUE        JEAN CLAUDE PAPON          
PROMENADE  DES GREVES                 
IMPASSE    GUSTAVE COURBET            
RUE        DE LA GUERINIERE           
RUE        GUYNEMER                   
RUE        HAROUN TAZIEFF             
IMPASSE    DES HETRES                 
IMPASSE    HONORE DE BALZAC           
RUE        HORACE VERNET              
PLACE      DES HORTEILS               
RUE        DU 8 MAI 1945              
RUE        D ISLY                     
RUE        JACQUES YVES COUSTEAU      
IMPASSE    JAMES COOK                 
IMPASSE    DES JARDINS                
IMPASSE    JEAN BAPTISTE FRAGONARD    
IMPASSE    JEAN BAPTISTE GREUZE       
RUE        JEAN BAPTISTE NANOT        
IMPASSE    JEAN CHARCOT               
ALLEE      J CLAUDE SAVARY            
IMPASSE    JEAN FRANCOIS MILLET       
RUE        JEAN BERNARD               
RUE        JEAN MOULIN                
AVENUE     JEAN REBIER                
RUE        JEANNE D ALBRET            
AVENUE     JEANNE PICHENAUD           
RUE        JULES DUMONT D URVILLE     
IMPASSE    JULES MICHELET             
IMPASSE    LAMARTINE                  
RUE        LAVOISIER                  
IMPASSE    LESAGE                     
RUE        DES LILAS                  
ROUTE      DE LIMOGES                 
RUE        LOUIS LOUCHEUR             
AVENUE     DE MALASSERT               
RUE        MARCEL BOURCET             
RUE        DU MASNEUF                 
ALLEE      MAURICE CABET              
RUE        MERMOZ                     
IMPASSE    MOLIERE                    
RUE        THEODORE MONOD             
RUE        DU MOULIN DE FERT          
RUE        DU MOULIN DE L OR          
RUE        DU MOULIN DU TARN          
IMPASSE    MURILLO                    
CHEMIN     DE LA NEPLE                
RUE        DE LA NEPLE                
IMPASSE    NICOLAS POUSSIN            
RUE        DU ONZE NOVEMBRE 1918      
RUE        OUTRE VIENNE               
AVENUE     PASTEUR                    
IMPASSE    PAUL EMILE VICTOR          
RUE        DES PENSEES                
ROUTE      DE PERIGUEUX               
RUE        PIERRE MENDES FRANCE       
RUE        PIERRE MOUSNIER            
RUE        DU PORTAIL                 
RUE        DE LA POUGE                
AVENUE     DU PRESIDENT WILSON        
RUE        DU PUY PANARD              
AVENUE     RAYMOND POINCARE           
RUE        DU RELAIS                  
RUE        REMBRANDT                  
RUE        DES RIVAUX                 
RUE        ROCHEFROIDE                
RUE        DES ROCHES BLEUES          
RUE        DES ROCHILLES              
RUE        RENE VOISIN                
IMPASSE    RONSARD                    
RUE        DES ROSES                  
RUE        ROUGIER PARRAT             
RUE        SABOTERIE                  
RUE        SADI CARNOT                
AVENUE     SAINT AMAND                
PLACE      SAINT GEORGES              
RUE        DE SAINT JACQUES           
ALLEE      DU STADE                   
RUE        DE TARN                    
RUE        DES TUILIERES              
RUE        TURGOT                     
IMPASSE    UTRILLO                    
IMPASSE    VAN DYCK                   
RUE        VELASQUEZ                  
RUE        DES VIATS                  
RUE        VICTOR HUGO                
AVENUE     DES VILLAS                 
RUE        VOLTAIRE                   
           commune :     AMBAZAC                        departement : HAUTE VIENNE                  
HLM        CITE DES JUMEAUX           
RESIDENCE  LE GERBASSOU               
CITE       MAISONGRANDE               
CITE       RAOUL DAUTRY               
LIEU-DIT   LES ABAUX                  
LIEU-DIT   LES BARNAUDS               
LIEU-DIT   LA BARRE                   
LIEU-DIT   BELLE VUE                  
LIEU-DIT   LES BETOUILLERES           
