20151101
90         TERRITOIRE DE BELFORT         
           commune :     ANDELNANS                      departement : TERRITOIRE DE BELFORT         
LIEU-DIT   AUX BANNAUX                
LIEU-DIT   BANNEAUX                   
LIEU-DIT   BELLERIVE                  
LIEU-DIT   LE BEUTAL                  
LIEU-DIT   LE BOIS DES CROSSES        
LIEU-DIT   LE BOSMONT                 
LIEU-DIT   SUR LA BROCHE              
LIEU-DIT   LA BROSSE                  
LIEU-DIT   AUX CAGNOTS                
LIEU-DIT   CHAMPS BERMONT             
LIEU-DIT   CHAMPS DE LA COYE          
LIEU-DIT   CHAMPS DES LONGS CHAMPS    
LIEU-DIT   CHAMPS ETRIOLE             
LIEU-DIT   CHAMPS LA PALE             
LIEU-DIT   CHAMPS PERDUS              
LIEU-DIT   CHAMPS RAVIERE             
LIEU-DIT   CHAMPS SOUS LES CHENES     
LIEU-DIT   CHAMPS SUR LE CHAUFFOUR    
LIEU-DIT   CHAMPS SUR LES PRES DE MER 
LIEU-DIT   CHAMPS SUR LES TAUREAUX    
LIEU-DIT   SUR LA CHARME              
LIEU-DIT   CHENEVIERES SOUS LE MONT   
LIEU-DIT   LA CISE                    
LIEU-DIT   LES CLAICHIERES            
LIEU-DIT   LA COMBATTE                
LIEU-DIT   LES COMBATTES              
LIEU-DIT   COMBELOGE                  
LIEU-DIT   LES COMBES                 
LIEU-DIT   AUX COURSALES              
LIEU-DIT   LA COYE                    
LIEU-DIT   DEVANT LE BOIS DE LEUPE    
LIEU-DIT   DEVANT ROMATTE             
LIEU-DIT   ECRET                      
LIEU-DIT   ECREUX                     
LIEU-DIT   EPORTES                    
LIEU-DIT   ES PRAYES                  
LIEU-DIT   FROIDEVAL                  
LIEU-DIT   GENEVRAUX                  
LIEU-DIT   GRAND PAQUIS               
LIEU-DIT   LES GRANDES PLANCHES       
LIEU-DIT   HAUTAGROS                  
LIEU-DIT   AUX JONCHETS               
LIEU-DIT   LES LASSIERES              
LIEU-DIT   LEPERTUS                   
LIEU-DIT   MAL MOULIN                 
LIEU-DIT   LE MORAMONT                
LIEU-DIT   LE PAQUIS                  
LIEU-DIT   LE PATURAGE                
LIEU-DIT   SUR LES PIERRES            
LIEU-DIT   PRE DE LA PRE              
LIEU-DIT   LES PRES CLOS              
LIEU-DIT   PRES DE FROIDEVAL          
LIEU-DIT   PRES DE LA COYE            
LIEU-DIT   PRES DE LEUPE              
LIEU-DIT   PRES DES CIRES             
LIEU-DIT   PRES DES LEZES             
LIEU-DIT   PRES DEVANT LA VILLE       
LIEU-DIT   PRES DU RAT                
LIEU-DIT   PRES GLANTIER              
LIEU-DIT   ROUGES TERRES              
LIEU-DIT   SOUS LA COMBE              
LIEU-DIT   TERRES SUR LE MONT         
LIEU-DIT   AUX VANNOTTES              
LIEU-DIT   LES VERGEROTS              
LIEU-DIT   LE VILLAGE                 
LIEU-DIT   A ROMATTE                  
LIEU-DIT   LEUPE                      
LIEU-DIT   LES PREYEZ                 
LIEU-DIT   LONGCHAMP                  
LIEU-DIT   JONCHETS                   
LIEU-DIT   HAMEAU DE L ASSISE         
LIEU-DIT   HAMEAU DU BERGER           
LIEU-DIT   HAMEAU DE LA DOUCE         
RUE        DES BALASTIERES            
RUE        DE BOTANS                  
RUE        DES CHAMPS                 
RUE        DE DANJOUTIN               
RUE        DES ETANGS                 
RUE        DE LA FORET                
RUE        DU GAL DE GAULLE           
RUE        DE L'HERMINE               
RUE        MARTYRS DE LA RESISTANCE   
RUE        DE MEROUX                  
ROUTE      DE MONTBELIARD             
RUE        DES ORCHIDEES              
RUE        PEINTRE MAURICE EHLINGER   
RUE        DES PRES                   
RUE        DE LA ZAC DES PRES         
RUE        DE LA RAINETTE             
RUE        DE LA SITELLE              
RUE        DU STADE                   
           commune :     ANGEOT                         departement : TERRITOIRE DE BELFORT         
LIEU-DIT   BOIS DE LAGRANGE           
LIEU-DIT   BOIS DES DAMES             
LIEU-DIT   BOIS LE PRETRE             
LIEU-DIT   BOIS LE SANG               
LIEU-DIT   BOIS ZELIN                 
LIEU-DIT   BREULEUX                   
LIEU-DIT   CHAMPS JEAN MATHE          
LIEU-DIT   CHAMPS SIMON               
LIEU-DIT   SUR LE CHEMIN DE LARIVIERE 
LIEU-DIT   SUR LE CHENE               
LIEU-DIT   LA COMBE                   
LIEU-DIT   LES CUVOTTES               
LIEU-DIT   DERRIERE LA NOUE           
LIEU-DIT   DERRIERE LE MOULIN         
LIEU-DIT   DEVANT LA NOUE             
LIEU-DIT   ENTRE LES BOIS             
LIEU-DIT   ENTRE LES DEUX BOIS        
LIEU-DIT   ETANG BAQUET               
LIEU-DIT   ETANG DU MITTANT           
LIEU-DIT   ETANG HAN                  
LIEU-DIT   ETANG LA MOTTE             
LIEU-DIT   FELONS                     
LIEU-DIT   FIOTTE                     
LIEU-DIT   FONTAINE ESCARCETTE        
LIEU-DIT   LA GOUTTATTE               
LIEU-DIT   GOUTTE BENEUQUIN           
LIEU-DIT   GRANDS CHAMPS              
LIEU-DIT   LES GRANDS PRES            
LIEU-DIT   LES GRATTELEUX             
LIEU-DIT   GRAVERIE                   
LIEU-DIT   GROS CHAMPS                
LIEU-DIT   GROS QUARTIER              
LIEU-DIT   GUISSES                    
LIEU-DIT   LES GUISSES                
LIEU-DIT   HAUTS BOIS                 
LIEU-DIT   HAUTS PRES                 
LIEU-DIT   LES HAUTS PRES             
LIEU-DIT   EN L HERBE                 
LIEU-DIT   EN L HERBE DE CA           
LIEU-DIT   EN L HERBE DE LA           
LIEU-DIT   LA HISTHVATHE              
LIEU-DIT   LA NOUE                    
LIEU-DIT   PATURAGE                   
LIEU-DIT   PETIT QUARTIER             
LIEU-DIT   LES PETITS FELONS          
LIEU-DIT   PRES DE LA GOUTTE BENEUQUI 
LIEU-DIT   PRES DES FELONS 1 ER CANTO 
LIEU-DIT   PRES DES FELONS 2 E CANTON 
LIEU-DIT   PRES LA ROUTE              
LIEU-DIT   PRES LE BOIS LE SANG       
LIEU-DIT   SOUS BOIS LAGRANGE 1 ER CA 
LIEU-DIT   SOUS BOIS LAGRANGE 2 E CAN 
LIEU-DIT   SOUS L AGE                 
LIEU-DIT   SOUS LE BOIS ZELIN         
LIEU-DIT   SOUS LE FAHYS              
LIEU-DIT   TRAVERS                    
LIEU-DIT   LA TREMBLEE                
LIEU-DIT   SUR LA TREMBLEE            
LIEU-DIT   VERNE                      
LIEU-DIT   LE VILLAGE                 
LIEU-DIT   SUR LA VILLE               
LIEU-DIT   EN LA VOITE                
