20151101
91         ESSONNE                       
           commune :     ABBEVILLE-LA-RIVIERE           departement : ESSONNE                       
LIEU-DIT   BEAU REGARD                
LIEU-DIT   BOIS CHAMBAULT             
LIEU-DIT   LE BOIS FEUILLET           
LIEU-DIT   LE BOISSEAU                
LIEU-DIT   LE BOUT DU CLOS            
LIEU-DIT   LES BRUYERES               
LIEU-DIT   LE BUISSON                 
LIEU-DIT   LA CAVE                    
LIEU-DIT   LE CHEM CREUX              
LIEU-DIT   LE CHENE AU RENARD         
LIEU-DIT   CROIX JACQUES              
LIEU-DIT   DEVANT LA PORTE            
LIEU-DIT   AU DSU DE LA CAVE          
LIEU-DIT   L ETANG DE FONTENETTE      
LIEU-DIT   LA FERME DE BEAUVOIR       
LIEU-DIT   LA FERME DE COTTAINVILLE   
LIEU-DIT   LA FERME DE L HOPITAL      
LIEU-DIT   LA FERME DE L ORME         
LIEU-DIT   LA FERME DE QUINCAMPOIX    
LIEU-DIT   LES FONDS                  
LIEU-DIT   LES FONDS DE VAULURET      
LIEU-DIT   FONTENETTE                 
LIEU-DIT   LA FOSSE AUX MORTS         
LIEU-DIT   LA GARENNE DU MOULIN       
LIEU-DIT   LE GD BOIS                 
LIEU-DIT   LA GDE FONTAINE            
LIEU-DIT   LES GLAISES                
LIEU-DIT   LE GODET                   
LIEU-DIT   LA GROSSE PIERRE           
LIEU-DIT   LA HAIE DU MOULIN          
LIEU-DIT   LE HAVRON                  
LIEU-DIT   LE HT DE MEROLE            
LIEU-DIT   MAL LABOUREE               
LIEU-DIT   LE MOQUE BOUTEILLE         
LIEU-DIT   LE MOULIN                  
LIEU-DIT   LE MOULIN DE FONTENETTE    
LIEU-DIT   LE MURGER A CIRET          
LIEU-DIT   LES OUCHES                 
LIEU-DIT   LES PENTES DE VAULURET     
LIEU-DIT   LES PERONETTES             
LIEU-DIT   LA PLAIDERIE               
LIEU-DIT   LA PRAIRIE DE VAULURET     
LIEU-DIT   LE PT NOYER                
LIEU-DIT   LES QUATRE CHEMINS         
LIEU-DIT   LA QUEUE A L ANE           
LIEU-DIT   LE REAGE TORTU             
LIEU-DIT   LES RUISSEAUX              
LIEU-DIT   LES 5O ARPENTS             
LIEU-DIT   SOUS LE GD BOIS            
LIEU-DIT   LES TERRES A RENTES        
LIEU-DIT   TOURNEVILLE                
LIEU-DIT   LA VAL AUX CANNES          
LIEU-DIT   LA VALLEE DE SERMAISES     
LIEU-DIT   LA VALLEE DES CHAMBRES     
LIEU-DIT   LA VALLEE RONDE            
LIEU-DIT   VAULURET                   
LIEU-DIT   LES VIGNES                 
LIEU-DIT   LE VILLAGE                 
LIEU-DIT   LES 20 ARPENTS             
LIEU-DIT   LES 30 ARPENTS             
LIEU-DIT   LES 40 ARPENTS             
LIEU-DIT   LES 60 ARPENTS             
LIEU-DIT   LE CHEMIN DE LA MESSE      
CHEMIN     DE LA MESSE                
PLACE      DE L EGLISE                
RUE        DE BEAUREGARD              
RUE        DE FONTAINE                
RUE        DES FONTAINES              
RUE        DES ALOUETTES              
CHEMIN     DES BUISSONS               
IMPASSE    DES PAVILLONS              
SENTIER    DES ALOUETTES              
CHEMIN     DU GODET                   
RUE        MARIE MADELEINE            
PLACE      DE LA MAIRIE               
RUE        DE LA PLAINE               
CHEMIN     DE MOQUE BOUTEILLE         
RUE        DE LA VALLEE               
PLACE      SAINT JULIEN               
VC         MONTOIR DE L EPINE         
           commune :     ANGERVILLE                     departement : ESSONNE                       
LIEU-DIT   BASSONVILLE SUD            
LIEU-DIT   BASSONVILLE NORD           
LIEU-DIT   BEAUCHAMP                  
LIEU-DIT   BOIS D ARBLAY              
LIEU-DIT   BOIS DE LA CROIX           
LIEU-DIT   BOIS DES BROSSES           
LIEU-DIT   BOIS DES POINTES           
LIEU-DIT   BOIS DU MARTEAU            
LIEU-DIT   BOIS GIRAULT               
LIEU-DIT   BOIS ROUGE                 
LIEU-DIT   LA BORNE VERS RETREVILLE   
LIEU-DIT   BRELOUP                    
LIEU-DIT   BRIGEOLLET                 
LIEU-DIT   BUIS DECOURTY              
LIEU-DIT   LA BUTERNE                 
LIEU-DIT   BUTTE DES VAULUISANTS      
LIEU-DIT   LA CHAPELLE SUD            
LIEU-DIT   LE CHENE                   
LIEU-DIT   CHEVRETEAU                 
LIEU-DIT   CHP AU LOUP                
LIEU-DIT   LE CORNON                  
LIEU-DIT   LES COUASMINES BASSES      
LIEU-DIT   COUPE GORGE                
LIEU-DIT   COUPE GORGE OU PIERRE DU B 
LIEU-DIT   LA CRX NOIRE               
LIEU-DIT   CRX NOIRE                  
LIEU-DIT   DERRIERE OUESTREVILLE      
LIEU-DIT   LES DEUX BUTTES            
LIEU-DIT   DEVIATION                  
LIEU-DIT   AU DSU DE LA SAUSSAIE      
LIEU-DIT   AU DSU DE RETREVILLE       
LIEU-DIT   AU DSU DU CHEM DES ANES    
LIEU-DIT   FERME DE RETREVILLE        
LIEU-DIT   FONCEAUX DE JODAINVILLE    
LIEU-DIT   FOND DE LA RIGONDAINE      
LIEU-DIT   FOND DE SELLE              
LIEU-DIT   LA FONTAINE                
LIEU-DIT   LES FOURNEAUX              
LIEU-DIT   GONDREVILLE                
LIEU-DIT   GRISONNIERE                
LIEU-DIT   GROS BUISSON DU CHE DE CHA 
LIEU-DIT   LA GROSSE BORNE            
LIEU-DIT   GROSSE BORNE               
LIEU-DIT   GROSSE PIERRE              
LIEU-DIT   GROSSE PIERRE DES GALENTIN 
LIEU-DIT   HAM D OUESTREVILLE         
LIEU-DIT   LE HANGAR                  
LIEU-DIT   HAUTS DE GONDREVILLE       
LIEU-DIT   LES HAUTS DE RETREVILLE    
LIEU-DIT   LES HOUCHES                
LIEU-DIT   LIMITE MEREVILLE           
LIEU-DIT   LIMITE MONNERVILLE         
LIEU-DIT   LIMITE PUSSAY              
LIEU-DIT   LIMITE ROUVRAY             
LIEU-DIT   LONGS REAGES D OUESTREVILL 
LIEU-DIT   LES MONTANTS               
LIEU-DIT   LE MOULIN                  
LIEU-DIT   NOYER ST LUBIN             
LIEU-DIT   LES ORMES A ELOY           
LIEU-DIT   OUESTREVILLE               
LIEU-DIT   PIERRE DU BOIS             
LIEU-DIT   POINTES DE VILLENEUVE      
LIEU-DIT   PT BRELOUP                 
LIEU-DIT   LE PT MAI                  
LIEU-DIT   LES QUATRE MOTTES          
LIEU-DIT   LES RETRETS                
LIEU-DIT   RETREVILLE                 
LIEU-DIT   RIGONDAINE                 
LIEU-DIT   LA SAUSSAIE                
LIEU-DIT   LA SELLE                   
LIEU-DIT   LES TERRES NEUVES          
LIEU-DIT   LES TERRES NOIRES          
LIEU-DIT   LA VAL                     
LIEU-DIT   VAL BERTHIER               
LIEU-DIT   VERS LE PONT LAFLEUR       
LIEU-DIT   LA VIGNE A LA BENOIT       
LIEU-DIT   LE VILLAGE                 
LIEU-DIT   LES 14 MUIDS               
LIEU-DIT   VILLENEUVE                 
LIEU-DIT   LES BARRIERES              
