20151101
93         SEINE SAINT DENIS             
           commune :     AUBERVILLIERS                  departement : SEINE SAINT DENIS             
CITE       EMILE DUBOIS               
CENTRE     COM EMILE DUBOIS           
CITE       GABRIEL PERI               
           ENTREPOTS ET MAG GENERAUX  
LIEU-DIT   LE BATEAU                  
LIEU-DIT   LES BERGERIES              
LIEU-DIT   LA FRETTE                  
LIEU-DIT   MONTFORT                   
FORT       D AUBERVILLIERS            
CHEMIN     DE FER DE PARIS A SOISSONS 
CHEMIN     FER PLAINE ST DENIS PARIS  
CAN        CANAL SAINT DENIS          
           LIMITE ADMINISTRATIVE      
IMPASSE    JULES GUESDES              
IMPASSE    COQ                        
RUE        DE L ABEILLE               
RUE        ACHILLE DOMART             
QUAI       ADRIEN AGNES               
RUE        ALAIN RAILLARD             
ALLEE      ALBERT GIRARD              
RUE        ALBERT WALTER              
RUE        ALBINET                    
RUE        ALEXANDRE DUMAS            
RUE        ALFRED JARRY               
RUE        ALPHONSE DAUDET            
ALLEE      A JOUIS CTE G PERI         
BOULEVARD  ANATOLE FRANCE             
RUE        ANDRE KARMAN               
RUE        ADRIEN HUZARD              
RUE        ARTHUR RIMBAUD             
RUE        AUVRY                      
PASSAGE    L AVENIR                   
ALLEE      DES AVETTES                
RUE        ANNE MARIE FETTIER         
RUE        ALAIN MAILLARD             
RUE        DES 21 APPELES             
RUE        BALZAC                     
IMPASSE    BEAUFILS                   
PASSAGE    BECKER                     
RUE        BENGALI                    
MAIL       BENOIT FRACHON             
RUE        BERANGER                   
RUE        DES BERGERIES              
RUE        BERNARD ET MAZOYER         
RUE        BERNARD PALISSY            
IMPASSE    BINOT                      
RUE        BISSON                     
IMPASSE    BORDIER                    
RUE        BORDIER                    
MAIL       BORIS VILDE                
BORD       DU CANAL                   
QUAI       DU CANAL ST DENIS          
IMPASSE    DU BUISSON                 
RUE        DU BUISSON                 
MAIL       CIBOULETTE                 
PASSAGE    DES CHALETS                
ALLEE      DE CHANTILLY               
RUE        CHAPON                     
RUE        CHARLES BAUDELAIRE         
RUE        CHARLES COUSIN             
RUE        CHARLES TILLON             
ALLEE      CHARLES GROSPERRIN         
RUE        CHARRON                    
ALLEE      DU CHATEAU                 
IMPASSE    DU CHEMIN VERT             
RUE        DU CHEMIN VERT             
RUE        CHOUVEROUX                 
AVENUE     DU CIMETIERE               
RUE        DES CITES                  
RUE        CLAUDE BERNARD             
RUE        DU CLOS BENARD             
RUE        DU CLOS SAINT QUENTIN      
RUE        COLBERT                    
RUE        DU COLONEL FABIEN          
RUE        DU COMMANDANT LHERMINIER   
IMPASSE    DU COMMERCE                
RUE        DE LA COMMUNE DE PARIS     
PLACE      CONSTANTIN COTTIN          
IMPASSE    COQ                        
CHEMIN     DU CORNILLON               
RUE        DE LA COURNEUVE            
IMPASSE    DE CREVECOEUR              
RUE        DE CREVECOEUR              
RUE        CESARIA EVORA              
RUE        DANIELLE CASANOVA          
RUE        DAVID                      
IMPASSE    DE LA DEFENSE              
PASSAGE    DEMARS                     
RUE        DESIRE LEMOINE             
IMPASSE    DESIRE LEROY               
AVENUE     DE LA DIVISION LECLERC     
PLACE      DU 19 MARS 1962            
AVENUE     DU DOC MICHAUX             
RUE        DU DOCTEUR PESQUE          
RUE        DU DOCTEUR TRONCIN         
PASSAGE    DUDOUY                     
MAIL       ELSA TRIOLET               
CHEMIN     DE L ECHANGE               
PARC       DE L'ECLUSE                
RUE        DE L'ECLUSE DES VERTUS     
