20151101
976         MAYOTTE                       
           commune :     ACOUA                          departement : MAYOTTE                       
QUA        TSIMTOUHI                  
LIEU-DIT   ACOUA JAMAIQUE             
LIEU-DIT   AGNALA BOUNORA             
LIEU-DIT   AGNALA MIHINGUI            
LIEU-DIT   AGNALAKI                   
LIEU-DIT   AMBOUNGOUBE                
LIEU-DIT   ANKIRAKA                   
LIEU-DIT   ANTSOUMOUKOUHOU            
LIEU-DIT   BEMOURANDRA                
LIEU-DIT   HAPONDROI                  
LIEU-DIT   LAZARE                     
LIEU-DIT   MADJABALINI                
LIEU-DIT   MAEVARANOU                 
LIEU-DIT   PLACE DE LA MAIRIE         
LIEU-DIT   MAHOJANI                   
LIEU-DIT   MAPOUERA                   
LIEU-DIT   MAROUVATOU                 
LIEU-DIT   MTSANGADOUA                
LIEU-DIT   QUAI BANDRANI              
LIEU-DIT   QUARTIER ACOUA 3           
LIEU-DIT   QUARTIER ANGLA MKIRINI     
LIEU-DIT   QUARTIER BOUENI            
LIEU-DIT   QUARTIER MABOUNGANI        
LIEU-DIT   QUARTIER MANGAUA MAGNINTSI 
LIEU-DIT   QUARTIER MARVATOU 2        
LIEU-DIT   QUARTIER MGIHARI           
LIEU-DIT   QUARTIER TSIMKOUHI         
LIEU-DIT   RESERVE FORESTIERE         
LIEU-DIT   TSIRAKA KAHIRIMTROU        
LIEU-DIT   VILLAGE D'ACOUA            
ROUTE      DEPARTEMENTALE             
ROUTE      DU DISPENSAIRE             
RUE        ANGNALA MHINGA             
RUE        BACAR VAGABOU              
RUE        BATSIMI                    
RUE        BOIRA SOILIHI              
RUE        BOTOU                      
RUE        CAVANI BOTO                
RUE        CHARAN                     
RUE        DADI ROUBI                 
RUE        DADI ZARA                  
RUE        GAMME                      
RUE        DE L'HOTEL DE VILLE        
RUE        LOUGOUZA                   
RUE        MANGUA BAMARI              
RUE        DE LA MATERNELLE           
RUE        MATOUWA                    
RUE        MRONIFADI                  
RUE        MRONIPOPO                  
RUE        MZE MENA                   
RUE        DE LA PLAGE                
RUE        PASCAL                     
RUE        SAID TOUMBOU               
RUE        TALATA                     
RUE        ZAOUIYANI                  
CD         1                          
           commune :     BANDRABOUA                     departement : MAYOTTE                       
QUA        HACHICADRA - BOUYOUNI      
LIEU-DIT   BANDRABOUA NIAMBO          
LIEU-DIT   BANDRADZIA                 
LIEU-DIT   BANDRAMAJI                 
LIEU-DIT   BOUYOUNI                   
LIEU-DIT   CAROU M'BAMBO              
LIEU-DIT   CHISSIOUA CHONGOCHAMAJI    
LIEU-DIT   DZOUMOGNE                  
LIEU-DIT   GAGANI                     
LIEU-DIT   HA COMBA                   
LIEU-DIT   HAMOURO HANDREMA           
LIEU-DIT   HANDREMA                   
LIEU-DIT   HASSIOURE                  
LIEU-DIT   ILE VERTE                  
LIEU-DIT   KAVALAMBOUA                
LIEU-DIT   LA VIGIE HA M'GUEREZA      
LIEU-DIT   MAHOJANI                   
LIEU-DIT   MANGA BE                   
LIEU-DIT   MAOUENI                    
LIEU-DIT   MASSULAHA                  
LIEU-DIT   M'DALLAH ASSANI            
LIEU-DIT   MERE                       
LIEU-DIT   M'GOUEDAJOU                
LIEU-DIT   MITSENI                    
LIEU-DIT   M'LIMA HASSOVE             
LIEU-DIT   M'RIDHIOI                  
LIEU-DIT   M'ROINIOMBE                
LIEU-DIT   M'TSANGAMBOUA              
LIEU-DIT   POINTE BANDRABOUA          
LIEU-DIT   RESERVE FORESTIERE DZOUMOG 
LIEU-DIT   RETENUE COLLINAIRE DZOUMOG 
LIEU-DIT   TANABE - DZOUMOGNE         
LIEU-DIT   TARAPACHA                  
LIEU-DIT   VILLAGE DE BANDRABOUA      
RUE        ALI SOILIHI - DAPANI       
RUELLE     ADE                        
RUELLE     AHMED                      
RUELLE     MOSQUEE ANCIENNE           
RUE        MOILIMOU SOHA ANTHOUMANI   
RUE        DE L'AVENIR - MTSANGAMBOUA 
RUELLE     HALIMA BABA                
RUE        BABAMOINA                  
RUELLE     OILI BACAR                 
RUELLE     ALI BACO                   
RUE        BAHAOUI - HANDREMA         
RUE        YOUNOUSSA BAMANA           
RUE        MATERNELLE BANDRABOUA      
RUE        BOUGOU TERRIN - BAMBO      
CHEMIN     BOBOKA - NYAMBADAO         
RUELLE     DU PETIT BANGA             
RUE        BACOCO CHIKOUTRI - HANDREM 
RUE        BAHAHOUI                   
RUELLE     BASAMOINA                  
RUE        BAZA                       
RUE        BAZAMA                     
RUE        BEZA                       
RUE        DE LA BIBLIOTHEQUE         
RUELLE     BIDJONI                    
RUELLE     BILAN - HANDREMA           
RUELLE     MADI BOINA                 
RUELLE     BOINAIDI - HANDREMA        
RUELLE     BOKASSA - HANDREMA         
RUELLE     BOMBA                      
RUE        BOTO                       
RUELLE     MRANI BOUCHINI             
RUE        BOUENI M TITI              
IMPASSE    BOUYOUNI MATERNELLE        
RUE        DE L'ANCIEN BOUYOUNI       
RUELLE     BOYE                       
RUE        CAVANI                     
RUE        DU CHATEAU D'EAU           
RUE        CHEHOU M'LILA - HANDREMA   
RUE        DU CIMETIERE               
IMPASSE    BOINA M'COLO               
RUE        COMBO - HANDREMA           
RUELLE     COMBO AHMED - MTSANGAMBOUA 
PLACE      DU CONGRES                 
RUELLE     CONORO                     
RUE        DU 15 DECEMBRE 2008        
RUE        ZAINA M'DERE               
RUELLE     DIMASSI                    
RUELLE     DU DISPENSAIRE - HANDREMA  
RUE        BACARI DJOUMOI             
RUE        PLACE CENTRALE             
RUELLE     M'LIMA DONGO               
RUELLE     DRAGO                      
RUE        DE L ECOLE MATERNELLE      
RUE        DZIALAKAVANI               
RUE        MATERNELLE DZOUMOGNE       
RUE        DU CHATEAU D'EAU           
RUE        FAZATI                     
RUE        DE L'ANCIEN TERRAIN FOOT   
RUE        DU FOYER                   
RUELLE     GALO                       
RUE        DU GARAGE                  
RUE        DE LA GENDARMERIE          
PLACE      GNAMBO                     
RUELLE     AHAMADA GOBO               
AVENUE     M'GODAJOU                  
RUELLE     GOSSI                      
RUELLE     GOUENA - HANDREMA          
RUELLE     DE L'HACINDA               
RUE        HACOMBA                    
RUELLE     HADJOU                     
RUE        HAGONDA                    
RUELLE     HAMIDA MKANI - HANDREMA    
RUE        HAMIDOUNI                  
