20151101
01         AIN                           
           commune :     L'ABERGEMENT-CLEMENCIA         departement : 01         AIN                           
LOT        BELLEVUE                   
LOT        LES CHARMILLES             
LOT        LES COQUELICOTS            
LOT        LES LILAS                  
LOT        MUNETVILLE                 
LOT        LES MURIERS                
LOT        LES TROIS CHENES           
LOT        LE PANORAMIQUE             
LIEU-DIT   LES BAILLERES              
LIEU-DIT   LES BASQUES                
LIEU-DIT   AUX BASQUES                
LIEU-DIT   BRODY                      
LIEU-DIT   SUR BRODY                  
LIEU-DIT   BRODY                      
LIEU-DIT   LA CADOLLE                 
LIEU-DIT   LES CALLES                 
LIEU-DIT   CHAMOUDRY                  
LIEU-DIT   CHAMP MACONNAIS            
LIEU-DIT   LA CHAPELLE ST LAZARE      
LIEU-DIT   LE CHATEAU                 
LIEU-DIT   CHENE AUGER                
LIEU-DIT   LA CHEVRE                  
LIEU-DIT   CLEMENCIA                  
LIEU-DIT   LES COMBES                 
LIEU-DIT   ETANG MASSAN               
LIEU-DIT   LA FIOLE                   
LIEU-DIT   LA FRAZE                   
LIEU-DIT   AUX GARAUDES               
LIEU-DIT   LA GENETE                  
LIEU-DIT   A LA GENETTE               
LIEU-DIT   LE GOTTES                  
LIEU-DIT   LES GRANDES RAYES          
LIEU-DIT   LES GRANDS PLATS           
LIEU-DIT   LE GUILLERMET              
LIEU-DIT   LE LUMINAIRE               
LIEU-DIT   LES MASSERETS              
LIEU-DIT   LES METRAS                 
LIEU-DIT   LA MOUSSIERE               
LIEU-DIT   MUNETVILLE                 
LIEU-DIT   A MUNETVILLE               
LIEU-DIT   L ORDRE                    
LIEU-DIT   LE PANOYER                 
LIEU-DIT   LE FAYARD                  
LIEU-DIT   LES PETITS METRAS          
LIEU-DIT   LES PETITS PLATS           
LIEU-DIT   LES PICHOUX                
LIEU-DIT   LE PLAT                    
LIEU-DIT   LE PONT DU VILLAGE         
LIEU-DIT   AU PONT DU VILLAGE         
LIEU-DIT   LE PONT DU VILLAGE         
LIEU-DIT   POULIN                     
LIEU-DIT   AU POULIN                  
LIEU-DIT   POULIN                     
LIEU-DIT   LES ROUARASSES             
LIEU-DIT   LE SORBIER                 
LIEU-DIT   SOUS BRODY                 
LIEU-DIT   LE VERNAY                  
LIEU-DIT   VERS LE PLAT               
LIEU-DIT   LES VIARDS                 
LIEU-DIT   LA NICOLLIERE              
LIEU-DIT   LE PEAGE                   
           commune :     ABERGEMENT-DE-VAREY (L )       departement : 01         AIN                           
LIEU-DIT   L ABERGEMENT DE VAREY      
LIEU-DIT   CHEZ CHABOY                
LIEU-DIT   CHEZ GAVET                 
LIEU-DIT   CHEZ LES LIEVRES           
LIEU-DIT   COTE SAVIN                 
LIEU-DIT   DALIVOY                    
LIEU-DIT   LA FORET                   
LIEU-DIT   LA GRANDE PASSEE           
LIEU-DIT   GRANGE D ANIN              
LIEU-DIT   AUX GRANGES                
LIEU-DIT   LES LIEVRES                
LIEU-DIT   PREILLON                   
LIEU-DIT   SOUS ROZIER                
LIEU-DIT   SOUS TERREA                
LIEU-DIT   AUX TRAVERSES              
LIEU-DIT   VERGER                     
LIEU-DIT   VERS L OISELON             
LIEU-DIT   VERS LA GRANGE             
LIEU-DIT   VERS LE FOULON             
LIEU-DIT   VILLAGE                    
LIEU-DIT   SUR LA VILLE               
LIEU-DIT   AU BOURBOUILLON            
LIEU-DIT   SOUS LE ROCHER DE CHALY    
LIEU-DIT   AUX CHOIX                  
LIEU-DIT   L ABONDANCE                
LIEU-DIT   L ARBESSIER                
LIEU-DIT   AUX ARNAUDIERES            
LIEU-DIT   SUR LES BARMES             
LIEU-DIT   AU BELLOY                  
LIEU-DIT   EN BERROLLIER              
LIEU-DIT   LES BLANCHERES             
LIEU-DIT   BOIS DE CHALY              
LIEU-DIT   BOIS DE CRAMONT            
LIEU-DIT   BOIS DES ENVERSIERS        
LIEU-DIT   BOIS JOLY                  
LIEU-DIT   LE BOIS DE MOBET           
LIEU-DIT   LE BOIS DE PICOLLET        
LIEU-DIT   BOIS DE RATELIER           
LIEU-DIT   LA BONATIERE               
LIEU-DIT   LA BOURBANDIERE            
LIEU-DIT   EN BRISSET                 
LIEU-DIT   LES BROCHES                
LIEU-DIT   PRE CARON                  
LIEU-DIT   LES CARRONNIERES           
LIEU-DIT   CHAMBRE AU CHIEN           
LIEU-DIT   CHAMP BOCHARD              
LIEU-DIT   CHAMP COURBET              
LIEU-DIT   VERS CHALY                 
LIEU-DIT   CHAMP FOUDRA               
LIEU-DIT   SOUS LE CHAMP FOUDRA       
LIEU-DIT   CHAMP GUILLAUME            
LIEU-DIT   SUR LA CHAMPDELAZ          
LIEU-DIT   EN CHANAIT                 
LIEU-DIT   SUR LE CHANAIT             
LIEU-DIT   CHANTE MERLE               
LIEU-DIT   LA CHARMETTE               
LIEU-DIT   LES CHARPENNES             
LIEU-DIT   LE CHATELARD               
LIEU-DIT   AU CHAZEAU                 
