20151101
05         HAUTES ALPES                  
           commune :     ABRIES                         departement : HAUTES ALPES                  
RESIDENCE  LE GUIL                    
LIEU-DIT   L ADROIT                   
LIEU-DIT   L ADROIT DE L ESTEINO      
LIEU-DIT   L ADROIT DE MALAURET       
LIEU-DIT   L ADROIT DES GRANGES       
LIEU-DIT   L AGNEL                    
LIEU-DIT   L AIGUILLE                 
LIEU-DIT   L AIGUILLER                
LIEU-DIT   ALIBRAN                    
LIEU-DIT   LES ALIES                  
LIEU-DIT   L ALPET                    
LIEU-DIT   AMPHITEOSE                 
LIEU-DIT   L ARCHE                    
LIEU-DIT   ARNAUDE                    
LIEU-DIT   LE BACHAS                  
LIEU-DIT   LA BAISSE                  
LIEU-DIT   BAISSE DES BRUNS           
LIEU-DIT   BAISSE DES VALENTINS       
LIEU-DIT   LA BAISSE DU ROCHER        
LIEU-DIT   LES BANS                   
LIEU-DIT   BARATIN                    
LIEU-DIT   BARBIER                    
LIEU-DIT   LES BARBIERES              
LIEU-DIT   LES BARRES                 
LIEU-DIT   BARRES LONGUES             
LIEU-DIT   BARRIER BAS                
LIEU-DIT   BARRIER HAUT               
LIEU-DIT   BARTALIN                   
LIEU-DIT   BAS ABREUVOIR              
LIEU-DIT   BAS CHATELLARD             
LIEU-DIT   BAS COLIBRAN               
LIEU-DIT   BAS GIMET                  
LIEU-DIT   LE BAS MALRIF              
LIEU-DIT   LE BAS PINTE               
LIEU-DIT   BAS PRE MICHEL             
LIEU-DIT   BASSE FESTOULA             
LIEU-DIT   BASSE GAVIA                
LIEU-DIT   LA BASSE ROSTE             
LIEU-DIT   BASSES CAPITES             
LIEU-DIT   BASSES OLIVES              
LIEU-DIT   BASSES PLATES              
LIEU-DIT   LE BATHEZARD               
LIEU-DIT   LE BAUD                    
LIEU-DIT   BAUDON                     
LIEU-DIT   LES BAYMES                 
LIEU-DIT   LES BAYSSES                
LIEU-DIT   LA BEALIERE                
LIEU-DIT   LES BEAUMETTES             
LIEU-DIT   BELLONNES                  
LIEU-DIT   LES BERTINS                
LIEU-DIT   LA BEYSSASSE               
LIEU-DIT   LE BEYSSET                 
LIEU-DIT   LES BEYSSETTES             
LIEU-DIT   LE BEYSSILLIER             
LIEU-DIT   LES BIALLIERES             
LIEU-DIT   BOIS DE L ISSARTINS        
LIEU-DIT   BOIS LA BRUNE              
LIEU-DIT   BOIS NOIR                  
LIEU-DIT   BOUCHET                    
LIEU-DIT   BOUIN                      
LIEU-DIT   LA BOUISSOUNA              
LIEU-DIT   BOURCIER                   
LIEU-DIT   LE BOURG                   
LIEU-DIT   BOURRE                     
LIEU-DIT   BROUE SPINE                
LIEU-DIT   LA BRUNE BASSE             
LIEU-DIT   LA BRUNE HAUTE             
LIEU-DIT   LA BRUSSARDE               
LIEU-DIT   LE BUFFEYT                 
LIEU-DIT   LA CABOTTE                 
LIEU-DIT   CANAL NEUF                 
LIEU-DIT   LA CASSE                   
LIEU-DIT   LES CASSES                 
LIEU-DIT   CHABANETTE                 
LIEU-DIT   CHABAROT                   
LIEU-DIT   CHABAS                     
LIEU-DIT   CHABERT                    
LIEU-DIT   CHABRIER                   
LIEU-DIT   CHABROISE                  
LIEU-DIT   CHABROL                    
LIEU-DIT   LA CHAILLOLE               
LIEU-DIT   CHAILLON                   
LIEU-DIT   CHAILLON BAS               
LIEU-DIT   LA CHALANCHE               
LIEU-DIT   LA CHALANTIASSE            
LIEU-DIT   LA CHALANTIE               
LIEU-DIT   LA CHALANTIE BASSE         
LIEU-DIT   CHAMP DE GARIS             
LIEU-DIT   CHAMP DES CHEVRES          
LIEU-DIT   CHAMP DU BOYS              
LIEU-DIT   CHAMP GUIONET              
LIEU-DIT   CHAMP LONG                 
LIEU-DIT   CHAMP ROND                 
LIEU-DIT   CHAMP ROND HAUT            
LIEU-DIT   CHAMPASSES                 
LIEU-DIT   LES CHAMPETS               
LIEU-DIT   CHANTALAS                  
LIEU-DIT   LA CHAPELLE                
LIEU-DIT   CHARAMELET                 
LIEU-DIT   CHARAMELIN                 
LIEU-DIT   CHARCHEYME                 
LIEU-DIT   LA CHAYME                  
LIEU-DIT   CHAZALET                   
LIEU-DIT   LES CHAZALS                
LIEU-DIT   LE CHAZELET                
LIEU-DIT   CHELORET                   
LIEU-DIT   LES CHOULIERES             
LIEU-DIT   CHOULIRASSES ET LA GARDUOL 
LIEU-DIT   LES CIMES                  
LIEU-DIT   CLAUSIS                    
LIEU-DIT   CLOT DE L ESTEINO          
LIEU-DIT   CLOT DE LA VILLETTE        
LIEU-DIT   CLOT DES BESSEYS           
LIEU-DIT   CLOT DES MASQUES           
LIEU-DIT   CLOT DES PRETRES           
LIEU-DIT   CLOT DU PRA                
LIEU-DIT   CLOT LANORE                
LIEU-DIT   CLOT REPOUSEOU             
LIEU-DIT   CLOT VIOLAN                
LIEU-DIT   LE CLOTET                  
LIEU-DIT   LES CLOTS                  
LIEU-DIT   LE CLOUTAS ET ARGILAS      
LIEU-DIT   LE COGNET                  
LIEU-DIT   COGNET BAS                 
LIEU-DIT   LE COIN                    
LIEU-DIT   COIN DE CHABERT            
LIEU-DIT   LES COINS                  
LIEU-DIT   LES COINS ET REYCHASSE     
LIEU-DIT   COL MAYT ET COSTES DE JOUR 
LIEU-DIT   LE COLLET                  
LIEU-DIT   COMBAL DU CORP             
LIEU-DIT   COMBALAS                   
LIEU-DIT   LA COMBASSE                
LIEU-DIT   LA COMBE                   
LIEU-DIT   COMBE JAVEL                
LIEU-DIT   LA COMBETTE                
LIEU-DIT   LA COMPAGNETTE             
LIEU-DIT   CONCUMINAL                 
LIEU-DIT   LE CONIAS                  
LIEU-DIT   LA COSTE                   
LIEU-DIT   COSTE DE PEYRE RONDE       
LIEU-DIT   COSTE DU BOYS              
LIEU-DIT   LES COSTES                 
LIEU-DIT   COSTIAS DE LA FONGE        
LIEU-DIT   COTE BELLE                 
LIEU-DIT   LES COUAGNES               
LIEU-DIT   LES COUARELLES ET L ESPARS 
LIEU-DIT   COUGNET                    
LIEU-DIT   LES COUINTS                
LIEU-DIT   LE COUNIAS ET ARBOUSSEOUS  
LIEU-DIT   LES COUSTINS               
LIEU-DIT   LA CROIX                   
LIEU-DIT   LE CROS                    
LIEU-DIT   LE CROS DE LA GASQUE       
LIEU-DIT   CUGUILLON                  
LIEU-DIT   CUGUL                      
LIEU-DIT   DELAY REYCHASSE            
LIEU-DIT   DESSUS LES MAISONS NEUVES  
LIEU-DIT   DONALYS                    
LIEU-DIT   DONNALIS                   
LIEU-DIT   LES DRAYES                 
LIEU-DIT   L ESPARCEL                 
LIEU-DIT   LES ESTACHONS              
LIEU-DIT   L ESTOMPE                  
LIEU-DIT   L EYGAS                    
LIEU-DIT   L EYPIOL                   
LIEU-DIT   L EYPIOL ET L UVERNET      
LIEU-DIT   FERRAPE                    
LIEU-DIT   FESTOU LE HAUT             
LIEU-DIT   FESTOULA                   
LIEU-DIT   LA FIONIERE                
LIEU-DIT   LA FONGE                   
LIEU-DIT   FONGE LA TOYE              
LIEU-DIT   LA FOURCHE                 
LIEU-DIT   FOURNAYS                   
LIEU-DIT   GAILLARD                   
LIEU-DIT   GAILLARDETTE               
LIEU-DIT   GAIMETAS                   
LIEU-DIT   GALLAND                    
LIEU-DIT   GAMON                      
LIEU-DIT   LA GARAUDE                 
LIEU-DIT   LES GARDIOLES              
LIEU-DIT   LA GARDUORE                
LIEU-DIT   LA GARDUORE HAUTE          
LIEU-DIT   LA GASQUE                  
LIEU-DIT   GASTE PAIN                 
LIEU-DIT   LA GAVIA                   
LIEU-DIT   LE GAY                     
LIEU-DIT   LE GENEBRIER               
LIEU-DIT   LE GIET                    
LIEU-DIT   GILLY                      
LIEU-DIT   GIMET                      
LIEU-DIT   LES GORGES                 
LIEU-DIT   LE GORS                    
LIEU-DIT   LE GOUITRE                 
LIEU-DIT   LES GOURES                 
LIEU-DIT   LES GOURGEASSES            
LIEU-DIT   LES GOURGETTES             
LIEU-DIT   GOUTANE                    
LIEU-DIT   GRAND CAIRE                
LIEU-DIT   LE GRAND CLOT              
LIEU-DIT   LA GRAND PLATTE            
LIEU-DIT   LA GRAND RAIE              
LIEU-DIT   LA GRANDE BAISSE           
LIEU-DIT   LES GRANGES                
LIEU-DIT   LES GRAVES                 
LIEU-DIT   LES GRAVIERES              
LIEU-DIT   LA GREIPA                  
LIEU-DIT   LA GUERLEYE                
LIEU-DIT   GUILLE                     
LIEU-DIT   GUINEYT                    
LIEU-DIT   HAUT ABREUVOIR             
LIEU-DIT   HAUT CHARAMELET            
LIEU-DIT   HAUT CHATELLARD            
LIEU-DIT   HAUT COLIBRAN              
LIEU-DIT   HAUTE ROCHE LONGUE         
LIEU-DIT   HAUTES OLIVES              
LIEU-DIT   HAUTES PLATES              
LIEU-DIT   L HOCHE                    
LIEU-DIT   L HOSTACHY                 
LIEU-DIT   JAMBRUN                    
LIEU-DIT   JASSAYGUE                  
LIEU-DIT   JAX DES BOUCHERS           
LIEU-DIT   JEAN VIAL                  
LIEU-DIT   LES LAMES                  
LIEU-DIT   LARGENIERE                 
LIEU-DIT   LARGILLAS                  
LIEU-DIT   LARRA                      
LIEU-DIT   LA LAUZE                   
LIEU-DIT   LA LEVEE                   
LIEU-DIT   LE LUC                     
LIEU-DIT   MAISON CHAUDE              
LIEU-DIT   MAISONS BASSES             
LIEU-DIT   LES MAISONS NEUVES         
LIEU-DIT   LA MAITE                   
LIEU-DIT   MALAURE                    
LIEU-DIT   MALAURET                   
LIEU-DIT   LE MALRIF                  
LIEU-DIT   MAMEZEL                    
LIEU-DIT   MANIOUDET                  
LIEU-DIT   MARASSAN                   
LIEU-DIT   LES MARQUANTS              
LIEU-DIT   MARQUISON                  
LIEU-DIT   LES MARROUS                
LIEU-DIT   MEDOULIN                   
LIEU-DIT   LE MELEZAI                 
