20151101
08         ARDENNES                      
           commune :     ACY ROMANCE                    departement : ARDENNES                      
LIEU-DIT   LE BALOSSIER               
LIEU-DIT   BAPARME                    
LIEU-DIT   LES BATTIS                 
LIEU-DIT   LE COQ A L AILE            
LIEU-DIT   LE BOIS BERTRAND           
LIEU-DIT   LE BOIS DE BELVAL          
LIEU-DIT   LE BOIS MEUGY              
LIEU-DIT   LE BOIS RIDOUX             
LIEU-DIT   LES BONDES                 
LIEU-DIT   EN BURNY                   
LIEU-DIT   LES CARRIERES              
LIEU-DIT   LE CESSIER                 
LIEU-DIT   LE CHAMPAGNY               
LIEU-DIT   LE CHEM DE LA COUTURE A N  
LIEU-DIT   LE CHEMIN D AVANCON        
LIEU-DIT   LE CHEMIN DE LA HACHE      
LIEU-DIT   LE CHEMIN DE LA MOTELLE    
LIEU-DIT   LE CHEMIN VERT             
LIEU-DIT   LE CLOS DU CUL             
LIEU-DIT   LE CLOS MADAME             
LIEU-DIT   COLIBRAY                   
LIEU-DIT   LA COMME                   
LIEU-DIT   LA COTE LA DEMOISELLE      
LIEU-DIT   COURBANCE                  
LIEU-DIT   LES COURTILS               
LIEU-DIT   LA COUTURE A NAUGE         
LIEU-DIT   LA CROIX L HERMITTE        
LIEU-DIT   LA CROIZETTE               
LIEU-DIT   LE CUIRASSIER              
LIEU-DIT   DE DELA                    
LIEU-DIT   AU DESSUS DES EFFALIZES    
LIEU-DIT   E FOND DE LA SAULT         
LIEU-DIT   LES EAUX VERGERES          
LIEU-DIT   LES EFFALIZES              
LIEU-DIT   L EMPLACEMENT DE L ANC CHU 
LIEU-DIT   L ENCLOS DE LA FOLIE       
LIEU-DIT   L ENTREE DE L EPINE DURAN  
LIEU-DIT   L ENTREE DE LA NOUE BERAN  
LIEU-DIT   ENTREE DE LA NOUE DE VAUZS 
LIEU-DIT   L ENTREE DE LA SAULT       
LIEU-DIT   L EPINE DURAND             
LIEU-DIT   L EPINE HERBIN             
LIEU-DIT   L ETRON D OIE              
LIEU-DIT   LE FOND DE BAPARME         
LIEU-DIT   LE FOND DE LA NOUE BERANG  
LIEU-DIT   LE FOND DE LA NOUE SURDEA  
LIEU-DIT   LA FONTAINE JEANNOT        
LIEU-DIT   LA FOSSE LE POULAIN        
LIEU-DIT   LE FOURNIL HAVET           
LIEU-DIT   LA GARENNE COLBERT         
