20151101
15         CANTAL                        
           commune :     ALLANCHE                       departement : CANTAL                        
CITE       FROMENTS                   
CITE       HLM                        
RESIDENCE  DU PONT ROMAIN             
LIEU-DIT   LES ABIERRES               
LIEU-DIT   LES ANGLARDS               
LIEU-DIT   LES ANGLARDS SUD           
LIEU-DIT   AUTOUR DE CHASTRE          
LIEU-DIT   LE BAC                     
LIEU-DIT   LE BAC NORD                
LIEU-DIT   LE BALADOUR                
LIEU-DIT   BANIARD                    
LIEU-DIT   BANIARD OUEST              
LIEU-DIT   LES BARABANS               
LIEU-DIT   LES BARRABANS              
LIEU-DIT   BASTAR                     
LIEU-DIT   LE BATINTOU                
LIEU-DIT   LES BESSADES               
LIEU-DIT   BETEIL                     
LIEU-DIT   LE BIAR                    
LIEU-DIT   LES BIERRES                
LIEU-DIT   BIGAR                      
LIEU-DIT   BLANCOU                    
LIEU-DIT   BOIS DE CONCHES            
LIEU-DIT   BOIS DE CONCHES SUD        
LIEU-DIT   LES BOIS DE LA FAGE        
LIEU-DIT   LES BOIS DE LA FAGE NORD   
LIEU-DIT   BOIS DE MATHONIERE         
LIEU-DIT   BOIS DE NUIS               
LIEU-DIT   BOIS DE NUIS EST           
LIEU-DIT   BOIS DES MESSES            
LIEU-DIT   LES BOIS DRIT              
LIEU-DIT   BONNECOMBE                 
LIEU-DIT   LE BOUCHET                 
LIEU-DIT   LE BOURG                   
LIEU-DIT   LE BOURG NORD              
LIEU-DIT   BOURGASSOU                 
LIEU-DIT   LES BOURNIOUS              
LIEU-DIT   LE BOUYSSOU                
LIEU-DIT   LE BRUEL                   
LIEU-DIT   BUFFEVENT                  
LIEU-DIT   BURON DU BALADOUR          
LIEU-DIT   CAUMINAL                   
LIEU-DIT   CEZERI                     
LIEU-DIT   CHABANER                   
LIEU-DIT   CHAMBLARDS                 
LIEU-DIT   CHAMECHANE                 
LIEU-DIT   CHAMP PAGIT                
LIEU-DIT   CHAMP ROUGE                
LIEU-DIT   CHAMPS DES VACHERS         
LIEU-DIT   CHAMPS DU BOIS             
LIEU-DIT   LES CHAMPS ROUX            
LIEU-DIT   LA CHAN                    
LIEU-DIT   LA CHASSAGNE               
LIEU-DIT   CHASSANG                   
LIEU-DIT   CHASTRE                    
LIEU-DIT   CHAUMEILLE                 
LIEU-DIT   CHAVANON                   
LIEU-DIT   CHAVANON HAUT              
LIEU-DIT   DE LA CHAY                 
LIEU-DIT   LA CHAY                    
LIEU-DIT   LA CHEYROLE                
LIEU-DIT   CHIGOURNAT                 
LIEU-DIT   LE CLAU                    
LIEU-DIT   LES CLAUZELS               
LIEU-DIT   COL                        
LIEU-DIT   COMBALUT                   
LIEU-DIT   LA COMBE                   
LIEU-DIT   COMBE DE LORQUAI           
LIEU-DIT   LES COMBES                 
LIEU-DIT   COMBES                     
LIEU-DIT   COMMUNAL DE CHASTRE        
LIEU-DIT   LES CONCHES                
LIEU-DIT   LA COSTE                   
LIEU-DIT   COSTE AIGRE                
LIEU-DIT   COSTE AIGRE NORD           
LIEU-DIT   LA COSTE NORD              
LIEU-DIT   COSTE PAGADE               
LIEU-DIT   COSTES DE LA CHAY          
LIEU-DIT   COSTES DE LA CHAY NORD     
LIEU-DIT   LA COTE                    
LIEU-DIT   COTE DE ROCHE MARCHAL      
LIEU-DIT   LES COTES                  
LIEU-DIT   COTES BIAR                 
LIEU-DIT   COTES BRUGEADES            
LIEU-DIT   COTES INGRUCHIER           
LIEU-DIT   COTES POUGAILLAN           
LIEU-DIT   LE COUDERC                 
LIEU-DIT   LE COUDERC NORD            
LIEU-DIT   COUDOUR                    
LIEU-DIT   COUDOUR NORD               
LIEU-DIT   COUNIAIRES                 
LIEU-DIT   COUSTENAT                  
LIEU-DIT   COUSTINAT                  
LIEU-DIT   CROIX DE MI CHEMIN         
LIEU-DIT   CROIX HAUTE                
LIEU-DIT   DERRIERE LE BAC            
LIEU-DIT   AU DESSUS DU CHAMP D HENRI 
LIEU-DIT   LA DEVEZE                  
LIEU-DIT   DEVEZE DE CHANET           
LIEU-DIT   DONNENUIT                  
LIEU-DIT   EGACHEIRE                  
LIEU-DIT   ENTRE LES GOURS            
LIEU-DIT   FERIVET                    
LIEU-DIT   FEYDIT                     
LIEU-DIT   FIALOU                     
LIEU-DIT   FOND DEVERSE               
LIEU-DIT   FONT DE GENIERE            
