20151101
19         CORREZE                       
           commune :     AFFIEUX                        departement : CORREZE                       
           TEST                       
LIEU-DIT   L AGE                      
LIEU-DIT   A L ALLEE                  
LIEU-DIT   D AUTRE                    
LIEU-DIT   A LA BACHE                 
LIEU-DIT   BALEME                     
LIEU-DIT   BELLEVUE                   
LIEU-DIT   LA BERGERE                 
LIEU-DIT   A LA BESSAILLADE           
LIEU-DIT   SUR LE BESSAND             
LIEU-DIT   AUX BESSAUX                
LIEU-DIT   A LA BESSE                 
LIEU-DIT   A LA BIERSE                
LIEU-DIT   SUR LE BOIS                
LIEU-DIT   A BONNEFOND                
LIEU-DIT   AUX BORDES                 
LIEU-DIT   LA BORIE                   
LIEU-DIT   A BOULOU                   
LIEU-DIT   LE BOURG                   
LIEU-DIT   A BRAMEFOND                
LIEU-DIT   A BROUSSELY                
LIEU-DIT   AUX BROUSSES               
LIEU-DIT   LA BUGE                    
LIEU-DIT   LA BUGE NOIRE              
LIEU-DIT   A LA BURDELLERIE           
LIEU-DIT   LES CABANES                
LIEU-DIT   LES CANARDIERES            
LIEU-DIT   A LA CHABANE               
LIEU-DIT   SUR CHADUEL                
LIEU-DIT   AU CHAMADOUR               
LIEU-DIT   AU CHAMP BOURDEL           
LIEU-DIT   CHAMP D AUTRE              
LIEU-DIT   CHAMP DE L ECLUSE          
LIEU-DIT   CHAMP DES BREBIS           
LIEU-DIT   CHAMP DES CROS             
LIEU-DIT   CHAMP DES PLATS            
LIEU-DIT   CHAMP DU MONTEIL           
LIEU-DIT   CHAMP MAIGRE               
LIEU-DIT   LE CHAMP MERLE             
LIEU-DIT   CHAMP REDON                
LIEU-DIT   LE CHAMPOS                 
LIEU-DIT   LA CHAPELLE                
LIEU-DIT   A LA CHASSAGNE             
LIEU-DIT   LA CHATAGNADE              
LIEU-DIT   A CHATRAS                  
LIEU-DIT   A CHAVETERRE               
LIEU-DIT   CHEMIN                     
LIEU-DIT   LE CLAUZEL                 
LIEU-DIT   LE CLOS DE LA PORTE        
LIEU-DIT   LE CLOS DE MERCEIL         
LIEU-DIT   AU COLOMBIER               
LIEU-DIT   LA COMBE                   
LIEU-DIT   A LA COMBE                 
LIEU-DIT   LA COMBE                   
LIEU-DIT   LA COMBE ARBRE             
LIEU-DIT   LA COMBE AUX CROS          
LIEU-DIT   COMBE BOURNAT              
LIEU-DIT   LA COMBE D ENVERS          
LIEU-DIT   COMBE DERRIERE             
LIEU-DIT   A LA COMBE DU PUY          
LIEU-DIT   COMBE FORSADE              
LIEU-DIT   SUR LA COMBE MATHIEU       
LIEU-DIT   COMBE RAIMOND              
LIEU-DIT   A COMBE TORTE              
LIEU-DIT   AUX COMBES                 
LIEU-DIT   AUX COMBES RENARD          
LIEU-DIT   LA COMBILLE                
LIEU-DIT   A LA COMBILLE              
LIEU-DIT   A COMBILLOU                
LIEU-DIT   LE COMMUNAL                
LIEU-DIT   A COURBAILLOU              
LIEU-DIT   AU COUSTALOU               
LIEU-DIT   LES COUSTAUX               
LIEU-DIT   AUX COUSTAUX DE BOULOU     
LIEU-DIT   LA CROIX                   
LIEU-DIT   A LA CROIX                 
LIEU-DIT   LA CROIX NEUVE             
LIEU-DIT   LA CROIZILLE               
LIEU-DIT   CUEIL                      
LIEU-DIT   A LA DAME                  
LIEU-DIT   AU DAROT                   
LIEU-DIT   LA DEJALADE                
LIEU-DIT   LE DUVEIX                  
LIEU-DIT   L EBURDELLERIE             
LIEU-DIT   A L ECLUSE                 
LIEU-DIT   ENTRE LES CHEMINS          
LIEU-DIT   ESPINET                    
LIEU-DIT   ETANG DE LINATRE           
LIEU-DIT   ETANG DU PEUCH             
LIEU-DIT   EYDIE                      
LIEU-DIT   LE FARGEAU                 
LIEU-DIT   A FAZOLAS                  
LIEU-DIT   LES FOLLES                 
LIEU-DIT   A LA FOND                  
LIEU-DIT   LES FONDS SAINTES          
LIEU-DIT   AUX FOUILLADES             
LIEU-DIT   LA FOURILLOU               
LIEU-DIT   LA FROMAZIERE              
LIEU-DIT   A LA GANE                  
LIEU-DIT   SUR LA GANE                
LIEU-DIT   AUX GANES                  
LIEU-DIT   AU GOT                     
LIEU-DIT   LE GOULET                  
LIEU-DIT   AU GOUR                    
LIEU-DIT   GOUTES BORDEL              
LIEU-DIT   A GOUTTE FILIAUX           
LIEU-DIT   GOUTTE LONGUE              
LIEU-DIT   AUX GOUTTES                
LIEU-DIT   AU GOUZIAU                 
LIEU-DIT   GRAND CHAMP                
LIEU-DIT   AU GRAND COMBE             
LIEU-DIT   GRAND PATURAL              
LIEU-DIT   LE GRAND PRE               
LIEU-DIT   GRAND PUY DE LA PRADE      
LIEU-DIT   LA GRANDE COMBE            
LIEU-DIT   LA GRANDE RIBIERE          
LIEU-DIT   AUX GRANDS BOIS            
LIEU-DIT   AUX GRANDS CHAMPS          
LIEU-DIT   AUX GRANDS PRES            
LIEU-DIT   LES GRANDS TIZEAUX         
LIEU-DIT   LES GROLES                 
LIEU-DIT   GUE DE PEYRISSAC           
LIEU-DIT   A LA GUERENOTE             
LIEU-DIT   A LAFON SAINTE             
LIEU-DIT   LAFONT                     
LIEU-DIT   LA LANDE                   
LIEU-DIT   A LAS BIJAR                
LIEU-DIT   LAS COUDERCHE              
LIEU-DIT   LEMBRUN                    
LIEU-DIT   LE LERY                    
LIEU-DIT   A LOGNE                    
LIEU-DIT   LA LOUCHE                  
LIEU-DIT   LE MAMELON VERT            
LIEU-DIT   MARCILLOUX                 
LIEU-DIT   MAURY                      
LIEU-DIT   LA MEILLADE                
LIEU-DIT   MERCIEL                    
LIEU-DIT   LE MONTEIL                 
LIEU-DIT   AU MOULIN                  
LIEU-DIT   LE MOULIN D EYDIE          
LIEU-DIT   MOULIN DE MERCEIL          
LIEU-DIT   MOULIN DU PEUCH            
LIEU-DIT   AUX NAUDS                  
LIEU-DIT   A PARDEIFOND               
LIEU-DIT   LE PERDISSAU               
LIEU-DIT   LE PEUCH                   
LIEU-DIT   A LA PEYRADE               
LIEU-DIT   A LA PIECE                 
LIEU-DIT   LA PIECE LONGUE            
LIEU-DIT   A LA PLAINE                
LIEU-DIT   AUX PLAINES                
LIEU-DIT   LES PLAINES DE LA GANE     
LIEU-DIT   AUX PLANCHES               
LIEU-DIT   AU PONT                    
LIEU-DIT   LE PONT DES ILES           
LIEU-DIT   LE PONTEIL                 
LIEU-DIT   LES POUGES                 
LIEU-DIT   LA PRADE                   
LIEU-DIT   A LA PRADE                 
LIEU-DIT   AU PRADEL                  
LIEU-DIT   PRADINAUD                  
LIEU-DIT   AU PRE CIBROT              
LIEU-DIT   PRE DE LA VERGNE           
LIEU-DIT   PRE DE RIVIERE             
LIEU-DIT   SUR LE PRE DES CROS        
LIEU-DIT   PRE PALIER                 
LIEU-DIT   PRES D AFFIEUX             
LIEU-DIT   PRES DE BOULOU             
LIEU-DIT   AUX PRES DE LA BORIE       
LIEU-DIT   PRES DU MOULIN             
LIEU-DIT   LES PRES VIEUX             
LIEU-DIT   LES PRETRES                
LIEU-DIT   AU PUY                     
LIEU-DIT   LE PUY CHASSAGNOUX         
LIEU-DIT   PUY DE LA FAVIRE           
LIEU-DIT   PUY DE LA PRADE            
LIEU-DIT   PUY DE REBOULET            
LIEU-DIT   PUY DE VEZERE              
LIEU-DIT   PUY DEL VIROU              
LIEU-DIT   PUY DES BRUNES             
LIEU-DIT   PUY DES ILES               
LIEU-DIT   PUY DES LIEVRES            
LIEU-DIT   AU PUY DES PRES            
LIEU-DIT   PUY DOUSSE                 
LIEU-DIT   PUY DU CERISIER            
LIEU-DIT   PUY LA BESSE               
LIEU-DIT   PUY LA SALLE               
LIEU-DIT   PUY LA VIGNE               
LIEU-DIT   PUY LAFONT                 
LIEU-DIT   PUY MADRANG                
LIEU-DIT   PUY MONTVIALLAT            
LIEU-DIT   PUY PANTOUT                
LIEU-DIT   PUY REDOU                  
LIEU-DIT   PUY SADRONILE              
LIEU-DIT   REBIERE DE GOUTTE          
LIEU-DIT   LA REINJOTTE               
LIEU-DIT   LES RESSUAS                
LIEU-DIT   A LA REUGE                 
LIEU-DIT   RIBIERE DE LA LOGNE        
LIEU-DIT   AUX RIBIEROUX              
LIEU-DIT   AUX RIOUX                  
LIEU-DIT   AUX RIVASSOUL              
LIEU-DIT   AUX RIVAUX                 
LIEU-DIT   LA RIVIERE                 
LIEU-DIT   A RIVIERE                  
LIEU-DIT   LA RIVIERE SAUVAGE         
LIEU-DIT   ROCHER DES FOLLES          
LIEU-DIT   ROCHES DE VEIX             
LIEU-DIT   ROMANET                    
LIEU-DIT   LE RUISSEAU D EYDIE        
LIEU-DIT   A SAGNAN                   
LIEU-DIT   AU SALEIX                  
LIEU-DIT   LES SERPENTS               
LIEU-DIT   AUX TILLAUX                
LIEU-DIT   LA TIOLANGE                
LIEU-DIT   AUX TIZEAUX                
LIEU-DIT   LA TRIMOULE                
LIEU-DIT   AUX VAREIX                 
LIEU-DIT   A LA VERGNE                
LIEU-DIT   VERGONZANE                 
LIEU-DIT   A LA VEZERE                
LIEU-DIT   AU VIROU                   
LIEU-DIT   GANE SAUVIAT               
           commune :     AIX                            departement : CORREZE                       
LIEU-DIT   L AIR                      
LIEU-DIT   LA BARDIERE                
LIEU-DIT   LA BARGE ET BOIS LONG      
LIEU-DIT   LE BASCOULERGUE            
LIEU-DIT   LES BERGERES               
LIEU-DIT   LA BESSADE                 
LIEU-DIT   AUX BESSADES               
LIEU-DIT   LA BESSE                   
LIEU-DIT   AU BOIS                    
LIEU-DIT   BOIS DE BELAUD             
LIEU-DIT   BOIS DE BONAYGUE           
LIEU-DIT   BOIS DE BONNEFOND          
LIEU-DIT   BOIS DE CHALONS            
LIEU-DIT   BOIS DE LA PRADASSE        
LIEU-DIT   BOIS DE LA PRADES          
LIEU-DIT   BOIS DE REBEYRIE           
LIEU-DIT   BOIS DE VERGNOU            
LIEU-DIT   LE BOIS DES BUISSONS       
LIEU-DIT   AU BOIS DES TROIS FAUX     
LIEU-DIT   LE BOIS DES TROIS FAUX     
LIEU-DIT   BONNEFOND                  
LIEU-DIT   LE BOS DE VERS BAS         
LIEU-DIT   LE BOUEYGE                 
LIEU-DIT   LES BOUIGEAUX              
LIEU-DIT   AUX BOUIGES                
LIEU-DIT   LE BOURG                   
LIEU-DIT   AUX BOURLADIS              
LIEU-DIT   LES BOURNIAUX              
LIEU-DIT   LE BOUTILLOU               
LIEU-DIT   AUX BRUGEAUX               
LIEU-DIT   LE BUDEIX                  
LIEU-DIT   LES BUGES                  
LIEU-DIT   CHALONS                    
LIEU-DIT   CHAMP DU PASCHER           
LIEU-DIT   LA CHASSAGNITE             
LIEU-DIT   LES CHASTRADES             
LIEU-DIT   LES CHAUMES                
LIEU-DIT   A CHAUSSER                 
LIEU-DIT   AU CHIROL                  
LIEU-DIT   CIARNEIX                   
LIEU-DIT   LA COMBE DES BOIS          
LIEU-DIT   LES CONTES                 
LIEU-DIT   LA COTE DE L AIR           
LIEU-DIT   LA COTE DE L ETANG         
LIEU-DIT   AUX COUILLERES             
LIEU-DIT   A LA DAME                  
LIEU-DIT   ENCOGNERAS                 
LIEU-DIT   A L ETANG DE SAINT MARTIN  
LIEU-DIT   LES FAUGERADES             
LIEU-DIT   LES FONDS DE CHALONS       
LIEU-DIT   FONT BELLA                 
LIEU-DIT   LA FONT CLOSE              
LIEU-DIT   LES FOURNIERES             
LIEU-DIT   LA GANE SAUVETTE           
LIEU-DIT   AUX GINIETTES              
LIEU-DIT   LE GRAND CHAMP             
LIEU-DIT   AU GRAND CHAMP             
LIEU-DIT   LE GRAND CHAMP             
LIEU-DIT   LE GRAND PASCHER           
LIEU-DIT   GRAND PEUCH DU FONZEAU     
LIEU-DIT   LE GRAND PRE               
LIEU-DIT   GRAND PRE                  
LIEU-DIT   LE GRAND PRE               
LIEU-DIT   LE GRANDCHER               
LIEU-DIT   AUX GRANDS PRES            
LIEU-DIT   LA JALOUSTRE               
LIEU-DIT   JAMBE PETITE               
LIEU-DIT   LA JARRIGE                 
LIEU-DIT   LES JUSTICES               
LIEU-DIT   LABOUCHEIX                 
LIEU-DIT   LARFEUILLE                 
LIEU-DIT   LAS FAULAD                 
LIEU-DIT   A LAS VERGNAS              
LIEU-DIT   LAVAL                      
LIEU-DIT   A LAVAUD                   
LIEU-DIT   LE MACHARRIER              
LIEU-DIT   LA MALADE                  
LIEU-DIT   LE MARAIS                  
LIEU-DIT   LA MARSALOUZE              
LIEU-DIT   MONTASSERE                 
LIEU-DIT   LES MONTES                 
LIEU-DIT   MOULIN DE LA JALOUSTRE     
LIEU-DIT   LA NAVADE                  
LIEU-DIT   A L OUBRE                  
LIEU-DIT   AU PASSADOU                
LIEU-DIT   LES PATUREAUX              
LIEU-DIT   AUX PEUCHAUX               
LIEU-DIT   AU POUGES                  
LIEU-DIT   LES POUGES                 
LIEU-DIT   A LA PRADE                 
LIEU-DIT   LES PRADES                 
LIEU-DIT   LES PRAS                   
LIEU-DIT   AUX PRAS                   
LIEU-DIT   PUECH GRAND                
LIEU-DIT   AU PUECH GRAND             
LIEU-DIT   PUY DE JUSTICE             
LIEU-DIT   PUY DE LA DAME             
LIEU-DIT   PUY DE LA JUSTICE          
LIEU-DIT   PUY DES GRANDAUX           
LIEU-DIT   PUY DU MOULIN              
LIEU-DIT   AU PUY MOULLIERES          
LIEU-DIT   LES QUARTIERS              
LIEU-DIT   LA REBEYRIE                
LIEU-DIT   AUX RENARDIERES            
LIEU-DIT   LES RIVAUX                 
LIEU-DIT   LA ROCHE                   
LIEU-DIT   LES ROCS DE MAS            
LIEU-DIT   LA ROUSSANGE               
LIEU-DIT   LA SAUVETTE                
LIEU-DIT   LE SE                      
LIEU-DIT   LA SIAUVE                  
LIEU-DIT   AU SUC DE LA PLATA         
LIEU-DIT   LE SUC DES VERGNES DU ROC  
LIEU-DIT   SUQUET DE LA GANNE         
LIEU-DIT   LES VALADES                
LIEU-DIT   VENARD                     
LIEU-DIT   LA VERGNE                  
LIEU-DIT   LA VERGNE LONGUE           
