20151101
27         EURE                          
           commune :     ACLOU                          departement : EURE                          
LIEU-DIT   ACLOU                      
LIEU-DIT   L ACRE MAROT               
LIEU-DIT   LA BOISSAIE                
LIEU-DIT   LE BOSQUET TIBRI           
LIEU-DIT   LES BRUYERES NORD          
LIEU-DIT   LES BRUYERES SUD           
LIEU-DIT   LA CAMPAGNE DE LA MOUTIERE 
LIEU-DIT   LA CROIX CRESPIN           
LIEU-DIT   LES FOSSETTES              
LIEU-DIT   LES FRETELETS              
LIEU-DIT   LES FRICHES                
LIEU-DIT   LA MARE ABRAHAM            
LIEU-DIT   LA MARE PECQUET            
LIEU-DIT   LA PETITE CAMPAGNE         
LIEU-DIT   LA PIE                     
LIEU-DIT   LA RUE SIGNOL              
LIEU-DIT   LE TRIANGLE                
LIEU-DIT   LE VAL ACCARD              
LIEU-DIT   LES BRUYERES               
LIEU-DIT   LA MARE BONNE              
LIEU-DIT   LE RADIER                  
LIEU-DIT   FISCAL                     
RUE        DES BRUYERES               
PLACE      DES BRUYERES               
RUE        DE L EGLISE                
RUE        DE LA GRANGE DIMIERE       
RUE        DE LA MAIRIE               
IMPASSE    DE LA MARE ABRAHAM         
IMPASSE    DE LA MARE BONNE           
RUE        DE LA MARE PECQUET         
VC         LE MOULIN D ACLOU          
N          NATIONALE 138              
RUE        DE LA PIE                  
IMPASSE    DE LA PIE                  
RUE        SIGNOL                     
           AUTOROUTE                  
           commune :     ACON                           departement : EURE                          
LIEU-DIT   LA BARTE                   
LIEU-DIT   BELLEVUE                   
LIEU-DIT   BOIS DE LA MARIETTE        
LIEU-DIT   BOIS LE BREC               
LIEU-DIT   BOIS LEBREC                
LIEU-DIT   BRIEUX                     
LIEU-DIT   LES CANUAUX                
LIEU-DIT   LES CHAMPS DES VIGNES      
LIEU-DIT   LES CHAMPS PIEUX           
LIEU-DIT   LES CHAMPS PISEUX          
LIEU-DIT   LE CHEMIN                  
LIEU-DIT   LA CORVEE                  
LIEU-DIT   LA COTE DES LARIS          
LIEU-DIT   LA COTE DU VOISINET        
LIEU-DIT   LES DEMAINES               
LIEU-DIT   LE DESERT                  
LIEU-DIT   LE DEZERT                  
LIEU-DIT   L ETOCQUET                 
LIEU-DIT   LE FOND DU VAL             
LIEU-DIT   LA FOSSE A REGNIER         
LIEU-DIT   LA FOSSE DIARD             
LIEU-DIT   FRICHES COMMUNALES DU MESN 
LIEU-DIT   LES GLANDS                 
LIEU-DIT   LA GRANDE MARE             
LIEU-DIT   LES GRANDS FONCEAUX        
LIEU-DIT   HAMEAU DES BRULES          
LIEU-DIT   HAMEAU DU MESNIL           
LIEU-DIT   HAMEAU DU ROUSSET          
LIEU-DIT   HAUT DE LA MARIETTE        
LIEU-DIT   LE HAUT DES MASMES         
LIEU-DIT   LE HAUT DES MASURES        
LIEU-DIT   LA HAYE AU DORLOT          
LIEU-DIT   HEUDEZ                     
LIEU-DIT   LES LONGS CHAMPS           
LIEU-DIT   MALASSIS                   
LIEU-DIT   LA MARE AU DORLOT          
LIEU-DIT   LA MARE DES CHAMPS         
LIEU-DIT   LE PARC D ACON             
LIEU-DIT   LES PETITS FONCEAUX        
LIEU-DIT   PIZOT                      
LIEU-DIT   LES PLANCHES               
LIEU-DIT   LES PRES D ACON            
LIEU-DIT   LES PRINCES                
LIEU-DIT   LA TOUCHE PIANT            
LIEU-DIT   LES VALLEES                
LIEU-DIT   LES VIEUX BRULES           
LIEU-DIT   LE VILLAGE D ACON          
RUE        DES ATTELAGES              
ROUTE      DE PARIS                   
RUE        DES DEUX MOULINS           
RUE        DE LA BROSSE               
RUE        DU BOIS GUIDE              
RUE        DES LONGCHAMPS             
RUE        DE MALASSIS                
RUE        DU MANOIR                  
RUE        DE LA MARIETTE             
RUE        DE LA MAIRIE               
RUE        DE LA MARE                 
RUE        DU MESNIL PIPART           
IMPASSE    BAHIN                      
RUE        DU PRESSOIR                
RUE        DES TISSERANDS             
PLACE      DES TISSERANDS             
RUE        DU GRAND NOYER             
RUE        DE LA GRANGE BAHIN         
RUE        DU VIEUX PUITS             
CHEMIN     DES PRES                   
CHEMIN     DES BOUVIERS               
CHEMIN     DES CORVEES                
CHEMIN     DU DESERT                  
RUE        DU FOND DU VAL             
IMPASSE    DE LA GRANGE BAHIN         
RUE        DES LARIS                  
SENTIER    DE LA MARE                 
ROUTE      DU PONT DES PLANCHES       
RUE        DU PONT DES PLANCHES       
RUE        DU SABOTIER                
RUE        DE SOTTEVILLE              
CHEMIN     DES BOIS                   
           commune :     ACQUIGNY                       departement : EURE                          
RESIDENCE  DU BEC D'AL RUE DES SABLON 
RESIDENCE  CLOS VIGNES R MOULIN POTEL 
LOT        LES GRANDS CHAMPS          
RESIDENCE  PILLERAIE RUE SURVILLE     
RESIDENCE  LA POMMERAIE R MOULIN POTE 
LOT        LES SABLONS                
RESIDENCE  DES DEUX VALLEES           
RESIDENCE  LA VIGNETTE                
LOT        LES BLEUETS (R CHARMILLES) 
ZONE       ZAE LE PATIS               
LIEU-DIT   LES AIRETTES               
LIEU-DIT   LA BARONNE                 
LIEU-DIT   LES BASSIERES              
LIEU-DIT   LES BOIS DE LA CARBONNIERE 
LIEU-DIT   LE BOIS DES FRENES         
LIEU-DIT   LES BOIS DES PLANCHES      
LIEU-DIT   LE BOUT DE LA VILLE        
LIEU-DIT   LE BOUT DU PONT            
LIEU-DIT   LES BUGREUX                
LIEU-DIT   CAMBREMONT                 
LIEU-DIT   LE CAMP CARDON             
LIEU-DIT   LA CARBONNIERE             
LIEU-DIT   LE CARDONNET               
LIEU-DIT   LE CAUTISON                
LIEU-DIT   CHANTIER DU GRAND CAMP     
LIEU-DIT   LE CHATEAU ROBERT          
LIEU-DIT   LE CHEMIN D AMFREVILLE     
LIEU-DIT   LE CHENE AU GRES           
LIEU-DIT   LA CHESNAIE                
LIEU-DIT   LE CHIQUEY                 
LIEU-DIT   LE CLOS BUISSON            
LIEU-DIT   LE CLOS DU HOM             
LIEU-DIT   CLOS SAINT MEAUXE          
LIEU-DIT   LES CORNOUILLETS           
LIEU-DIT   LA COTE D ALIOT            
LIEU-DIT   COTE DES MOULINS DU VALTIE 
LIEU-DIT   LA COTE SUR L EAU          
LIEU-DIT   LES DIGUETS                
LIEU-DIT   L EGLISE                   
LIEU-DIT   LES FAULX                  
