20151101
2B         HAUTE CORSE                   
           commune :     AGHIONE                        departement : HAUTE CORSE                   
LIEU-DIT   AGHIONE                    
LIEU-DIT   AGHIUNCELLO                
LIEU-DIT   AJA ALTA                   
LIEU-DIT   ALZI                       
LIEU-DIT   ALZITELLA                  
LIEU-DIT   ANDRIANI                   
LIEU-DIT   ANGELACCIA                 
LIEU-DIT   ARISTONE                   
LIEU-DIT   BADIGLIOLI                 
LIEU-DIT   BALDANACCIA                
LIEU-DIT   BANUCCI                    
LIEU-DIT   BERGAMANACCIA              
LIEU-DIT   BERRIECELLO                
LIEU-DIT   BILIOTO                    
LIEU-DIT   BOTTIGLIO                  
LIEU-DIT   BUTRELLO                   
LIEU-DIT   CAMPO DI A CHIESA ET FIGUE 
LIEU-DIT   CANAPALE                   
LIEU-DIT   CANE MORTO                 
LIEU-DIT   CAPO LA PIANA              
LIEU-DIT   CAPRINAJE                  
LIEU-DIT   CARONTE                    
LIEU-DIT   CASA RENUCCI               
LIEU-DIT   CASAL VECCHIO              
LIEU-DIT   CASOME                     
LIEU-DIT   CASONE                     
LIEU-DIT   CASTEL VECCHIO             
LIEU-DIT   CATASTAJO                  
LIEU-DIT   CAVELLI                    
LIEU-DIT   CENTO POGGIOLI             
LIEU-DIT   CHIESALE                   
LIEU-DIT   CHIOSO                     
LIEU-DIT   CHIOSO AL MOLINO           
LIEU-DIT   CHIOSO ALLA FINOCHIAJA     
LIEU-DIT   CIAPARELLO                 
LIEU-DIT   CIOTTA FIORELLO            
LIEU-DIT   CODALI                     
LIEU-DIT   COLONNA                    
LIEU-DIT   COLONNA LANDANA            
LIEU-DIT   CORRIGLIONE                
LIEU-DIT   COSTA                      
LIEU-DIT   COSTA DI FOATELLA          
LIEU-DIT   COSTA DI LOJANI            
LIEU-DIT   COTICCIO                   
LIEU-DIT   COTTICIO ET BERGAMANACCIA  
LIEU-DIT   CRISTIANO                  
LIEU-DIT   CROCE AL PIRELLO           
LIEU-DIT   CURTICCIOLO                
LIEU-DIT   DICEPPO                    
LIEU-DIT   DICEPPO DI CAGGIONE        
LIEU-DIT   DICEPPO QUADRO             
LIEU-DIT   DICEPPO ZAMPAI             
LIEU-DIT   FAVALE                     
LIEU-DIT   FENOSA                     
LIEU-DIT   FILICONE                   
LIEU-DIT   FIMOCHIAJA                 
LIEU-DIT   FOATELLA                   
LIEU-DIT   FOATELLA O BALDERONE       
LIEU-DIT   FOLACCIONI                 
LIEU-DIT   FOLACIONE                  
LIEU-DIT   FONTANA DI TERRIOLA        
LIEU-DIT   FONTANICCHIA               
LIEU-DIT   FRASSICCIA                 
LIEU-DIT   FRASSICE                   
LIEU-DIT   FURNELLO                   
LIEU-DIT   GATTUCCIA                  
LIEU-DIT   GATTUCCIO                  
LIEU-DIT   IMBERSCIA                  
LIEU-DIT   ISOLA                      
LIEU-DIT   ISOLA CORTINCA             
LIEU-DIT   ISOLA DEL ALZETO           
LIEU-DIT   ISOLA DELL AGHIONCELLO     
LIEU-DIT   ISOLA DELLA CHIESA         
LIEU-DIT   ISOLA DI FOATELLA          
LIEU-DIT   LECCIA DI LOJANI           
LIEU-DIT   LEONELLA                   
LIEU-DIT   LICITELLO                  
LIEU-DIT   LINSTINCONE                
LIEU-DIT   LISTICONCELLO              
LIEU-DIT   LISTINCONE                 
LIEU-DIT   LOJANI                     
LIEU-DIT   MACCHIA LUNGA              
LIEU-DIT   MAJONCELLO                 
LIEU-DIT   MALARSO                    
LIEU-DIT   MARCHIGLIANI               
LIEU-DIT   MARGINE                    
LIEU-DIT   MARGINE DELL AGHIONE       
LIEU-DIT   MATARICCIO                 
LIEU-DIT   MATARICCIOLO               
LIEU-DIT   MATTUNICCIA                
LIEU-DIT   MITRAJA                    
LIEU-DIT   MITRAJO                    
LIEU-DIT   MOZZA LARDO                
LIEU-DIT   MUCHIETE                   
LIEU-DIT   NERONE                     
LIEU-DIT   NIBOLI                     
LIEU-DIT   OLMO                       
LIEU-DIT   PACCHIERONE                
LIEU-DIT   PALDOMO                    
LIEU-DIT   PANDORA                    
LIEU-DIT   PANTALACCIANO              
LIEU-DIT   PARATELLA                  
LIEU-DIT   PASCIALINA                 
LIEU-DIT   PASCIALINA ALLA FONTANA    
LIEU-DIT   PASCIALINO                 
LIEU-DIT   PASTINELLO                 
LIEU-DIT   PAVONE                     
LIEU-DIT   PIANA D AGHIONE            
LIEU-DIT   PIE DI MONTONE             
LIEU-DIT   PLAINE DE L OLMO           
LIEU-DIT   PORETTE DE NERONE          
LIEU-DIT   PORETTE DE SAMILETO        
LIEU-DIT   POZZA                      
LIEU-DIT   POZZALE                    
LIEU-DIT   PRATO                      
LIEU-DIT   PRUNICCIA                  
LIEU-DIT   PRUNICCIOSA                
LIEU-DIT   PUNTA AL BOLELERO          
LIEU-DIT   PUNTA DI FIROELLO          
LIEU-DIT   PUNTICCIOLO                
LIEU-DIT   PUNTIGLIOLO                
LIEU-DIT   PUNTIGLIONE                
LIEU-DIT   PURALBELLO                 
LIEU-DIT   PURETTE DI MUZZICONE       
LIEU-DIT   PURETTE DI PURALBELLO      
LIEU-DIT   PURETTE DI SAN GIOVANNI    
LIEU-DIT   PURETTE DI ST FRANCESCO    
LIEU-DIT   PUZZICHELLO                
LIEU-DIT   QUARCETO                   
LIEU-DIT   QUERCETO                   
LIEU-DIT   RANCICONE                  
LIEU-DIT   RENAJ                      
LIEU-DIT   RENAJOLI                   
LIEU-DIT   RENESE                     
LIEU-DIT   RINARO                     
LIEU-DIT   RIO AL VANGONE             
LIEU-DIT   RIVE                       
LIEU-DIT   RIVEROLA                   
LIEU-DIT   SAINT ANSELMO              
LIEU-DIT   SAMULETO                   
LIEU-DIT   SERRA MEZZANA              
LIEU-DIT   SERRATO                    
LIEU-DIT   SIMOLASCA                  
LIEU-DIT   SORBOLACCIO                
LIEU-DIT   STAFFOLI                   
LIEU-DIT   STRETONE                   
LIEU-DIT   SUARELLA                   
LIEU-DIT   SUARELLO                   
LIEU-DIT   TAGNONE                    
LIEU-DIT   TANGHI                     
LIEU-DIT   TAVALONE                   
LIEU-DIT   TAVONE                     
LIEU-DIT   TERRAZZACCIA               
LIEU-DIT   TERRICCIOLO                
LIEU-DIT   TERRIOLA                   
LIEU-DIT   TONDA                      
LIEU-DIT   TORRA                      
LIEU-DIT   TOZZE                      
LIEU-DIT   TRE FONTANE                
LIEU-DIT   VADINA                     
