20151101
32         GERS                          
           commune :     AIGNAN                         departement : GERS                          
QUA        LE BOURGUET                
CITE       LE VERGER                  
LIEU-DIT   ALGER                      
LIEU-DIT   LES ARENES                 
LIEU-DIT   ARRATE                     
LIEU-DIT   ARROUDE                    
LIEU-DIT   BAQUIEU                    
LIEU-DIT   LE BAQUIEU                 
LIEU-DIT   BAQUIEU D EN BAS           
LIEU-DIT   BARET                      
LIEU-DIT   BARTOUL                    
LIEU-DIT   BASTARRA                   
LIEU-DIT   BEDOUT                     
LIEU-DIT   BENOUCH                    
LIEU-DIT   BEOAT                      
LIEU-DIT   LE BERNET                  
LIEU-DIT   BETHAND                    
LIEU-DIT   BEYRAM                     
LIEU-DIT   LE BLANIN                  
LIEU-DIT   LE BOIS                    
LIEU-DIT   BORDEGEILLE                
LIEU-DIT   BORDES                     
LIEU-DIT   BORDENEUVE                 
LIEU-DIT   LA BOURDETTE               
LIEU-DIT   BOURNAC                    
LIEU-DIT   BRIMBO                     
LIEU-DIT   LA CAPERE                  
LIEU-DIT   CARCHET                    
LIEU-DIT   LE CAROY                   
LIEU-DIT   CARTULET                   
LIEU-DIT   CASTEX                     
LIEU-DIT   CASTILLON                  
LIEU-DIT   LA CAVE                    
LIEU-DIT   CAZENEUVE                  
LIEU-DIT   CEZERAC                    
LIEU-DIT   LA CHAPELLE                
LIEU-DIT   CHARRON                    
LIEU-DIT   LE CHATEAU                 
LIEU-DIT   CHATEAU DE SOUS            
LIEU-DIT   CLAIRE                     
LIEU-DIT   CLAJAC                     
LIEU-DIT   COUDOUS ET PABAZAN         
LIEU-DIT   COUR                       
LIEU-DIT   CROIX DU BEDAT             
LIEU-DIT   DAOUNET                    
LIEU-DIT   DERRIERE LE CHATEAU        
LIEU-DIT   DERRIERE PARDAILLAN        
LIEU-DIT   DOUCET                     
LIEU-DIT   DOUZENS                    
LIEU-DIT   DUPON                      
LIEU-DIT   LES ECOLES                 
LIEU-DIT   L EGLISE                   
LIEU-DIT   L ENFLE                    
LIEU-DIT   L ESCARGOTIERE             
LIEU-DIT   ESCASSES                   
LIEU-DIT   FAUDOUAS                   
LIEU-DIT   FITAN                      
LIEU-DIT   LA FLAMME                  
LIEU-DIT   FLOURES                    
LIEU-DIT   AU FOIRAIL                 
LIEU-DIT   GAURE                      
LIEU-DIT   A GISCARD                  
LIEU-DIT   GRILLON                    
LIEU-DIT   GUILHEMBLANC               
LIEU-DIT   LA HARGUE                  
LIEU-DIT   HERON                      
LIEU-DIT   HEROU                      
LIEU-DIT   HESTIA                     
LIEU-DIT   LA HIOLE                   
LIEU-DIT   HOUR                       
LIEU-DIT   JACQUELINE                 
LIEU-DIT   JAYMET                     
LIEU-DIT   JEANCOSTE                  
LIEU-DIT   JISCARO                    
LIEU-DIT   LABADIE                    
LIEU-DIT   LABADIE FROMENTAS          
LIEU-DIT   LABARDESQUE                
LIEU-DIT   LABARRERE                  
LIEU-DIT   LABOURDETTE                
LIEU-DIT   LACAHUSE                   
LIEU-DIT   LACAVE                     
LIEU-DIT   LACLAVERIE                 
LIEU-DIT   LACOSTE                    
LIEU-DIT   LACROUTS                   
LIEU-DIT   LAFFARGUE                  
LIEU-DIT   LAHAILLE                   
LIEU-DIT   LAHITTE                    
LIEU-DIT   LALANNE                    
LIEU-DIT   LALIBERTE                  
LIEU-DIT   LAMARQUE                   
LIEU-DIT   LAPAPOURE                  
LIEU-DIT   LAPEYRIE                   
LIEU-DIT   LAPEZE                     
LIEU-DIT   LARRAJADE                  
LIEU-DIT   LARREY                     
LIEU-DIT   LARRIETE                   
LIEU-DIT   LARTIGOT                   
LIEU-DIT   LARTIGUE                   
LIEU-DIT   LAS BOUZIGUES              
LIEU-DIT   LAS LANDES                 
LIEU-DIT   LASBORDE                   
LIEU-DIT   LASCRABIOU                 
LIEU-DIT   LASPEYRES                  
LIEU-DIT   LASPLACE                   
LIEU-DIT   LASSALLE                   
LIEU-DIT   LECTOURE                   
LIEU-DIT   LEON                       
LIEU-DIT   LESPIET                    
LIEU-DIT   LESTRADE                   
LIEU-DIT   LOTISSEMENT DU VERGER      
LIEU-DIT   LOUIS                      
LIEU-DIT   MACON                      
LIEU-DIT   LA MADONE                  
LIEU-DIT   MANIOU                     
LIEU-DIT   MAURANCHE                  
LIEU-DIT   MENJON                     
LIEU-DIT   LE MIDOUR                  
LIEU-DIT   MITERE                     
LIEU-DIT   MONCHRISTAL                
LIEU-DIT   MONJAOU                    
LIEU-DIT   MONTAGNE                   
LIEU-DIT   LE MOULIN                  
LIEU-DIT   MOUNEROT                   
LIEU-DIT   MOUTCHES                   
LIEU-DIT   PANASSAC                   
LIEU-DIT   PARDAILLAN                 
LIEU-DIT   PASSECANARD                
LIEU-DIT   PATEQUE                    
LIEU-DIT   PEJON                      
LIEU-DIT   PENSENS                    
LIEU-DIT   PERPIGNAN                  
LIEU-DIT   PETIT PLAN                 
LIEU-DIT   PETITE MAITAIERIE          
LIEU-DIT   PEYREBERE                  
LIEU-DIT   PEYRET                     
LIEU-DIT   PIERRY                     
LIEU-DIT   LA PISCINE                 
