20151101
36         INDRE                         
           commune :     AIGURANDE                      departement : INDRE                         
LIEU-DIT   LES ASSINES                
LIEU-DIT   LES BEIGES                 
LIEU-DIT   LA BERGERE DE L ETANG      
LIEU-DIT   LE BOIS BOUCHARD           
LIEU-DIT   LE BOIS DES GARENNES       
LIEU-DIT   LE BOIS DES PEYROTS        
LIEU-DIT   LE BOIS FER                
LIEU-DIT   LE BOIS GROSJEAN           
LIEU-DIT   LE BOIS SAVARD             
LIEU-DIT   LES BOISDUN                
LIEU-DIT   BOISNEUF                   
LIEU-DIT   BONTEMPS                   
LIEU-DIT   BOUCAMOINE                 
LIEU-DIT   LES BOUCHARDS              
LIEU-DIT   LES BOUCHAUDS              
LIEU-DIT   LA BOUIGE                  
LIEU-DIT   LE BOURG                   
LIEU-DIT   LA BOUTELLERIE             
LIEU-DIT   LA BOUZANNE                
LIEU-DIT   LA BRANDE                  
LIEU-DIT   LA BRANDE DE LA GAGNERIE   
LIEU-DIT   LA BRANDE DE RECULE        
LIEU-DIT   LA BRANDE TREMENT          
LIEU-DIT   LES CARTAUX                
LIEU-DIT   LE CARTELAT                
LIEU-DIT   LES CASSONS                
LIEU-DIT   LES CAURIERES              
LIEU-DIT   LA CHAGNADE                
LIEU-DIT   LA CHAGNE                  
LIEU-DIT   CHALANDREAU                
LIEU-DIT   LA CHAMBATTERIE            
LIEU-DIT   LE CHAMP BARIL             
LIEU-DIT   CHAMP BLANCHARD            
LIEU-DIT   CHAMP CHEVILLON            
LIEU-DIT   LE CHAMP DE DEVANT         
LIEU-DIT   LE CHAMP DE L ETANG        
LIEU-DIT   LE CHAMP DE LA BLONDETTE   
LIEU-DIT   LE CHAMP DE LA CHAPELLE    
LIEU-DIT   LE CHAMP DE LA CROIX       
LIEU-DIT   LE CHAMP DE LA FONT        
LIEU-DIT   LE CHAMP DU MITAN          
LIEU-DIT   LE CHAMP DU MOULIN         
LIEU-DIT   LE CHAMP LIAME             
LIEU-DIT   LA CHAPELLE                
LIEU-DIT   LES CHAPELLES              
LIEU-DIT   LES CHARDONS               
LIEU-DIT   LA CHARCILLE               
LIEU-DIT   CHATEAUFORT                
LIEU-DIT   LES CHATERETTES            
LIEU-DIT   LA CHAUME BABETTE          
LIEU-DIT   LA CHAUME BLANCHE          
LIEU-DIT   LA CHAUME BRULEE           
LIEU-DIT   LA CHAUME DES BOEUFS       
LIEU-DIT   LA CHAUME DU CHAGNE        
LIEU-DIT   LES CHAUMES                
LIEU-DIT   LES CHENILLERES            
LIEU-DIT   LE CHERIOUX                
LIEU-DIT   LA COMBE                   
LIEU-DIT   LA COMBETTE                
LIEU-DIT   LA CONCHE                  
LIEU-DIT   LES CORES                  
LIEU-DIT   LES COSSES                 
LIEU-DIT   LA COTE                    
LIEU-DIT   LES COTES JEANGOL          
LIEU-DIT   LES COURCHATS              
LIEU-DIT   LA COUTURE                 
LIEU-DIT   LA CUGNE                   
LIEU-DIT   DEVANT LA CHAPELLE         
LIEU-DIT   LE DOMAINE DE MONTLUC      
LIEU-DIT   LE DOMAINE DE PUYRATIER    
LIEU-DIT   LA DROUILLE                
LIEU-DIT   LES DUTAUDS                
LIEU-DIT   L ETANG DE LA VILLE        
LIEU-DIT   LE FAUBOURG GAILLET        
LIEU-DIT   LES FERRIERES              
LIEU-DIT   LES FLOUX                  
LIEU-DIT   LA FONT GAUTRON            
LIEU-DIT   LA FOUINE                  
LIEU-DIT   LES FOURNIOUX              
LIEU-DIT   LE GACHET                  
LIEU-DIT   LE GAT                     
LIEU-DIT   LA GILOTERIE               
LIEU-DIT   LES GORNERES               
LIEU-DIT   LA GOUTTE CHEBRET          
LIEU-DIT   LE GRAND BOIS              
LIEU-DIT   LE GRAND METROT            
LIEU-DIT   LE GRAND MOULIN            
LIEU-DIT   LE GRAND PATUREAU          
LIEU-DIT   LE GRAND PONTET            
LIEU-DIT   LE GRAND PRE               
LIEU-DIT   LE GRAND VERGER            
LIEU-DIT   LE GRAND VIVIER            
LIEU-DIT   LA GRANDE BRANDE           
LIEU-DIT   LA GRANDE CHAUME           
LIEU-DIT   LA GRANDE CROUZETTE        
LIEU-DIT   LA GRANDE PIECE            
LIEU-DIT   LES GRANDES TAILLES        
LIEU-DIT   LES GRANDS AVENEAUX        
LIEU-DIT   LES GRANDS BOIS            
LIEU-DIT   LA GRANGE GILBERTE         
LIEU-DIT   LES HERYS                  
LIEU-DIT   LA JOURNALIERE             
LIEU-DIT   LA LEVADE                  
LIEU-DIT   LES LOUERRES               
LIEU-DIT   LE MERIN                   
LIEU-DIT   LES MERLOTS                
LIEU-DIT   MONTLUC                    
LIEU-DIT   LE MOULIN BRIGAND          
LIEU-DIT   LE MOULIN DE PLANET        
LIEU-DIT   L OUCHE DES MERLOTS        
LIEU-DIT   L OUCHE PIGAT              
LIEU-DIT   LES OUZINES                
LIEU-DIT   LES PAQUETERIES            
LIEU-DIT   LE PARC                    
LIEU-DIT   LES PARTETES               
LIEU-DIT   LE PATURAL                 
LIEU-DIT   LE PATUREAU                
LIEU-DIT   LE PATUREAU DES GOUTTES    
LIEU-DIT   LE PATUREAU DU CHERIOUX    
LIEU-DIT   LE PATUREAU ROUET          
LIEU-DIT   LES PATUREAUX              
LIEU-DIT   LE PAVILLON                
LIEU-DIT   LE PETIT MERIN             
LIEU-DIT   LE PETIT METROT            
LIEU-DIT   LE PETIT PONTET            
LIEU-DIT   LE PETIT VIVIER            
LIEU-DIT   LA PETITE COUTURE          
LIEU-DIT   LES PETITS TORSAINS        
LIEU-DIT   LES PEYROTS                
LIEU-DIT   LA PICAUDERIE              
LIEU-DIT   LES PILARDIERES            
LIEU-DIT   LE PLANET                  
LIEU-DIT   LE PONTET LAVERGNE         
LIEU-DIT   LES POUGES                 
LIEU-DIT   LE PRADET                  
LIEU-DIT   LE PRE CHEVALES            
LIEU-DIT   LE PRE DE LA BARRIERE      
LIEU-DIT   LE PRE DE LA COUTURE       
LIEU-DIT   LE PRE DES FORGES          
LIEU-DIT   LE PRE MANTEAU             
LIEU-DIT   LE PRE SOULAURE            
LIEU-DIT   LES PRES DE L ETANG        
LIEU-DIT   PUYRATIER                  
LIEU-DIT   LE RECULE                  
LIEU-DIT   LA REGNIERE                
LIEU-DIT   LA REGNIERE BASSE          
LIEU-DIT   LE RIAU DE L ORME          
LIEU-DIT   RISBLANC                   
LIEU-DIT   LES RIVETS                 
LIEU-DIT   LA SAUZADE                 
LIEU-DIT   LE SAUZY                   
LIEU-DIT   LA TAILLE DU PRE MANTEAU   
LIEU-DIT   LA TAILLE GRAPETTE         
LIEU-DIT   LES TAILLES                
LIEU-DIT   LE TAILLIS DES PILLARDIERE 
LIEU-DIT   LA TANTOUILLE              
LIEU-DIT   LE TENIGRE                 
LIEU-DIT   LES TERRES FROIDES         
LIEU-DIT   LE TILLET                  
LIEU-DIT   LE TIVOLI                  
LIEU-DIT   LES TROIS CHAUMES          
LIEU-DIT   LE VERET                   
LIEU-DIT   LES VERGNOLES              
LIEU-DIT   LE GRAVET                  
           COLLEGE FREDERIC CHOPIN    
ROUTE      D'AIGURANDE                
RUE        DES ABATTOIRS              
RUE        DU BERRY                   
ROUTE      DE MORTIOUX                
ROUTE      DE BONNAT                  
RUE        CASSE COU                  
PLACE      DU CHP DE FOIRE            
CHEMIN     DU CINEMA                  
ROUTE      DE CLUIS                   
ROUTE      DE LA COUTURE              
ROUTE      DE DUN                     
PLACE      DE L EGLISE                
RUE        DE L EGLISE                
RUE        DE L'ETANG                 
AVENUE     DE L EUROPE                
RUE        DES FOSSES ST JEAN         
AVENUE     DE LA GARE                 
CHEMIN     DE LA GARE                 
PLACE      DE LA GARE                 
ROUTE      DU GAT                     
AVENUE     GEORGE SAND                
RUE        GRANDE                     
GPL        GRAND PLACE                
RUE        DE LA GRANGETTE            
RUE        JEAN MARIEN MESSANT        
RUE        DU HUIT MAI                
ROUTE      DE LA CHATRE               
RUE        DE LA MARCHE               
PLACE      DU MARCHE                  
RUE        MAURICE FONTAINE           
ALLEE      DES BRAUDES                
ROUTE      DE MEASNES                 
           LOT DES MERLOTS            
PLACE      DE LA POSTE                
PLACE      DE LA PROMENADE            
ROUTE      DU MERLOT                  
ROUTE      DE MORTROUX                
ALLEE      DE LA MOTHE AUX VENTS      
AVENUE     DE LA REPUBLIQUE           
AVENUE     ROLLINAT                   
RUE        DU SANCY                   
AVENUE     DE VERDUN                  
           commune :     AIZE                           departement : INDRE                         
LIEU-DIT   LES ALLEMANDS              
LIEU-DIT   LES ANCIENS FOUAGES D AIZE 
LIEU-DIT   L AUNAY                    
LIEU-DIT   LA BAGATELLE               
LIEU-DIT   LA BANNOTTERIE             
LIEU-DIT   LE BARREAU                 
LIEU-DIT   LES BARRES                 
LIEU-DIT   LE BEAUDET                 
LIEU-DIT   BINFOU                     
LIEU-DIT   BOIS DE MOULIN             
LIEU-DIT   LE BOIS DU GRILLEAU        
LIEU-DIT   LE BOISCHET                
LIEU-DIT   LES BORNAS                 
LIEU-DIT   LES BOUCAUDS               
LIEU-DIT   LES BOUCHERS               
LIEU-DIT   LE BOURG                   
LIEU-DIT   LE BOURROU                 
LIEU-DIT   LES BOUTETS                
LIEU-DIT   LA BRANDE                  
LIEU-DIT   LA BRANDE DU CHAILLOUX     
LIEU-DIT   LES BRANDES DE LA CONETRIE 
LIEU-DIT   LES BRULES                 
LIEU-DIT   LA CARILLONNERIE           
LIEU-DIT   LE CARROIR DE DAULT        
LIEU-DIT   LE CASSON                  
LIEU-DIT   LES CHAILLOUX              
LIEU-DIT   LE CHAMP DE LA FEVE        
LIEU-DIT   LES CHAMPS DE L ETANG      
LIEU-DIT   LES CHAMPS DE LA RIVIERE   
LIEU-DIT   LES CHAMPS DU CHARDALOUP   
LIEU-DIT   LES CHAMPS DU FOUR         
LIEU-DIT   LA CHARBONNIERE            
LIEU-DIT   LE CHARDALOUP              
LIEU-DIT   LES CHARPES                
LIEU-DIT   LA CHAUME                  
LIEU-DIT   LES CHAUMES                
LIEU-DIT   LA CHAUMETTE               
LIEU-DIT   LA CHEMENOTE               
LIEU-DIT   LE CHERON                  
LIEU-DIT   LA CHINTE                  
LIEU-DIT   LA CHINTE D EN HAUT        
LIEU-DIT   LA CHIPAUDRIE              
LIEU-DIT   LA CHOPINIERE              
LIEU-DIT   LA CLAIRDERIE              
LIEU-DIT   LES CLAUDITS               
LIEU-DIT   LES CLOS DITS              
LIEU-DIT   LA CONETRIE                
LIEU-DIT   LE CORMERA                 
LIEU-DIT   LA COUSINERIE              
LIEU-DIT   LA COUTURE                 
LIEU-DIT   LE CRAILLARD               
LIEU-DIT   LE DOLIN                   
LIEU-DIT   LES DOUTETS                
LIEU-DIT   LA DROUETTERIE             
LIEU-DIT   LA FONTAINE                
LIEU-DIT   LES FONTENEAUX             
LIEU-DIT   LES FONTENETTES            
LIEU-DIT   LA FOSSE DES BORNAS        
LIEU-DIT   LES FOUAGES D AIZE         
LIEU-DIT   LES FOURNEAUX              
LIEU-DIT   LA GABILLONNERIE           
LIEU-DIT   LA GARENNE                 
LIEU-DIT   LA GARENNE DE MONTIFAULT   
LIEU-DIT   LA GARENNE DES BARRES      
LIEU-DIT   LES GARENNES               
LIEU-DIT   LES GENETS                 
LIEU-DIT   LA GOUBARDIERE             
LIEU-DIT   LES GOULETS                
LIEU-DIT   LE GRAND ETANG             
LIEU-DIT   LA GRANDE LOLA             
LIEU-DIT   LA GRANDE PIECE            
LIEU-DIT   LA GRANDE SOLA             
LIEU-DIT   LES GRANDES MONSUES        
LIEU-DIT   LES GRANDS CHAMPS          
LIEU-DIT   LES GRANDS PRES            
LIEU-DIT   LES GRELETTERIES           
LIEU-DIT   LE GRILLEAU                
LIEU-DIT   LES GROS PRES              
LIEU-DIT   LES LABRES                 
LIEU-DIT   LES LABRIS                 
LIEU-DIT   LA LANDE                   
LIEU-DIT   LA LOGE                    
LIEU-DIT   LA MADELEINE               
LIEU-DIT   LA MAISON ROUGE            
LIEU-DIT   LES MALAFRES               
LIEU-DIT   LES MARAIS                 
LIEU-DIT   LES MAUVAIS PRES           
LIEU-DIT   MONTIFAULT                 
LIEU-DIT   LE MOULIN BAILLY           
LIEU-DIT   LA NOUE                    
LIEU-DIT   L OMBRAGERIE               
LIEU-DIT   LES OUCHES                 
LIEU-DIT   LE PAQUIS                  
LIEU-DIT   LE PARC                    
LIEU-DIT   LE PATUREAU                
LIEU-DIT   LA PENTE                   
LIEU-DIT   LA PERDRIX                 
LIEU-DIT   LE PERRAS                  
LIEU-DIT   LES PERROUX                
LIEU-DIT   LES PETITS BOUTETS         
LIEU-DIT   LES PETITS GRANDS CHAMPS   
LIEU-DIT   LES PETITS MARAIS          
LIEU-DIT   LES PETITS PRES            
LIEU-DIT   LES PEUPLES                
LIEU-DIT   LES PIAMERTEAUX            
LIEU-DIT   LA PIECE DE BINFOU         
LIEU-DIT   LA PIECE DES GENETS        
LIEU-DIT   LA PIECE DU BINFOU         
LIEU-DIT   LES PIEDS D OIE            
LIEU-DIT   LES PIFFARDERIES           
LIEU-DIT   LE PLESSIS                 
LIEU-DIT   LE PLISSON                 
LIEU-DIT   LA POINTE DES FONTENEAUX   
LIEU-DIT   LA POINTE DES PRUNEAUX     
LIEU-DIT   LES POMMERAIES             
LIEU-DIT   LES POUSATS                
LIEU-DIT   PRAIRIE D AIZE             
LIEU-DIT   PRE DE LA FONTAINE         
LIEU-DIT   LE PRE MEUNIER             
LIEU-DIT   LES PRES DE CHARLES        
LIEU-DIT   LES PRES DES BARRES        
LIEU-DIT   LES PRES FERIAUX           
LIEU-DIT   LES PRUNEAUX               
LIEU-DIT   LE PUY                     
LIEU-DIT   LE QUELET                  
LIEU-DIT   LA RABIERE                 
LIEU-DIT   LES REGAINS                
LIEU-DIT   LES REPENTINES             
LIEU-DIT   LES RIFFARDERIES           
LIEU-DIT   LA ROBINERIE               
LIEU-DIT   LA ROICHERE                
LIEU-DIT   LE RONDELET                
LIEU-DIT   LE ROUGEAT                 
LIEU-DIT   LES SABLES                 
LIEU-DIT   LES SABLONS                
LIEU-DIT   SAINT CENON                
LIEU-DIT   LA SOLA                    
LIEU-DIT   LES SOUILLATS              
LIEU-DIT   LA TAILLE BRULEE           
LIEU-DIT   LA TAILLE DES GRANDS CHAMP 
LIEU-DIT   LA TAILLE DES TREFLES      
LIEU-DIT   LES TERRAGEAUX             
LIEU-DIT   LES TERRES FORTES          
LIEU-DIT   LES TREMBLAIS              
LIEU-DIT   LA VIGNE DE LA CURE        
LIEU-DIT   LES VIGNES                 
LIEU-DIT   LA VILLENEUVE              
LIEU-DIT   LES GRANDES ECREVEES       
RUE        DE LA MAIRIE               
RUE        PRINCIPALE                 
RUE        DES SABLIERES              
RUE        DES VIEUX METIERS          
           commune :     AMBRAULT                       departement : INDRE                         
LIEU-DIT   BOIS RAMIER                
LIEU-DIT   LE BOURG                   
LIEU-DIT   LA BRANDE                  
LIEU-DIT   LE BREUIL                  
LIEU-DIT   LE BUISSON CHARGE          
LIEU-DIT   LE BUISSON ROND            
LIEU-DIT   LE CARROIR DES ERABLES     
LIEU-DIT   LES CHAMPS DE LA CROIX     
LIEU-DIT   LES CHAMPS DES USAGES      
LIEU-DIT   LA CHASSETTE               
LIEU-DIT   LES CHATELEES              
LIEU-DIT   LA CHAUME L ARRAY          
LIEU-DIT   LES CHINTES                
LIEU-DIT   LA COUPE DE LA FONTAINE    
LIEU-DIT   LE CROC                    
