20151101
39         JURA                          
           commune :     ABERGEMENT-LA-RONCE            departement : JURA                          
LIEU-DIT   AUX AILLONS                
LIEU-DIT   AUX BAQUAINES              
LIEU-DIT   AU BASSOT                  
LIEU-DIT   A LA BAUCHE                
LIEU-DIT   BOIS DE LA MONGEOTE        
LIEU-DIT   BOIS DE LA NOUHE FOLIN     
LIEU-DIT   BOIS DE LA NOUHE MERCERET  
LIEU-DIT   BOIS DES AUBEPINS          
LIEU-DIT   BOIS FOURNET CHOULAT       
LIEU-DIT   BOIS GRANDE AIGE           
LIEU-DIT   LE BOURBAT                 
LIEU-DIT   AUX BREUX                  
LIEU-DIT   AU BROQUEMART              
LIEU-DIT   BUISSON SEUILLE            
LIEU-DIT   CARRE DE LA RONCE          
LIEU-DIT   CHAMPS CORNUS              
LIEU-DIT   CHAMPS DE LA CORRERE       
LIEU-DIT   CHAMPS DE LA LEVEE         
LIEU-DIT   CHAMPS DES GRILLES         
LIEU-DIT   CHAMPS DU CHARMET          
LIEU-DIT   CHAMPS DU FRENE            
LIEU-DIT   CHAMPS DU GRAND MARTIN     
LIEU-DIT   CHAMPS DU GROS BUISSON     
LIEU-DIT   CHAMPS DU PAQUIER          
LIEU-DIT   CHAMPS DU PETIT MARTIN     
LIEU-DIT   CHAMPS DU TURLUROT         
LIEU-DIT   AUX CHAMPS GILLIOT         
LIEU-DIT   LES CHAMPS GILLIOT         
LIEU-DIT   CHAMPS GOGUELUS            
LIEU-DIT   CHAMPS GRUET               
LIEU-DIT   CHAMPS METIENTS            
LIEU-DIT   CHAMPS NICOTTES            
LIEU-DIT   CHAMPS TEFOULIOTS          
LIEU-DIT   CORNE AUX LIEVRES          
LIEU-DIT   LA COUR AUX GALANTS        
LIEU-DIT   AUX COURBERANS             
LIEU-DIT   AUX CROTOTS                
LIEU-DIT   CURTILS AUX ROSES ET GRAND 
LIEU-DIT   A L EPENET                 
LIEU-DIT   ESSART BRULOT              
LIEU-DIT   ESSARTS BERTHIER           
LIEU-DIT   ESSARTS CAMUS              
LIEU-DIT   ESSARTS MAIRE              
LIEU-DIT   LE GRAND PRE               
LIEU-DIT   AUX GRANDS CHAMPS          
LIEU-DIT   AUX GREUBES                
LIEU-DIT   A LA LOUVIERE              
LIEU-DIT   AUX MARES                  
LIEU-DIT   A LA MURAINE               
LIEU-DIT   ES NOTES                   
LIEU-DIT   A LA NOUE FOLIN            
LIEU-DIT   AU PARE                    
LIEU-DIT   AU POMMEROU                
LIEU-DIT   PRE DE L EPEE              
LIEU-DIT   PRE DES GREUBES            
LIEU-DIT   PRES A LA DAME             
LIEU-DIT   PRES CLERS                 
LIEU-DIT   PRES DES NOUHES            
LIEU-DIT   PRES DES SEPT ANDAINS      
LIEU-DIT   PRES DU LOUP               
LIEU-DIT   PRES GAUTEY                
LIEU-DIT   PRES SIX BLAN              
LIEU-DIT   A LA RONCE                 
LIEU-DIT   LA RONCE                   
LIEU-DIT   A LA TOURTELIERE           
LIEU-DIT   AU TURLUROT                
LIEU-DIT   USINE SOLVAY               
LIEU-DIT   LE VALGEON                 
LIEU-DIT   LA VIE DE L AUNE           
LIEU-DIT   AU VILLAGE                 
RUE        DE L'ANCIEN FOURNIL        
RUE        ARISTIDE BRIAND            
RUE        D AUMUR                    
RUE        DE L AUNE                  
RUE        DES BATTOUS                
RUE        DU CANAL                   
RUE        DU CANAL                   
RUE        DU CENTRE                  
RUE        DU CHAMP MARTIN            
ROUTE      DE DAMPARIS                
RUE        DES ERABLES                
RUE        DE LA GAITE                
RUE        DE LA GRANGE DU PONT       
RUE        DE LA MERCERET             
RUE        DU MOULIN                  
IMPASSE    NICOTTES                   
RUE        PASTEUR                    
RUE        DU PARC                    
PLACE      DES PRES CLERCS            
RUE        DE SAMEREY                 
RUE        DU STADE                   
RUE        DE TAVAUX                  
RUE        DES TILLEULS               
RUE        DU VALJON                  
RUE        VICTOR HUGO                
RUE        DU VIEUX PONT              
CHEMIN     DU VIEUX PONT              
PLACE      DU VIEUX PONT              
           commune :     ABERGEMENT-LE-GRAND            departement : JURA                          
LIEU-DIT   EN BERIAUD                 
LIEU-DIT   BIEF DES CHEVRES           
LIEU-DIT   LES BOICHATS DE LA VIGNOTT 
LIEU-DIT   AU BOIS                    
LIEU-DIT   BOIS BRULE                 
LIEU-DIT   BOIS DE LA CHAUX           
LIEU-DIT   BOIS DE LA VIGNE           
LIEU-DIT   AU BOURGEON                
LIEU-DIT   CHAMP BOULIN               
LIEU-DIT   CHAMP DAVAUX               
LIEU-DIT   CHAMP DE LA COTE           
LIEU-DIT   CHAMP GOULAND              
LIEU-DIT   AUX COMBES                 
LIEU-DIT   A LA CONDEBINE             
LIEU-DIT   AU DEBAT                   
LIEU-DIT   AUX ESSARDS                
LIEU-DIT   A LA FIN                   
LIEU-DIT   FIN DES ORGES              
LIEU-DIT   FONTAINE D AUGIRARD        
LIEU-DIT   EN GAUMESE                 
LIEU-DIT   AUX GENATTES               
LIEU-DIT   AUX LECHERES               
LIEU-DIT   LA MOUILLE                 
LIEU-DIT   AU POMMIER                 
LIEU-DIT   PRE DE L EPINE             
LIEU-DIT   PRE JUSTE                  
LIEU-DIT   A LA RAPPE DES PIERRES     
LIEU-DIT   A LA RAPPETTE              
LIEU-DIT   LA ROCHERE                 
LIEU-DIT   SOUS LES ESSARDS           
LIEU-DIT   SOUS PRE JUSTE             
LIEU-DIT   AU VERNOIS                 
LIEU-DIT   AU VILLAGE                 
LIEU-DIT   BOIS DE LA FORET           
CHEMIN     DU BOIS BRULE              
CHEMIN     DU BOUGNAUD                
CHEMIN     DE LA CONDEBINE            
RUE        DES TROIS FONTAINES        
ROUTE      DE SALINS                  
           commune :     ABERGEMENT-LE-PETIT            departement : JURA                          
LIEU-DIT   BOIS MOUREAUX              
LIEU-DIT   CHAMP FOINCHARD            
LIEU-DIT   LES CLOSIEAUX              
LIEU-DIT   DEVANT LA FORET            
LIEU-DIT   AUX ESSARDS                
LIEU-DIT   LA FERTILE                 
LIEU-DIT   LA FORET                   
LIEU-DIT   LE PETIT ESSARD            
LIEU-DIT   PRES CHAMPONET             
LIEU-DIT   AUX PUNAISES               
LIEU-DIT   LE SOUPOIS                 
LIEU-DIT   SOUS LES NUEES             
LIEU-DIT   VERGER POLYTE              
LIEU-DIT   LES VIGNOTTES              
LIEU-DIT   AU VILLAGE                 
RUE        DU BOIS JOLI               
CHEMIN     DES CLOSIEAUX              
RUE        DES GRANGES FLEURIES       
RUE        DU LAVOIR LIMPIDE          
RUE        DE PARIS                   
RUE        DE LA REPUBLIQUE           
RUE        DES VIGNES VERMEILLES      
           commune :     ABERGEMENT-LES-THESY           departement : JURA                          
LIEU-DIT   A LA BELLE CROIX           
LIEU-DIT   BOIS CHATET                
LIEU-DIT   CANTON DES CARQUELINS      
LIEU-DIT   AUX CHAMBRETTES            
LIEU-DIT   CHAMP A LA ROSE            
LIEU-DIT   CHAMP BLANC                
LIEU-DIT   CHAMP DE LA BEAUME         
LIEU-DIT   CHAMP DENIS                
LIEU-DIT   CHAMP DES TROIS PAS        
LIEU-DIT   CHAMP GARNIER              
LIEU-DIT   CHAMP GUITET               
LIEU-DIT   CHAMP LEROZ                
LIEU-DIT   CHAMP POULOT               
LIEU-DIT   CHAMP VIGOUREUX            
LIEU-DIT   CHAMPS BILLIAUD            
LIEU-DIT   CHAMPS DES ROCHES          
LIEU-DIT   CHAMPS LONGS               
LIEU-DIT   CHAPEAU D ORME             
LIEU-DIT   LES CHARBONNIERES          
LIEU-DIT   AU CHAUSSI                 
LIEU-DIT   LA CHAUX                   
LIEU-DIT   LES CHENEAUX               
LIEU-DIT   LES CHENES                 
LIEU-DIT   SUR LES CLAIS              
LIEU-DIT   COMBE CHATELIN             
LIEU-DIT   COMBE DU MIGUET            
LIEU-DIT   COMBE GOMMARIE             
LIEU-DIT   COMBE RENAUD               
LIEU-DIT   COMBE SAINT MAURICE        
LIEU-DIT   COMBE SILLEUX              
LIEU-DIT   AUX COMBELLES              
LIEU-DIT   SUR LA COTE                
LIEU-DIT   COTE MARIN                 
LIEU-DIT   CRET DE THESY              
LIEU-DIT   CREUX DE LA REINE          
LIEU-DIT   CURTIL FARDET              
LIEU-DIT   DERRIERE LA TILLE          
LIEU-DIT   A L ECHAILLE               
LIEU-DIT   AUX EMERETS                
LIEU-DIT   AUX EPIECES                
LIEU-DIT   AUX ESSARDS                
LIEU-DIT   A LA FIN                   
LIEU-DIT   GRANDE COMBE               
LIEU-DIT   GRANDS PRES DESSOUS        
LIEU-DIT   GRANDS PRES DESSUS         
LIEU-DIT   HAIE DES FOUS              
LIEU-DIT   AUX HERSES                 
LIEU-DIT   MAISON NEUVE               
LIEU-DIT   SUR MONTOUOT               
LIEU-DIT   SUR LE MOULIN              
LIEU-DIT   AUX OISEAUX                
LIEU-DIT   AU PARFONDET               
LIEU-DIT   LES PIERRES                
LIEU-DIT   LA PLAINE                  
LIEU-DIT   LES PLAINES                
LIEU-DIT   SUR LES PLANCHES           
LIEU-DIT   SUR LE POIX                
LIEU-DIT   LES PORTES                 
LIEU-DIT   AU SAPELET                 
LIEU-DIT   AUX SILLEUX                
LIEU-DIT   LA SOMBARDE                
LIEU-DIT   SUR LES VERGERS            
LIEU-DIT   VIE DE SALINS              
LIEU-DIT   AU VILLAGE                 
LIEU-DIT   LES COMBELLES              
LIEU-DIT   LA COMBE SAINT MAURICE     
LIEU-DIT   AUX PORTES                 
LIEU-DIT   AUX PLAINES                
RUE        DES ESSARDS                
RUE        DE LA MAIRIE               
RUELLE     DES OISEAUX                
CHEMIN     DU BOIS BRULE              
CHEMIN     DE CONDEBINE               
RUE        DES TROIS FONTAINES        
ROUTE      DE SALINS                  
           commune :     AIGLEPIERRE                    departement : JURA                          
LIEU-DIT   LES BADORES                
LIEU-DIT   LA BASSE                   
LIEU-DIT   AU BELU                    
LIEU-DIT   LES BILLARDES              
LIEU-DIT   LES BILLES BORDES          
LIEU-DIT   LA BLANCHARDE              
LIEU-DIT   LA BOBINE                  
LIEU-DIT   BOIS DE VILLEVERT          
LIEU-DIT   AU BREUX                   
LIEU-DIT   LE BREUX                   
LIEU-DIT   LA BRUYERE                 
LIEU-DIT   CHAMCHIN                   
LIEU-DIT   CHAMPS DAME JEANNE         
LIEU-DIT   CHAMP DARMOIS              
LIEU-DIT   CHAMPS DE LA CHAUX         
LIEU-DIT   CHAMP DE LA CRETA          
LIEU-DIT   CHAMP DES PIERRES          
LIEU-DIT   CHAMPS DES ROCHES          
LIEU-DIT   CHAMPS DES ROSSETS         
LIEU-DIT   CHAMPS ETEVENON            
LIEU-DIT   CHAMPS CHEVRE              
LIEU-DIT   CHAMPS CRESSON             
LIEU-DIT   CHAMPS DES CHARMES         
LIEU-DIT   CHAMPS DU CIEL             
LIEU-DIT   CHAMPS DU MORT             
LIEU-DIT   CHAMPS FAMILIERS           
LIEU-DIT   CHAMPS GAZIAUX             
LIEU-DIT   CHAMPS PARISET             
LIEU-DIT   CHAMPS PARMOIGNEY          
LIEU-DIT   CHAMPS PARMOIS             
LIEU-DIT   CHAMPS PIERRE              
LIEU-DIT   CHAMPS PIERRE COURBE       
LIEU-DIT   LES CHANEZ                 
LIEU-DIT   LA CHARMIOT                
LIEU-DIT   CHAUDE GRANGE              
LIEU-DIT   EN CHAUDIERE               
LIEU-DIT   LA CHAUX                   
LIEU-DIT   COMBE FENOUX               
LIEU-DIT   COMBE FLEURET              
LIEU-DIT   COMBE GILLIERS             
LIEU-DIT   COMBE OU                   
LIEU-DIT   COMBE VAUX                 
LIEU-DIT   LA COTE SUD                
LIEU-DIT   AU COURTILLAT              
LIEU-DIT   LA CRETA                   
LIEU-DIT   CREUX DES ORCIERES         
LIEU-DIT   EN CROUZET                 
LIEU-DIT   DERNIER CHEZ BRISOT        
LIEU-DIT   DERRIERE LES VERGERS       
LIEU-DIT   AUX ECHETS                 
LIEU-DIT   SUR L ETANG                
LIEU-DIT   LES ESTARPOIS              
LIEU-DIT   EN FAMILIER                
LIEU-DIT   FONTAINE AU COUCOU         
LIEU-DIT   FONTAINE NOIRE             
LIEU-DIT   LES FOURCHES               
LIEU-DIT   LA FRISE                   
LIEU-DIT   LA GORINE                  
LIEU-DIT   LES GOUILLES               
LIEU-DIT   LA GRANDE TEPE             
LIEU-DIT   LES GRANDS CHAMPS          
LIEU-DIT   LA JONCHERE                
LIEU-DIT   EN MOUCHET                 
LIEU-DIT   LES MOUILLERES             
LIEU-DIT   LES NANTILLIERES           
LIEU-DIT   LES NOIRINES               
LIEU-DIT   LE PARMOIGNEY              
LIEU-DIT   LES PARTETS                
LIEU-DIT   PRES BATAILLARD            
LIEU-DIT   PRES DE VAUX               
LIEU-DIT   PRES GILBERT               
LIEU-DIT   LA PRIOT                   
LIEU-DIT   LA RATTOTE                 
LIEU-DIT   LA RIGAUDE                 
LIEU-DIT   EN RIGOULET                
LIEU-DIT   EN RONCEVAUX               
LIEU-DIT   LES ROUGES TERRES          
LIEU-DIT   SOUS CHAUDE GRANGE         
LIEU-DIT   SOUS LA COTE               
LIEU-DIT   SOUS LES FOURCHES          
LIEU-DIT   TERRAUX DU BIEF            
LIEU-DIT   VERGER BERNARD             
LIEU-DIT   VERGER PHILIBERT OUEST     
LIEU-DIT   LE VERSOUX                 
LIEU-DIT   LE VIEUX MOULIN            
LIEU-DIT   AU VILLAGE                 
LIEU-DIT   EN VILLEVERT               
LIEU-DIT   DERRIERE CHEZ BRISOT       
LIEU-DIT   EN RONCEVEAU               
LIEU-DIT   VIEUX MOULIN               
LIEU-DIT   EN MONTARLY                
LIEU-DIT   EN PERRET                  
LIEU-DIT   MOUCHET                    
LIEU-DIT   VERGER PHILIBERT EST       
LIEU-DIT   LA COTE NORD               
LIEU-DIT   AUX VARRACHES              
CHEMIN     DU BREUX                   
CHEMIN     DE LA CHAUX                
CHEMIN     DE LA CITADELLE            
CHEMIN     DES ECHES                  
RUE        DE L EGLISE                
RUE        DES FAMILIERS              
CHEMIN     DE LA HOUILLERE            
CHEMIN     DES LILAS                  
RUE        DES ORCIERES               
CHEMIN     DES PUITS                  
CHEMIN     DU RELAIS                  
CHEMIN     DES ROSSETS                
RUE        DU STADE                   
PLACE      DES TILLEULS               
           commune :     ALIEZE                         departement : JURA                          
           LES ROCHES D'ALIEZE        
LIEU-DIT   SUR L AUGE                 
LIEU-DIT   SUR LA BAUME               
LIEU-DIT   EN BEAUREGARD              
LIEU-DIT   A LA BIOLEE                
LIEU-DIT   BOIS DE LA SERREE          
LIEU-DIT   BOIS DES ESSARDS           
LIEU-DIT   BOIS DU CHANOI             
LIEU-DIT   BOIS DU CRET               
LIEU-DIT   BOIS DU LEZENARDS          
LIEU-DIT   BOIS PELLOU                
LIEU-DIT   BOIS REVILLARD             
LIEU-DIT   EN BUCLET                  
LIEU-DIT   AU BUITS                   
LIEU-DIT   AU CARRE                   
LIEU-DIT   CHAMELIN                   
LIEU-DIT   CHAMPS COURBES             
LIEU-DIT   CHAMPS FORTS               
LIEU-DIT   CHAMPS FREQUENTS           
LIEU-DIT   CHAMPS ROUGIERS            
LIEU-DIT   CHAMPS ROUSSEAUX           
LIEU-DIT   A LA CHAPELLE              
LIEU-DIT   AU CHATEAU                 
LIEU-DIT   AU CHAZAL                  
LIEU-DIT   AU CHEVREUIL               
LIEU-DIT   A LA COMBE                 
LIEU-DIT   COMBE VAILLOT              
LIEU-DIT   EN COMBETANT               
LIEU-DIT   AUX COTES                  
LIEU-DIT   AUX COURS                  
LIEU-DIT   AU CRET                    
LIEU-DIT   SUR LA CROIX               
LIEU-DIT   DERRIERE LES ROCHES        
LIEU-DIT   A LA DOYE                  
LIEU-DIT   AUX EFFEUILLEES            
LIEU-DIT   AUX ESSARDS                
LIEU-DIT   A L ETANG DU MOULIN        
LIEU-DIT   AUX FERRIERES              
LIEU-DIT   A LA FOUGERE               
LIEU-DIT   AU FOYET ET DERRIERE LE FO 
LIEU-DIT   A LA GARDE DE DIEU         
LIEU-DIT   A LA GARENNE               
LIEU-DIT   AU GRAND CHEMIN            
LIEU-DIT   A LA GRANDE CROIX          
LIEU-DIT   AU LEZENARD                
LIEU-DIT   MAISON BRULEE              
LIEU-DIT   AUX MOUILLARDS             
