20151101
41         LOIR ET CHER                  
           commune :     AMBLOY                         departement : LOIR ET CHER                  
LIEU-DIT   LE BAIGNON                 
LIEU-DIT   LA BASSE COUR              
LIEU-DIT   BEAUCHENE                  
LIEU-DIT   BIZAGE                     
LIEU-DIT   LES BOIS DE FOSSE NOIRE    
LIEU-DIT   BOIS DE LA FORET           
LIEU-DIT   BOIS DE VILLAINE           
LIEU-DIT   LES BOIS DU PLESSIS FORTIA 
LIEU-DIT   LES BOITIERES              
LIEU-DIT   LES BOUCHEVEREAUX          
LIEU-DIT   LA BOULAYE                 
LIEU-DIT   LES BOUQUETS               
LIEU-DIT   LE BOURG                   
LIEU-DIT   BOURG JOLY                 
LIEU-DIT   LES BRANLOIRES             
LIEU-DIT   LA BUTTE                   
LIEU-DIT   CHAMPARS                   
LIEU-DIT   LES CHARMES                
LIEU-DIT   LE CLOS BRULE              
LIEU-DIT   LES CORBIERES              
LIEU-DIT   LES DEVANTS DE CHAMPARS    
LIEU-DIT   L ECONOMIE                 
LIEU-DIT   LES FLARDERIES             
LIEU-DIT   FONDS DE L OUCHERIE        
LIEU-DIT   LA FOSSE CREUSE            
LIEU-DIT   LA FOSSE NOIRE             
LIEU-DIT   LA FOSSE PLATE             
LIEU-DIT   LA FUTAYE DE MERVILLE      
LIEU-DIT   LES GANCHES                
LIEU-DIT   LA GIRAUDIERE              
LIEU-DIT   LA GRANDE PIECE            
LIEU-DIT   LES GRANDES RENTES         
LIEU-DIT   LES GRANDS PRES            
LIEU-DIT   LES GREVETTES              
LIEU-DIT   LA GRISARDIERE             
LIEU-DIT   LES HALLIERS               
LIEU-DIT   LE HAUT PERRON             
LIEU-DIT   LA HAUTE TOUCHE            
LIEU-DIT   LES HAUTES CORBIERES       
LIEU-DIT   LES HAUTS CHAMPARTS        
LIEU-DIT   LES JONCIERES              
LIEU-DIT   LES LONGS REAGES           
LIEU-DIT   LE MARCHAIS                
LIEU-DIT   MARMERAY                   
LIEU-DIT   MERVILLE                   
LIEU-DIT   LES MICHINERIES            
LIEU-DIT   LA MONTREE                 
LIEU-DIT   LES MORANS                 
LIEU-DIT   LES MOUSSEAUX              
LIEU-DIT   LA NOUE BEAU               
LIEU-DIT   LE NOYER SEC               
LIEU-DIT   LE PARC                    
LIEU-DIT   LE PARC DES NIVOCHERIES    
LIEU-DIT   LES PATIS                  
LIEU-DIT   LES PERRES DE MERVILLE     
LIEU-DIT   LES PERRES DE VAUROULIN    
LIEU-DIT   LES PERRES DES PRES        
LIEU-DIT   LE PETIT VILLAINE          
LIEU-DIT   LES PETITES TERRES NOIRES  
LIEU-DIT   LES PETITS PRES            
LIEU-DIT   LA PICHOTTERIE             
LIEU-DIT   PIECE DU CORMIER           
LIEU-DIT   PIECES DE LA MONTREE       
LIEU-DIT   LA PIGE                    
LIEU-DIT   LES PILONNIERES            
LIEU-DIT   PINOIS                     
LIEU-DIT   LE POMMIER SEC             
LIEU-DIT   PRE MULOT                  
LIEU-DIT   PROFONDE                   
LIEU-DIT   LE RAGOT                   
LIEU-DIT   LA RIVIERE                 
LIEU-DIT   LES ROTEAUX                
LIEU-DIT   LES ROTES DE PROFONDE      
LIEU-DIT   LES SEMENCIERES            
LIEU-DIT   LA TERRE NOIRE             
LIEU-DIT   LES TERRES DU BAIGNON      
LIEU-DIT   LES TERRES ROUGES          
LIEU-DIT   LE TREMBLAY                
LIEU-DIT   LES TREMBLES               
LIEU-DIT   LES TROIS CHENES           
LIEU-DIT   VALLEE DE VAUROULIN        
LIEU-DIT   LE VIEUX PUITS             
LIEU-DIT   VILLAINE                   
LIEU-DIT   VILLAUBERT                 
RUE        DU BOURG                   
RUE        DU BOURG JOLY              
RUE        DU CHATEAU                 
RUE        DE MERVILLE                
IMPASSE    DES PRES                   
RUE        DE PRUNAY                  
RUE        DE VILLIERSFAUX            
           commune :     ANGE                           departement : LOIR ET CHER                  
LIEU-DIT   LES ALLEES                 
LIEU-DIT   LES ARGILES DE LA PILTIERE 
LIEU-DIT   LE BAS DE L ORMEAU         
