20151101
42         LOIRE                         
           commune :     ABOEN                          departement : LOIRE                         
LIEU-DIT   ABOENNET                   
LIEU-DIT   LES ADRETS                 
LIEU-DIT   L ADROIT                   
LIEU-DIT   AMPERIEUX                  
LIEU-DIT   AU BAN                     
LIEU-DIT   BARCHES                    
LIEU-DIT   BERAUD                     
LIEU-DIT   BIRET                      
LIEU-DIT   LE BOURG                   
LIEU-DIT   LE BREUIL                  
LIEU-DIT   BRUYERAUCHE                
LIEU-DIT   LA BRUYERE                 
LIEU-DIT   AUX BRUYERES               
LIEU-DIT   LA CHANA                   
LIEU-DIT   CHARBONNE                  
LIEU-DIT   CHARBONNET                 
LIEU-DIT   AU CHAUD                   
LIEU-DIT   CHAUD                      
LIEU-DIT   CHAUDE MARE                
LIEU-DIT   CHAUME                     
LIEU-DIT   CHAUVAJEON                 
LIEU-DIT   LA CHAUX                   
LIEU-DIT   CHAVASSON                  
LIEU-DIT   CHENERETTE                 
LIEU-DIT   CHEROYET                   
LIEU-DIT   LE CHIER                   
LIEU-DIT   COGNY                      
LIEU-DIT   LE COMBAT                  
LIEU-DIT   COMBE                      
LIEU-DIT   COMBETTE                   
LIEU-DIT   LA COMBETTE                
LIEU-DIT   AUX COMMUNAUX              
LIEU-DIT   COMMUNAUX                  
LIEU-DIT   LES COTES                  
LIEU-DIT   LE COURAT                  
LIEU-DIT   COUTERJON                  
LIEU-DIT   AU CREUX                   
LIEU-DIT   LES CREUX                  
LIEU-DIT   CREUX DU FOUR              
LIEU-DIT   ECHANOS                    
LIEU-DIT   ECOLEZE                    
LIEU-DIT   EGUET                      
LIEU-DIT   AUX EVERS                  
LIEU-DIT   FONDERIE                   
LIEU-DIT   FONDRIERE                  
LIEU-DIT   AUX FOUGERES               
LIEU-DIT   GARDE MICHEL               
LIEU-DIT   LA GARENNE                 
LIEU-DIT   AU GARET                   
LIEU-DIT   LE GARET                   
LIEU-DIT   LA GOUTTE                  
LIEU-DIT   AUX GOUTTES                
LIEU-DIT   LES GOUTTES                
LIEU-DIT   GRAND CHAMP                
LIEU-DIT   GRAND PRE                  
LIEU-DIT   LE GRAND PRE               
LIEU-DIT   LA GRANDE SAGNE            
LIEU-DIT   LES GRANDS BOIS            
LIEU-DIT   AUX GRELAIRES              
LIEU-DIT   AUX GRISOUS                
LIEU-DIT   LE GUERET DU PIN           
LIEU-DIT   GUERETON                   
LIEU-DIT   LES HIVERS                 
LIEU-DIT   AUX LITTES                 
LIEU-DIT   MAIN MORTE                 
LIEU-DIT   MARAURE                    
LIEU-DIT   MARTINE                    
LIEU-DIT   NAUTE                      
LIEU-DIT   LES MAYS                   
LIEU-DIT   LES MENELLES               
LIEU-DIT   MESSIERE                   
LIEU-DIT   MOGARET                    
LIEU-DIT   MONTCEL                    
LIEU-DIT   MONTCOUDIOL                
LIEU-DIT   MORTIER                    
LIEU-DIT   L ORME MORTE               
LIEU-DIT   LA PALLE                   
LIEU-DIT   RTE DE PASCAL              
LIEU-DIT   LES PATUREAUX              
LIEU-DIT   PAUSE                      
LIEU-DIT   PERRIER                    
LIEU-DIT   AU PIN                     
LIEU-DIT   PIHOTARD                   
LIEU-DIT   PLANCHARD                  
LIEU-DIT   PLAT DU CHEMIN             
LIEU-DIT   PRE BERAUD                 
LIEU-DIT   PRE DE LA FONT             
LIEU-DIT   PRE HAUT                   
LIEU-DIT   PRE MARQUET                
LIEU-DIT   PRES LE BOURG              
LIEU-DIT   QUERETAT                   
LIEU-DIT   RIPPELONGUE                
LIEU-DIT   LES RIVAUX                 
LIEU-DIT   RIVE BASSE                 
LIEU-DIT   LA RIVIERE                 
LIEU-DIT   ROCHEBILLET                
LIEU-DIT   AU SABLAT                  
LIEU-DIT   SAGNE                      
LIEU-DIT   LA SAILLE                  
LIEU-DIT   SEYTE                      
LIEU-DIT   SOULACROUX                 
LIEU-DIT   SOUS LE FOUR               
LIEU-DIT   LE SUC                     
LIEU-DIT   SUC DE CHAVANNE            
LIEU-DIT   SUC DE LA GARDE            
LIEU-DIT   LE VERGER                  
LIEU-DIT   VERNAUX                    
LIEU-DIT   LA VIGNE                   
LIEU-DIT   LA VIGNE                   
LIEU-DIT   VISEE                      
LIEU-DIT   A PASCAL                   
CHEMIN     DES ADRETS                 
RUE        DU BREUIL                  
RUE        DE LA CHAUX                
RUE        DES COURTS                 
PLACE      DE L EGLISE                
CHEMIN     DES EPINETTES              
CHEMIN     DE LA GOUTTE               
CHEMIN     DE LA GARENNE              
CHEMIN     DE MOGARET                 
ROUTE      DE PERIGNEUX               
           commune :     AILLEUX                        departement : LOIRE                         
LIEU-DIT   BOIS D AILLEUX             
LIEU-DIT   BOIS DE DOMOIS             
LIEU-DIT   BOIS DE SAINT PULGENT      
LIEU-DIT   BOIS DES SAIGNES           
LIEU-DIT   LE BOST                    
LIEU-DIT   LE BOURG                   
LIEU-DIT   LA CHARMETTE               
LIEU-DIT   LE CHAUFFOUR               
LIEU-DIT   LA CHAUX                   
LIEU-DIT   CHEZ DUCLOS                
LIEU-DIT   COGNET                     
LIEU-DIT   CONSISANT                  
LIEU-DIT   LA COTE                    
LIEU-DIT   LES COTES                  
LIEU-DIT   LES CROIX                  
LIEU-DIT   LA CROIX BLANCHE           
LIEU-DIT   CROIX D AILLEUX            
LIEU-DIT   CROIX DE PAULET            
LIEU-DIT   CROIX LESTRA               
LIEU-DIT   CROZE                      
LIEU-DIT   LE CROZET                  
LIEU-DIT   DOMOIS                     
LIEU-DIT   LES EGAUX                  
LIEU-DIT   LA FONT                    
LIEU-DIT   FONTAVIN                   
LIEU-DIT   FONTVIEILLE                
LIEU-DIT   FOUGEROSE                  
LIEU-DIT   GOUTTE BETON               
LIEU-DIT   GOUTTE CREUSE              
LIEU-DIT   LES GOUTTES                
LIEU-DIT   LES GRANDES TERRES         
LIEU-DIT   L INVERSIN                 
LIEU-DIT   MIALLER                    
LIEU-DIT   LE MON                     
LIEU-DIT   PANISSIERE BASSE           
LIEU-DIT   PANISSIERE HAUTE           
LIEU-DIT   LA PEURIERE                
LIEU-DIT   PONT CHAPELLE              
LIEU-DIT   PRANSEMANGE                
LIEU-DIT   LA PREBENDE                
LIEU-DIT   RAJAT                      
LIEU-DIT   LA ROCHE                   
LIEU-DIT   ROCHE DE LA CAILLE         
LIEU-DIT   LA RONZIERE                
LIEU-DIT   RUILLER                    
LIEU-DIT   LA SIPIERE                 
LIEU-DIT   TEISSONNIERE               
LIEU-DIT   TISSONNIERE                
LIEU-DIT   LES VERNES                 
LIEU-DIT   VIGNOL                     
LIEU-DIT   PANISSIERE                 
           commune :     AMBIERLE                       departement : LOIRE                         
LIEU-DIT   LES ALLIERS                
LIEU-DIT   L AMANDROUILLET            
LIEU-DIT   LES AMPANS                 
LIEU-DIT   LES ATIAUX                 
LIEU-DIT   L AUBERGE DU PONT          
LIEU-DIT   LES BANNIERES              
LIEU-DIT   LES BELINS                 
LIEU-DIT   LES BESSONS                
LIEU-DIT   BOIS BLANC                 
LIEU-DIT   BOIS DES SERVAJEANS        
LIEU-DIT   BOIS DU BRIERAT            
LIEU-DIT   BOIS JOLY                  
LIEU-DIT   BOIS VERNAY                
LIEU-DIT   LES BONICHONS              
LIEU-DIT   LES BOUISES                
LIEU-DIT   LE BOURG                   
LIEU-DIT   LES BOURNATS               
LIEU-DIT   BOUTELIER                  
LIEU-DIT   BOUTHRON                   
LIEU-DIT   LES BOUTIERS               
LIEU-DIT   LE BRIERAT                 
LIEU-DIT   LES BROSSES                
LIEU-DIT   LES BUFINANTS              
LIEU-DIT   LA CASTILLERE              
LIEU-DIT   CHANTEMILLAN               
LIEU-DIT   CHARPINOT                  
LIEU-DIT   CHATEAU GAILLARD           
LIEU-DIT   LE CHATELARD               
LIEU-DIT   CHATELUS                   
LIEU-DIT   CHEVALARD                  
LIEU-DIT   CHEZ BERGERON              
