20151101
43         HAUTE LOIRE                   
           commune :     AGNAT                          departement : HAUTE LOIRE                   
LIEU-DIT   ACHAUD                     
LIEU-DIT   LES ACHAUX                 
LIEU-DIT   LES AGAS                   
LIEU-DIT   LE BOURG                   
LIEU-DIT   L AMENDE                   
LIEU-DIT   L ARBRE                    
LIEU-DIT   ARSAGE                     
LIEU-DIT   LE BACHAT                  
LIEU-DIT   LES BAIES                  
LIEU-DIT   BARETTE                    
LIEU-DIT   BARTHAMY                   
LIEU-DIT   LA BARTHE                  
LIEU-DIT   LA BARTHE ET LA COSTE      
LIEU-DIT   LES BASTIDES               
LIEU-DIT   LA BATOSTE                 
LIEU-DIT   LA BERNOUDE                
LIEU-DIT   LE BIGOT                   
LIEU-DIT   BOIS D ALVIER              
LIEU-DIT   BOIS DE COMBEREAU          
LIEU-DIT   BOIS DE LA BAS             
LIEU-DIT   BOIS GRAND                 
LIEU-DIT   LA BORIE                   
LIEU-DIT   BOS DES FEMMES             
LIEU-DIT   BOUCHARET                  
LIEU-DIT   BOUCHILLE                  
LIEU-DIT   LES BOUDOUX                
LIEU-DIT   BOUFFEVENT                 
LIEU-DIT   LA BOUISSUNADE             
LIEU-DIT   BOUTARY                    
LIEU-DIT   BRUGERAT                   
LIEU-DIT   LA BRUJAIRE                
LIEU-DIT   LA BUGE                    
LIEU-DIT   LA BUGE LONGUE             
LIEU-DIT   LES BUGES                  
LIEU-DIT   LA BUTTE DE GARENNE        
LIEU-DIT   CACAVAN                    
LIEU-DIT   CAIRE BLANC                
LIEU-DIT   LE CALVAIRE                
LIEU-DIT   CARMANTRAND                
LIEU-DIT   LA CAVE                    
LIEU-DIT   CHAMP DE L ALLEE           
LIEU-DIT   CHAMP DE LA FOUANT         
LIEU-DIT   CHAMP DE PLOT              
LIEU-DIT   CHAMP DES MURIERS          
LIEU-DIT   CHAMP LARGE                
LIEU-DIT   CHAMPAIX                   
LIEU-DIT   CHAMPRAVEL                 
LIEU-DIT   CHAMPRIVAT                 
LIEU-DIT   LES CHAPELIERS             
LIEU-DIT   CHARBONNIERE               
LIEU-DIT   CHELANGE                   
LIEU-DIT   CHOUSSONAY                 
