20151101
45         LOIRET                        
           commune :     ADON                           departement : LOIRET                        
RESIDENCE  BELLEVUE                   
LIEU-DIT   LES ASSELINS               
LIEU-DIT   LA BARONNERIE              
LIEU-DIT   LES BIZOTS                 
LIEU-DIT   LES BLANCS                 
LIEU-DIT   LES BOUCHANTS              
LIEU-DIT   LE BOURG                   
LIEU-DIT   LA CAMPINERIE              
LIEU-DIT   LES CARMES                 
LIEU-DIT   LES CAVES                  
LIEU-DIT   CHAMP DES TENNINS          
LIEU-DIT   CHAMPS DE LA LUZERNE       
LIEU-DIT   CHARMEE                    
LIEU-DIT   LES CHARMES                
LIEU-DIT   LE CHATEAU                 
LIEU-DIT   LES CLAVIERS               
LIEU-DIT   CLIMAT DES CRIS            
LIEU-DIT   LES COUDRIAUX              
LIEU-DIT   LA FLINIERE                
LIEU-DIT   LE GRAND BEAUGER           
LIEU-DIT   LE GRAND CHAMP             
LIEU-DIT   LE GRAND MANOIR            
LIEU-DIT   LE GRAND MUSSY             
LIEU-DIT   LE GRAND ROSIER            
LIEU-DIT   LE GRAND TALOT             
LIEU-DIT   LES GRANDS MARAIS          
LIEU-DIT   LES GRANDS ROUSSETS        
LIEU-DIT   LES HUIT ARPENTS           
LIEU-DIT   MARAIS DU GRAND MANOIR     
LIEU-DIT   LES MARCHAIS SALLES        
LIEU-DIT   LE MOULIN DE TALOT         
LIEU-DIT   MUSSY                      
LIEU-DIT   LES NERONS                 
LIEU-DIT   LE PETIT BEAUGER           
LIEU-DIT   LE PETIT BOIS              
LIEU-DIT   LE PETIT MANOIR            
LIEU-DIT   LE PETIT MARAIS            
LIEU-DIT   LE PETIT TALOT             
LIEU-DIT   LES PETITS ROUSSETS        
LIEU-DIT   LA PICHOTIERE              
LIEU-DIT   PRAIRIE DES GUERAUX        
LIEU-DIT   LES RAGOGNEAUX             
LIEU-DIT   LE REBEL OISEAU            
LIEU-DIT   LE RONDEAU                 
LIEU-DIT   LES SABLONS                
LIEU-DIT   LES SACRES                 
LIEU-DIT   SAINT PERE                 
LIEU-DIT   SAINTE BARTHE              
LIEU-DIT   LES SEURINS                
LIEU-DIT   LES TENNINS                
LIEU-DIT   TERRE DU PETIT BOIS        
LIEU-DIT   TERRES DU LOUP             
LIEU-DIT   TERRES DU MANOIR           
LIEU-DIT   LA TETE                    
