20151101
51         MARNE                         
           commune :     ABLANCOURT                     departement : MARNE                         
LIEU-DIT   LE BOIS LE SEIGNEUR        
LIEU-DIT   LE BOIS NOLIN              
LIEU-DIT   LE BOUT DES PRES           
LIEU-DIT   LES BOUTICLATS             
LIEU-DIT   LE BREUIL ET LA ROMPUE     
LIEU-DIT   LE CHAMP JANCENOT          
LIEU-DIT   LE CHATEAU D EAU           
LIEU-DIT   LE CHEMIN DES PLANTES      
LIEU-DIT   LA COTE BROUIN             
LIEU-DIT   LA COTE FENDUE             
LIEU-DIT   LA COTE HAUTE DE VERGEOIS  
LIEU-DIT   LE COUTELOT DE CHARMONT    
LIEU-DIT   LES CUGNEUX                
LIEU-DIT   LES DEMOINES               
LIEU-DIT   L ENCLOS                   
LIEU-DIT   LA FOSSE DES BOIS          
LIEU-DIT   LE GRAND AULNAY            
LIEU-DIT   LE GRAND USAGE             
LIEU-DIT   LES HAILLOTTES             
LIEU-DIT   LE HAUT BRISSET            
LIEU-DIT   LE HAUT DE VERGEOIS        
LIEU-DIT   L HOMME MORT               
LIEU-DIT   MARGINVAT                  
LIEU-DIT   L OSERAIE BRUNAT           
LIEU-DIT   LA PATURE DU GRAND OSERAIE 
LIEU-DIT   LE PETIT AULNAY            
LIEU-DIT   LE TERME PRIGNET           
LIEU-DIT   LES TRAGES                 
LIEU-DIT   LA VALLEE DES DAMES        
LIEU-DIT   VERGEOIS                   
LIEU-DIT   LE VIEUX VERGEOIS          
LIEU-DIT   LE VILLAGE                 
LIEU-DIT   DERRIERE L EGLISE          
LIEU-DIT   LA FIN JEAN COLSON         
RUE        DE LA BOUFFANAISE          
RUE        DU CHATEAU D EAU           
RUE        DE LA CROIX                
GR         GRANDE RUE                 
RUE        MICHELET                   
RUE        NEUVE                      
RUE        PERROT D ABLANCOURT        
RUE        DES TUILOTS                
           commune :     SAINT-MARTIN-D ABLOIS          departement : MARNE                         
LIEU-DIT   LE BAS DE LA PRESLE        
LIEU-DIT   LE BAS DU VILLAGE          
LIEU-DIT   BASSE MOULIN               
LIEU-DIT   LES BOIS COMMUNAUX         
LIEU-DIT   LE BOIS D ENGHUIEN         
LIEU-DIT   LE BOIS DE GRAND FOSSE     
LIEU-DIT   LE BOIS DE L EPEE          
LIEU-DIT   LES BOIS DE LA COTE CHARMO 
LIEU-DIT   LE BOIS DE NOIRE FONTAINE  
LIEU-DIT   LE BOIS DE SAINT JULIEN    
LIEU-DIT   LE BOIS DES MAROLLES       
LIEU-DIT   LE BOIS DU BAUCHET         
LIEU-DIT   LES BRICOLLES              
LIEU-DIT   LE CALVAIRE                
LIEU-DIT   LE CHAMP DU BOEUF          
LIEU-DIT   LE CHAPEAU                 
LIEU-DIT   LE CHATEAU                 
LIEU-DIT   LA COTE CHARMONT           
LIEU-DIT   LES CRAYONS                
LIEU-DIT   LA CROIX MANUEL            
LIEU-DIT   LE CULOT                   
LIEU-DIT   LE DESSUS DES BRICOLLES    
LIEU-DIT   LA FERME DE MONT BAYEN     
LIEU-DIT   LA FERME DES MEULIERES     
LIEU-DIT   LE FOND DU RUISSEAU DE CUB 
LIEU-DIT   LA FONTAINE DU SOURDON     
LIEU-DIT   LA FOULERIE                
LIEU-DIT   LES FOURNAIS               
LIEU-DIT   LA GRANGE LUA              
LIEU-DIT   LA GROSSE FERME DU SOURDON 
LIEU-DIT   HAMEAU DE MONTBAYEN        
LIEU-DIT   HAMEAU DES LAMBOURS        
LIEU-DIT   HAMEAU DU SOURDON          
LIEU-DIT   LE HAUT DE LA PRESLE       
LIEU-DIT   LES JUSTICES               
LIEU-DIT   LES LAMBOURS               
LIEU-DIT   LA LONGUE TAILLE           
LIEU-DIT   LE NUMERO DOUZE            
LIEU-DIT   LES PATIS                  
LIEU-DIT   LA PATURE                  
LIEU-DIT   LES PETITS PATIS           
LIEU-DIT   LES PHILIPPETTES           
LIEU-DIT   LA PIECE DE LA PRESLE      
LIEU-DIT   LA PIECE DES POINTES       
LIEU-DIT   LA PIECE DEVANT NOIRE FONT 
LIEU-DIT   LE POIRIER PENDU           
LIEU-DIT   LA PORTE DE L EGLISE       
LIEU-DIT   LE PRE STURBOT             
LIEU-DIT   LES PRES DU MONT BAYEN     
LIEU-DIT   LA QUEUE DU TRAVAIL        
LIEU-DIT   LES REGUINS                
LIEU-DIT   LES ROCHETTES              
LIEU-DIT   LES TERRES DES REGUINS     
LIEU-DIT   LES TERRES DU BAUCHET      
LIEU-DIT   LE TOUR NICOLE             
LIEU-DIT   LA TUILERIE                
LIEU-DIT   LE VILLAGE                 
LIEU-DIT   LES YVERNELLES             
RUE        DU BAUCHET                 
RUE        DU BOIS DE L EPEE          
ALLEE      DU PUITS                   
ALLEE      DU CHARME                  
RUE        GEORGES ROSSET             
RUE        DE LA CROIX MANUEL         
RUE        DAVID                      
PLACE      DE L EGLISE                
RUE        D ENGHIEN                  
RUE        FERREE                     
