20151101
54         MEURTHE ET MOSELLE            
           commune :     ABAUCOURT                      departement : MEURTHE ET MOSELLE            
LIEU-DIT   LA BAUMONT                 
LIEU-DIT   BLANCHE BORNE              
LIEU-DIT   BOIS DU HAUT DES TRAPPES   
LIEU-DIT   LES BOUCHOTS               
LIEU-DIT   LA CELINE                  
LIEU-DIT   CHAMPS BAQUETS             
LIEU-DIT   CHAMPS LAMBERT             
LIEU-DIT   CHAMPS MORLETS             
LIEU-DIT   CHENOIS                    
LIEU-DIT   CHEVRE HAIE                
LIEU-DIT   CONFIN DES PAUVRES         
LIEU-DIT   LA CORNEE DE L ANGLE       
LIEU-DIT   DERRIERE LES JARDINS       
LIEU-DIT   AUX ENSEIGNES              
LIEU-DIT   FACHIPRE                   
LIEU-DIT   LA FAITE                   
LIEU-DIT   LES FAUCHEES               
LIEU-DIT   GRANDES BORNES             
LIEU-DIT   GRANDES CORVEES            
LIEU-DIT   LES GROSSES TERRES         
LIEU-DIT   HAUT DE CHE                
LIEU-DIT   HAUT DES JARDINS           
LIEU-DIT   HAUT DES MONTS             
LIEU-DIT   HAUT DES ORMES             
LIEU-DIT   HAUT DES POOLS             
LIEU-DIT   LES HIERES                 
LIEU-DIT   JONCRY                     
LIEU-DIT   MONTIGNY                   
LIEU-DIT   LES MONTS                  
LIEU-DIT   LE MOULIN                  
LIEU-DIT   LES NOIRES TERRES          
LIEU-DIT   PAN SOUS MONTIGNY          
LIEU-DIT   PAQUIS DEVANT LE BOIS      
LIEU-DIT   PRE CLAUDELLE              
LIEU-DIT   PRE DE LA BREBIS           
LIEU-DIT   PRE GRIOT                  
LIEU-DIT   PRE LA CHAUBIERE           
LIEU-DIT   PRE LE PRETRE              
LIEU-DIT   PRE MARQUERE               
LIEU-DIT   PRE MATHIOT                
LIEU-DIT   SUR LE RO                  
LIEU-DIT   LA RONCE                   
LIEU-DIT   LES SABLONS                
LIEU-DIT   LA SAUSSAIE                
LIEU-DIT   SOUS LE BOIS               
LIEU-DIT   SOUS LE VILLAGE            
LIEU-DIT   SOUS VAUX                  
LIEU-DIT   TRAGNAT                    
LIEU-DIT   AU TREX                    
LIEU-DIT   VANIPRES                   
LIEU-DIT   LE VILLAGE                 
LIEU-DIT   LES VINGT QUATRE JOUNAUX   
LIEU-DIT   VITRIMONT                  
RUE        DE LA FONTAINE             
RUE        DU FOUR                    
RUE        DES GLACIS                 
RUE        GRANDE RUE                 
RUE        DES JARDINS                
RUE        DE LA SEILLE               
RUE        DE NOMENY                  
RUE        DU POINT DU JOUR           
RUE        DES VIGNES                 
RUE        DE VITRIMONT               
           commune :     ABBEVILLE-LES-CONFLANS         departement : MEURTHE ET MOSELLE            
LIEU-DIT   LES AVIEUX                 
LIEU-DIT   LES AVIEUX ET RABIEUPRE    
LIEU-DIT   BAYONVILLE                 
LIEU-DIT   LA BERTRY                  
LIEU-DIT   BOIS ROUSSEL               
LIEU-DIT   BOIS ST MARTIN             
LIEU-DIT   LE BREUIL                  
LIEU-DIT   CHAMPE                     
LIEU-DIT   LES CORVEES SUR LE PAQUIS  
LIEU-DIT   LES COURBEES CHP           
LIEU-DIT   CROUILLETTE                
LIEU-DIT   A LA CUMINE                
LIEU-DIT   DEVANT CHAMPE              
LIEU-DIT   DEVANT LE BOIS DE CONFLANS 
LIEU-DIT   LE DOUCHOT                 
LIEU-DIT   SUR LE FROID PRE           
LIEU-DIT   LE GD CLOSEL               
LIEU-DIT   GDE FALOISE                
LIEU-DIT   GDE LISSIERE               
LIEU-DIT   AU GIBET                   
LIEU-DIT   LA HAYE LE LIEVRE          
LIEU-DIT   HOUGNA                     
LIEU-DIT   HT DES FOURCHES            
LIEU-DIT   LES JAUNOTTES              
LIEU-DIT   LANNAUX                    
LIEU-DIT   LES LONGUES RAYES          
LIEU-DIT   LOUYSON                    
LIEU-DIT   SUR LES NAUJOINTS          
LIEU-DIT   SUR NEUF PRE               
LIEU-DIT   NEUF PRE                   
LIEU-DIT   LES NOIRES TERRES          
LIEU-DIT   AUX PARRIERES              
LIEU-DIT   LE PERCHE                  
LIEU-DIT   LA PIECE GIRARD            
LIEU-DIT   A POLEE                    
LIEU-DIT   PRE DE NOS MONTS           
LIEU-DIT   PRE DES AMIS               
LIEU-DIT   SUR LE PRE ROUILLON        
LIEU-DIT   LE PT RAMOY                
LIEU-DIT   PTE RAPPES                 
LIEU-DIT   QT EN RESERVE DIT BOIS LAV 
LIEU-DIT   SUR LES RACCROCHES         
LIEU-DIT   RANSVAUX                   
LIEU-DIT   LES RAPPES                 
LIEU-DIT   LE ROITAN                  
LIEU-DIT   SUR LE RUPT DES JARDINS    
LIEU-DIT   LES TIESCHES               
LIEU-DIT   A TRAVERS LE CHEM DE HATRI 
LIEU-DIT   VINGT CHP                  
LIEU-DIT   LE VLG                     
LIEU-DIT   PRE ROUILLON               
RUE        DE LA FORET                
GR         GRANDE RUE                 
RUE        DU GUE                     
PLACE      DE LA MAIRIE               
RUE        DE LA NAUX                 
RUE        DES NOIRES TERRES          
RUE        DU PAQUIS                  
RUE        DU PERCHE                  
PTR        PETITE RUE                 
PLACE      DE LA MAIRIE               
