20151101
57         MOSELLE                       
           commune :     ABONCOURT                      departement : MOSELLE                       
LIEU-DIT   ACKER                      
LIEU-DIT   SUR LES ANGLES             
LIEU-DIT   BISEWIESE                  
LIEU-DIT   LA BLANCHE BORNE           
LIEU-DIT   BLENDER                    
LIEU-DIT   BOIS DE BOUPRICH           
LIEU-DIT   BOIS DE KATZEBACH          
LIEU-DIT   BONNERT                    
LIEU-DIT   BOUPRICH                   
LIEU-DIT   BOURRISCOUTE               
LIEU-DIT   LE BREUIL                  
LIEU-DIT   LA CANNER                  
LIEU-DIT   CD NO 55                   
LIEU-DIT   CHAMP GRAND JAQUES         
LIEU-DIT   CHAMPS AUX LIEVRES         
LIEU-DIT   CHEM FER MERTZIG BETTELAIN 
LIEU-DIT   CHEM RURAL                 
LIEU-DIT   CHENES BRULES              
LIEU-DIT   CLEVEN                     
LIEU-DIT   CLEVEN SUR LE SENT D ALTRO 
LIEU-DIT   CORVEE                     
LIEU-DIT   CORVEE DES VINGT JOURS     
LIEU-DIT   COURTES RAYES              
LIEU-DIT   CUGNOT                     
LIEU-DIT   CULEE DE BOUPRICH          
LIEU-DIT   DELLEN                     
LIEU-DIT   DERRIERE LE MOULIN         
LIEU-DIT   DERRIERE LE PATURAL        
LIEU-DIT   DERRIERE LE PRESSOIR       
LIEU-DIT   DERRIERE LES GRANDS JARDIN 
LIEU-DIT   AU DESSOUS DU BREUIL       
LIEU-DIT   AU DESSUS DE L ETANG       
LIEU-DIT   DEVANT KATZEBACH           
LIEU-DIT   DEVANT LES VIGNES          
LIEU-DIT   ENTRE LES FOSSES           
LIEU-DIT   ENTRE LES VIGNES           
LIEU-DIT   L ETANG                    
LIEU-DIT   LA FONTAINE DES TROIS PILI 
LIEU-DIT   FONTAINE DU MOULIN         
LIEU-DIT   LA FONTAINE PASSE          
LIEU-DIT   FOSSE                      
LIEU-DIT   LES GRANDS JARDINS         
LIEU-DIT   GRANDS JARDINS             
LIEU-DIT   LES GRANDS PRES            
LIEU-DIT   GRISE TERRE                
LIEU-DIT   GROSSE WIESE               
LIEU-DIT   HOHLGASSE                  
LIEU-DIT   KANNERSTUECKE              
LIEU-DIT   LONGS CHAMPS               
LIEU-DIT   LONGUES RAYES              
LIEU-DIT   LA LOUVIERE                
LIEU-DIT   MACHFELD                   
LIEU-DIT   MAULER                     
LIEU-DIT   MILLENBACH                 
LIEU-DIT   LE MOULIN                  
LIEU-DIT   NAUBERG                    
LIEU-DIT   NEUDELANGE                 
LIEU-DIT   LES PAQUIS                 
LIEU-DIT   PATURAL DES BOEUFS         
LIEU-DIT   LA PENSE                   
LIEU-DIT   PENSERICH BLANCHES VIGNES  
LIEU-DIT   PETIT BOIS                 
LIEU-DIT   LES PETITS RAYUS           
LIEU-DIT   PIECE REMY                 
LIEU-DIT   PORTIONS COTE D ALTROFF    
LIEU-DIT   PRES DES COCHONS           
LIEU-DIT   PRES DES SOLDATS           
LIEU-DIT   LA QUESTION                
LIEU-DIT   RAYEES DES FOSSES          
LIEU-DIT   RAYU                       
LIEU-DIT   RAYU BECKER                
LIEU-DIT   ROUGES CHAMPS              
LIEU-DIT   LE ROUPLOT                 
LIEU-DIT   LE ROUSSAU                 
LIEU-DIT   SALVONNIERE                
LIEU-DIT   SANKT MARTIN               
LIEU-DIT   SCHENNER                   
LIEU-DIT   SCHEUERWIESE               
LIEU-DIT   SCHLAMMFELD                
LIEU-DIT   SEC WIESE                  
LIEU-DIT   SELZ                       
LIEU-DIT   SUR LA SELZ                
LIEU-DIT   SOUS CHEMIN VILLERS BETTNA 
LIEU-DIT   SOUS LA COTE DE BOUPRICH   
LIEU-DIT   SOUS LA COTE DE GICHE      
LIEU-DIT   SOUS LE BOIS D ALTROFF     
LIEU-DIT   SOUS LE BREUIL             
LIEU-DIT   SOUS LE NAUBERG            
LIEU-DIT   SOUS LE PENSERICH          
LIEU-DIT   SOUS LES PREMIERES VIGNES  
LIEU-DIT   SOUS LES VIGNES REMY       
LIEU-DIT   LE TAILLIS GRUOT           
LIEU-DIT   TERRAIN MILITAIRE          
LIEU-DIT   TROUP DE LOUP              
LIEU-DIT   VERKEL                     
LIEU-DIT   VIEILLE COTE               
LIEU-DIT   VIEILLE TUILERIE           
LIEU-DIT   VIGNES REMY                
LIEU-DIT   VILLAGE                    
LIEU-DIT   CHEMIN D EXPLOITATION      
RUE        DE L ANCIEN LAVOIR         
