20151101
60         OISE                          
           commune :     ABANCOURT                      departement : OISE                          
LIEU-DIT   ABANCOURT                  
LIEU-DIT   LE BOIS A SAULES           
LIEU-DIT   BOIS D ANSIAUME            
LIEU-DIT   LE BOSQUET                 
LIEU-DIT   LA CAMPAGNE                
LIEU-DIT   LE CANIVET                 
LIEU-DIT   LE CHAMP FRICOT            
LIEU-DIT   LE CHEMIN DE BERNAPRE      
LIEU-DIT   LE CHEMIN DE CRIQUIERS     
LIEU-DIT   FOSSE A LA VERGE           
LIEU-DIT   LES FOSSES                 
LIEU-DIT   GRAND HENNICOURT           
LIEU-DIT   L HAUVOITTE                
LIEU-DIT   LES INFERNAUX              
LIEU-DIT   LAGARITHE                  
LIEU-DIT   LA LANGUE DE BOEUF         
LIEU-DIT   LES LARRIS                 
LIEU-DIT   LE LARRIS                  
LIEU-DIT   LE LAVOIR                  
LIEU-DIT   MAISONS DE LA CAMPAGNE     
LIEU-DIT   MARE A JEANNETTE           
LIEU-DIT   LA MONTAGNE                
LIEU-DIT   LE PARADIS                 
LIEU-DIT   PETIT HENNICOURT           
LIEU-DIT   LES PETITS BOIS            
LIEU-DIT   LA PLAINE D ANSIAUME       
LIEU-DIT   PLAINE D HAUCOURT          
LIEU-DIT   LA PRAIRIE                 
LIEU-DIT   LES PRES SAINT MARTIN      
LIEU-DIT   LE QUESNOY                 
LIEU-DIT   RUE D ENBAS                
LIEU-DIT   LA RUELLE DU PRIEUR        
LIEU-DIT   LA TACHE VERTE             
RUE        D AMIENS                   
RUE        DE LA BRIQUETERIE          
RUE        DE LA CHAPELLE             
IMPASSE    DES CHARMILLES             
RUE        DES CHEVREFEUILLES         
RUE        DES EGLANTIERS             
RUE        DE L EGLISE                
RUE        DES ERABLES                
RUE        DE LA GARE                 
RUE        DES GLYCINES               
RUE        DE LA MONTAGNE             
RUE        DE PERNY                   
RUE        DU PRIEURE                 
RUE        PRINCIPALE                 
RUE        ROBERT BARE                
RUE        ROLAND SOYER               
RUE        DES ROSIERS                
