20151101
70         HAUTE SAONE                   
           commune :     ABELCOURT                      departement : HAUTE SAONE                   
LIEU-DIT   AU BAS DE ROMPEUX          
LIEU-DIT   AU BAS DU PRE              
LIEU-DIT   EN LA BESSE DE CARRE       
LIEU-DIT   BESSE DE LA COMBE          
LIEU-DIT   BESSE DE PRE JEANNON       
LIEU-DIT   BOIS COMMUNAUX             
LIEU-DIT   BOIS DE MEULE              
LIEU-DIT   LES BROSSES                
LIEU-DIT   EN CARRE                   
LIEU-DIT   EN LA CARRE                
LIEU-DIT   CHAMPS DE LA FONTENELLE    
LIEU-DIT   CHAMPS DE VILLERS          
LIEU-DIT   CHAMPS DES LIEVRES         
LIEU-DIT   CHAMPS DES PORTES          
LIEU-DIT   CHAMPS DES PRES CEMBIN     
LIEU-DIT   CHAMPS DU CHENE            
LIEU-DIT   CHAMPS EN PRES RONDOT      
LIEU-DIT   CHAMPS HAUBRY              
LIEU-DIT   CHAMPS MONTANTS            
LIEU-DIT   CHAMPS PETRU               
LIEU-DIT   AUX CHAMPS PEY             
LIEU-DIT   CHAMPS RAMEY               
LIEU-DIT   CHAMPS SOUS LA PAINOZ      
LIEU-DIT   CHAMPS SUR LA PERRIERE     
LIEU-DIT   CHAMPS VUILLEY             
LIEU-DIT   CHAMPS VUILLOZ             
LIEU-DIT   EN CHANNEY                 
LIEU-DIT   EN CHAZAUX                 
LIEU-DIT   LA CHEVEROTTE              
LIEU-DIT   COMBE AUX VOILLOS          
LIEU-DIT   LES COMBES                 
LIEU-DIT   LES COMBOTTES              
LIEU-DIT   COURTS CHAMPS              
LIEU-DIT   EN CRACOUEILLOT            
LIEU-DIT   AU CROZ                    
LIEU-DIT   DEFRICHEMENT DE MEULE      
LIEU-DIT   DERRIERE CHAZEAU           
LIEU-DIT   DESSOUS LE VENAIS          
LIEU-DIT   AU FASSIEUX                
LIEU-DIT   EN LA FONTENOTTE           
LIEU-DIT   EN FOSSE                   
LIEU-DIT   EN LA FOUCHIRE             
LIEU-DIT   FOUILLIE POICHA            
LIEU-DIT   EN GEUTIS                  
LIEU-DIT   AU GLAYERE                 
LIEU-DIT   AU GRAND PONT              
LIEU-DIT   EN LA GRANDE BORNE         
LIEU-DIT   SUR LA GRANDE VOYE         
LIEU-DIT   AUX GRANDES CHARMES        
