20151101
73         SAVOIE                        
           commune :     AIGUEBELETTE-LE-LAC            departement : SAVOIE                        
           LES CHALETS DU LAC         
LIEU-DIT   LES ALLEMANDS              
LIEU-DIT   LA BARBETTE                
LIEU-DIT   LES BARINS                 
LIEU-DIT   AUX BARRICADES             
LIEU-DIT   LE BIMBE                   
LIEU-DIT   BOIS BATARD                
LIEU-DIT   BOURABLANCHE               
LIEU-DIT   LE BOURG                   
LIEU-DIT   BOYAT                      
LIEU-DIT   LA CALAVENCHE              
LIEU-DIT   LES CAMBETS                
LIEU-DIT   LA CARRIERE                
LIEU-DIT   AU CHANEY                  
LIEU-DIT   CHARROUE                   
LIEU-DIT   AU CHATAIGNIER             
LIEU-DIT   LE CHATELARD               
LIEU-DIT   LE CLOSET                  
LIEU-DIT   LE COLOMBIER               
LIEU-DIT   LA COMBE                   
LIEU-DIT   COMBE DES PRES             
LIEU-DIT   LES COMBELLES              
LIEU-DIT   LA COMBETTE                
LIEU-DIT   AUX COMBETTES              
LIEU-DIT   COTE EPINE                 
LIEU-DIT   COTE NORMAND               
LIEU-DIT   COTES DU LAC               
LIEU-DIT   COURTERAIE                 
LIEU-DIT   AU CRET                    
LIEU-DIT   LES CRUISETTES             
LIEU-DIT   LE CUGNET                  
LIEU-DIT   LA CULAZ                   
LIEU-DIT   AUX CULEES                 
LIEU-DIT   LE CURTIL                  
LIEU-DIT   LA DRESSIERE               
LIEU-DIT   L ENCLOSE                  
LIEU-DIT   ESSART DESSUS              
LIEU-DIT   LE FAYET                   
LIEU-DIT   LE FOLLIOUX                
LIEU-DIT   FOURNIER                   
LIEU-DIT   LA GIRARDIERE              
LIEU-DIT   LE GRAND BALMAT            
LIEU-DIT   AU GRAND CHAMP             
LIEU-DIT   LE GRAND ESSART            
LIEU-DIT   GRAND PLAT                 
LIEU-DIT   LA GRANDE COTE             
LIEU-DIT   LES GRANDS PRES            
LIEU-DIT   LA GRAZ                    
LIEU-DIT   LES GUSTINS                
LIEU-DIT   LAC D AIGUEBELETTE         
LIEU-DIT   LE LACCAZ                  
LIEU-DIT   LA LIMACE                  
LIEU-DIT   MALACOTE                   
LIEU-DIT   MARQUAIRE                  
LIEU-DIT   LE MOLLARD                 
LIEU-DIT   MOLLUA                     
LIEU-DIT   AU MONT                    
LIEU-DIT   LE NOYAU                   
LIEU-DIT   PIERRE BORNE               
LIEU-DIT   PIERRE SAUVAGE             
LIEU-DIT   LE PILLIOT                 
LIEU-DIT   PISSEVIEILLE               
LIEU-DIT   LE PLATON                  
LIEU-DIT   LES PLATTIERES             
LIEU-DIT   LE PONTET                  
LIEU-DIT   LE PORT                    
LIEU-DIT   PRE MEUNIER                
LIEU-DIT   PRE ROSSET                 
LIEU-DIT   LES PRES                   
LIEU-DIT   LE REPLAT                  
LIEU-DIT   LES RIEUX                  
LIEU-DIT   LA ROCHETTE                
LIEU-DIT   LES SABLES                 
LIEU-DIT   SAINT FERRA                
LIEU-DIT   LE SAUGET                  
LIEU-DIT   SOUS BOYAT                 
LIEU-DIT   SOUS LA VILLE              
LIEU-DIT   SOUS MALACOTE              
LIEU-DIT   LA TAILLAT                 
LIEU-DIT   TERRE ROUGE                
LIEU-DIT   LA TIRE                    
LIEU-DIT   L URTIE                    
LIEU-DIT   VIRIEUX                    
LIEU-DIT   LA VISSALE                 
LIEU-DIT   LA PETITE COMBE            
           CHUTE DE LA BRIDOIRE       
CHEMIN     DU BOYAT                   
ROUTE      DE LA COMBE                
RUE        DE LA GARE                 
CHEMIN     DE LA VIE                  
           commune :     AIGUEBELLE                     departement : SAVOIE                        
           IMM LE BASMONT             
HAB        IMMEUBLE LA LAUZIERE       
HAB        MAISON DE RETRAITE         
HAB        CHARBONNIERE               
RESIDENCE  LE CLOS DE LA ROCHE        
           IM. L AROLLE               
LIEU-DIT   AIGUEBELLE                 
LIEU-DIT   BAS D AIGUEBELLE           
LIEU-DIT   BEAU MOLLARD               
LIEU-DIT   BOIBAN                     
LIEU-DIT   CHARBONNIERE               
LIEU-DIT   LES CHAVANNES              
LIEU-DIT   CHAVENTON                  
LIEU-DIT   CHEVALIERS DE MALTE        
LIEU-DIT   LES COMBES                 
LIEU-DIT   LES COMMUNAUX              
LIEU-DIT   ENTRE DEUX PONTS           
LIEU-DIT   L EPINGLETTE               
LIEU-DIT   LA GALERE                  
LIEU-DIT   LE GRAND CHANET            
LIEU-DIT   GRANGE A BOIBAN            
LIEU-DIT   LE GRAPILLON               
LIEU-DIT   GROBA                      
LIEU-DIT   MIETTAZ                    
LIEU-DIT   MONTGANDEUX                
LIEU-DIT   PLATEAU DE BONFANS         
LIEU-DIT   LA POUILLE                 
LIEU-DIT   SOUS LES CHAVANNES         
LIEU-DIT   VERS L USINE               
LIEU-DIT   VERS LE VIVIER             
LIEU-DIT   VERS MIETTAZ               
LIEU-DIT   LE VIVIER                  
HAB        IMMEUBLE LA LAUZIERE       
CHEMIN     DES ALTHEAS                
CHEMIN     DE L ARCANDY               
ROUTE      DES ARCS                   
ALLEE      DES BASMONT                
CHEMIN     BELLACHA                   
ALLEE      DU BOIBAN                  
RUE        CARRET                     
ROUTE      DE LA DIGUE                
IMPASSE    DE LA DIGUE                
ROUTE      DE CHARBONNIERE            
RUE        CHARLES GIROD              
ALLEE      DU CHATEAU                 
CHEMIN     DE CHAVENTON               
AVENUE     DU CHEVALIER DE MALTE      
ROUTE      DU CINEMA                  
