20151101
74         HAUTE SAVOIE                  
           commune :     ABONDANCE                      departement : HAUTE SAVOIE                  
LIEU-DIT   ABONDANCE                  
LIEU-DIT   ADROIT DE LA COMBE         
LIEU-DIT   ARCES                      
LIEU-DIT   ARDENS                     
LIEU-DIT   AUTIGNY                    
LIEU-DIT   LE BAILLY                  
LIEU-DIT   LA BALME                   
LIEU-DIT   LE BASSE                   
LIEU-DIT   LA BEGUNE                  
LIEU-DIT   BELAIR                     
LIEU-DIT   BELLEGARDE                 
LIEU-DIT   LES BEUS                   
LIEU-DIT   BOIS D OFFAZ               
LIEU-DIT   BOIS DE FREMOUX            
LIEU-DIT   BOIS DE LA COMBAZ          
LIEU-DIT   BOIS DE LESCHAUX           
LIEU-DIT   BOIS DE MELON              
LIEU-DIT   BOIS DES CANEVIERES        
LIEU-DIT   BOIS DES CHAMBRETTES       
LIEU-DIT   BOIS DES GRANGES           
LIEU-DIT   BOIS DES QUARTS            
LIEU-DIT   BOIS DU COUTELET           
LIEU-DIT   BOIS DU LIEVRE             
LIEU-DIT   BOIS DU PLENAY             
LIEU-DIT   BOIS PICCARD               
LIEU-DIT   LA BOSSENEAU               
LIEU-DIT   LE BOTHIAY EST             
LIEU-DIT   LE BOTHIAY OUEST           
LIEU-DIT   LA BOVERECHE               
LIEU-DIT   BRION                      
LIEU-DIT   BRION D EN HAUT            
LIEU-DIT   BRION MAYON                
LIEU-DIT   BRION PIOUTAZ              
LIEU-DIT   LES CANEVIERES             
LIEU-DIT   CANTON DE BELLEGARDE       
LIEU-DIT   CANTON DE CERCLE           
LIEU-DIT   CANTON DU COUTELET         
LIEU-DIT   LES CARRES                 
LIEU-DIT   LA CASE                    
LIEU-DIT   LES CASSES                 
LIEU-DIT   CAZOT                      
LIEU-DIT   CERCLE                     
LIEU-DIT   CHABLE DE LA PLAGNE        
LIEU-DIT   LES CHABLES                
LIEU-DIT   AU CHAMP                   
LIEU-DIT   LE CHAMP DE MELON          
LIEU-DIT   CHAMP DRU                  
LIEU-DIT   CHAMPFLEURI                
LIEU-DIT   LES CHAMPS                 
LIEU-DIT   CHAMPS PANTINS             
LIEU-DIT   SUR LE CHAR                
LIEU-DIT   LA CHARGNE                 
LIEU-DIT   CHARGNIAT DESSOUS          
LIEU-DIT   CHARGNIAT DESSUS EST       
LIEU-DIT   CHARGNIAT DESSUS OUEST     
LIEU-DIT   LE CHARMU                  
LIEU-DIT   LE CHARRAY                 
LIEU-DIT   SUR LES CHARS              
LIEU-DIT   LES CHENEAUX DERRIERE      
LIEU-DIT   CHEZ BERNARD               
LIEU-DIT   CHEZ GILLAND               
LIEU-DIT   CHEZ JORAT                 
LIEU-DIT   CHEZ LES GAGNEUX           
LIEU-DIT   CHEZ LES GAY DE L ADROIT   
LIEU-DIT   CHEZ LES GAY DE L ENVERS   
LIEU-DIT   CHEZ LES GIRARD            
LIEU-DIT   CHEZ LES MEUNIERS          
LIEU-DIT   CHEZ LES VIES              
LIEU-DIT   CHEZ PERRY                 
LIEU-DIT   CHEZ ROUGES                
LIEU-DIT   LE CHON                    
LIEU-DIT   LES CHOSALETS              
LIEU-DIT   LES CHOSALETS SUD          
LIEU-DIT   CLOS DU COMMUNAL           
LIEU-DIT   CLOS GRILLET               
LIEU-DIT   CLOS MERMY                 
LIEU-DIT   CLOS MINGE                 
LIEU-DIT   COMBAFOU                   
LIEU-DIT   LA COMBAZ                  
LIEU-DIT   LA COMBE                   
LIEU-DIT   LES COMBES                 
LIEU-DIT   LES COMBES D EN BAS        
LIEU-DIT   COMMUNAL DE TRELESBOEUFS   
LIEU-DIT   COMMUNAL DE VERSAIRE       
LIEU-DIT   COMMUNAL DES ARCES         
LIEU-DIT   COMMUNAL DES TIGNERETS     
LIEU-DIT   COMMUNAL DU JOULY          
LIEU-DIT   LA COTE                    
LIEU-DIT   COTE DE L EAU              
LIEU-DIT   LA COTE DE LA FACHE        
LIEU-DIT   LES COTES                  
LIEU-DIT   COTES DE BALME             
