20151101
78         YVELINES                      
           commune :     ABLIS                          departement : YVELINES                      
RESIDENCE  DU PARC                    
RESIDENCE  COTEAU DE MAINGUERIN       
LOT        LE PARC                    
LIEU-DIT   L ABBE (HAMEAU)            
LIEU-DIT   ARRAS                      
LIEU-DIT   LE BEAU LUISANT            
LIEU-DIT   LE BOIS DE LA GRILLE       
LIEU-DIT   BOIS DE MAINGUERIN         
LIEU-DIT   BOIS DE TIREPENNE          
LIEU-DIT   LE BOIS DES PERCHES        
LIEU-DIT   HAMEAU BOITEAUX            
LIEU-DIT   LA CARRIERE                
LIEU-DIT   LA CASTAIGNE               
LIEU-DIT   LES CHAMPARTS              
LIEU-DIT   LA CHAPELLE SAINTE MADELEI 
LIEU-DIT   LE CHEMIN D AUNAY          
LIEU-DIT   LE CHEMIN D AUNEAU         
LIEU-DIT   LE CHEMIN DE LA CHAPELLE   
LIEU-DIT   LE CHEMIN DE MENAINVILLE   
LIEU-DIT   CHEMIN DE PROVELU          
LIEU-DIT   SUR LE CHEMIN DE PRUNAY    
LIEU-DIT   SUR LE CHEMIN DES CHARBONN 
LIEU-DIT   LES CLAIRETTES             
LIEU-DIT   CLOS DE LONG ORME          
LIEU-DIT   SUR LE CLOS LONG ORME      
LIEU-DIT   LE CLOS ROQUEMONT          
LIEU-DIT   LA CROIX POLUCHE           
LIEU-DIT   DERRIERE TIREPENNE         
LIEU-DIT   DIMANCHEVILLE              
LIEU-DIT   LES FAURES                 
LIEU-DIT   LA FONTAINE CHAUDE         
LIEU-DIT   LA FOSSE GARD              
LIEU-DIT   LA FOSSE SECHE             
LIEU-DIT   LA FOSSE TAMBOURINEUSE     
LIEU-DIT   LE GACHER                  
LIEU-DIT   LA GARE                    
LIEU-DIT   LES GENETS                 
LIEU-DIT   GRANDE PIECE DERRIERE BOIT 
LIEU-DIT   LA GRANDE PLAINE           
LIEU-DIT   LA GROSSE PIERRE           
LIEU-DIT   GUEHERVILLE                
LIEU-DIT   LES LOGES                  
LIEU-DIT   LONG ORME                  
LIEU-DIT   LONG ORME (HAMEAU)         
LIEU-DIT   MAINGUERIN  HAMEAU         
LIEU-DIT   LA MARE                    
LIEU-DIT   LA MARE AU CHANTRE         
LIEU-DIT   LA MARE DU PETIT BOIS      
LIEU-DIT   LA MARE DU ROTOIS          
LIEU-DIT   MENAINVILLE (HAMEAU)       
LIEU-DIT   LA METAIRIE                
LIEU-DIT   LE MOULIN D ARRAS          
LIEU-DIT   LES NONNES                 
LIEU-DIT   L ORME AIGUE               
LIEU-DIT   PARC DE LA CASTAIGNE       
LIEU-DIT   LES PAROUSEAUX             
LIEU-DIT   LE PERRAY                  
LIEU-DIT   LE PETIT POIRIER           
LIEU-DIT   LES PETITS PAROUSEAUX      
LIEU-DIT   LA PIECE DE MAINGUERIN     
LIEU-DIT   PIECE DES VENANTS          
LIEU-DIT   PLAINE DE BOITEAUX         
LIEU-DIT   PLAINE DE MAINGUERIN       
LIEU-DIT   LES PRES                   
LIEU-DIT   PROVELU (HAMEAU)           
LIEU-DIT   LE PUITS DE MAINGUERIN     
LIEU-DIT   LA REMISE                  
LIEU-DIT   LA REMISE A GAUT           
LIEU-DIT   LA REMISE DE COCADRUE      
LIEU-DIT   LES SAULES                 
LIEU-DIT   SOUS LE CHEMIN DE MENAINVI 
LIEU-DIT   LE VIEL ETANG              
LIEU-DIT   LES VIGNES                 
LIEU-DIT   VILLE D ABLIS              
LIEU-DIT   LA CROIX DES VIGNES        
LIEU-DIT   ZONE INDUSTRIELLE          
LIEU-DIT   FERME DE LA MARE           
LIEU-DIT   ZAC PORTE ILE DE FRANCE    
           AUTOROUTE                  
RUE        DE L ABBE HOLTZ            
RUE        DES ACACIAS                
ALLEE      DE L ANCIENNE GARE         
RUE        DE L ANCIEN PARC           
RUE        ANTONINS                   
RUE        D ARRAS                    
RUE        ATHANASE BARBIER           
ROUTE      D AUNEAU                   
RUE        DE L AULNETTE              
RUE        DE L AVENIR                
RUE        BADILLOT                   
RUE        DU BADE WURTENBERG         
CHEMIN     DE BEAUDICOURT             
RUE        DES BAS PRES               
PLACE      DU BICENTENAIRE            
RUE        DE LA BEAUCE               
CHEMIN     DU BOIS                    
RUE        DE BOINVILLE               
RUE        DE LA CASTAIGNE            
